GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001EA,B16005I_001MA,B16005I_002EA,B16005I_002MA,B16005I_003EA,B16005I_003MA,B16005I_004MA,B16005I_004EA,B16005I_005MA,B16005I_005EA,B16005I_006MA,B16005I_006EA,B16005I_007MA,B16005I_007EA,B16005I_008EA,B16005I_008MA,B16005I_009MA,B16005I_009EA,B16005I_010MA,B16005I_010EA,B16005I_011MA,B16005I_011EA,state
0400000US39,392780,2065,301894,5782,183449,8269,118445,6748,90621,5374,27824,3163,90886,5805,7089,1411,83797,5903,36515,4145,47282,4077,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,372384,1473,251013,5097,134508,7136,116505,5718,100314,5143,16191,2051,121371,4868,4785,1030,116586,4860,38768,3193,77818,4753,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,490272,1517,323184,6976,158159,9105,165025,7762,143831,7354,21194,3450,167088,6691,11816,1870,155272,6701,56103,5863,99169,5630,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,845386,1710,633991,9754,281600,10025,352391,10385,251485,9953,100906,6163,211395,10051,13749,2065,197646,9780,67283,5468,130363,8317,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,148564,589,87760,4524,30003,4214,57757,3666,41571,3469,16186,2643,60804,4573,2697,959,58107,4625,17367,2955,40740,3823,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,258360,1759,149538,5167,65118,5816,84420,5222,68683,4840,15737,2620,108822,4816,7238,1704,101584,4776,36826,4047,64758,4252,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,27003,1194,19004,1811,11028,1674,7976,1697,5836,1223,2140,1044,7999,1720,1194,557,6805,1550,1820,745,4985,1501,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,319245,2796,176779,6213,86141,6481,90638,4670,69263,4924,21375,2676,142466,6612,11667,2557,130799,6639,39145,3814,91654,6378,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,10145819,2790,6966371,34522,2595463,38491,4370908,36647,3488303,39560,882605,23014,3179448,34218,135510,7950,3043938,34556,909461,24222,2134477,28133,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,388407,892,242346,5429,125214,7527,117132,5302,107366,5415,9766,1967,146061,5476,7576,1820,138485,5425,56838,4247,81647,4509,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,11029,1038,8359,829,6066,811,2293,572,1934,530,359,287,2670,881,489,320,2181,856,1355,476,826,565,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,715785,2913,373442,9322,176944,9002,196498,7660,167520,7516,28978,3675,342343,8895,21175,2974,321168,9024,118075,7826,203093,7880,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,843591,1036,543884,9189,281467,11177,262417,8915,221121,8300,41296,3581,299707,9246,17744,3018,281963,9574,90037,5168,191926,8687,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,21363,1588,16618,1729,11797,1667,4821,1309,3652,1149,1169,550,4745,1196,737,455,4008,1192,2098,745,1910,839,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,359091,1106,260770,5188,143113,7001,117657,5745,93856,5984,23801,2852,98321,5253,7429,1766,90892,5103,31010,2825,59882,4306,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,51902,911,41764,2511,28204,3342,13560,2158,12311,1964,1249,590,10138,2175,419,326,9719,2173,2397,803,7322,2046,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3160403,4728,3073921,8610,167470,9167,2906451,13008,554994,15870,2351457,18584,86482,7432,4851,1284,81631,7354,9228,2028,72403,6556,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
