GEO_ID,C18105_001E,C18105_001M,C18105_002E,C18105_002M,C18105_003E,C18105_003M,C18105_004E,C18105_004M,C18105_005E,C18105_005M,C18105_006E,C18105_006M,C18105_007E,C18105_007M,C18105_008E,C18105_008M,C18105_009E,C18105_009M,C18105_010E,C18105_010M,C18105_011E,C18105_011M,C18105_012E,C18105_012M,C18105_013E,C18105_013M,C18105_014E,C18105_014M,C18105_015E,C18105_015M,C18105_016E,C18105_016M,C18105_017E,C18105_017M,C18105_018E,C18105_018M,C18105_019E,C18105_019M,C18105_020E,C18105_020M,C18105_021E,C18105_021M,NAME,C18105_001EA,C18105_001MA,C18105_002EA,C18105_002MA,C18105_003EA,C18105_003MA,C18105_004MA,C18105_004EA,C18105_005MA,C18105_005EA,C18105_006EA,C18105_006MA,C18105_007EA,C18105_007MA,C18105_008EA,C18105_008MA,C18105_009MA,C18105_009EA,C18105_010MA,C18105_010EA,C18105_011EA,C18105_011MA,C18105_012EA,C18105_012MA,C18105_013EA,C18105_013MA,C18105_014MA,C18105_014EA,C18105_015MA,C18105_015EA,C18105_016EA,C18105_016MA,C18105_017EA,C18105_017MA,C18105_018EA,C18105_018MA,C18105_019MA,C18105_019EA,C18105_020MA,C18105_020EA,C18105_021MA,C18105_021EA,state
0400000US33,1261493,1421,621814,2428,100039,1308,592,358,99447,1363,416844,2049,15403,2230,401441,2655,104931,982,18568,1786,86363,1990,639679,2143,94211,1163,251,219,93960,1199,423020,1582,18147,2314,404873,2601,122448,1156,26000,2107,96448,2145,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8382071,2168,4062773,3435,741495,2307,3975,1028,737520,2502,2726881,2632,93010,4929,2633871,5632,594397,1892,98305,3926,496092,4046,4319298,2652,711902,1754,2711,1025,709191,2100,2824392,1528,109109,4794,2715283,4609,783004,1696,181631,5746,601373,5801,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1927874,2415,943014,3560,183309,2482,1563,754,181746,2666,602565,3092,37377,3525,565188,4178,157140,1385,32781,2250,124359,2728,984860,2934,179066,2360,911,530,178155,2448,618093,1671,42142,3022,575951,2887,187701,1194,47444,2892,140257,3074,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,18450469,3361,8883026,5468,1521330,3437,10609,1929,1510721,3825,6042852,4493,232926,8156,5809926,8003,1318844,2424,236567,6649,1082277,7286,9567443,4951,1464305,3400,9974,1697,1454331,4014,6355450,3512,295039,9463,6060411,10465,1747688,3275,438795,9995,1308893,10294,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9469677,4628,4538812,7022,870222,4945,5967,1464,864255,5167,2969108,5675,163838,6355,2805270,8865,699482,2997,132812,5026,566670,5691,4930865,6208,826243,4498,4321,1097,821922,4660,3214843,5484,188645,6931,3026198,8566,889779,4012,221954,5464,667825,5787,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,685375,1964,350133,2309,61302,1595,97,82,61205,1593,239780,2013,8386,1423,231394,2368,49051,476,7746,1144,41305,1266,335242,2164,58757,1694,260,237,58497,1716,218940,1780,8884,1261,210056,2250,57545,858,9848,1274,47697,1517,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,10789948,3040,5246069,5524,973864,3303,7181,1547,966683,3378,3447345,4234,179793,6684,3267552,7883,824860,2396,146225,5481,678635,5813,5543879,5616,929058,3406,5235,1220,923823,3548,3569493,3854,217918,7535,3351575,8520,1045328,3505,255757,6708,789571,6730,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3588768,2899,1753650,4122,356913,2258,2677,728,354236,2334,1135627,3364,79458,4308,1056169,5214,261110,1725,64449,2785,196661,3206,1835118,3404,340261,2375,2184,622,338077,2440,1171686,2510,95677,4259,1076009,5231,323171,1962,97300,4073,225871,3930,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3870648,2280,1906237,4250,328390,3041,1912,816,326478,3080,1256993,3072,57404,4088,1199589,5096,320854,2276,60325,3478,260529,3932,1964411,3477,311308,2445,1597,670,309711,2400,1276309,2948,67846,4698,1208463,5364,376794,2231,88181,3700,288613,3551,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,11897838,2637,5778829,5031,998442,2969,6961,1191,991481,3181,3814381,4267,180129,7314,3634252,8241,966006,2850,173750,4680,792256,5251,6119009,4363,953335,2070,6182,1269,947153,2603,3934622,3823,232437,7484,3702185,7568,1231052,3132,296664,7420,934388,7510,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,989092,1318,476531,1874,77171,989,1097,509,76074,1084,325265,1755,10454,1722,314811,2466,74095,831,11387,1502,62708,1679,512561,2055,74480,1075,565,511,73915,1255,342118,1870,21829,2498,320289,2870,95963,924,20770,2144,75193,2106,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4638746,3231,2216617,5722,410931,4646,4354,1084,406577,4619,1426580,3817,91841,5258,1334739,6644,379106,1829,76382,3808,302724,3712,2422129,4849,398759,3541,1250,631,397509,3539,1554133,3350,106725,6374,1447408,7108,469237,1964,111042,4602,358195,4924,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,791366,2018,396773,2622,77829,1756,367,193,77462,1752,255831,2008,9280,1434,246551,2434,63113,925,9473,1123,53640,1482,394593,2480,73730,1366,357,218,73373,1385,248228,1903,9191,1391,239037,2415,72635,1060,12797,1188,59838,1510,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6207424,3542,2994677,6003,558798,4810,2958,998,555840,4916,1973766,4611,117935,6020,1855831,8289,462113,2384,99602,4156,362511,4753,3212747,5515,541383,4080,4030,1274,537353,4291,2092218,4229,151701,6025,1940517,7760,579146,2424,165171,5591,413975,5827,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25817146,6014,12670488,9778,2723208,7077,17630,2214,2705578,6891,8439293,7464,357624,10789,8081669,13896,1507987,3571,317300,7737,1190687,7779,13146658,8176,2612817,7015,15126,2582,2597691,7440,8672117,6684,422223,12192,8249894,14221,1861724,3805,505834,10363,1355890,10645,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2823229,1781,1415909,3003,346712,2062,2008,828,344704,2251,914949,2248,25756,2577,889193,3460,154248,1124,25789,2005,128459,2243,1407320,2950,323362,1871,1366,561,321996,1910,908071,1895,31484,2828,876587,3155,175887,1399,36813,2487,139074,2972,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,587460,918,288567,1387,45108,1087,649,379,44459,1168,191244,1039,9287,1557,181957,1811,52215,592,7057,988,45158,1142,298893,1013,42300,828,92,124,42208,849,195081,765,8816,1347,186265,1523,61512,631,12595,1517,48917,1511,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,7754890,6460,3739644,7535,693389,4637,5574,1377,687815,4971,2491091,6244,100254,6197,2390837,8483,555164,2910,95644,4486,459520,5555,4015246,5360,669785,4315,2359,896,667426,4414,2656662,4059,128933,5329,2527729,6765,688799,2842,155169,5514,533630,6231,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6844797,3160,3387504,4332,606080,2637,3342,928,602738,3004,2279843,3524,92858,5120,2186985,5621,501581,2246,88147,3880,413434,4665,3457293,3755,584226,2447,3935,1084,580291,2842,2276663,3414,114070,6533,2162593,7956,596404,2169,144746,4814,451658,5122,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1689239,2027,825704,3310,138989,2734,1123,481,137866,2801,532212,1966,45691,3318,486521,3609,154503,1110,39629,2610,114874,2479,863535,3083,135227,2613,1250,711,133977,2587,540901,1842,52424,2860,488477,3060,187407,1463,55759,3391,131648,3570,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5389978,2140,2661033,3863,480898,2510,2021,480,478877,2460,1757463,3257,64750,4206,1692713,5146,422672,1821,68100,3378,354572,3858,2728945,3877,464050,2687,2088,762,461962,2700,1759470,2973,84644,3877,1674826,4448,505425,2040,104821,4022,400604,4221,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,530981,1423,269734,2085,52428,1563,51,66,52377,1563,174489,1596,9005,1546,165484,2163,42817,819,7780,1350,35037,1384,261247,2206,47218,1745,130,206,47088,1737,168690,1765,9074,1835,159616,2640,45339,705,10616,1289,34723,1426,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3163278,1585,1487001,3777,262482,3557,3221,1408,259261,3683,941770,1282,78568,5397,863202,5706,282749,531,79186,3751,203563,3708,1676277,3516,246948,3296,2847,1066,244101,3200,1058802,653,91118,5538,967684,5582,370527,698,138786,5597,231741,5551,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
