GEO_ID,B24090_001E,B24090_001M,B24090_002E,B24090_002M,B24090_003E,B24090_003M,B24090_004E,B24090_004M,B24090_005E,B24090_005M,B24090_006E,B24090_006M,B24090_007E,B24090_007M,B24090_008E,B24090_008M,B24090_009E,B24090_009M,B24090_010E,B24090_010M,B24090_011E,B24090_011M,B24090_012E,B24090_012M,B24090_013E,B24090_013M,B24090_014E,B24090_014M,B24090_015E,B24090_015M,B24090_016E,B24090_016M,B24090_017E,B24090_017M,B24090_018E,B24090_018M,B24090_019E,B24090_019M,B24090_020E,B24090_020M,B24090_021E,B24090_021M,NAME,B24090_001EA,B24090_001MA,B24090_002EA,B24090_002MA,B24090_003EA,B24090_003MA,B24090_004EA,B24090_004MA,B24090_005MA,B24090_005EA,B24090_006MA,B24090_006EA,B24090_007EA,B24090_007MA,B24090_008EA,B24090_008MA,B24090_009EA,B24090_009MA,B24090_010MA,B24090_010EA,B24090_011MA,B24090_011EA,B24090_012EA,B24090_012MA,B24090_013EA,B24090_013MA,B24090_014EA,B24090_014MA,B24090_015EA,B24090_015MA,B24090_016MA,B24090_016EA,B24090_017MA,B24090_017EA,B24090_018MA,B24090_018EA,B24090_019EA,B24090_019MA,B24090_020EA,B24090_020MA,B24090_021MA,B24090_021EA,state
0400000US45,1616623,17566,890465,12271,699154,12628,657407,12197,41747,3321,36066,2992,40345,3189,42686,4160,24848,2714,46504,4395,862,452,726158,10693,499197,10672,486694,11014,12503,1600,57151,4939,52589,4159,77556,5052,17926,2752,21496,2806,243,216,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,313323,5864,180050,4178,125854,4207,116690,4266,9164,1275,12734,1748,11044,1687,6129,1202,6263,1311,17546,1651,480,283,133273,3591,79023,3582,75890,3551,3133,729,23808,2212,11820,1301,8240,1252,3797,786,5913,1167,672,358,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,2261821,19748,1259519,10749,958363,12582,917107,12895,41256,3186,59968,3519,78296,4882,39473,3405,34518,2998,87910,4945,991,538,1002302,15352,703476,11996,688077,11483,15399,2304,91554,5196,87557,5160,54661,3784,26470,2963,37876,3294,708,351,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,9692983,44293,5633313,26242,4459177,28608,4252011,29442,207166,9198,190471,7512,285919,10635,177748,8034,154872,6308,360373,9666,4753,1152,4059670,30541,2830949,27211,2755489,27441,75460,5480,318045,9282,366588,11622,293650,10911,93200,5449,154020,6978,3218,853,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,991419,11454,631008,8282,496113,9779,456230,9798,39883,2976,33008,2820,26647,2390,27725,2348,24691,2531,22493,2361,331,181,360411,7472,250185,8134,240405,7767,9780,1984,34534,3133,26283,2355,28609,2671,11894,1603,8076,1454,830,531,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,215345,5855,118358,4101,84073,3572,75704,3513,8369,1391,12143,1514,6173,1021,3494,771,3538,936,8896,1053,41,40,96987,3820,52561,3311,49072,3362,3489,748,21148,2054,8949,1188,6321,1093,2855,707,5061,1052,92,137,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,3004834,23073,1674301,13345,1165175,13167,1089779,13212,75396,4248,92679,5196,98002,3892,60288,4492,190293,7352,66555,4572,1309,581,1330533,16846,819870,13813,788837,13907,31033,2923,152631,6808,136534,5430,70654,4224,111884,4730,38216,2907,744,433,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,2468344,18499,1449658,13999,1106009,14329,1035891,14061,70118,4058,74624,4759,84546,5412,60298,4150,63970,4104,59435,4366,776,448,1018686,11572,648080,10710,620162,10513,27918,2700,123990,5343,83140,4306,92328,4821,34632,2948,35326,2871,1190,779,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,507868,8421,288610,6140,214893,6234,207535,6153,7358,1340,12726,1734,16534,2410,18707,2103,12561,1567,13113,1824,76,136,219258,6068,134803,5168,131820,5099,2983,874,23916,2584,18576,2354,23689,2811,11113,1768,7038,1640,123,129,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,2074495,12817,1186680,9398,947531,10680,896504,10330,51027,2692,57199,3599,60981,3574,41175,2793,15488,1607,63172,3622,1134,291,887815,9603,601809,9470,585086,9314,16723,1643,122296,4168,71186,4101,48857,3025,15487,1749,27023,2369,1157,345,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,194416,4709,113202,3547,81022,3416,75264,3448,5758,1037,4382,1290,8988,1280,6358,1250,4886,1287,7347,1345,219,239,81214,3637,43480,3692,40555,3614,2925,1060,8647,1433,14329,2007,7275,1145,3023,923,4310,1011,150,148,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,666686,13676,358699,8474,232933,7815,218499,7258,14434,2452,10978,2257,23015,2712,52944,5075,8597,1823,29980,3169,252,381,307987,8922,186962,7473,181860,7571,5102,1465,18896,2440,19631,3048,63670,4696,7114,2025,11592,2261,122,195,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
