B25006_001M,B25006_002E,B25006_002M,B25006_003E,B25006_003M,B25006_004E,B25006_004M,B25006_005E,B25006_005M,B25006_006E,B25006_006M,B25006_007E,B25006_007M,B25006_008E,B25006_008M,B25006_009E,B25006_009M,B25006_010E,B25006_010M,GEO_ID,B25006_001E,B25006_001MA,B25006_002EA,B25006_002MA,B25006_003EA,B25006_003MA,B25006_004EA,B25006_004MA,B25006_005MA,B25006_005EA,B25006_006MA,B25006_006EA,B25006_007MA,B25006_007EA,B25006_008EA,B25006_008MA,B25006_009EA,B25006_009MA,B25006_010MA,B25006_010EA,NAME,B25006_001EA,state
16431,2317485,13010,1151542,11816,14340,2238,125307,3839,1802,763,68924,4080,65674,4439,8244,1537,57430,3995,0400000US13,3745074,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,13
4221,152428,3786,8627,1240,1455,509,178442,3559,38304,2776,6504,1414,72318,3831,2204,627,70114,3781,0400000US15,458078,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,15
5980,574554,6719,3535,1266,7593,1164,7283,1328,1383,632,17696,2350,13091,2007,1684,704,11407,1973,0400000US16,625135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,16
14430,3618658,14313,663609,9121,11248,1950,231272,4176,1344,591,207915,7620,74626,3864,13747,1800,60879,3585,0400000US17,4808672,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,17
10669,2198699,11648,235622,5019,5236,1213,44540,2452,309,252,35893,2517,37000,3175,4980,1446,32020,2659,0400000US18,2557299,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,18
6773,1168129,6630,36340,1908,3206,740,23182,1580,1451,648,11363,1485,13834,1912,982,436,12852,1867,0400000US19,1257505,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,19
6821,989369,6235,62449,3100,7687,1302,26934,2296,1180,640,18632,1894,22732,2069,1932,656,20800,1922,0400000US20,1128983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,20
10346,1524795,9699,144848,4310,3194,1017,19361,1485,1457,715,10835,1788,20544,2582,1333,527,19211,2441,0400000US21,1725034,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,21
11255,1130363,9093,530579,6647,9524,1600,23665,1662,590,417,22211,2178,20191,2500,1823,528,18368,2547,0400000US22,1737123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,22
6050,521031,5785,4291,842,3752,754,3889,594,0,175,381,236,7615,1161,257,212,7358,1134,0400000US23,540959,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,23
8135,1311217,8188,647863,5922,6306,1213,124741,3363,957,530,69831,3602,46428,3881,5934,1318,40494,3646,0400000US24,2207343,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,24
9148,2144863,9989,176086,4563,4686,1238,147437,2921,170,200,80965,5386,50747,3893,7872,1302,42875,4029,0400000US25,2604954,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,25
12926,3176729,11661,530430,6785,21243,1918,101448,3042,731,431,33219,2533,66217,3798,5811,1219,60406,3590,0400000US26,3930017,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,26
7968,1889135,7927,116805,3058,19335,2017,76139,2578,1051,608,27519,1832,32227,3072,3718,936,28509,2684,0400000US27,2162211,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,27
9693,664133,6451,398943,6097,4717,925,7625,1214,481,479,6444,1255,9637,1835,890,478,8747,1786,0400000US28,1091980,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,28
13054,2003343,11052,266110,6303,10781,1729,41018,2024,2001,735,21054,2425,40828,3380,3039,936,37789,3305,0400000US29,2385135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,29
4068,391113,4269,1832,646,17490,1415,2144,829,332,258,1668,701,8512,1447,587,333,7925,1428,0400000US30,423091,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,30
4583,678752,4398,33435,1809,5414,901,14426,1345,316,218,10415,1414,11732,1786,1069,524,10663,1593,0400000US31,754490,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,31
6821,766239,7502,100586,3310,12692,1373,81096,3083,6523,1018,93317,5037,34160,2823,4182,964,29978,2646,0400000US32,1094613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,32
4349,500712,4638,7797,1392,901,388,10658,1346,129,169,1293,475,7210,1216,294,189,6916,1203,0400000US33,528700,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,33
8951,2297752,10784,427246,6807,6224,936,278878,4198,694,397,154878,5371,53126,3711,13557,1946,39569,3432,0400000US34,3218798,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,34
6614,612876,6604,17749,1792,53964,2098,10109,1232,197,154,55785,3955,17025,2242,5022,1258,12003,1718,0400000US35,767705,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,35
18884,4967839,22630,1099658,10577,26543,2416,531348,6650,2602,776,520072,10936,156270,6436,36831,3202,119439,5261,0400000US36,7304332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,36
14774,2846979,12825,833815,9407,40750,2392,92509,3271,2068,883,80180,4554,58768,4439,5344,961,53424,4292,0400000US37,3955069,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,37
3300,282446,3182,9219,1515,13400,1662,5146,797,87,155,2657,864,3351,974,136,105,3215,990,0400000US38,316306,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,38
13650,3874691,12661,584817,8076,10855,1917,85390,2860,1170,549,33720,2674,76549,5133,5817,1266,70732,4970,0400000US39,4667192,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,39
5913,1130728,6373,106390,3127,95345,3308,24306,1641,1579,776,29247,2181,82769,3037,2470,723,80299,3025,0400000US40,1470364,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,40
8695,1412145,9338,26250,2059,17715,2016,60227,3145,4565,994,30006,3190,52727,3955,4626,1148,48101,3697,0400000US41,1603635,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,41
12653,4219332,13204,500980,7198,9396,1438,141236,3850,1391,695,70786,4016,65630,3752,7486,1383,58144,3480,0400000US42,5008751,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,42
4427,350242,4423,22788,2173,2007,970,11504,1108,453,501,14566,1785,7188,1758,1508,821,5680,1447,0400000US44,408748,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,44
10277,1340388,8293,489601,7623,5348,1267,24052,1862,1141,834,21047,2532,23523,2886,1985,764,21538,2798,0400000US45,1905100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,45
3147,311279,3254,5246,1137,17043,1365,3742,948,247,288,2390,1065,4313,1132,58,100,4255,1103,0400000US46,344260,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,46
10916,2066175,11356,420806,5755,6316,1355,37744,2523,1477,803,22375,2561,33762,2974,1756,780,32006,2939,0400000US47,2588655,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,47
22217,7266357,21664,1228405,12595,46566,4132,428516,7204,6887,1502,472532,13460,174611,7411,34381,2815,140230,6975,0400000US48,9623874,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,48
5045,866393,5938,10665,1318,8937,1267,23234,1808,5209,925,44104,2671,16906,2032,2852,957,14054,1721,0400000US49,975448,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,49
3631,246693,3318,2039,580,1060,540,3149,618,25,47,342,219,3321,798,141,156,3180,783,0400000US50,256629,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,50
13665,2228414,12725,584515,8181,10092,1613,172020,3934,1250,592,53212,3599,71377,4993,6190,1254,65187,4893,0400000US51,3120880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,51
11168,2285180,12057,102858,4156,31629,2750,216773,4713,13257,1665,90311,4369,100369,5451,7707,1364,92662,5440,0400000US53,2840377,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,53
7000,675947,6747,26751,2082,948,527,4462,919,21,45,2476,1004,4703,1007,404,238,4299,1001,0400000US54,715308,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,54
7563,2086503,8142,130900,3428,18186,1463,47290,2170,957,598,37308,3133,29149,2335,4231,1181,24918,2162,0400000US55,2350293,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,55
3968,211174,3966,1591,675,3675,745,1199,440,0,201,3381,1183,4776,1071,573,344,4203,1034,0400000US56,225796,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,56
10722,782616,10710,148590,6971,3135,991,1698,770,0,262,189131,7143,66135,4615,7712,1385,58423,4305,0400000US72,1191305,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,72
