GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001EA,C27001I_001MA,C27001I_002EA,C27001I_002MA,C27001I_003MA,C27001I_003EA,C27001I_004MA,C27001I_004EA,C27001I_005EA,C27001I_005MA,C27001I_006EA,C27001I_006MA,C27001I_007EA,C27001I_007MA,C27001I_008MA,C27001I_008EA,C27001I_009MA,C27001I_009EA,C27001I_010MA,C27001I_010EA,state
0400000US13,982805,3529,384419,2875,321425,6874,62994,6547,562656,3908,305044,8715,257612,8978,35730,2303,31889,2634,3841,1616,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,140968,1383,57882,692,57296,899,586,538,75427,1535,69784,1898,5643,1597,7659,383,7609,395,50,85,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,210231,923,86507,1309,80991,2279,5516,1936,115378,1820,76873,3997,38505,3309,8346,1280,8227,1218,119,201,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2187539,2701,752708,2650,722415,4155,30293,3922,1302463,3989,988961,12376,313502,12236,132368,2044,125023,2867,7345,1770,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,456826,1754,182854,2195,163997,3848,18857,3172,254407,2460,180816,6385,73591,5842,19565,1518,18422,1714,1143,733,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,184124,1387,75937,1972,72267,2273,3670,1102,102776,2150,81033,3295,21743,2801,5411,1100,5309,1109,102,131,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,339392,1312,138248,1552,126550,2753,11698,2224,186622,2268,129454,4202,57168,4140,14522,1181,14186,1224,336,203,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,151770,2575,64381,2124,59107,2889,5274,1855,82227,2319,57418,3680,24809,3547,5162,819,4968,855,194,191,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,236561,2355,76457,1665,68855,2090,7602,1792,143330,2268,85218,4556,58112,4695,16774,1058,16104,1067,670,471,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,21060,964,8035,1112,7837,1077,198,269,11093,976,8838,1233,2255,901,1932,581,1912,577,20,54,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,605475,1532,212444,1381,194312,3005,18132,2913,364475,2258,250614,7529,113861,7510,28556,1177,27112,1275,1444,723,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,800927,1186,267249,1686,261356,2155,5893,1634,486029,1845,448797,4512,37232,4124,47649,823,46915,917,734,454,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
