C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010MA,C14005_011EA,C14005_011MA,C14005_012MA,C14005_012EA,C14005_013MA,C14005_013EA,C14005_014EA,C14005_014MA,C14005_015EA,C14005_015MA,C14005_016EA,C14005_016MA,C14005_017EA,C14005_017MA,C14005_018MA,C14005_018EA,C14005_019MA,C14005_019EA,NAME,C14005_001MA,C14005_001EA,C14005_002MA,C14005_002EA,C14005_003EA,C14005_003MA,C14005_004EA,C14005_004MA,C14005_005EA,C14005_005MA,C14005_006EA,C14005_006MA,C14005_007MA,C14005_007EA,C14005_008EA,C14005_008MA,C14005_009EA,C14005_009MA,C14005_010EA,state
513,142460,3577,128264,3459,14196,1497,10530,1221,8946,1198,1584,583,3666,868,1970,620,1696,546,0400000US27,291406,4595,148946,3150,128520,3215,20426,2172,15176,1914,12637,1730,2539,655,5250,1298,3508,1143,1742,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
1101,85789,4433,75286,4319,10503,1921,7623,1591,5208,1445,2415,900,2880,1129,955,630,1925,878,0400000US28,184085,6487,98296,5236,80596,4805,17700,3063,11778,2529,6934,1975,4844,1488,5922,1413,2802,1001,3120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
901,156609,4125,133628,3779,22981,2616,17170,2300,13366,1993,3804,1087,5811,1238,2856,855,2955,873,0400000US29,327778,6370,171169,4651,140306,4900,30863,3227,24044,2922,19905,2780,4139,1045,6819,1640,3185,1317,3634,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
470,27313,2043,22161,1748,5152,1259,3781,1116,2763,930,1018,712,1371,556,701,386,670,415,0400000US30,52123,2331,24810,1659,19635,1562,5175,1026,3744,933,3320,814,424,361,1431,543,627,408,804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
435,51143,2033,45179,2054,5964,889,4692,808,4063,844,629,378,1272,521,550,309,722,419,0400000US31,104304,2624,53161,2271,45303,2167,7858,1296,6321,1213,5131,1048,1190,639,1537,551,822,388,715,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
495,66793,2207,55189,2718,11604,1553,8616,1498,6054,1356,2562,873,2988,978,1686,778,1302,703,0400000US32,141672,3064,74879,2310,58542,2665,16337,1819,12783,1798,10055,1668,2728,952,3554,1019,2377,858,1177,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
319,35027,1956,31267,2028,3760,1149,2714,839,2385,832,329,273,1046,664,443,415,603,491,0400000US33,71613,2370,36586,1761,31833,1979,4753,943,3971,822,3210,763,761,448,782,412,264,229,518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1094,222757,4013,199367,4543,23390,2292,18046,2415,11764,1961,6282,1639,5344,1271,1927,883,3417,924,0400000US34,463752,5792,240995,5094,210692,5431,30303,2977,23402,3099,13879,2195,9523,1921,6901,1370,3011,857,3890,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
633,59243,2970,50751,2995,8492,1429,4859,1045,2841,955,2018,816,3633,1082,1290,611,2343,859,0400000US35,119112,4550,59869,3232,43756,3320,16113,2336,11585,2110,8337,2001,3248,1126,4528,1263,2554,1062,1974,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
1499,493206,5700,447423,6454,45783,3590,32388,2864,21648,2402,10740,1950,13395,2196,6210,1390,7185,1619,0400000US36,1004975,8203,511769,6127,444796,6897,66973,4058,47437,3508,32345,3036,15092,2564,19536,2097,9198,1840,10338,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
1490,278247,6223,242231,6254,36016,3699,24696,3037,17119,2510,7577,1629,11320,2309,5337,1434,5983,1706,0400000US37,566476,7905,288229,6847,234917,6727,53312,3990,39119,3458,31647,3334,7472,1641,14193,2096,7608,1470,6585,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
210,18388,1271,16163,1119,2225,720,1573,606,1178,424,395,385,652,368,273,231,379,291,0400000US38,39403,1856,21015,1670,18314,1707,2701,804,1850,697,1563,677,287,184,851,445,526,425,325,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
1367,303358,5038,263265,5074,40093,3125,29362,2463,23087,2425,6275,1202,10731,1853,5658,1333,5073,1415,0400000US39,627346,6646,323988,5423,276898,5053,47090,2837,33218,2474,26650,2047,6568,1659,13872,1855,7758,1184,6114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
749,107872,3306,92009,3087,15863,1650,11007,1215,8186,1143,2821,557,4856,1123,1664,514,3192,968,0400000US40,219093,3903,111221,3156,90195,3189,21026,1922,13878,1668,10285,1373,3593,814,7148,1042,3355,743,3793,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
795,101753,3467,88683,3593,13070,1653,9556,1484,7574,1281,1982,803,3514,881,927,467,2587,803,0400000US41,206354,4396,104601,3311,88116,3616,16485,2292,12005,1690,8452,1490,3553,1134,4480,1343,2753,1068,1727,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
901,323805,4534,280696,5215,43109,3683,30543,3516,23859,2897,6684,1573,12566,1693,5897,1137,6669,1328,0400000US42,671172,6592,347367,4636,294439,4853,52928,3119,36923,2742,28761,2686,8162,1630,16005,1967,10176,1647,5829,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
231,33993,1655,30517,1861,3476,971,2297,783,2018,734,279,328,1179,544,729,497,450,312,0400000US44,62539,2409,28546,1625,24000,1905,4546,1149,3733,1078,3411,1052,322,277,813,475,585,397,228,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
843,135642,4810,116167,3619,19475,2751,16255,2585,12010,2110,4245,1340,3220,982,935,558,2285,809,0400000US45,276515,7363,140873,5568,110576,5027,30297,3266,22674,2905,18544,2632,4130,1239,7623,1838,4552,1554,3071,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
270,22056,1500,18884,1329,3172,768,2173,666,1591,561,582,333,999,409,522,236,477,283,0400000US46,46568,2220,24512,1956,20879,1802,3633,868,2522,797,2273,738,249,188,1111,421,636,348,475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1633,176627,4682,153510,4489,23117,2674,19508,2471,13458,2034,6050,1351,3609,1116,1606,648,2003,812,0400000US47,360611,7373,183984,5688,151346,5601,32638,3111,24455,2154,18935,2102,5520,1168,8183,1844,2893,1077,5290,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
2730,795494,9815,678742,10815,116752,6808,84147,5785,51133,4692,33014,4163,32605,3379,12905,2270,19700,2501,0400000US48,1627019,14844,831525,10039,680744,10569,150781,6627,108989,5318,77635,4326,31354,3089,41792,3827,20900,2756,20892,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
747,94573,2514,78914,2546,15659,1753,12934,1570,9491,1394,3443,781,2725,796,1097,449,1628,650,0400000US49,195119,3753,100546,2545,80441,2597,20105,1982,15121,1743,13734,1806,1387,540,4984,1050,3051,769,1933,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
199,16184,1144,14555,1109,1629,496,1010,446,775,406,235,182,619,343,490,319,129,113,0400000US50,32845,1485,16661,1059,14338,1069,2323,627,1623,479,1349,419,274,224,700,492,491,464,209,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
849,219152,6048,195899,6070,23253,2547,20230,2350,16224,2134,4006,1258,3023,994,1442,722,1581,610,0400000US51,444640,8051,225488,5162,189028,4901,36460,3777,29953,3494,24260,3028,5693,1305,6507,1195,3563,899,2944,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
1145,174044,3618,150776,3589,23268,2502,16768,2037,12454,1854,4314,1198,6500,1529,3424,1152,3076,934,0400000US53,356645,5553,182601,4270,151928,4566,30673,2610,21474,2140,17564,1905,3910,966,9199,1702,4838,1228,4361,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
686,46749,2916,40713,3061,6036,1273,5046,1217,3723,1059,1323,685,990,390,169,160,821,383,0400000US54,94167,3717,47418,3088,36777,2498,10641,1804,8768,1539,4860,1165,3908,1200,1873,770,452,302,1421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
611,150405,3222,131796,3200,18609,1923,15662,1865,12528,1726,3134,858,2947,573,1036,359,1911,490,0400000US55,302755,4561,152350,3205,128317,3187,24033,2189,18352,1951,15234,1841,3118,816,5681,940,3368,759,2313,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
81,14532,1624,12423,1529,2109,1030,1884,1013,1114,660,770,754,225,196,35,61,190,193,0400000US56,31984,2457,17452,1683,13629,1593,3823,986,3120,919,2382,789,738,606,703,369,649,366,54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
1373,89830,4934,78924,4669,10906,1968,8504,1730,2517,842,5987,1620,2402,1071,438,411,1964,994,0400000US72,190937,6613,101107,4630,83270,4567,17837,2827,13023,2440,6744,1811,6279,1847,4814,1507,1042,580,3772,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
