GEO_ID,C18101_001E,C18101_001M,C18101_002E,C18101_002M,C18101_003E,C18101_003M,C18101_004E,C18101_004M,C18101_005E,C18101_005M,C18101_006E,C18101_006M,C18101_007E,C18101_007M,C18101_008E,C18101_008M,C18101_009E,C18101_009M,C18101_010E,C18101_010M,C18101_011E,C18101_011M,C18101_012E,C18101_012M,C18101_013E,C18101_013M,C18101_014E,C18101_014M,C18101_015E,C18101_015M,C18101_016E,C18101_016M,C18101_017E,C18101_017M,C18101_018E,C18101_018M,C18101_019E,C18101_019M,C18101_020E,C18101_020M,C18101_021E,C18101_021M,NAME,C18101_001MA,C18101_001EA,C18101_002EA,C18101_002MA,C18101_003EA,C18101_003MA,C18101_004EA,C18101_004MA,C18101_005EA,C18101_005MA,C18101_006EA,C18101_006MA,C18101_007MA,C18101_007EA,C18101_008MA,C18101_008EA,C18101_009EA,C18101_009MA,C18101_010EA,C18101_010MA,C18101_011EA,C18101_011MA,C18101_012MA,C18101_012EA,C18101_013MA,C18101_013EA,C18101_014MA,C18101_014EA,C18101_015EA,C18101_015MA,C18101_016EA,C18101_016MA,C18101_017EA,C18101_017MA,C18101_018MA,C18101_018EA,C18101_019MA,C18101_019EA,C18101_020EA,C18101_020MA,C18101_021EA,C18101_021MA,state
0400000US33,1325016,952,654960,2444,133185,1475,9395,1528,123790,2138,416844,2049,42993,3660,373851,3598,104931,982,34052,2252,70879,2276,670056,2278,124588,1351,4308,1218,120280,1806,423020,1582,41241,3339,381779,3410,122448,1156,39615,2582,82833,2579,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8902432,1561,4327369,3265,1006091,2208,44676,3289,961415,3940,2726881,2632,214719,7598,2512162,8172,594397,1892,166944,4537,427453,4549,4575063,2882,967667,2271,25884,2888,941783,3632,2824392,1528,214213,6469,2610179,6459,783004,1696,247956,6722,535048,6741,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2054301,1433,1007766,4136,248061,3254,12384,2077,235677,3916,602565,3092,89704,4974,512861,5196,157140,1385,62420,3075,94720,3323,1046535,3992,240741,3524,8960,1649,231781,3806,618093,1671,79560,4711,538533,4235,187701,1194,69328,3264,118373,3280,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19608066,2106,9476188,5651,2114492,4188,108151,5990,2006341,6581,6042852,4493,536898,12391,5505954,11759,1318844,2424,395494,7591,923350,8292,10131878,5438,2028740,4096,65611,4568,1963129,5740,6355450,3512,562676,13649,5792774,14416,1747688,3275,597577,10502,1150111,10654,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,10070781,3392,4844279,7906,1175689,5991,61672,4169,1114017,7910,2969108,5675,343232,9883,2625876,11340,699482,2997,243675,6835,455807,6961,5226502,7234,1121880,5724,33314,3765,1088566,6784,3214843,5484,346380,9906,2868463,10431,889779,4012,315022,6464,574757,6707,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,738177,1431,377790,2426,88959,1618,4550,1131,84409,1756,239780,2013,19917,1925,219863,2753,49051,476,16220,1192,32831,1219,360387,2049,83902,1536,1564,536,82338,1697,218940,1780,17403,1723,201537,2465,57545,858,16147,1455,41398,1635,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11485078,1447,5600497,6227,1328292,4218,81507,4965,1246785,6139,3447345,4234,416997,9828,3030348,10679,824860,2396,276585,5448,548275,5327,5884581,5958,1269760,4191,51101,3586,1218659,5587,3569493,3854,423202,10412,3146291,10520,1045328,3505,363703,7886,681625,7793,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3851302,1847,1890297,4538,493560,2892,31561,2517,461999,3452,1135627,3364,170538,6327,965089,6943,261110,1725,114808,2647,146302,3116,1961005,3758,466148,2800,19101,2174,447047,3666,1171686,2510,169235,5714,1002451,6478,323171,1962,129833,4180,193338,3781,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,4102901,1020,2024505,4244,446658,3451,23488,2910,423170,3828,1256993,3072,146949,6808,1110044,7391,320854,2276,118720,4295,202134,4732,2078396,4036,425293,3360,15507,2089,409786,3589,1276309,2948,141544,6512,1134765,6671,376794,2231,126708,3679,250086,3759,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12602472,1128,6139951,4643,1359564,3009,89985,5353,1269579,5844,3814381,4267,430715,11081,3383666,11711,966006,2850,325494,6739,640512,7031,6462521,4539,1296847,2471,52521,3454,1244326,4522,3934622,3823,450084,10590,3484538,11092,1231052,3132,425847,8045,805205,8200,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1044111,858,504557,1863,105197,1030,7064,1529,98133,1737,325265,1755,33437,3206,291828,3480,74095,831,22660,1859,51435,1857,539554,1934,101473,1076,3659,1093,97814,1527,342118,1870,42369,3146,299749,3401,95963,924,31754,2305,64209,2240,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4928260,2320,2364975,6595,559289,5501,34187,3393,525102,6084,1426580,3817,188995,7730,1237585,8513,379106,1829,136302,4370,242804,4480,2563285,6116,539915,4972,20085,2841,519830,4969,1554133,3350,187894,7385,1366239,7557,469237,1964,160238,4883,308999,4976,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,851826,955,427382,2875,108438,2035,3729,861,104709,2228,255831,2008,28795,2746,227036,3178,63113,925,21597,1714,41516,1923,424444,2791,103581,2234,2495,755,101086,2343,248228,1903,20751,2200,227477,2960,72635,1060,21280,1602,51355,1769,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6612552,2386,3199559,5840,763680,4857,45594,3315,718086,5204,1973766,4611,263689,7797,1710077,9434,462113,2384,177512,5062,284601,5279,3412993,6037,741629,4826,31191,3146,710438,5881,2092218,4229,274372,8742,1817846,9831,579146,2424,226921,6105,352225,6181,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,27836924,4153,13704361,9643,3757081,7379,182990,8743,3574091,10847,8439293,7464,819074,15008,7620219,17697,1507987,3571,559027,8211,948960,8199,14132563,9109,3598722,7545,109232,6358,3489490,9393,8672117,6684,803888,16711,7868229,18501,1861724,3805,698588,12008,1163136,12261,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,3076318,925,1545177,3135,475980,2108,22262,2379,453718,3095,914949,2248,74057,4275,840892,4932,154248,1124,52815,2537,101433,2531,1531141,3167,447183,2265,13845,2112,433338,2676,908071,1895,76907,4585,831164,4858,175887,1399,56678,2768,119209,3133,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,617556,273,304204,1259,60745,1126,3828,896,56917,1529,191244,1039,24857,2496,166387,2602,52215,592,16740,1307,35475,1421,313352,1189,56759,928,1788,552,54971,1100,195081,765,22256,2057,172825,2027,61512,631,19688,1510,41824,1530,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8256810,4827,3997118,7290,950863,5437,45998,3698,904865,6477,2491091,6244,239542,8563,2251549,10562,555164,2910,177392,5701,377772,6335,4259692,6007,914231,5619,26762,3193,887469,6753,2656662,4059,261229,9292,2395433,10098,688799,2842,228116,5999,460683,6725,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,7299812,2782,3619124,4673,837700,2947,41433,3280,796267,4595,2279843,3524,243976,8408,2035867,8288,501581,2246,182814,4732,318767,5254,3680688,4107,807621,2930,27189,2806,780432,3796,2276663,3414,236852,8175,2039811,9396,596404,2169,210054,5143,386350,5163,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1787126,719,877573,3347,190858,2692,13732,1874,177126,2826,532212,1966,100234,5208,431978,5438,154503,1110,71925,3054,82578,3006,909553,3271,181245,2831,8262,1539,172983,2926,540901,1842,88462,4310,452439,4269,187407,1463,78873,3451,108534,3524,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5723963,784,2832224,4246,652089,3158,32442,2520,619647,3939,1757463,3257,171602,6424,1585861,7334,422672,1821,134153,4140,288519,4515,2891739,4172,626844,3295,20131,2187,606713,3951,1759470,2973,167665,5452,1591805,5703,505425,2040,151956,4554,353469,4656,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,568891,1060,288544,2571,71238,2108,3948,1312,67290,2300,174489,1596,22696,2779,151793,2898,42817,819,17707,1928,25110,1919,280347,2527,66318,2000,2439,849,63879,2168,168690,1765,19129,2357,149561,2805,45339,705,16137,1702,29202,1859,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3309977,1047,1569208,5008,344689,4805,34182,3597,310507,5238,941770,1282,169383,8758,772387,9010,282749,531,129343,4247,153406,4183,1740769,5004,311440,4789,19486,2482,291954,5435,1058802,653,171334,7088,887468,7159,370527,698,189747,5613,180780,5497,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
