GEO_ID,B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,NAME,B06009_001EA,B06009_001MA,B06009_002EA,B06009_002MA,B06009_003EA,B06009_003MA,B06009_004MA,B06009_004EA,B06009_005EA,B06009_005MA,B06009_006MA,B06009_006EA,B06009_007EA,B06009_007MA,B06009_008EA,B06009_008MA,B06009_009EA,B06009_009MA,B06009_010MA,B06009_010EA,B06009_011EA,B06009_011MA,B06009_012EA,B06009_012MA,B06009_013MA,B06009_013EA,B06009_014MA,B06009_014EA,B06009_015MA,B06009_015EA,B06009_016EA,B06009_016MA,B06009_017EA,B06009_017MA,B06009_018MA,B06009_018EA,B06009_019MA,B06009_019EA,B06009_020EA,B06009_020MA,B06009_021MA,B06009_021EA,B06009_022EA,B06009_022MA,B06009_023MA,B06009_023EA,B06009_024MA,B06009_024EA,B06009_025MA,B06009_025EA,B06009_026EA,B06009_026MA,B06009_027MA,B06009_027EA,B06009_028MA,B06009_028EA,B06009_029EA,B06009_029MA,B06009_030MA,B06009_030EA,state
0400000US29,3984849,5419,523635,11809,1269737,14530,1171658,13793,639352,11287,380467,9709,2399422,18416,329430,10211,839061,13603,699083,13220,354132,8496,177716,6656,1382717,19465,151988,6169,382425,9226,431821,11389,250642,7489,165841,6348,24422,2668,1600,613,4722,1210,8503,1375,5906,1069,3691,846,178288,6248,40617,2925,43529,4295,32251,2754,28672,2578,33219,2977,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,672952,2328,55633,3832,201082,6330,222377,6204,133356,5812,60504,3895,317209,5534,27295,2436,104470,4349,108377,4541,58047,3901,19020,1884,335144,6009,25032,2416,91491,4675,107862,4647,72267,4688,38492,2654,4677,993,437,251,898,441,1650,427,948,441,744,518,15922,2232,2869,811,4223,1047,4488,1031,2094,645,2248,729,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1184379,2776,114212,5041,335752,7152,395344,6713,232326,5709,106745,4985,719236,7940,48257,2847,225611,6436,253764,5505,136711,5020,54893,3525,370543,7947,25140,2407,92378,4380,124808,5338,84529,3873,43688,3146,8076,1752,1073,576,1410,561,2576,918,2295,877,722,322,86524,4188,39742,3557,16353,2319,14196,1876,8791,1695,7442,1481,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1789530,2380,274661,9410,531333,12826,595411,10927,256589,8945,131536,6186,158901,7135,17104,2356,51293,4078,58249,4870,23071,2749,9184,1755,1165003,8183,108558,6465,356476,10550,435511,9430,168545,6903,95913,5103,31380,3540,3520,1182,7824,1820,11455,2190,5623,1314,2958,883,434246,8119,145479,5863,115740,6372,90196,4871,59350,4292,23481,2811,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,907755,1813,77536,4815,270680,7360,262058,6509,185129,5775,112352,4627,307533,7100,35393,2975,117975,5501,86856,3984,48338,3436,18971,2323,530752,7746,30383,2623,137687,5266,157939,5284,123615,4768,81128,3838,9817,1946,1646,910,2043,757,3544,1244,1304,509,1280,601,59653,3861,10114,1934,12975,2337,13719,2081,11872,1412,10973,1759,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5970904,2573,713734,15871,1761246,21687,1382608,17680,1321937,17331,791379,12531,2503106,18128,207126,7450,861033,13155,641089,11962,543879,10856,249979,6839,1708509,16820,122848,5316,437035,10113,428017,9934,426548,10961,294061,7057,169941,8162,57119,4551,54887,5113,28411,2795,19608,2493,9916,1510,1589348,17113,326641,12401,408291,11696,285091,10169,331902,9269,237423,7530,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1341329,3861,223417,8429,354726,7464,428110,9023,189989,6502,145087,6584,556430,9286,91393,5809,183230,6310,189877,6923,57162,4352,34768,3460,600567,9202,48049,3455,133281,5488,208344,6265,115603,4264,95290,4390,15823,2261,1887,782,4099,1281,5043,1107,2920,768,1874,742,168509,7442,82088,5691,34116,3901,24846,2643,14304,2020,13155,2274,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,13089848,5372,1982107,25104,3627235,29219,3220714,28948,2433331,24414,1826461,20577,7235827,29664,685096,14422,2183652,24921,2066760,21328,1314313,16171,986006,13344,1761096,22183,159306,6093,356870,10027,385426,11027,458464,11160,401030,9417,379695,10777,142805,6465,101201,5271,73170,6016,36043,3370,26476,2790,3713230,28481,994900,21916,985512,19619,695358,15909,624511,14690,412949,12326,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6325621,8504,964827,15996,1749642,19252,1937833,21523,1123118,17231,550201,11641,3306134,24453,580273,12872,1072508,18069,1024895,17456,458726,14183,169732,6240,2397416,23103,188132,7247,543011,14634,786031,14227,567231,11924,313011,9096,61864,4767,6166,1341,12730,1930,23473,2945,12379,1699,7116,1295,560207,10914,190256,7428,121393,7751,103434,6598,84782,5952,60342,4616,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,442946,1407,42763,2532,119871,3785,158013,4135,87414,3899,34885,2919,298205,4007,31986,1828,86491,3472,104434,3760,57350,2958,17944,1620,129829,4032,7876,1271,30654,2145,50289,3336,27698,2264,13312,1804,2864,673,35,47,599,323,804,339,700,366,726,372,12048,1648,2866,842,2127,631,2486,854,1666,542,2903,936,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
