GEO_ID,C25032G_001E,C25032G_001M,C25032G_002E,C25032G_002M,C25032G_003E,C25032G_003M,C25032G_004E,C25032G_004M,C25032G_005E,C25032G_005M,NAME,C25032G_001MA,C25032G_001EA,C25032G_002EA,C25032G_002MA,C25032G_003EA,C25032G_003MA,C25032G_004EA,C25032G_004MA,C25032G_005EA,C25032G_005MA,state
0400000US36,129426,5286,38344,2973,26907,3019,62560,3476,1615,597,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,47818,3893,30096,2963,2313,782,9031,1531,6378,1351,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2619,638,1170,473,125,180,993,428,331,418,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,50340,3089,33718,2477,6450,1493,8173,1511,1999,624,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,78250,3566,56469,2901,5277,1264,7221,1413,9283,1274,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,35089,2707,21733,2223,3940,1065,7170,1524,2246,599,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,52843,4345,32549,3034,7318,1528,11686,1819,1290,544,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,7085,1468,2615,792,2774,976,1696,734,0,291,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,18867,2339,10719,1793,905,547,3195,937,4048,1056,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3326,847,1776,627,380,303,1170,629,0,223,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,25188,2602,16025,2181,3239,1102,3578,978,2346,767,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,135211,6153,84372,5001,9556,1525,31949,3440,9334,1450,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,11233,1556,7009,1195,1922,842,2138,760,164,170,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2571,741,1841,685,338,294,240,202,152,107,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,43938,3687,28768,3134,2161,785,11965,1901,1044,512,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,75143,4011,43092,2711,6931,1317,20682,2388,4438,1060,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,10523,1451,6272,1161,1465,586,1821,648,965,424,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,24103,2473,14337,1856,4627,1065,4760,1178,379,235,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3452,888,1967,725,407,340,481,426,597,346,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US72,168589,5720,136235,5373,13061,1695,19235,2250,58,102,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
