GEO_ID,C17020I_001E,C17020I_001M,C17020I_002E,C17020I_002M,C17020I_003E,C17020I_003M,C17020I_004E,C17020I_004M,C17020I_005E,C17020I_005M,C17020I_006E,C17020I_006M,C17020I_007E,C17020I_007M,C17020I_008E,C17020I_008M,C17020I_009E,C17020I_009M,NAME,C17020I_001EA,C17020I_001MA,C17020I_002EA,C17020I_002MA,C17020I_003MA,C17020I_003EA,C17020I_004EA,C17020I_004MA,C17020I_005MA,C17020I_005EA,C17020I_006EA,C17020I_006MA,C17020I_007EA,C17020I_007MA,C17020I_008MA,C17020I_008EA,C17020I_009EA,C17020I_009MA,state
0400000US20,294049,1391,74835,7745,38014,4700,35163,4165,1658,670,219214,7833,81288,4641,130015,4576,7911,1254,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,123898,3264,41312,4848,19020,2678,21671,2904,621,431,82586,4987,29462,2805,50393,3242,2731,1091,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,189413,1372,37530,3965,13708,2030,22175,2737,1647,719,151883,4323,39037,2620,101591,3094,11255,1154,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,15251,929,4660,1391,2074,715,2358,846,228,175,10591,1481,3275,1033,6489,1062,827,378,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,463479,1836,63453,7213,22827,3819,39037,4424,1589,544,400026,7293,121524,3960,264339,4443,14163,901,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,611826,2103,191306,10906,80970,5742,100010,6098,10326,1511,420520,10972,128299,5717,276363,6271,15858,1537,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,427517,2020,125645,8477,59761,4843,63440,4616,2444,775,301872,8276,107005,4825,177570,4760,17297,1458,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,241950,1435,59058,5860,28782,3332,28880,3230,1396,498,182892,6032,69511,3469,109062,3389,4319,834,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,68445,3541,20220,3776,8431,1792,11336,2470,453,282,48225,4887,15854,2531,30500,3345,1871,725,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,206608,1760,52869,6277,24633,3605,27016,3696,1220,626,153739,6575,54113,3796,91352,3914,8274,1209,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,26936,610,5733,1324,2832,876,2846,758,55,94,21203,1456,7653,1037,12276,1156,1274,481,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,163710,1029,44209,5843,23170,3501,20343,3090,696,370,119501,5818,45405,3477,70350,3455,3746,676,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,712257,1183,157740,12224,79917,7170,74069,6529,3754,1243,554517,12310,180406,7279,349237,6766,24874,1408,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,35560,945,5789,2263,2692,1381,2854,1108,243,207,29771,2491,10594,1604,17210,1428,1967,758,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1537569,2588,305367,16925,121299,8852,169395,9639,14673,2298,1232202,16675,333920,9125,818950,9768,79332,2648,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,939391,2172,248088,16592,106283,8348,124594,8958,17211,2200,691303,16390,193933,8394,429919,8763,67451,2160,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3363528,4257,843914,24272,323803,12293,465754,14544,54357,3977,2519614,23688,632044,11975,1698003,14334,189567,4326,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,789622,2432,267692,15282,130743,9132,133310,8012,3639,1224,521930,15745,176184,8537,333156,8786,12590,1709,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,13130,1299,3295,1027,2085,807,1163,486,47,58,9835,1670,3730,1042,5422,724,683,481,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,342876,2591,107810,7705,49746,4087,55450,4681,2614,789,235066,8292,82328,4230,140021,5312,12717,1558,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,323690,1628,96487,7728,49177,4237,45525,4163,1785,614,227203,8019,82506,4272,137911,4807,6786,732,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,440954,2031,127204,8871,62854,5575,62334,4766,2016,777,313750,9070,113238,5595,189860,4629,10652,1341,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,692528,3518,232292,11537,106803,6330,118608,6364,6881,1152,460236,11302,150211,6421,289314,6482,20711,1622,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,128911,766,39117,5620,16747,2866,20607,3207,1763,681,89794,5635,28725,2854,57043,3319,4026,819,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,221467,2128,74877,5958,34612,3468,39443,3706,822,517,146590,5956,44188,3505,97169,3931,5233,1096,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,19288,1403,3092,1069,1382,641,1710,580,0,223,16196,1593,6360,898,9021,1078,815,728,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,281687,3179,95276,7790,44329,4496,49167,4816,1780,973,186411,7463,60346,4274,119659,4784,6406,1390,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,9352163,9492,2503325,46844,1175886,25272,1216039,25931,111400,5513,6848838,45044,2125225,24783,4309056,25402,414557,6321,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,354556,1705,96415,8209,48703,4936,46527,4253,1185,406,258141,8369,92828,5061,156120,4370,9193,955,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,9037,862,1805,701,693,360,981,590,131,136,7232,1014,1888,469,4898,955,446,303,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,614638,2467,86869,8817,36282,4625,49417,5576,1170,442,527769,9199,162965,4907,348008,5702,16796,1312,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,743825,2983,215546,14020,107564,8270,104230,7251,3752,1176,528279,14293,186475,8423,324816,7872,16988,1691,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,19330,1974,5196,2066,2395,1373,2698,990,103,139,14134,1870,4934,908,7698,1278,1502,692,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,326041,2043,89882,7782,45513,4319,43104,4086,1265,473,236159,7429,85573,4155,141766,4318,8820,974,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,49282,423,9218,2345,4556,1425,4534,1253,128,113,40064,2492,14932,1669,23102,1529,2030,667,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3644367,3922,1642244,21121,495010,9903,935138,13491,212096,5421,2002123,21665,384549,10390,1295596,13657,321978,5171,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
