GEO_ID,B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,NAME,B24091_001EA,B24091_001MA,B24091_002EA,B24091_002MA,B24091_003MA,B24091_003EA,B24091_004MA,B24091_004EA,B24091_005EA,B24091_005MA,B24091_006MA,B24091_006EA,B24091_007EA,B24091_007MA,B24091_008EA,B24091_008MA,B24091_009MA,B24091_009EA,state
0400000US26,42215,214,41040,250,40744,243,51901,1554,45269,911,50691,582,52664,1362,55134,1122,26883,933,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,44248,538,43497,705,43094,692,49653,3177,43336,1426,49688,1267,49787,1369,55003,1232,30161,1033,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,33074,799,32054,397,31838,388,49175,5866,36405,1548,32779,1180,35870,893,50204,3081,24797,2983,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,37875,510,37454,427,37177,334,46561,2578,39205,1361,40467,608,36029,712,54923,2237,26374,1509,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,36234,589,34853,1383,33910,1722,41662,2784,36946,1980,36822,1150,41716,1135,51190,3733,29418,2795,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,37303,347,36932,383,36626,373,47217,2554,38789,2007,40775,705,37312,2140,52434,2186,29173,3892,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,40072,622,36691,536,36126,533,61837,10460,41245,1554,55026,2279,52122,3881,54806,3647,36223,7371,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,46116,658,46268,927,45850,1007,52274,3379,44802,3321,49449,2773,44016,3801,57810,3904,35416,3090,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,51925,207,51218,250,50906,263,63808,4219,52108,1090,56287,828,57710,1848,60908,1989,41750,1041,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,37236,759,34847,1197,33552,1302,51020,5617,40887,1368,38110,3561,40074,1765,55140,3504,26161,4707,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,46018,211,42915,619,42266,176,57303,3969,45580,532,55159,773,55842,875,55696,954,30607,528,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,37346,285,36540,358,36038,375,51415,1077,41372,683,37814,952,40823,575,49646,1844,30241,950,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,37081,671,36444,771,35924,799,48254,4565,33252,3411,37182,1527,44632,3045,51923,3810,30958,1861,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,40809,166,39308,370,38755,364,52386,3155,42079,540,46939,729,48694,1455,57471,2203,30294,884,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,35576,304,35129,457,34340,863,47454,3187,33611,2586,34716,872,37431,954,51537,1109,27327,2638,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,40766,351,38430,980,37517,823,50608,3256,41042,1218,50453,1135,47043,1798,59291,4187,27731,3822,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,41732,153,40929,187,40642,192,55603,3409,42412,485,46937,612,47612,1212,55314,976,31048,524,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,44435,1554,41729,594,41432,629,65776,13132,44789,4038,60035,4533,52471,5072,65199,9157,31650,4060,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,36714,320,36125,403,35684,422,51465,2370,41065,1435,36954,1064,37150,1068,50158,1539,28391,3110,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,34472,882,33925,1188,33099,1165,43435,5371,35107,2277,34412,1197,36415,1179,44229,4860,30091,1727,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,36645,261,35204,357,34610,623,56298,5156,40754,734,38638,1321,37779,1450,57042,1944,32717,2699,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,38789,322,37148,204,36761,206,56113,2675,40898,513,42008,411,41025,527,53640,1043,31094,360,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,40750,336,39196,1192,38047,1193,51959,4705,46306,2030,41755,1151,42423,2427,55874,1936,33673,4328,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,40481,596,38639,1436,37841,1331,45318,7939,43488,2915,45368,2146,46665,3430,57190,4217,27444,2539,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,46440,371,42323,337,42054,318,52704,4081,49810,1602,45825,619,42350,897,80887,1172,35215,2258,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,47210,432,45607,556,45322,552,51269,1794,46080,1191,54493,1441,50678,706,56420,1482,35619,1608,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,36099,489,35844,674,35539,694,46791,4849,35052,2507,35503,1677,35122,1932,52034,3394,28376,3096,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,40799,190,39990,393,39389,543,50647,1176,41715,581,47818,856,48664,1378,52075,940,26178,876,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,43189,1575,42268,1685,41960,1060,50976,6192,40126,2577,46748,2151,49646,2924,51647,7595,30969,1532,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,22084,311,20219,452,19849,445,32478,6400,22009,1517,17675,986,26620,550,37800,5891,19489,1953,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
