GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001MA,C16001_001EA,C16001_002EA,C16001_002MA,C16001_003MA,C16001_003EA,C16001_004MA,C16001_004EA,C16001_005EA,C16001_005MA,C16001_006MA,C16001_006EA,C16001_007EA,C16001_007MA,C16001_008EA,C16001_008MA,C16001_009MA,C16001_009EA,C16001_010MA,C16001_010EA,C16001_011MA,C16001_011EA,C16001_012EA,C16001_012MA,C16001_013EA,C16001_013MA,state
0400000US30,929026,1254,885917,4730,12377,2075,3138,891,8731,2064,1846,1392,2681,817,502,375,763,585,0,237,878,423,1358,599,10835,2269,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1698792,1551,1522943,7582,115300,5524,4624,1338,7735,1702,7141,1455,10737,2993,958,862,3153,1364,5736,1708,972,534,7381,2432,12112,3811,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2517937,984,1798946,12398,503220,10400,9006,2202,9535,1252,12888,2669,29923,5228,10286,3385,28699,4458,6370,2572,68198,5398,23575,3616,17291,3700,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1247886,761,1150751,5530,25837,3122,23859,2503,3890,1006,4414,1657,19308,3466,1439,749,4059,1305,3564,1292,1336,789,4463,1299,4966,1606,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8263053,967,5811022,25823,1262527,14772,78290,8121,36583,4170,145516,9491,443912,14939,84229,7493,109505,6852,18662,4323,69771,6600,92100,6353,110936,8781,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1921916,1725,1220244,11737,563380,11870,5166,1544,7278,1533,2378,865,6622,1719,1055,636,3496,1425,4430,1475,1613,946,5430,1589,100824,5439,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,18241464,2509,12777066,36039,2695023,19221,291192,13982,212438,9634,397002,14479,722153,18744,112207,9702,513384,17503,19567,3063,79182,6591,151186,8518,271064,14900,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,8929538,3786,7959103,13983,646681,8833,29053,4918,29592,4024,21087,4427,63535,6773,17144,3641,27826,4990,22625,4198,12217,2985,56518,5100,44157,6546,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,630058,1008,598131,2951,6064,1282,1185,487,9054,1493,2493,966,3549,931,539,364,1650,837,1099,927,174,150,1653,801,4467,1098,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,10820130,2298,10100586,16543,239229,7325,32019,4195,98643,7343,59881,6243,89867,6254,11607,2015,38990,4465,10122,2247,13404,2741,43189,4860,82593,7179,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3497798,2289,3178243,8552,213194,7037,4619,1049,11022,2167,3840,1466,14428,3013,4911,1587,8143,1871,13226,2615,3567,1024,18992,3489,23613,3038,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3602925,2022,3085410,12553,310236,9439,11476,1844,15639,2169,35821,5903,31070,4237,8164,2121,26073,3739,25614,4118,9561,2319,28279,3620,15582,3965,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
