C08011_033M,GEO_ID,C08011_001E,C08011_001M,C08011_002E,C08011_002M,C08011_003E,C08011_003M,C08011_004E,C08011_004M,C08011_005E,C08011_005M,C08011_006E,C08011_006M,C08011_007E,C08011_007M,C08011_008E,C08011_008M,C08011_009E,C08011_009M,C08011_010E,C08011_010M,C08011_011E,C08011_011M,C08011_012E,C08011_012M,C08011_013E,C08011_013M,C08011_014E,C08011_014M,C08011_015E,C08011_015M,C08011_016E,C08011_016M,C08011_017E,C08011_017M,C08011_018E,C08011_018M,C08011_019E,C08011_019M,C08011_020E,C08011_020M,C08011_021E,C08011_021M,C08011_022E,C08011_022M,C08011_023E,C08011_023M,C08011_024E,C08011_024M,C08011_025E,C08011_025M,C08011_026E,C08011_026M,C08011_027E,C08011_027M,C08011_028E,C08011_028M,C08011_029E,C08011_029M,C08011_030E,C08011_030M,C08011_031E,C08011_031M,C08011_032E,C08011_032M,C08011_033E,C08011_033MA,NAME,C08011_001MA,C08011_001EA,C08011_002MA,C08011_002EA,C08011_003EA,C08011_003MA,C08011_004EA,C08011_004MA,C08011_005EA,C08011_005MA,C08011_006EA,C08011_006MA,C08011_007MA,C08011_007EA,C08011_008MA,C08011_008EA,C08011_009EA,C08011_009MA,C08011_010EA,C08011_010MA,C08011_011EA,C08011_011MA,C08011_012MA,C08011_012EA,C08011_013MA,C08011_013EA,C08011_014EA,C08011_014MA,C08011_015EA,C08011_015MA,C08011_016EA,C08011_016MA,C08011_017MA,C08011_017EA,C08011_018MA,C08011_018EA,C08011_019EA,C08011_019MA,C08011_020EA,C08011_020MA,C08011_021EA,C08011_021MA,C08011_022EA,C08011_022MA,C08011_023MA,C08011_023EA,C08011_024MA,C08011_024EA,C08011_025EA,C08011_025MA,C08011_026EA,C08011_026MA,C08011_027EA,C08011_027MA,C08011_028MA,C08011_028EA,C08011_029MA,C08011_029EA,C08011_030EA,C08011_030MA,C08011_031MA,C08011_031EA,C08011_032MA,C08011_032EA,C08011_033EA,state
12082,0400000US13,3919135,22428,142350,7127,139961,6622,187541,8137,344891,10869,402125,9984,655406,13547,499627,11575,434176,11747,198503,7480,914555,17675,2055536,15362,95046,5995,95614,4939,122857,6234,211658,8453,212945,7621,340088,9530,227962,8379,204965,8444,90529,5045,453872,11534,1863599,15700,47304,4136,44347,4464,64684,4433,133233,6835,189180,6881,315318,10387,271665,7971,229211,8324,107974,5397,460683,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
4662,0400000US15,623637,8382,38004,3259,36368,3672,51047,5107,70381,3963,80376,4371,80811,4674,50500,3512,49753,3947,25730,2277,140667,7040,331666,5822,26983,2605,24626,3116,33593,4470,39659,3552,40297,2869,35412,3640,24535,2580,22974,2836,12892,1593,70695,4588,291971,5673,11021,1737,11742,1947,17454,1986,30722,2193,40079,3161,45399,3025,25965,2544,26779,2641,12838,1747,69972,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
4078,0400000US16,629635,9312,23739,2300,21243,2401,36734,2888,43510,3286,68424,4216,88044,4802,97825,5050,65412,4104,35248,2903,149456,5861,338156,6110,16602,1854,13217,1896,24492,2134,27255,2421,43158,3072,49170,3412,48231,3531,32960,2725,13324,1976,69747,3659,291479,5983,7137,1110,8026,1380,12242,1545,16255,2108,25266,2535,38874,2964,49594,3604,32452,3150,21924,2346,79709,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
12195,0400000US17,5543452,22025,241220,9511,223690,8547,280636,8923,500745,14899,555641,10276,814285,13815,670967,11351,622338,12293,275949,9717,1357981,16920,2903287,18794,165218,6618,160074,7338,181905,7340,315482,11329,312291,7153,410028,9359,287883,8661,285426,8382,112694,5405,672286,12977,2640165,12042,76002,5341,63616,4114,98731,5061,185263,6939,243350,7353,404257,10176,383084,8337,336912,9968,163255,6943,685695,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
9518,0400000US18,2751580,18216,145254,6859,107012,5676,154333,6012,241333,7224,302677,8961,378038,9611,365234,9991,234597,6624,118229,6029,704873,13570,1438060,12482,100299,5025,69757,4242,97845,4475,147577,5925,171817,6693,189000,7133,153483,6448,107988,4399,50605,3460,349689,8417,1313520,11960,44955,3709,37255,2957,56488,3861,93756,4381,130860,5591,189038,6087,211751,7055,126609,5061,67624,4454,355184,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
6034,0400000US19,1440541,9759,58828,3628,50222,3034,77596,3549,115830,5714,171539,5110,207860,6194,228969,7951,123646,5372,59731,3724,346320,9045,750244,6872,39330,3067,34257,2726,48425,2720,73781,3909,100853,3949,105759,4934,95902,4747,58626,2903,25101,2628,168210,6192,690297,6190,19498,1867,15965,1466,29171,2277,42049,3035,70686,3209,102101,4350,133067,5140,65020,4013,34630,2323,178110,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
5965,0400000US20,1299028,9549,46337,3554,39201,2632,59772,3960,99131,4502,137438,5346,200627,6987,230021,7489,130965,5703,60261,4074,295275,8323,684318,7402,32749,2810,25063,2110,36957,3130,64165,3172,84977,4541,107927,4997,103994,4399,65028,3572,25307,2580,138151,6220,614710,7006,13588,1721,14138,1709,22815,2257,34966,2862,52461,3806,92700,4163,126027,5308,65937,3893,34954,2715,157124,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
7122,0400000US21,1737455,15578,71444,4717,59009,4559,81808,4220,152402,6333,195801,7066,264645,9413,233542,8763,164431,6748,76964,4502,437409,11104,906939,11738,48927,3393,38668,3546,52317,3400,92381,4972,108209,5075,134577,6774,101898,5650,75191,4602,33482,3065,221289,8914,830516,8744,22517,2984,20341,2723,29491,2496,60021,3592,87592,4512,130068,5392,131644,5843,89240,4541,43482,2954,216120,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
7605,0400000US22,1890069,14648,119390,5426,93299,5212,111669,6431,178547,6590,208522,7566,299059,8254,243698,8430,172161,7244,74525,4378,389199,9415,985144,10207,92445,4632,69497,4350,76032,5160,113281,5855,116389,5616,141023,6419,95154,4718,72099,4454,28627,2563,180597,7130,904925,9914,26945,2912,23802,3017,35637,3234,65266,4200,92133,4754,158036,5884,148544,6598,100062,5584,45898,3514,208602,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
3328,0400000US23,595242,6121,31851,2955,23846,2183,33769,2662,54812,3228,70999,3740,96333,4446,77932,4225,57882,3288,26141,2526,121677,4756,299916,4678,23238,2219,16481,2027,21711,2249,34184,2337,39328,2563,45657,2952,30979,2573,23674,2111,8257,1459,56407,3667,295326,4432,8613,1350,7365,1194,12058,1582,20628,2217,31671,2446,50676,3337,46953,3432,34208,2742,17884,1981,65270,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
9371,0400000US24,2725311,17461,108537,5729,117814,6009,140532,6292,261914,8774,274319,10489,404189,9739,314040,9224,320424,9326,170487,6805,613055,14789,1383656,11532,78219,4377,78749,5441,88817,4779,148358,6607,139887,7318,194087,6425,136972,6618,137142,6892,77789,4302,303636,9449,1341655,12631,30318,3265,39065,3416,51715,3470,113556,5856,134432,6259,210102,6643,177068,5976,183282,6229,92698,5119,309419,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
9208,0400000US25,3018114,17575,82235,4843,87529,4768,120350,4811,231259,7017,302453,7536,442848,10359,380638,10396,421935,11947,212033,7971,736834,12250,1534632,12866,59254,4014,64479,3948,82890,3967,142877,5988,167993,5869,233044,7648,170214,6853,184841,6980,84574,4585,344466,10536,1483482,14885,22981,2575,23050,2839,37460,2798,88382,4372,134460,5682,209804,7007,210424,6896,237094,7970,127459,6634,392368,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
11045,0400000US26,3901063,19705,150732,5859,131500,5417,188381,5318,299994,8273,374237,9651,527693,10499,520375,10347,408197,9935,225602,6634,1074352,16453,1997009,14206,102397,5052,92696,4218,117664,4343,182824,5893,204523,6920,273367,7288,237451,7459,182243,6819,92789,4965,511055,11473,1904054,13268,48335,3044,38804,3060,70717,4085,117170,4998,169714,5707,254326,6365,282924,7052,225954,6608,132813,4570,563297,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
6991,0400000US27,2506192,12398,91563,3913,87143,4851,126559,5368,216085,6820,269355,6940,378161,7834,371898,7871,243215,6043,121264,4903,600949,9016,1293001,9463,64783,3625,54639,3374,78182,3858,127734,4340,144978,5287,185298,5094,172536,5516,121914,4700,52192,3348,290745,7207,1213191,9057,26780,1988,32504,2817,48377,3275,88351,4461,124377,4149,192863,5182,199362,5499,121301,4413,69072,3411,310204,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
5951,0400000US28,1130530,13511,65277,4133,41800,3669,57924,4038,119451,4552,143156,7030,190438,8257,161173,7451,86688,4620,33170,2679,231453,8162,584195,8672,45925,3410,29234,3130,39109,3518,76773,4411,79770,4588,85884,5672,62682,4485,42574,3250,12160,1622,110084,5130,546335,8912,19352,2357,12566,2074,18815,2178,42678,3242,63386,4629,104554,5270,98491,5648,44114,3213,21010,2443,121369,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
8049,0400000US29,2593734,14249,110823,5571,94259,5287,141485,5620,233781,8025,284568,8775,392370,11332,362208,8374,236959,9102,121413,5436,615868,12779,1318435,10407,75397,4752,62216,4334,84758,4603,140430,5576,152549,5988,189362,6390,154411,5728,106869,5244,49017,3564,303426,8889,1275299,10272,35426,3139,32043,2839,56727,3862,93351,4736,132019,5954,203008,7853,207797,5525,130090,5617,72396,4229,312442,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
3670,0400000US30,429792,5925,11007,1681,9453,1739,16786,2282,25619,2260,41780,3388,59842,2965,88497,3963,46569,2999,27152,2774,103087,4496,222697,4340,8106,1408,6292,1448,9916,1655,16447,1860,25286,2496,33851,2576,40915,2834,22323,2133,11741,1589,47820,3045,207095,4325,2901,699,3161,706,6870,1342,9172,1549,16494,1796,25991,1944,47582,2995,24246,2187,15411,1976,55267,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
4126,0400000US31,881634,7644,31359,2487,27344,2243,42049,2924,66864,3717,95801,3235,134841,5311,158087,4879,84391,4092,39876,3435,201022,6056,455971,5352,19514,1858,15909,1879,24900,2128,43547,2973,56975,2829,68785,3929,73114,3294,40307,3032,16460,2214,96460,4195,425663,4978,11845,1525,11435,1306,17149,1618,23317,1792,38826,2317,66056,4128,84973,3412,44084,3013,23416,2419,104562,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
7247,0400000US32,1140289,11902,81633,5636,51002,4381,53124,4308,89428,5682,99826,6988,135511,6916,120127,6419,103948,6308,49707,4054,355983,10325,616254,8003,55762,4652,37345,3841,33197,3050,56361,4838,53613,4492,63297,4564,50275,3955,50425,3721,19542,2788,196437,7050,524035,8031,25871,2862,13657,1682,19927,2550,33067,2682,46213,3903,72214,4639,69852,4796,53523,4149,30165,3157,159546,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
4007,0400000US33,628326,7601,25252,2345,21601,2123,31891,2583,62487,4125,71700,4628,92558,4533,84587,5025,69303,4047,34559,2793,134388,5669,323347,6194,18916,2100,14631,1840,20984,1954,41147,2954,39973,3245,45728,3242,37171,3438,29898,2647,14805,1672,60094,4267,304979,4767,6336,1153,6970,1288,10907,1549,21340,2297,31727,3188,46830,3167,47416,3155,39405,3480,19754,2130,74294,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
9589,0400000US34,3908947,18790,110651,6249,99574,4727,139522,5700,300971,8177,357411,8751,602991,13918,488530,11325,594899,13225,303221,9059,911177,16243,2054713,13504,80753,5098,73198,4153,97844,5130,199541,6482,208576,7337,327458,8743,223838,7121,261537,9070,131623,5004,450345,12152,1854234,13802,29898,2958,26376,2170,41678,2934,101430,5211,148835,5916,275533,9402,264692,8415,333362,9266,171598,6951,460832,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
4862,0400000US35,816107,9026,32038,3099,26910,2883,39588,3351,71950,4618,87929,4540,131324,7142,133558,5962,80887,5887,37450,3199,174473,7107,431781,6726,22648,2555,20616,2518,25944,2851,48111,3650,53251,3612,64613,4900,59790,3541,40306,4063,15596,1897,80906,4269,384326,6633,9390,2043,6294,1461,13644,1775,23839,2489,34678,2667,66711,4709,73768,4401,40581,3535,21854,2357,93567,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
14885,0400000US36,8376454,30289,241687,8737,213818,8678,295500,8949,619755,15182,706122,13247,1238686,17501,1023363,16248,1206925,17423,653477,13475,2177121,22651,4328605,17408,175292,6964,154342,6878,198074,7260,399789,11652,395183,9320,639189,13262,449410,10505,535023,12605,270668,8734,1111635,15809,4047849,22572,66395,4314,59476,4358,97426,5366,219966,8093,310939,8229,599497,10672,573953,11614,671902,12714,382809,9688,1065486,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
12754,0400000US37,3953050,23789,141554,6668,124537,6004,180988,7999,344151,11354,426324,10662,629259,12988,552878,11326,419899,10150,198854,7453,934606,19617,2065893,14360,97155,6015,87054,4717,118278,6230,225177,8683,243511,8332,324032,9447,248225,7757,193216,6276,88037,4584,441208,11030,1887157,16031,44399,3852,37483,3394,62710,4371,118974,5124,182813,6798,305227,8464,304653,8315,226683,7747,110817,5062,493398,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
