GEO_ID,B24031_001E,B24031_001M,B24031_002E,B24031_002M,B24031_003E,B24031_003M,B24031_004E,B24031_004M,B24031_005E,B24031_005M,B24031_006E,B24031_006M,B24031_007E,B24031_007M,B24031_008E,B24031_008M,B24031_009E,B24031_009M,B24031_010E,B24031_010M,B24031_011E,B24031_011M,B24031_012E,B24031_012M,B24031_013E,B24031_013M,B24031_014E,B24031_014M,B24031_015E,B24031_015M,B24031_016E,B24031_016M,B24031_017E,B24031_017M,B24031_018E,B24031_018M,B24031_019E,B24031_019M,B24031_020E,B24031_020M,B24031_021E,B24031_021M,B24031_022E,B24031_022M,B24031_023E,B24031_023M,B24031_024E,B24031_024M,B24031_025E,B24031_025M,B24031_026E,B24031_026M,B24031_027E,B24031_027M,NAME,B24031_001EA,B24031_001MA,B24031_002EA,B24031_002MA,B24031_003EA,B24031_003MA,B24031_004MA,B24031_004EA,B24031_005EA,B24031_005MA,B24031_006MA,B24031_006EA,B24031_007EA,B24031_007MA,B24031_008MA,B24031_008EA,B24031_009EA,B24031_009MA,B24031_010MA,B24031_010EA,B24031_011MA,B24031_011EA,B24031_012MA,B24031_012EA,B24031_013EA,B24031_013MA,B24031_014MA,B24031_014EA,B24031_015MA,B24031_015EA,B24031_016EA,B24031_016MA,B24031_017MA,B24031_017EA,B24031_018MA,B24031_018EA,B24031_019EA,B24031_019MA,B24031_020EA,B24031_020MA,B24031_021MA,B24031_021EA,B24031_022MA,B24031_022EA,B24031_023MA,B24031_023EA,B24031_024MA,B24031_024EA,B24031_025EA,B24031_025MA,B24031_026MA,B24031_026EA,B24031_027MA,B24031_027EA,state
0400000US39,30898,141,27540,4500,21718,914,50885,2404,32287,520,39473,669,36995,1088,20318,380,40663,770,36674,1079,54266,3481,37143,1467,38629,1197,41258,636,30047,2240,32911,1195,46041,893,56250,6448,21257,497,31170,291,35120,910,30116,379,11053,234,12945,1390,10797,226,20853,643,47016,715,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,27694,557,35554,1662,21319,929,45376,2164,26639,847,36142,879,38494,3781,19525,810,40674,1226,37672,2269,50534,2261,33121,3705,31909,945,34240,2594,27483,3032,29704,1987,39872,2180,51056,25147,19629,1547,28334,1239,30912,674,26637,647,12394,427,20540,779,11234,413,19683,1369,41319,1353,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,29780,573,21461,1210,21167,1144,33902,12247,32814,3142,40305,1174,37186,3526,21573,685,41894,1055,39238,3332,60893,3023,35888,3147,36591,961,41278,1746,27427,2838,32688,2255,46246,2421,29214,31440,20031,1685,30254,514,29495,1790,30438,544,14233,953,19462,1940,13111,990,21205,1145,48108,1979,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,32053,156,30171,1867,21710,824,44988,3485,36815,577,40643,323,37623,1317,20072,432,42187,841,38555,1618,63887,3361,41241,1040,41274,572,43804,1857,31630,1000,38949,1379,52007,903,52259,10219,24681,1177,32382,294,37128,683,31044,298,12556,418,14970,1424,12289,293,21735,658,46758,839,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,33945,1235,24458,18757,24458,18757,-666666666,-222222222,37162,2838,38253,2494,43635,4321,21996,1379,42585,5410,40529,10435,66684,14240,40369,3771,42283,4842,49291,4912,33241,5643,45185,5225,60535,5361,69821,8502,30037,4970,36908,1624,44336,4727,32831,2741,13358,1680,18622,3703,12451,1385,27475,4952,59098,10525,Rhode Island,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,29193,481,22558,2183,22414,1987,34912,13956,28734,2806,36501,876,35825,2942,20071,808,40783,905,36313,1833,51659,4426,36733,3389,33984,2242,36691,1092,27086,2794,31353,827,47925,2086,32039,21162,20304,855,30517,483,32119,824,28889,1309,12562,911,16767,2184,12251,495,21162,1544,36841,1042,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,28118,913,30410,2162,29801,3511,47827,4126,31089,1168,32096,1002,40069,2068,21489,802,40070,4153,37487,5171,42413,13755,31054,4913,32448,1822,33462,2102,26439,7020,28303,3546,32327,3770,39885,464810,21574,3897,30017,1443,30947,928,28675,1689,11483,981,13369,5417,11030,1282,22297,1975,32489,2355,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,29331,433,20624,1900,18213,2191,36410,7981,27834,1839,33885,1447,35946,1531,20073,541,39691,2188,36363,1151,53541,2953,32375,2209,35559,1145,37077,1607,31572,1236,31610,720,47564,3491,57634,22049,21285,777,31733,412,33001,1736,31230,513,13274,859,20364,1756,12408,576,21485,908,37514,1331,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,30557,127,42622,3104,21706,672,60264,1954,26612,398,40971,414,40084,1089,21145,299,40024,921,37050,612,50203,1607,40935,1089,38235,1146,40683,675,32031,758,35507,533,51896,580,75678,10760,20612,442,31735,289,36319,558,30161,292,13567,365,17467,1511,13078,389,19930,603,41452,433,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,29946,544,45385,7780,21852,1630,61255,3608,35633,1462,36865,855,36686,2452,20725,664,41156,1220,37409,2875,60702,9358,30952,1787,34106,3187,35234,2984,31850,3363,32377,1875,44925,3998,41688,7660,22012,1155,26869,821,25209,1884,28247,1776,11857,597,12917,1642,11596,674,20285,1751,44833,2111,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,30874,453,18580,3739,17437,3340,30357,6388,32198,1646,39655,2240,32859,3129,20443,925,40895,2510,36114,7836,62971,12037,37552,10307,37074,2642,40159,2848,30800,6030,37810,5331,47417,7482,29263,30226,21042,2578,32739,1922,35777,1931,31709,884,13559,2026,14032,3584,13397,2376,24589,5780,44631,3453,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,36787,279,23755,3335,19183,2244,56586,9363,34219,2123,41034,739,40273,1339,21178,503,42613,2543,40115,1460,60875,1610,52035,2743,45439,1662,46447,2028,42176,2488,56688,1176,72127,1727,105814,43897,25865,849,35374,608,38353,1016,31992,493,15170,561,19000,2149,14616,682,25839,1041,64300,2155,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,35678,303,20939,870,20694,876,51917,10435,40334,912,51471,763,40687,1007,24019,1203,44178,2251,40727,820,69252,4864,47945,3194,41302,795,43974,2220,36056,1606,46215,1190,60545,1147,75938,28376,25941,1406,33954,986,33340,1801,34295,1219,17150,690,22187,1432,15958,736,23645,1539,51669,707,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,28044,826,51692,2103,21758,5400,56439,4179,32296,3074,39912,3090,33965,2777,18723,1485,45651,3051,42473,3268,57233,9684,31204,2124,30714,2700,31435,2658,26482,8340,27494,2906,36198,2609,60409,45857,21456,1751,27348,1003,31205,1135,25752,1011,11781,625,15548,3086,11388,645,21417,1049,37148,1494,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,31244,167,21574,810,21359,825,29920,6450,37077,836,38880,790,38693,2009,20494,508,41315,849,37095,1356,62073,2487,36276,2098,38087,1273,40277,720,30194,4093,32434,1164,45841,2008,41624,10921,21508,825,31443,425,36220,961,29384,719,11464,288,13832,2323,11196,321,22252,799,46293,1128,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,32685,1952,51959,7546,28212,4607,70937,1837,36589,4806,41991,4578,50975,5175,21930,1281,50797,2838,45139,8274,65798,7915,31555,7463,33915,4469,31946,4485,40130,7520,30913,6872,40120,4654,-666666666,-222222222,21131,5242,30871,1970,35662,5643,27734,3173,14185,3408,25933,3179,11837,999,26492,4886,48221,2577,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,17219,181,9352,934,9044,843,50028,69771,15138,595,18935,937,22554,1715,13280,655,26020,2917,20143,1934,35079,4126,26146,3010,23645,1375,25462,1547,16170,1538,16371,489,28029,3544,52595,85191,13344,616,20782,555,22584,649,17990,1033,10812,549,13695,852,10330,558,11543,551,24490,701,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
