C17020A_006M,C17020A_007E,C17020A_007M,C17020A_008E,C17020A_008M,C17020A_009E,C17020A_009M,GEO_ID,C17020A_001E,C17020A_001M,C17020A_002E,C17020A_002M,C17020A_003E,C17020A_003M,C17020A_004E,C17020A_004M,C17020A_005E,C17020A_005M,C17020A_006E,C17020A_006MA,C17020A_007EA,C17020A_007MA,C17020A_008EA,C17020A_008MA,C17020A_009MA,C17020A_009EA,NAME,C17020A_001MA,C17020A_001EA,C17020A_002EA,C17020A_002MA,C17020A_003MA,C17020A_003EA,C17020A_004MA,C17020A_004EA,C17020A_005MA,C17020A_005EA,C17020A_006EA,state
26456,1111741,11985,3218852,18194,713117,4470,0400000US13,5764848,18600,721138,22788,215166,12237,450914,15527,55058,4186,5043710,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,13
5641,39566,2549,198978,4262,45542,1174,0400000US15,322283,4249,38197,3850,5183,1497,29674,3414,3340,899,284086,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,15
11163,314878,5977,728249,7349,172504,2375,0400000US16,1423647,5791,208016,11217,64129,5489,129378,7104,14509,2355,1215631,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,16
31208,1762159,15526,5249903,18567,1200415,5825,0400000US17,9112534,28327,900057,23927,259296,12442,553263,12678,87498,4645,8212477,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,17
21335,1033073,11692,2930470,13436,700088,3621,0400000US18,5369465,9092,705834,21269,225293,11704,433164,13308,47377,2712,4663631,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,18
13033,535759,6548,1482966,8639,392127,2388,0400000US19,2705869,6889,295017,11228,80827,5816,186632,7225,27558,2095,2410852,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,19
15851,486332,8547,1299136,9322,312197,2893,0400000US20,2371518,7396,273853,14024,84446,7563,166897,8301,22510,2155,2097665,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,20
19175,646212,9092,1977370,11806,467245,3698,0400000US21,3736250,8152,645423,18300,196156,9406,393581,10561,55686,3651,3090827,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,21
12024,521529,6509,1572339,8954,371732,2878,0400000US22,2792226,6240,326626,11724,84606,6334,207287,8122,34733,2557,2465600,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,22
7361,205493,3959,696248,4479,182092,1879,0400000US23,1234182,1596,150349,7279,40247,3816,91239,4418,18863,1752,1083833,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,23
17277,647305,6897,1993176,11076,468756,3278,0400000US24,3336045,12449,226808,12540,51461,5371,143025,8309,32322,2345,3109237,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,24
18870,950578,8204,3007870,12735,728378,4208,0400000US25,5147976,14065,461150,17776,110023,7978,291966,10939,59161,4144,4686826,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,25
24234,1382605,12306,4191057,14806,1081359,5072,0400000US26,7682858,11990,1027837,24456,295507,11641,651202,15075,81128,4176,6655021,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,26
13758,895174,6874,2600849,9499,580896,3440,0400000US27,4477966,7562,401047,12126,99382,6504,253925,8156,47740,2990,4076919,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,27
16389,311521,8578,913919,9289,253831,2473,0400000US28,1719645,5743,240374,15570,71273,7859,147615,8846,21486,1994,1479271,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,28
17706,904820,9130,2651916,12233,669416,4125,0400000US29,4849443,8533,623291,17863,182858,8923,382033,11473,58400,3523,4226152,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,29
7716,150664,3991,473434,5128,127262,1493,0400000US30,867723,2736,116363,8055,32505,3768,74447,5407,9411,1360,751360,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,30
10332,323193,5596,874648,6138,210562,1972,0400000US31,1582108,5508,173705,10485,54948,5706,102647,6138,16110,1394,1408403,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,31
18809,355295,8494,1086729,12114,248466,2673,0400000US32,1945803,12995,255313,14657,84403,7613,151758,8942,19152,2465,1690490,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,32
8116,231835,4003,715849,5286,158838,1995,0400000US33,1200387,3605,93865,7534,23582,3699,59906,4795,10377,1848,1106522,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,33
23419,1179047,10542,3488801,15735,894061,6014,0400000US34,6004158,20424,442249,17897,127822,8620,256942,11110,57485,4645,5561909,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,34
17943,253657,8726,764325,10843,204724,3386,0400000US35,1488318,12284,265612,15321,93354,7860,148120,8853,24138,2969,1222706,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,35
35129,2183664,15610,7100210,21607,1806606,7800,0400000US36,12445883,26686,1355403,32360,380479,15593,807738,17299,167186,7067,11090480,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,36
23699,1166820,10933,3585563,15561,904119,5207,0400000US37,6516284,15759,859782,25394,241014,12464,540232,14854,78536,4291,5656502,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,37
4851,108630,2620,336708,3072,78835,1369,0400000US38,587094,1331,62921,4699,14948,2555,37283,2848,10690,1275,524173,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,38
30016,1694874,15248,5132253,17991,1308856,7145,0400000US39,9341169,12853,1205186,30156,373606,14417,736461,18486,95119,5212,8135983,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,39
12768,464763,7700,1460303,7624,388771,3308,0400000US40,2688758,8603,374921,12647,116751,7583,223333,7073,34837,3022,2313837,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,40
18228,539365,8217,1754080,11647,458808,3873,0400000US41,3207591,12648,455338,16387,126892,7659,291492,10272,36954,3240,2752253,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,41
23416,1795021,11630,5729305,16218,1596274,6041,0400000US42,10196894,13906,1076294,25877,294233,13257,662224,15498,119837,5250,9120600,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,42
8056,141904,3644,474053,5879,125848,1746,0400000US44,826641,6486,84836,6958,19207,3430,56595,4884,9034,1470,741805,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,44
16048,532098,7610,1659633,10068,452743,3396,0400000US45,3032114,8312,387640,14811,106241,7542,249363,8493,32036,3160,2644474,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,45
6278,138226,3136,376015,4047,95781,1603,0400000US46,680430,2578,70408,5794,16534,2972,42990,3875,10884,1241,610022,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,46
24928,837903,12401,2640431,14686,671257,5219,0400000US47,4870971,10667,721380,23522,219474,12161,437270,13785,64636,4684,4149591,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,47
55725,3671599,26740,9753820,35841,1952368,8807,0400000US48,18309106,45395,2931319,44421,1144142,23051,1593264,25756,193913,7317,15377787,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,48
14711,644950,7767,1279042,9424,222960,2460,0400000US49,2426138,10819,279186,14147,100453,8011,166532,8155,12201,2198,2146952,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,49
5352,97561,2740,325493,3771,80588,983,0400000US50,574356,1750,70714,5083,18912,2490,45899,3722,5903,998,503642,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,50
22362,1030948,10510,3189460,14617,719813,3974,0400000US51,5423319,16898,483098,17439,120900,8548,314185,11046,48013,3307,4940221,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,51
22728,942274,11533,2988420,13751,685540,3852,0400000US53,5219441,14725,603207,20415,171027,9825,389309,12850,42871,3400,4616234,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,53
13163,260455,6452,887175,8376,253740,2433,0400000US54,1695896,3488,294526,12811,82952,6281,184681,8149,26893,1934,1401370,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,54
18090,904964,9917,2752876,10917,666961,3373,0400000US55,4830960,8216,506159,15777,144996,8915,313381,8829,47782,3151,4324801,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,55
6247,101452,3440,288681,3811,60373,1288,0400000US56,502622,2934,52116,6524,15018,3458,32801,4030,4297,1092,450506,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,56
22079,266463,9439,895135,14915,254331,5288,0400000US72,2502595,20546,1086666,17699,318687,8548,612078,12223,155901,5428,1415929,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,72
