GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,NAME,B17014_001MA,B17014_001EA,B17014_002EA,B17014_002MA,B17014_003MA,B17014_003EA,B17014_004EA,B17014_004MA,B17014_005MA,B17014_005EA,B17014_006EA,B17014_006MA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009EA,B17014_009MA,B17014_010MA,B17014_010EA,B17014_011EA,B17014_011MA,B17014_012EA,B17014_012MA,B17014_013EA,B17014_013MA,B17014_014EA,B17014_014MA,B17014_015MA,B17014_015EA,B17014_016EA,B17014_016MA,B17014_017EA,B17014_017MA,B17014_018EA,B17014_018MA,B17014_019EA,B17014_019MA,B17014_020EA,B17014_020MA,B17014_021EA,B17014_021MA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025MA,B17014_025EA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028EA,B17014_028MA,B17014_029EA,B17014_029MA,B17014_030MA,B17014_030EA,B17014_031EA,B17014_031MA,B17014_032EA,B17014_032MA,B17014_033MA,B17014_033EA,B17014_034EA,B17014_034MA,B17014_035EA,B17014_035MA,state
0400000US45,1180687,11186,163071,6398,49517,3536,18615,2327,21487,2504,8413,1533,1002,524,113554,6092,14750,2479,6099,1538,7092,1965,1447,629,112,163,98804,5185,37574,3513,51834,4064,8459,1839,937,480,1017616,11559,777870,10562,124604,3880,202151,6945,371232,8976,79883,4205,239746,6946,62312,3991,6520,1283,33573,2844,18518,2381,3701,1153,177434,6033,17753,1873,103296,5181,45021,3636,11364,1885,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,204029,4559,18785,1969,6591,1164,2112,674,2213,577,2095,785,171,137,12194,1521,1648,514,589,336,644,343,255,224,160,211,10546,1480,2105,654,7279,1303,954,490,208,216,185244,4587,154943,4315,17791,1548,23780,2475,91462,3569,21910,1517,30301,2624,10878,1765,216,147,6267,1400,3784,918,611,375,19423,1859,1663,566,10989,1470,5100,1004,1671,630,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1644896,14706,219964,7337,81438,4309,25517,2080,36432,3048,17772,1955,1717,794,138526,6083,21967,2899,9737,1749,10833,2005,1397,562,0,287,116559,5263,49244,3908,60163,4513,6526,1483,626,486,1424932,12746,1113968,11556,164680,4664,282965,7146,555634,9658,110689,4329,310964,8369,84649,4228,7752,1357,45871,3663,24959,2738,6067,1094,226315,7206,22957,1919,132426,6179,57632,4133,13300,1901,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6091590,24172,843488,14263,347202,8571,69965,4574,177976,6091,84795,4941,14466,2149,496286,13306,74314,5458,20778,2673,44243,3883,7919,1645,1374,666,421972,11096,136877,6941,239755,9140,38766,3306,6574,1332,5248102,25201,4039794,25324,415282,8337,1051017,16335,2048599,17730,524896,10227,1208308,15890,362413,9241,20816,2124,187800,7732,119180,7185,34617,3573,845895,13515,55065,3488,472595,10777,245468,8334,72767,4844,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,665964,7680,64686,3506,33971,2355,5359,1077,15763,1767,11082,1525,1767,601,30715,2759,6627,1595,1920,760,3974,1123,733,499,0,267,24088,2318,8232,1490,13263,1889,2220,753,373,283,601278,7720,509241,6921,51742,2364,125716,4643,251108,5545,80675,4385,92037,4291,30631,2856,1196,490,15013,1984,11170,2131,3252,1009,61406,3584,3655,808,30212,2875,20935,2152,6604,1318,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,159846,3532,13372,1534,5129,1072,1535,542,1673,578,1684,593,237,159,8243,1197,1040,432,448,249,372,273,220,177,0,211,7203,1238,3017,862,3777,880,409,337,0,211,146474,3232,120549,3036,14355,1072,23010,1778,65552,2768,17632,1429,25925,1962,9847,1447,496,309,5742,1061,2921,829,688,376,16078,1650,1209,418,8903,1188,5107,969,859,314,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2013520,16738,155973,5579,52905,3819,18826,2453,22449,2527,9790,1830,1840,599,103068,4507,15355,2033,5412,1254,8562,1307,1165,593,216,229,87713,3884,34662,3200,46147,3524,6052,1229,852,460,1857547,16257,1464722,15969,171726,5713,347676,10417,757721,12824,187599,5914,392825,9868,108918,5671,7500,1402,56849,4187,35063,3210,9506,1629,283907,7516,22672,2246,158097,5937,84008,4890,19130,2486,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1681386,12734,154332,7272,60027,4709,16135,2127,25896,3053,15711,2336,2285,865,94305,5228,16009,2341,5588,1564,8648,1733,1323,571,450,409,78296,4854,34929,3558,36180,3098,5903,1340,1284,696,1527054,12282,1237213,12116,161163,4299,315787,6893,625363,9878,134900,5307,289841,8590,98178,5587,5920,1266,53801,4023,29435,2955,9022,1800,191663,6491,17018,2148,110844,5383,51331,4101,12470,1854,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,485652,6805,64210,3746,26344,2518,10604,1508,10922,1639,4159,894,659,468,37866,3136,7298,1255,3487,940,3334,902,477,338,0,269,30568,2923,15000,2607,13868,1823,1489,558,211,177,421442,6718,345957,6645,67534,3642,97715,5039,151477,4752,29231,2098,75485,3689,21217,2213,3547,996,12392,1883,4314,934,964,456,54268,3147,9272,1286,29146,2388,13644,1885,2206,760,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1453332,10977,132850,5407,43089,2733,11396,1512,17821,2106,12258,1522,1614,523,89761,4331,17013,2571,7085,1565,8332,1815,1394,527,202,239,72748,3884,22156,2351,44508,3157,5731,1151,353,218,1320482,10582,1082225,11673,145496,3679,211883,5803,582633,9749,142213,3904,238257,6171,79224,3511,4815,1171,45960,2952,23892,2635,4557,971,159033,5592,10926,1516,92225,4717,45711,2688,10171,1386,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
