B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026MA,B14005_026EA,B14005_027MA,B14005_027EA,B14005_028EA,B14005_028MA,B14005_029EA,B14005_029MA,NAME,B14005_001MA,B14005_001EA,B14005_002MA,B14005_002EA,B14005_003MA,B14005_003EA,B14005_004EA,B14005_004MA,B14005_005EA,B14005_005MA,B14005_006EA,B14005_006MA,B14005_007EA,B14005_007MA,B14005_008EA,B14005_008MA,B14005_009MA,B14005_009EA,B14005_010EA,B14005_010MA,B14005_011EA,B14005_011MA,B14005_012MA,B14005_012EA,B14005_013EA,B14005_013MA,B14005_014EA,B14005_014MA,B14005_015EA,B14005_015MA,B14005_016EA,B14005_016MA,B14005_017EA,B14005_017MA,B14005_018EA,B14005_018MA,B14005_019EA,B14005_019MA,B14005_020MA,B14005_020EA,B14005_021EA,B14005_021MA,B14005_022EA,B14005_022MA,B14005_023MA,B14005_023EA,B14005_024MA,B14005_024EA,B14005_025EA,B14005_025MA,state
2044,651,425,303,323,295,1296,505,0400000US16,92169,2917,48114,2142,37519,2163,8163,1312,3947,1222,25409,1857,10595,1625,7827,1378,4321,1259,1652,647,1854,833,2768,931,1023,617,234,225,1511,614,44055,2170,35925,2242,9744,1407,3486,878,22695,2009,8130,1554,6086,1384,3228,866,1367,759,1491,643,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
15279,2168,2697,960,2672,906,9910,1551,0400000US17,744294,8283,378785,5492,323768,5981,73605,3798,34577,3085,215586,6706,55017,3249,33708,2883,16172,2271,7305,1349,10231,1559,21309,2208,6164,1122,4693,1274,10452,1479,365509,6896,322891,6794,89341,4378,37292,3510,196258,5954,42618,4100,27339,3233,13555,1938,5122,1280,8662,1728,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
10987,1791,3299,1058,1812,724,5876,1360,0400000US18,384969,5601,199526,4144,169627,4063,39528,2696,15300,2184,114799,4878,29899,2777,15528,1840,7119,1333,3596,909,4813,1264,14371,1983,5729,1329,3005,709,5637,1371,185443,4376,162662,4451,47230,2723,13476,1871,101956,4023,22781,2683,11794,1791,5707,1083,2213,763,3874,1072,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3106,859,1649,624,545,403,912,443,0400000US19,180010,4019,93084,2879,79809,2974,28554,2012,8152,1559,43103,2625,13275,1743,8577,1408,4806,1192,2171,632,1600,654,4698,935,1979,725,1024,421,1695,501,86926,3137,75828,2941,29985,2144,7181,1169,38662,2985,11098,1642,7992,1539,5405,1348,944,408,1643,805,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
3697,1073,1866,771,575,353,1256,666,0400000US20,169562,4802,88498,3680,78111,3654,22676,2660,6956,1347,48479,2909,10387,1210,7086,1037,4118,824,1755,587,1213,479,3301,786,1345,526,652,354,1304,421,81064,3957,68239,3578,26134,2297,5065,955,37040,2519,12825,2033,9128,1807,6353,1658,1300,541,1475,579,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
6246,1447,1002,467,1201,549,4043,1262,0400000US21,239984,5614,124803,4652,94885,4453,24416,4702,8643,1543,61826,3184,29918,2890,20803,2507,13627,2178,4029,936,3147,940,9115,1505,2400,1004,3228,918,3487,838,115181,3158,93603,3811,32085,2164,9299,1477,52219,3099,21578,2895,15332,2515,7268,1929,3462,1199,4602,1150,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
9001,1721,2161,816,2785,911,4055,1222,0400000US22,262204,5995,134460,5080,99955,4415,21457,2523,9071,1925,69427,4566,34505,3633,17120,2596,7796,1607,4536,1199,4788,1384,17385,2505,4891,1299,2884,962,9610,2063,127744,4076,104897,4429,26198,2824,8303,1342,70396,3476,22847,2417,13846,1990,5961,1270,2494,798,5391,1400,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
1536,516,371,306,245,208,920,378,0400000US23,70696,1899,36106,1465,31186,1731,9584,1450,3475,764,18127,1594,4920,851,3038,676,1263,386,1098,494,677,344,1882,526,632,379,479,286,771,282,34590,1242,30193,1318,11351,1220,1933,558,16909,1479,4397,770,2861,707,1863,642,406,245,592,320,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
6624,1278,1418,523,1314,575,3892,1062,0400000US24,330923,4606,170929,3642,143419,3751,34074,2499,15098,2301,94247,4041,27510,2975,15899,1871,8374,1473,3937,923,3588,1044,11611,2291,3829,1008,2620,918,5162,1540,159994,3986,138583,3877,38800,3077,11861,1995,87922,3803,21411,2471,14787,2156,7328,1243,3233,1161,4226,1168,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
5761,1430,2186,850,1299,747,2276,907,0400000US25,376945,5162,190057,3358,167379,4161,41484,2905,19515,2594,106380,4287,22678,2747,14515,2043,7921,1318,4025,1237,2569,806,8163,1541,2101,878,2395,904,3667,803,186888,3581,170999,4142,56695,3972,16191,1981,98113,5390,15889,2183,10128,1718,6563,1427,1109,623,2456,994,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
12992,1891,1571,454,3408,1133,8013,1356,0400000US26,596846,5500,307791,3693,259708,4583,55712,3070,32491,2622,171505,4784,48083,2899,31375,2296,13756,1585,10397,1559,7222,1419,16708,2142,3556,1074,4007,1035,9145,1529,289055,4071,250065,4266,70825,3283,28859,2440,150381,4350,38990,2730,25998,2386,13807,1932,5568,1372,6623,1381,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
3110,778,1047,454,429,238,1634,549,0400000US27,295326,3133,151473,2603,133261,2762,41271,2614,15411,1819,76579,2952,18212,1883,10728,1564,6103,1283,2325,752,2300,585,7484,1090,2582,673,2089,686,2813,686,143853,2664,132135,2564,55908,2950,12079,1633,64148,2946,11718,1505,8608,1242,5970,1075,1067,573,1571,576,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
6459,1650,1151,870,867,508,4441,1258,0400000US28,181212,5339,92180,3824,73783,3447,13720,1752,8691,1667,51372,2804,18397,2688,9219,1815,3211,953,2339,896,3669,1235,9178,2051,1617,766,1293,600,6268,1623,89032,3890,74152,3701,13781,2004,8323,1721,52048,3160,14880,2476,8421,1710,3839,1420,1222,562,3360,1071,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
8915,1384,1873,591,1228,537,5814,1304,0400000US29,344278,5091,177361,4299,146082,4632,39962,2898,14301,1896,91819,4151,31279,2422,20546,1983,12474,1874,4668,1056,3404,963,10733,1766,2693,791,3284,1122,4756,1011,166917,3565,142464,4014,47872,3215,10973,1826,83619,3183,24453,2246,15538,1856,8900,1594,2698,812,3940,1059,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
2317,835,466,334,354,266,1497,784,0400000US30,56383,2230,29669,1966,26131,2159,6562,1054,2563,700,17006,1746,3538,798,2295,602,1296,574,268,189,731,342,1243,514,224,150,386,235,633,398,26714,1693,21535,1767,7474,1111,2126,678,11935,1587,5179,1061,2862,763,1395,563,348,352,1119,545,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1562,586,870,437,274,312,418,266,0400000US31,104280,3360,51668,2034,45852,2189,15974,1626,5052,1050,24826,2108,5816,981,4260,919,2919,751,617,365,724,424,1556,513,660,332,236,204,660,318,52612,2353,47925,2531,20039,1695,3946,945,23940,2121,4687,1075,3125,848,2216,695,201,158,708,445,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
5721,1542,419,241,1616,735,3686,1347,0400000US32,149959,3454,75782,2764,57651,3416,10709,1461,4661,1545,42281,3283,18131,2020,10390,1809,6525,1336,2217,907,1648,734,7741,1631,2625,949,2047,912,3069,1029,74177,2285,57145,2831,12508,1874,5058,1280,39579,2693,17032,1938,11311,1599,3215,813,3311,1007,4785,1394,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
681,421,159,218,79,136,443,358,0400000US33,74572,2095,36936,1405,32872,1415,9624,1377,3300,969,19948,1827,4064,1001,2414,771,1176,602,673,386,565,363,1650,732,155,176,771,504,724,550,37636,1577,34228,1738,13836,1567,2179,693,18213,1630,3408,943,2727,830,1837,654,430,446,460,360,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
6403,1378,1415,656,649,389,4339,1157,0400000US34,474393,6057,246373,4504,211668,5537,43388,3268,16850,2024,151430,5793,34705,3907,22482,2402,8992,1425,5383,1308,8107,1673,12223,3279,2250,765,2060,897,7913,3136,228020,4099,204428,4542,51708,3033,14318,1713,138402,4094,23592,2370,17189,2046,9193,1703,2894,737,5102,1323,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
5437,1732,951,692,723,513,3763,1594,0400000US35,121419,4239,62250,3409,49532,3018,8088,1529,4143,1051,37301,2813,12718,2212,6132,1441,3349,1005,1049,498,1734,751,6586,1580,2387,825,792,412,3407,1323,59169,2842,46993,2909,12600,1860,1821,689,32572,2543,12176,1907,6739,1306,3657,1145,515,379,2567,862,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
22272,2572,5293,1262,3446,1067,13533,1841,0400000US36,1111689,7843,566993,5953,482577,7266,87113,4224,36617,2875,358847,7479,84416,4056,48209,3482,21430,2441,9731,1695,17048,2121,36207,3123,9926,1330,6550,1430,19731,2665,544696,4773,477031,6258,104355,4442,34478,2775,338198,7403,67665,4273,45393,3389,21657,2131,6003,1077,17733,2211,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
13994,2160,2022,729,3430,945,8542,1753,0400000US37,539299,9322,275318,7696,222224,7215,42075,3964,25366,2449,154783,6083,53094,4295,29769,3944,17986,2788,5908,1515,5875,1330,23325,3036,7591,1938,5035,1495,10699,1937,263981,6118,226429,6540,56073,3128,22046,2807,148310,6091,37552,3995,23558,3280,10767,1933,4564,1206,8227,2109,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
680,378,271,284,0,211,409,229,0400000US38,38945,1758,21379,1210,18542,1157,6808,926,1098,416,10636,1204,2837,824,2022,607,1312,476,477,302,233,166,815,435,396,361,146,131,273,212,17566,1277,15513,1225,7328,869,1392,422,6793,935,2053,544,1373,488,1092,429,36,71,245,186,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
16038,2252,4322,1055,3062,920,8654,1686,0400000US39,654412,7732,330688,5091,281405,5377,68051,3940,35587,2748,177767,5877,49283,3284,29628,2515,14300,1767,8269,1329,7059,1420,19655,2205,6158,1390,4524,967,8973,1738,323724,5049,279690,5632,82593,3695,32083,2951,165014,5178,44034,3365,27996,2687,15893,1938,5462,1313,6641,1363,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
7274,1267,2167,797,1393,614,3714,907,0400000US40,214012,4819,107552,3654,85729,3584,23584,2245,7845,1271,54300,2942,21823,2256,13354,1773,9217,1596,1737,640,2400,806,8469,1372,3421,1029,1486,635,3562,805,106460,3194,87061,3489,30448,2656,4925,992,51688,2787,19399,2461,12125,2157,7225,1710,1703,634,3197,853,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
5684,1402,1843,674,874,440,2967,1037,0400000US41,201726,3671,103015,3150,82429,3280,16271,1774,8751,1410,57407,3158,20586,2239,13750,1821,7492,1468,4358,1070,1900,726,6836,1594,1760,655,1505,700,3571,1137,98711,2726,82718,3100,19627,1795,8125,1321,54966,2824,15993,2113,10309,1559,5270,1178,2440,747,2599,931,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
13410,2147,4351,1111,1561,663,7498,1612,0400000US42,742444,7153,378102,4586,322177,5685,79375,3496,33904,2715,208898,5995,55925,3311,35920,3067,17723,1886,10170,1834,8027,1534,20005,1972,7442,1272,3133,961,9430,1470,364342,5837,324158,6542,98977,4188,27755,2673,197426,6200,40184,3280,26774,2510,13907,1860,6280,1550,6587,1249,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
942,555,187,248,376,393,379,281,0400000US44,66791,2295,32453,1352,28539,1593,6690,1179,2468,717,19381,1662,3914,1000,2196,775,1161,648,606,472,429,341,1718,677,854,516,467,407,397,294,34338,1409,31653,1643,10062,1211,2176,784,19415,2032,2685,894,1743,736,1078,659,195,249,470,408,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
7847,1504,2508,1023,1762,719,3577,1175,0400000US45,269353,6291,137750,4426,109907,4742,21841,2328,11389,1774,76677,4360,27843,2822,18298,2298,10801,2187,3605,1228,3892,1044,9545,1811,3138,1139,2676,993,3731,1048,131603,4131,112423,4374,24184,2372,10056,1599,78183,4316,19180,2235,11333,1900,7064,1599,1698,712,2571,899,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
1415,490,97,116,238,248,1080,416,0400000US46,49513,2261,24656,1716,19932,1635,7851,1052,1713,570,10368,1301,4724,959,2498,584,2023,511,207,236,268,191,2226,871,647,491,689,494,890,502,24857,1715,21478,1554,8509,994,2040,846,10929,1559,3379,775,1964,607,1335,559,186,182,443,300,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
