GEO_ID,C08105G_001E,C08105G_001M,C08105G_002E,C08105G_002M,C08105G_003E,C08105G_003M,C08105G_004E,C08105G_004M,C08105G_005E,C08105G_005M,C08105G_006E,C08105G_006M,NAME,C08105G_001MA,C08105G_001EA,C08105G_002EA,C08105G_002MA,C08105G_003MA,C08105G_003EA,C08105G_004MA,C08105G_004EA,C08105G_005EA,C08105G_005MA,C08105G_006MA,C08105G_006EA,state
0400000US32,33954,3175,26147,2844,4711,1437,1257,645,911,543,928,520,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,6537,1246,5760,1223,313,255,76,113,152,157,236,200,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,84433,5711,48121,3775,14894,2507,13696,2289,5900,1960,1822,769,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,18112,2514,14108,2018,2208,730,644,478,459,364,693,457,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,171655,7268,66062,4532,14212,2559,62860,4760,21467,2959,7054,1495,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,62312,4657,46524,4105,10208,2133,734,390,3047,1106,1799,677,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3705,899,2721,759,387,276,38,69,446,300,113,124,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,57907,3784,44853,3550,6200,1228,2192,839,2962,764,1700,631,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,98858,4422,77549,3661,13255,2917,907,544,3541,1336,3606,894,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,39419,3592,25839,3067,5120,1207,2842,1076,3717,950,1901,658,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,63718,5043,41111,3709,9695,1910,5682,1309,5600,1448,1630,604,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,7967,1850,5651,1396,1205,777,453,393,575,425,83,144,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,25086,3290,18810,2943,3777,1101,113,134,842,453,1544,887,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,4300,998,2837,881,629,414,79,128,616,403,139,128,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,25376,2807,20114,2382,3813,1100,148,221,769,392,532,338,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,178993,7380,137450,6444,22650,2495,2940,865,8549,2052,7404,1460,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,16436,2172,13277,1808,1645,658,340,278,800,492,374,221,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2730,739,1771,624,490,317,82,103,208,163,179,146,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,68370,5787,50335,5069,7844,1595,4152,1243,3160,919,2879,851,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,91481,4879,67159,4661,9582,1710,5481,1423,5493,1319,3766,938,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,8977,1469,6079,1127,1013,591,555,488,941,514,389,277,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,30894,3081,21795,2441,4671,1351,1564,697,2214,689,650,344,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,4379,1054,2548,974,1354,684,4,9,268,235,205,180,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,148318,6942,116917,5532,14486,2239,4957,1100,8954,1419,3004,900,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
