GEO_ID,B10051A_001E,B10051A_001M,B10051A_002E,B10051A_002M,B10051A_003E,B10051A_003M,B10051A_004E,B10051A_004M,B10051A_005E,B10051A_005M,B10051A_006E,B10051A_006M,B10051A_007E,B10051A_007M,NAME,B10051A_001EA,B10051A_001MA,B10051A_002EA,B10051A_002MA,B10051A_003EA,B10051A_003MA,B10051A_004EA,B10051A_004MA,B10051A_005MA,B10051A_005EA,B10051A_006MA,B10051A_006EA,B10051A_007EA,B10051A_007MA,state
0400000US24,65210,5746,21546,3087,14159,2465,7387,1730,43664,4421,21451,3068,22213,2899,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,79439,4278,22160,2800,13995,2096,8165,1581,57279,3754,19213,2540,38066,2844,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,122156,5939,48807,4014,33184,3238,15623,2560,73349,5034,38288,3259,35061,3416,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,41640,2695,16871,2017,10772,1665,6099,1028,24769,2320,15205,2105,9564,1348,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,43247,4174,24089,2935,16063,2518,8026,1606,19158,2949,9139,1989,10019,1869,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,83779,6165,38044,3678,25449,3457,12595,2100,45735,4245,22591,2973,23144,3132,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,10515,1925,4426,1178,2704,853,1722,681,6089,1554,3212,1026,2877,1111,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,18316,2351,8294,1600,4902,1174,3392,876,10022,1497,6596,1431,3426,791,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,49122,4878,20415,2989,12006,2288,8409,1782,28707,3816,13849,2489,14858,2626,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19448,2906,7522,2068,6168,1961,1354,476,11926,1892,5286,1318,6640,1362,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,106680,5822,27150,2947,15504,2373,11646,1800,79530,4821,26170,3089,53360,3944,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,34862,3835,15681,2590,10657,2049,5024,1170,19181,2714,9981,2061,9200,1635,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,194126,7328,55122,4122,33898,2867,21224,2870,139004,6502,52351,3845,86653,4701,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,112140,5856,54440,4387,37437,3459,17003,2431,57700,4025,28361,2965,29339,2972,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4316,1244,2306,917,1846,826,460,291,2010,685,1061,367,949,468,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,165277,6945,73607,4896,51165,4289,22442,2251,91670,5767,45553,3657,46117,3996,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,54129,3746,28292,2890,19320,2354,8972,1489,25837,2842,14724,2066,11113,1801,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,48856,4246,19057,2316,9955,1583,9102,1468,29799,3322,15264,2193,14535,2081,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,162358,7236,63758,4421,42115,3671,21643,2470,98600,5390,45561,3692,53039,3810,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,13967,2606,5190,1403,2926,1217,2264,799,8777,1950,3352,1308,5425,1362,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,62266,5458,31363,3910,20953,3261,10410,2065,30903,3481,15613,2716,15290,2321,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5439,1302,2392,883,1759,720,633,317,3047,1086,2235,993,812,373,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,107723,6879,54064,4629,34598,3708,19466,2941,53659,4664,26187,3218,27472,2874,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,506823,15811,222924,11252,160563,9958,62361,4760,283899,11102,150491,8252,133408,8381,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,51738,3979,16547,2154,10055,1825,6492,1480,35191,3469,20592,2672,14599,2137,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,7731,1706,3687,1322,2951,1218,736,353,4044,1050,2337,842,1707,639,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,102233,6226,42553,3646,25918,3164,16635,2062,59680,4470,27874,3438,31806,2827,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,80471,6373,30791,3838,20161,2952,10630,1888,49680,4473,25694,3120,23986,3055,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,41522,4099,21909,3282,14309,2604,7600,1704,19613,2653,10251,1851,9362,1802,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,50163,3695,20016,2267,14536,1950,5480,1045,30147,3024,16354,2286,13793,1834,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,8946,1998,4552,1281,3747,1069,805,431,4394,1423,2743,1213,1651,662,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,73985,4905,36549,3479,21410,2770,15139,2212,37436,3070,16598,2028,20838,2141,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
