GEO_ID,C12002I_001E,C12002I_001M,C12002I_002E,C12002I_002M,C12002I_003E,C12002I_003M,C12002I_004E,C12002I_004M,C12002I_005E,C12002I_005M,C12002I_006E,C12002I_006M,NAME,C12002I_001EA,C12002I_001MA,C12002I_002EA,C12002I_002MA,C12002I_003MA,C12002I_003EA,C12002I_004MA,C12002I_004EA,C12002I_005EA,C12002I_005MA,C12002I_006MA,C12002I_006EA,state
0400000US15,82412,-555555555,34632,2178,31575,2624,1693,749,3084,985,11428,1912,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,15
0400000US16,113904,882,42155,2768,55090,3092,3119,924,3273,963,10267,1576,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1421652,2111,611362,9880,639922,12213,41160,3713,39084,2678,90124,4855,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,255302,1771,108497,4752,115809,5730,6001,1279,4916,1065,20079,2797,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,99315,1724,43182,2592,45430,2891,3772,918,1303,500,5628,1146,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,195817,1338,75886,3115,94098,4195,6169,1749,4132,1024,15532,1754,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,88046,2954,39831,2946,38055,2933,2394,896,1729,795,6037,1124,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,147264,2104,59374,3290,67948,3224,4409,1159,4847,1112,10686,1650,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11474,891,6041,1173,3677,743,115,154,369,248,1272,588,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,345247,914,148688,5917,158346,6448,11631,2254,5744,1211,20838,2496,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,454726,630,230798,5967,146507,7069,24710,2833,11187,1577,41524,3119,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,293229,1526,123531,3948,124639,4446,6916,1490,8843,1316,29300,2771,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,160624,1337,74010,3763,68743,3656,3840,1185,2254,620,11777,2036,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,51834,2717,20328,2716,24212,2719,2173,719,1492,671,3629,1246,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,144553,1490,58153,3350,65775,3681,4048,979,4380,960,12197,1796,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,19419,947,7438,1275,8565,1245,621,444,799,391,1996,600,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,106616,1113,42306,2641,49333,3071,5155,1508,1647,629,8175,1494,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,496977,966,193974,6397,227772,7057,17732,3002,12789,2019,44710,3962,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,25745,795,11635,1523,10072,1517,267,230,475,402,3296,866,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1176101,601,516116,9661,481291,11495,42895,4177,38791,3632,97008,5225,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,705370,661,261519,6632,308868,8951,17366,2762,33562,2579,84055,5773,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2628606,2528,1231330,16329,939501,16828,123508,5642,100019,5485,234248,9554,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,531392,3109,217394,7834,259404,9141,16701,2655,8154,1530,29739,3349,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,8751,908,3315,849,4373,838,148,177,169,154,746,391,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,238342,2395,101892,5553,99765,4928,5599,1286,6676,1057,24410,2635,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,216538,1892,82375,3944,102721,4615,8485,1873,5031,1024,17926,1887,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,297133,1339,121295,4868,138481,4655,9020,1821,5551,1083,22786,2104,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,500754,1851,247488,6039,180528,7303,21237,2489,13686,1981,37815,3720,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,93060,509,42867,2461,33192,2816,5821,1702,2998,916,8182,1576,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,158252,1854,67121,4153,71732,3857,6589,1809,2659,726,10151,1948,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,13216,1212,5269,1024,5794,915,430,285,273,391,1450,723,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,193380,2843,78258,4343,93844,4198,6758,1412,3409,1060,11111,2006,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6700879,2817,2432762,22705,3205831,29814,260682,11102,241941,7634,559663,14078,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,237487,632,84383,4144,123999,4625,5942,1225,5726,1435,17437,2529,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,7663,877,3852,940,2227,604,247,322,317,248,1020,493,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,452750,2979,188619,6984,211778,7814,14085,2130,8983,1704,29285,3171,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,502786,1222,213622,6349,228330,7365,14614,2184,8358,1736,37862,3651,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,15744,1628,7156,1460,5455,1240,728,310,682,458,1723,640,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,220005,1755,98191,4132,94868,4486,3935,1047,4153,723,18858,2174,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,32871,1138,10584,1415,16855,1784,1021,476,1001,580,3410,998,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2958895,3295,1079477,13048,1195426,16666,88612,4698,209220,6245,386160,9800,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
