GEO_ID,B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,NAME,B15003_001MA,B15003_001EA,B15003_002MA,B15003_002EA,B15003_003EA,B15003_003MA,B15003_004EA,B15003_004MA,B15003_005MA,B15003_005EA,B15003_006MA,B15003_006EA,B15003_007EA,B15003_007MA,B15003_008EA,B15003_008MA,B15003_009MA,B15003_009EA,B15003_010EA,B15003_010MA,B15003_011MA,B15003_011EA,B15003_012EA,B15003_012MA,B15003_013EA,B15003_013MA,B15003_014EA,B15003_014MA,B15003_015EA,B15003_015MA,B15003_016EA,B15003_016MA,B15003_017EA,B15003_017MA,B15003_018EA,B15003_018MA,B15003_019EA,B15003_019MA,B15003_020EA,B15003_020MA,B15003_021MA,B15003_021EA,B15003_022MA,B15003_022EA,B15003_023EA,B15003_023MA,B15003_024EA,B15003_024MA,B15003_025MA,B15003_025EA,state
0400000US13,6235623,7667,85573,5693,1326,559,1008,507,2660,878,8365,1954,18568,2471,13654,2164,22813,2801,70395,6045,49315,3855,89285,5498,145445,6595,187417,7195,180640,7662,103095,6093,1516328,18665,308648,9896,356406,9842,950094,18287,422830,12168,1093642,16437,422766,10771,118831,5639,66519,3534,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,926928,1367,10358,1635,78,129,55,72,861,369,783,364,1881,742,2931,927,2826,817,13099,2596,2978,955,8700,1584,10819,1835,11496,1876,13577,2027,13157,1611,242167,8744,23096,2626,49098,3625,159739,5557,85655,4254,184364,5931,57405,3483,19618,2454,12187,1913,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,987829,2954,9898,1578,18,31,0,267,312,272,1595,705,2000,709,2136,745,1764,726,9534,1772,2213,734,12102,1642,15259,1986,22480,2456,21436,2604,14719,2424,230584,7210,52094,3006,84047,4076,183007,5813,81703,4147,165218,6171,50378,3290,14917,1833,10415,1761,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8465762,4855,91442,5049,726,448,579,375,3122,757,10690,1985,23721,3070,16517,2163,22539,2482,125067,6890,31160,3448,147064,6942,123368,6741,169483,6975,187760,7808,157253,6071,2035135,24082,301041,8353,564614,12404,1241360,17964,609204,11876,1629625,17700,702793,11457,174077,5932,97422,4715,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4229798,5104,35202,3315,116,131,152,162,966,477,1861,799,5781,1237,5084,1132,7271,1408,21772,2455,13704,1676,84282,5248,78220,5010,111390,5424,115022,6234,67455,4981,1314266,12712,207594,7224,284036,7917,600584,12039,315927,8721,617193,11224,249013,6981,56328,2812,36579,2721,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2018785,3966,14196,2341,113,135,205,241,650,334,463,316,1605,509,2744,881,1558,596,12197,1596,4700,1183,40591,2603,23625,2190,27743,2363,36432,2829,23822,2081,599922,10747,81226,3828,151849,5173,289016,7269,202577,5632,344952,9211,110369,5214,29613,2646,18617,2089,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1840681,5033,15216,2751,248,151,253,262,94,115,1606,755,3020,878,2312,666,3429,1316,19055,2388,6282,1449,30325,2264,24218,2495,31892,2968,37118,2813,24541,2488,435178,9812,76165,4003,153361,5359,292638,8376,135842,5293,354379,8902,138809,5361,33138,2620,21562,2349,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2903308,4686,29954,2711,100,109,580,402,1470,576,2333,821,8014,1417,6702,1176,11133,1584,24353,2127,26736,2852,111296,4386,74330,3720,94869,4478,88933,4640,43888,3118,802733,14081,194092,6071,187355,6928,399825,11480,198229,6504,359930,9248,169201,5250,45773,3906,21479,2221,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2945907,4720,39911,3735,383,410,611,429,1642,786,3248,1015,6381,1371,7388,1398,12943,1845,28285,2859,29810,2516,59652,3978,72469,4770,102949,5399,118675,4995,47529,3496,854229,12676,158116,6177,162060,6000,457557,10968,151174,5808,424074,9972,136832,5302,43643,3239,26346,2557,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,937014,1752,5024,1106,10,18,98,130,146,163,789,431,621,460,480,253,1436,728,2619,591,3619,957,18672,1969,12659,1792,18329,2417,15563,1922,10722,1510,274840,7687,47557,2884,59095,2932,129068,5307,84698,3682,162350,5718,64297,3400,15546,1809,8776,1272,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3873474,3559,38616,3488,425,329,116,141,1871,938,4355,1277,9858,1956,8377,1979,11915,2067,41244,4353,20411,2714,44740,3773,58322,4243,80578,5101,83026,4621,58773,4548,891737,13881,112852,5647,232246,7033,532419,12768,244750,8849,762917,13961,426847,8483,113612,5144,93467,5318,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4458898,2445,62737,4846,735,462,1208,632,2892,836,4593,1237,10048,1836,15987,2528,14883,2515,28450,2666,22573,2536,55904,4143,55605,3515,76395,4506,68330,4756,65061,4311,1036523,15485,131941,6077,224007,6769,504533,11810,337594,8942,992307,15014,525464,9145,122279,6021,98849,5150,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6569801,4232,70334,3672,209,163,835,385,1959,578,4322,1323,7204,1680,4938,1071,9385,1604,26500,2681,19021,1744,83846,3882,82616,4817,151683,6074,173814,6597,104456,4367,1770917,18834,261302,8134,518719,12238,1073412,13385,549148,11004,1023760,14563,466019,9462,102984,4332,62418,3892,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3528096,3505,32801,3231,186,144,214,173,1498,903,1941,795,2789,904,3126,1130,3666,943,15599,2468,6220,1235,47813,2777,29845,3068,45602,3114,54684,3088,42921,3012,852174,10357,111405,5172,240701,5904,558776,8840,353299,7265,760013,10312,252536,7536,71002,3669,39285,2901,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1904406,4745,25078,3060,78,99,105,125,983,470,1568,646,4709,988,4871,1056,6905,1308,16810,2445,18084,2358,46067,3658,47930,3776,71966,4558,83379,5257,33258,3018,474655,9815,108781,4942,105016,5735,322942,9284,159702,6287,236965,7243,96893,4825,22195,2230,15466,2324,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3984849,5419,33191,4423,245,227,438,290,686,401,2232,939,3631,1058,4023,1080,6279,1234,15664,1942,14004,1587,94586,4861,61319,4183,108535,5373,116022,5439,62780,3816,1086599,14426,183138,6893,293959,8388,606040,12761,271659,8305,639352,11287,272880,8338,66072,3511,41515,2790,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,672952,2328,2724,723,54,90,65,108,27,51,72,81,126,125,299,239,384,231,1280,640,1533,601,10280,1464,7187,1274,10863,1936,11525,1814,9214,1406,172340,5744,28742,2443,43043,3267,125870,4512,53464,3324,133356,5812,38539,2920,13100,1847,8865,1715,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1184379,2776,7599,1291,295,263,77,73,777,481,1426,569,1932,727,1883,729,1950,863,9228,1677,2847,935,20016,1970,14170,2227,15602,1822,19321,2179,17089,1953,294198,6654,41554,3127,92549,3904,196119,5824,106676,4128,232326,5709,73363,4031,19542,1982,13840,1837,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1789530,2380,21038,2452,220,211,379,319,1698,843,3381,1157,5997,1414,4584,1341,6486,1806,39297,3905,6470,1391,22514,2749,31803,3218,32656,3510,53122,4247,45016,4041,465362,12786,65971,3933,128323,6029,340886,9196,126202,5985,256589,8945,88194,5027,29629,2855,13713,1692,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,907755,1813,5241,982,57,88,0,257,91,82,324,297,455,365,465,413,1328,761,2862,1095,2496,888,11692,1933,12037,2242,15250,1757,15390,1686,9848,1559,236495,7137,34185,2818,52766,3670,118561,5363,90731,4464,185129,5775,83983,4119,17655,2247,10714,1620,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5970904,2573,65794,4006,1031,693,1309,585,3931,1557,6221,1387,14037,1947,19490,2448,27221,2682,67397,6546,28111,2957,88340,5768,72664,4354,110039,5844,110675,5371,97474,4716,1614991,20098,146255,6294,293471,8196,721305,13482,367832,10026,1321937,17331,567392,10870,140037,5112,83950,4552,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1341329,3861,18710,2442,53,89,55,75,759,524,3204,912,6858,1337,5869,1161,5964,1366,28435,3244,10450,2049,21314,2131,28029,3522,33207,3257,39358,4113,21152,2756,296124,7261,58602,4413,84327,4166,249290,7419,94493,5545,189989,6502,100346,5853,21445,2462,23296,2382,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,13089848,5372,221110,8113,2743,848,2980,789,10459,1766,25368,2954,44512,3576,44595,4110,77993,5006,182085,8775,81374,5077,228191,9720,212038,8352,287063,9834,293360,10610,268236,9542,3150648,27112,476587,13653,597794,13349,1550865,20623,1072055,16488,2433331,24414,1307200,17515,346468,9612,172793,6426,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6325621,8504,72323,5245,426,314,1122,645,3479,1009,7440,1628,19467,2993,15671,2456,19898,2486,66346,5616,42959,3955,105601,5704,156031,6539,189040,7617,179471,7004,85553,5903,1473262,19299,276380,9251,409053,10813,983064,16180,545716,10878,1123118,17231,386138,9133,95463,4324,68600,3863,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,442946,1407,2580,728,175,244,0,211,42,44,112,99,238,143,387,196,108,98,1011,467,1224,422,15897,1362,2813,537,6894,1175,7012,1095,4270,842,103470,3701,16401,1775,29452,2041,76704,3858,51857,2933,87414,3899,24546,2198,5878,1210,4461,932,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
