C07401_012E,C07401_012M,C07401_013E,C07401_013M,C07401_014E,C07401_014M,C07401_015E,C07401_015M,C07401_016E,C07401_016M,C07401_017E,C07401_017M,C07401_018E,C07401_018M,C07401_019E,C07401_019M,C07401_020E,C07401_020M,C07401_021E,C07401_021M,C07401_022E,C07401_022M,C07401_023E,C07401_023M,C07401_024E,C07401_024M,C07401_025E,C07401_025M,C07401_026E,C07401_026M,C07401_027E,C07401_027M,C07401_028E,C07401_028M,C07401_029E,C07401_029M,C07401_030E,C07401_030M,C07401_031E,C07401_031M,C07401_032E,C07401_032M,C07401_033E,C07401_033M,C07401_034E,C07401_034M,C07401_035E,C07401_035M,C07401_036E,C07401_036M,C07401_037E,C07401_037M,C07401_038E,C07401_038M,C07401_039E,C07401_039M,C07401_040E,C07401_040M,C07401_041E,C07401_041M,C07401_042E,C07401_042M,C07401_043E,C07401_043M,C07401_044E,C07401_044M,C07401_045E,C07401_045M,C07401_046E,C07401_046M,C07401_047E,C07401_047M,C07401_048E,C07401_048M,C07401_049E,C07401_049M,C07401_050E,C07401_050M,GEO_ID,C07401_001E,C07401_001M,C07401_002E,C07401_002M,C07401_003E,C07401_003M,C07401_004E,C07401_004M,C07401_005E,C07401_005M,C07401_006E,C07401_006M,C07401_007E,C07401_007M,C07401_008E,C07401_008M,C07401_009E,C07401_009M,C07401_010E,C07401_010M,C07401_011E,C07401_011M,C07401_012MA,C07401_012EA,C07401_013MA,C07401_013EA,C07401_014MA,C07401_014EA,C07401_015MA,C07401_015EA,C07401_016EA,C07401_016MA,C07401_017EA,C07401_017MA,C07401_018MA,C07401_018EA,C07401_019EA,C07401_019MA,C07401_020MA,C07401_020EA,C07401_021MA,C07401_021EA,C07401_022EA,C07401_022MA,C07401_023MA,C07401_023EA,C07401_024MA,C07401_024EA,C07401_025EA,C07401_025MA,C07401_026EA,C07401_026MA,C07401_027EA,C07401_027MA,C07401_028MA,C07401_028EA,C07401_029EA,C07401_029MA,C07401_030EA,C07401_030MA,C07401_031EA,C07401_031MA,C07401_032EA,C07401_032MA,C07401_033EA,C07401_033MA,C07401_034MA,C07401_034EA,C07401_035EA,C07401_035MA,C07401_036MA,C07401_036EA,C07401_037MA,C07401_037EA,C07401_038EA,C07401_038MA,C07401_039EA,C07401_039MA,C07401_040EA,C07401_040MA,C07401_041MA,C07401_041EA,C07401_042MA,C07401_042EA,C07401_043MA,C07401_043EA,C07401_044EA,C07401_044MA,C07401_045EA,C07401_045MA,C07401_046EA,C07401_046MA,C07401_047MA,C07401_047EA,C07401_048MA,C07401_048EA,C07401_049MA,C07401_049EA,C07401_050EA,C07401_050MA,NAME,C07401_001MA,C07401_001EA,C07401_002EA,C07401_002MA,C07401_003MA,C07401_003EA,C07401_004MA,C07401_004EA,C07401_005EA,C07401_005MA,C07401_006EA,C07401_006MA,C07401_007MA,C07401_007EA,C07401_008EA,C07401_008MA,C07401_009MA,C07401_009EA,C07401_010MA,C07401_010EA,C07401_011EA,C07401_011MA,state
427451,8490,1526046,16218,681100,13040,970335,12062,1191096,12056,1244803,9271,1002690,5938,576073,4774,395815,4658,832014,29840,76334,5310,176023,12270,139703,8368,173792,8212,111265,6635,80295,6116,41601,3379,17502,2514,15499,2410,446534,19015,31812,4518,65213,7343,102314,8980,110535,6151,64742,5025,37397,2975,20862,2835,7233,1419,6426,1128,244992,13712,18564,3205,37629,5346,54659,4565,52036,5055,34848,4267,22785,2453,14703,2445,5498,1306,4270,1126,0400000US13,9538949,22449,554161,7783,1804911,7552,977776,9874,1306698,11407,1401951,9990,1385280,7514,1079856,4865,606306,4506,422010,4009,8015409,37393,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
57278,2349,185134,3594,89887,3921,135197,4415,148910,3647,173516,2619,162848,2118,97630,1534,90172,1077,123814,9349,8197,1817,22034,3587,17305,2652,27705,3235,18076,2880,14295,1817,9432,1752,3716,982,3054,803,10501,2265,415,422,983,626,3176,1122,2319,1008,902,472,1441,767,713,455,289,271,263,233,49218,5580,3753,1190,7738,1692,9659,1665,13572,2772,6996,1504,2739,971,3011,842,1042,489,708,415,0400000US15,1324105,7499,69643,2111,215889,2242,120027,3537,178793,4269,174884,2547,191991,1890,176004,1436,102677,1314,94197,954,1140572,10422,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
75560,3146,266792,4349,88309,4590,151497,4157,165207,3635,183827,3414,163796,2375,104890,1818,79978,1821,156267,10129,15506,2500,26754,3669,34586,3900,35734,3561,15869,1963,13448,2254,8059,1389,2535,815,3776,1140,53005,5473,5127,1198,6992,1756,14223,2305,11121,1678,5424,1227,5275,1656,2515,915,1046,581,1282,609,53122,6197,4585,1638,7211,1987,15760,2554,11056,2356,5225,1309,3805,1195,2684,864,1303,535,1493,646,0400000US16,1542250,8272,100778,3436,307749,2385,152878,4032,209408,3929,191725,2913,206355,3050,177054,2180,109774,1641,86529,1465,1279856,12606,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
554240,7920,2041848,13523,881065,11040,1364241,11454,1519043,8389,1720219,7833,1397639,6315,818551,3382,713006,3992,1091837,25235,80003,5510,187486,11463,208778,8931,271541,8958,137244,6372,95819,4387,53838,4599,24656,2320,32472,2991,312688,13739,19250,2785,34117,3716,93775,6493,70595,4569,37708,3811,26879,3106,16367,2547,5619,1261,8378,1523,277579,14177,16062,2394,33691,4421,76909,4761,62902,4788,30318,3175,25153,3859,16922,2222,8738,1617,6884,1436,0400000US17,12691956,18897,669555,6980,2297142,6895,1260527,7635,1769279,8386,1724313,6334,1868070,5591,1484766,4027,857564,3036,760740,3510,11009852,32636,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
283635,5614,1001394,8353,420094,9058,625132,9012,720046,6391,859841,6515,723356,3852,432567,2542,364950,2981,605800,18889,51450,4458,115704,6409,125515,6279,127975,6740,73803,5155,53345,4290,30447,2719,12826,2029,14735,2213,227286,11128,13850,2138,33691,4019,69370,4461,42742,4373,27201,3088,18372,2569,11418,2106,5209,1298,5433,1199,130170,9685,7901,1798,18531,3039,30849,2974,29671,3499,14246,2086,13597,2506,8672,1745,3765,1228,2938,764,0400000US18,6394271,13310,356836,4941,1169320,5424,645828,6679,825520,7281,835296,5150,945155,4449,773893,3420,454367,2158,388056,1824,5431015,24897,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
132886,3429,460042,5571,172080,5538,287076,5438,318847,4064,401284,3809,356151,2364,214388,2006,210456,1986,268989,11425,18401,2255,38833,3962,72317,5465,57768,4317,29377,3044,22866,2563,11329,1589,6147,1287,11951,1469,106661,6035,6325,1210,15577,2321,35796,3293,20556,2241,8424,1401,9207,1979,4459,974,2567,750,3750,1064,66922,5441,4397,1109,8382,1671,16827,2401,16283,2246,6781,1430,4822,1406,5725,1585,2369,914,1336,513,0400000US19,2995782,8706,162009,2810,522834,3526,297020,4648,381683,4843,363429,3397,438179,3051,377664,2566,225471,1767,227493,1039,2553210,15158,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
129500,3694,443302,5900,175579,5180,269795,6892,293425,5413,367492,4530,308004,3264,183122,2680,171182,2386,273703,14853,23650,2626,45783,4515,58631,4597,61249,4920,30817,3131,23140,2612,14430,2363,6591,1335,9412,1431,98458,5964,6183,1417,12761,2410,35996,3326,17348,2270,8493,1658,7777,1661,5821,1372,1621,558,2458,671,90681,7300,8417,1753,13238,2897,17956,2578,20519,3017,12623,2099,7982,1574,5843,1608,2363,826,1740,635,0400000US20,2804243,10846,167750,4029,515084,4743,288162,5252,368911,5807,345358,4945,406391,3655,334098,2798,193697,2316,184792,1883,2341401,17752,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
177700,4814,631605,7788,278851,6199,423321,7058,494840,6589,578821,5418,503463,4618,310441,3194,239217,1972,372469,16156,30460,3845,69027,6128,72399,5073,73617,5104,50013,4172,36206,3654,21810,2853,10146,1992,8791,1354,147418,8433,11844,1614,22265,3339,33161,2496,35264,3420,16941,2349,13113,2053,7685,1793,3529,865,3616,726,92999,8240,6714,1656,14298,2776,19963,2897,21816,2914,11760,2195,8227,1565,7049,1524,1983,872,1189,518,0400000US21,4251145,13613,226718,4581,737195,5303,404374,5088,554018,6876,573554,4376,636367,3594,540007,3119,326099,2391,252813,1556,3638259,20337,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
199504,5757,691017,8655,344354,8378,473834,8332,492088,7565,587422,5981,508373,3324,299416,2918,230382,2617,398836,19033,36754,3532,76176,6325,74561,5533,89552,5931,46715,4133,35693,3767,20347,2483,8867,1522,10171,1710,148455,9368,10666,1744,21087,3763,36260,3879,32883,3780,20235,2867,15057,2403,6523,1426,2446,873,3298,823,88131,8540,4388,1260,13160,2882,18202,2798,22190,3113,12502,2631,7767,1662,4475,1231,3278,1345,2169,893,0400000US22,4461812,11777,251312,4478,801440,4791,473377,5270,618459,6138,571540,6117,645939,4670,539718,2431,314007,2836,246020,2198,3826390,25103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
42839,2309,182225,3116,75209,3359,105829,3382,151047,3113,198347,2810,182349,1694,107379,1246,91556,1486,109095,7375,7695,1552,15588,2906,24382,2750,24498,2660,12046,2050,11944,1963,5601,1121,2834,802,4507,1149,37640,4506,2458,983,3744,1114,10284,2202,8667,1860,4758,1207,3198,1152,2287,841,1185,630,1059,517,32209,4475,1475,571,3611,1667,9655,1596,5598,1545,2745,878,3677,1322,2650,922,1918,895,880,509,0400000US23,1315724,5446,54467,2228,205168,2354,119530,2697,144592,2681,170596,2137,217166,2006,192887,1472,113316,1270,98002,741,1136780,8034,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
239373,5443,863945,9330,410270,6402,572483,7531,678266,7146,822417,6780,656841,3565,371586,2597,302456,2985,436367,18336,31527,3170,78866,7197,65562,5298,101559,5700,69034,4819,43950,4323,25245,2692,10810,1379,9814,1525,152512,10366,9992,1969,18237,3297,36375,3989,39371,3347,19544,2974,14708,2377,8804,1884,2205,784,3276,1005,159866,9741,9162,1989,17254,2954,42248,3699,34661,3756,18964,2507,16320,2955,11811,1805,5023,1091,4423,919,0400000US24,5666382,14229,290054,4290,978302,5106,554455,6454,748074,6888,785808,5748,897395,5143,702701,3102,389624,2517,319969,2502,4917637,22981,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
