B25106_009M,B25106_010E,B25106_010M,B25106_011E,B25106_011M,B25106_012E,B25106_012M,B25106_013E,B25106_013M,B25106_014E,B25106_014M,B25106_015E,B25106_015M,B25106_016E,B25106_016M,B25106_017E,B25106_017M,B25106_018E,B25106_018M,B25106_019E,B25106_019M,B25106_020E,B25106_020M,B25106_021E,B25106_021M,B25106_022E,B25106_022M,B25106_023E,B25106_023M,B25106_024E,B25106_024M,B25106_025E,B25106_025M,B25106_026E,B25106_026M,B25106_027E,B25106_027M,B25106_028E,B25106_028M,B25106_029E,B25106_029M,B25106_030E,B25106_030M,B25106_031E,B25106_031M,B25106_032E,B25106_032M,B25106_033E,B25106_033M,B25106_034E,B25106_034M,B25106_035E,B25106_035M,B25106_036E,B25106_036M,B25106_037E,B25106_037M,B25106_038E,B25106_038M,B25106_039E,B25106_039M,B25106_040E,B25106_040M,B25106_041E,B25106_041M,B25106_042E,B25106_042M,B25106_043E,B25106_043M,B25106_044E,B25106_044M,B25106_045E,B25106_045M,B25106_046E,B25106_046M,GEO_ID,B25106_001E,B25106_001M,B25106_002E,B25106_002M,B25106_003E,B25106_003M,B25106_004E,B25106_004M,B25106_005E,B25106_005M,B25106_006E,B25106_006M,B25106_007E,B25106_007M,B25106_008E,B25106_008M,B25106_009E,B25106_009MA,B25106_010MA,B25106_010EA,B25106_011MA,B25106_011EA,B25106_012EA,B25106_012MA,B25106_013EA,B25106_013MA,B25106_014EA,B25106_014MA,B25106_015EA,B25106_015MA,B25106_016MA,B25106_016EA,B25106_017MA,B25106_017EA,B25106_018MA,B25106_018EA,B25106_019MA,B25106_019EA,B25106_020EA,B25106_020MA,B25106_021MA,B25106_021EA,B25106_022MA,B25106_022EA,B25106_023EA,B25106_023MA,B25106_024MA,B25106_024EA,B25106_025EA,B25106_025MA,B25106_026EA,B25106_026MA,B25106_027MA,B25106_027EA,B25106_028EA,B25106_028MA,B25106_029EA,B25106_029MA,B25106_030EA,B25106_030MA,B25106_031EA,B25106_031MA,B25106_032MA,B25106_032EA,B25106_033MA,B25106_033EA,B25106_034MA,B25106_034EA,B25106_035MA,B25106_035EA,B25106_036EA,B25106_036MA,B25106_037EA,B25106_037MA,B25106_038MA,B25106_038EA,B25106_039EA,B25106_039MA,B25106_040MA,B25106_040EA,B25106_041EA,B25106_041MA,B25106_042EA,B25106_042MA,B25106_043MA,B25106_043EA,B25106_044EA,B25106_044MA,B25106_045MA,B25106_045EA,B25106_046MA,B25106_046EA,NAME,B25106_001MA,B25106_001EA,B25106_002EA,B25106_002MA,B25106_003EA,B25106_003MA,B25106_004EA,B25106_004MA,B25106_005MA,B25106_005EA,B25106_006MA,B25106_006EA,B25106_007EA,B25106_007MA,B25106_008EA,B25106_008MA,B25106_009EA,state
3687,180588,7134,314846,8799,108929,4909,70215,4450,135702,5907,475910,10940,192177,6451,156348,6611,127385,5914,870753,12600,583768,10022,218221,7418,68764,4114,23061,2647,1178255,14458,358142,9412,7574,1355,22800,2447,327768,9022,256286,9266,14831,2578,60358,4736,181097,7514,170049,7546,33937,3172,85951,5810,50161,3912,151253,6648,75410,4094,60846,4501,14997,2444,126215,6718,104867,6137,18502,2569,2846,796,38679,4006,77631,4520,0400000US13,3482420,15694,2304165,17073,283198,8127,33465,2796,39862,2958,209871,7569,336397,9320,103148,4471,52661,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
607,13466,1878,27825,2099,10914,1110,2538,700,14373,1723,47701,3130,16403,1627,7842,1364,23456,2429,138477,4752,69483,3797,36154,2800,32840,3002,2566,732,187279,5414,32957,2895,1040,439,2774,905,29143,3093,30475,2570,1458,554,2748,773,26269,2600,27973,2720,2174,757,6902,1320,18897,2338,32610,2945,6345,1334,10773,1939,15492,2026,46994,3479,25029,2668,15639,2046,6326,1248,3689,939,12581,1555,0400000US15,445812,4223,258533,5422,18070,1896,2465,663,2050,572,13555,1780,23894,2155,7925,1490,2503,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1513,32305,2533,64460,4218,25394,2560,16515,1897,22551,2259,96248,3851,46867,2942,29647,2464,19734,1850,122177,4088,88622,3847,25074,2299,8481,1367,2414,803,175177,5242,58949,3753,1809,783,5300,1164,51840,3671,44017,3401,5251,1260,13652,1994,25114,2748,25927,2511,8353,1576,13474,1836,4100,1117,20533,2340,14911,2128,4604,1184,1018,517,11903,1684,10846,1755,985,466,72,122,1959,845,11889,1807,0400000US16,576709,5739,401532,6302,49322,3203,8096,1081,8344,1352,32882,2643,66911,3389,23920,2083,10686,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3796,228298,7800,422465,10952,142352,5364,92885,4630,187228,7249,644174,11448,258520,6513,163640,5367,222014,7413,1435542,13628,850802,11279,394718,7491,190022,6045,20088,2416,1533519,13202,455381,8249,12169,1824,36416,3270,406796,7726,325005,8556,21015,2488,70585,5055,233405,7732,225493,7576,45426,3180,107734,5652,72333,4854,218892,7295,107772,5205,82273,5433,28847,2655,197232,6426,154020,5479,36037,2865,7175,1590,44633,3774,66883,3905,0400000US17,4752857,13579,3219338,16289,283785,7327,25914,2196,37490,2292,220381,6887,413284,8789,105112,3858,79874,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3447,121461,5411,286177,7997,123227,4324,85775,4445,77175,4316,386747,8513,222171,6580,119011,5161,45565,3499,588003,7571,467366,7696,101374,4471,19263,2003,9351,1640,734154,9897,257479,8298,7545,1247,23248,2552,226686,7645,180756,5662,15640,2229,66161,4826,98955,5191,101428,5806,34121,3317,53022,4225,14285,1848,80587,4490,57818,3971,20695,2487,2074,707,46938,3523,42704,3381,3401,905,833,411,18441,2309,48525,3755,0400000US18,2470905,11185,1736751,11947,187811,5494,28310,2084,32987,2482,126514,4893,278662,6897,99333,4062,57868,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2133,49236,2925,138968,5042,69109,3329,37908,2934,31951,2326,204770,4972,123284,3875,59121,3548,22365,1833,313973,6330,247954,4698,55431,3239,10588,1555,4459,935,338155,6728,115200,4631,3206,754,15016,1636,96978,4704,79883,3832,13522,1944,29165,2875,37196,2952,51603,3456,24319,2376,20775,2187,6509,1499,42376,2541,33397,2256,7111,1341,1868,689,22416,2464,20705,2326,1352,647,359,314,4021,924,22656,1783,0400000US19,1223439,6610,885284,8254,90234,4273,11936,1423,18033,1627,60265,3351,132880,4421,50494,2557,33150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2133,41859,2431,113295,4768,53868,3214,30036,2496,29391,2629,167172,6073,93525,3896,48054,3275,25593,2384,286004,7606,215520,6348,59473,3458,11011,1596,4472,1052,351751,6919,111153,4896,3266,856,13422,1906,94465,4869,82046,4577,10981,1699,30127,2891,40938,3310,54127,3463,20098,2166,24832,2809,9197,1683,49103,3741,31613,2544,15199,2084,2291,669,27206,2416,24582,2329,2452,720,172,174,6513,1348,21603,1997,0400000US20,1101658,6952,749907,8746,75385,3458,9472,1354,13861,1345,52052,3032,103579,3817,36879,2163,24841,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
3196,73471,3648,178510,5776,92560,3537,44251,3272,41699,3363,233165,7411,137617,5454,67370,3990,28178,2458,353104,8440,282254,8120,59172,4030,11678,1511,7052,1225,528056,11015,200066,8174,9168,1613,22372,2564,168526,7345,113340,5595,17572,2805,43919,3971,51849,3414,66017,4416,30009,3156,28012,2812,7996,1469,55961,3718,41711,3484,12530,1828,1720,694,31074,2956,28552,2708,1913,629,609,446,10962,2068,50636,3524,0400000US21,1684348,9801,1156292,12036,186231,6173,42177,3011,33617,2406,110437,5138,198230,5603,84991,3960,39768,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
2667,59623,3775,165826,6884,89342,5110,33299,3407,43185,3928,213397,6816,134525,4972,51714,3640,27158,2408,396358,8777,321934,8331,58346,3454,16078,1747,10214,1542,548318,11587,180604,7872,4913,1221,13876,2089,161815,7813,110733,5035,9370,1629,31073,3052,70290,4571,70278,4194,20273,2314,33167,3254,16838,2253,66855,5118,41309,4082,20582,2380,4964,1090,49137,4410,43047,3951,5492,1452,598,412,15540,2172,55171,3930,0400000US22,1689822,9615,1141504,11499,180319,5260,39778,3314,35609,2791,104932,4504,175390,6505,85437,4660,30330,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
1528,28574,2261,62789,2953,26067,1976,15848,1856,20874,2281,89431,3762,44174,2459,24976,2267,20281,1934,132037,4117,91096,3357,33534,2239,7407,1291,1971,683,149022,5676,53382,3399,2779,677,9150,1529,41453,3355,33765,2906,4114,1068,9392,1676,20259,2039,19674,2194,5458,1152,9835,1659,4381,1074,18192,2259,11472,1856,5670,1271,1050,563,10986,1649,9650,1570,1307,554,29,49,1969,597,11054,1420,0400000US23,545417,5576,396395,5449,47453,2566,6173,974,7040,1044,34240,2180,62714,3337,19862,1655,14278,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
2122,73778,4277,128546,4869,37248,2756,21511,2296,69787,4126,250322,8228,76691,3502,61765,3911,111866,5751,831312,10751,443179,9560,248308,6801,139825,5928,7224,1305,701172,11745,149187,6084,6488,1500,16686,2110,126013,5502,123078,6511,5264,1484,16309,2356,101505,5952,111383,5676,7087,1200,36391,3599,67905,4843,132675,6341,28466,2933,67222,3989,36987,3969,145472,6509,95148,5411,41209,3284,9115,1359,12417,2211,26960,2656,0400000US24,2127439,8728,1426267,12068,85671,4327,4004,1021,7544,1132,74123,3808,123192,4806,25169,2507,24245,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
2385,90852,4843,155419,5388,40273,2471,32218,2623,82928,4044,276035,7900,87732,4157,61435,3997,126868,5031,875713,8845,468374,8554,273765,7001,133574,5523,9324,1620,952037,10587,279511,8870,10583,1596,47894,3513,221034,8306,163014,6226,11999,1688,25583,2739,125432,5702,127806,7083,15786,2402,48154,3439,63866,4956,148025,6606,46380,3788,65392,4365,36253,3486,177349,6210,125604,5790,43215,3463,8530,1370,22625,3042,33707,3210,0400000US25,2520419,10488,1568382,10691,110782,5228,2376,702,7506,1272,100900,5334,141109,5517,18480,1825,31777,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
4184,214508,6975,439145,9265,172837,5829,110362,4618,155946,5029,595831,10068,286253,7548,186119,5712,123459,4806,937413,10731,653644,9900,221319,5876,62450,3086,22342,2284,1037147,11792,385345,9048,9047,1468,32938,2741,343360,9004,233168,6740,16331,1823,70301,4038,146536,5980,136337,5954,37660,2919,68913,4586,29764,2772,117061,5207,70779,4281,36754,3347,9528,1692,77433,3997,67089,3496,8742,1537,1602,572,29039,3197,58764,4184,0400000US26,3806621,12287,2769474,14635,337656,6832,28568,1918,44337,2462,264751,6304,437087,9290,127419,4101,95160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
