GEO_ID,C12002A_001E,C12002A_001M,C12002A_002E,C12002A_002M,C12002A_003E,C12002A_003M,C12002A_004E,C12002A_004M,C12002A_005E,C12002A_005M,C12002A_006E,C12002A_006M,NAME,C12002A_001MA,C12002A_001EA,C12002A_002MA,C12002A_002EA,C12002A_003EA,C12002A_003MA,C12002A_004MA,C12002A_004EA,C12002A_005EA,C12002A_005MA,C12002A_006EA,C12002A_006MA,state
0400000US34,5029837,16204,1485186,17433,2646746,18018,80762,5271,367122,7347,450021,12411,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1223719,9512,353182,9405,603467,12686,23762,2905,74559,3698,168749,6484,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,10655113,20210,3527239,29197,5226414,40308,218827,9154,741788,10098,940845,17136,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5476468,11020,1357565,14206,3017165,25453,143593,6963,365618,7941,592527,15192,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,503723,1014,148165,4791,274764,6270,2970,744,31730,1842,46094,3072,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7848483,6459,2159105,18000,4106235,29620,122232,6364,540356,9161,920555,15010,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2271207,5297,538566,8691,1226036,12452,44681,3308,165048,5024,296876,8207,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2704124,8503,747741,11909,1371272,17553,46091,4009,162546,5681,376474,10417,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,8774067,9236,2575505,18535,4515395,29860,180244,6936,673399,9798,829524,14628,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,726326,4614,241808,6036,330362,9161,10911,1919,54889,2460,88356,5181,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2572893,5727,654891,10522,1403081,17058,61970,4596,178724,4932,274227,9612,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,571694,1707,154092,5198,315363,7992,4534,871,37340,2204,60365,4114,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4090582,6352,963628,13884,2236204,20797,75978,5951,280835,7072,533937,12393,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,14635125,29441,4124209,32209,7704189,48114,355809,11992,802290,11671,1648628,22373,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1824122,7209,497838,9728,1067484,12666,24605,2480,71156,3514,163039,7057,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,501417,1069,152664,4272,255001,6158,6592,1288,27280,1684,59880,3452,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4608991,11799,1247785,15218,2523111,23247,102578,5737,268263,7043,467254,12096,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4380471,9428,1215284,14985,2308667,22156,73702,4520,235390,7002,547428,15015,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1449766,2807,365904,7566,754992,13346,22225,2363,121592,4887,185053,7154,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4076972,5245,1155436,11576,2185213,20326,38473,3089,254829,5087,443021,11175,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,414512,1881,99311,4312,233885,6544,5957,1305,23186,2224,52173,3654,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2043827,16503,703220,11661,867180,14937,56184,4149,154195,5110,263048,8489,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
