GEO_ID,B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,NAME,B19101A_001MA,B19101A_001EA,B19101A_002EA,B19101A_002MA,B19101A_003MA,B19101A_003EA,B19101A_004EA,B19101A_004MA,B19101A_005MA,B19101A_005EA,B19101A_006EA,B19101A_006MA,B19101A_007MA,B19101A_007EA,B19101A_008EA,B19101A_008MA,B19101A_009MA,B19101A_009EA,B19101A_010EA,B19101A_010MA,B19101A_011MA,B19101A_011EA,B19101A_012MA,B19101A_012EA,B19101A_013MA,B19101A_013EA,B19101A_014EA,B19101A_014MA,B19101A_015EA,B19101A_015MA,B19101A_016MA,B19101A_016EA,B19101A_017MA,B19101A_017EA,state
0400000US25,1321050,12064,37999,3430,29074,2726,34822,3057,39729,3281,39076,3225,42433,2779,44143,3059,44130,3610,42708,2986,91028,5157,136902,6009,200711,7440,168083,6020,115590,4322,124915,5039,129707,4486,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2073972,14145,82095,3763,64374,4114,77398,3633,91318,3918,97324,4987,104766,4570,104191,4251,112194,4401,107976,5400,197393,6573,258705,6706,312823,7891,190411,5901,106348,4724,94743,4054,71913,3237,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1216470,9226,26679,2445,27189,1978,32276,2379,39911,2968,44064,2489,49686,2580,48458,2289,54242,2913,52067,2646,104192,4034,160081,4313,215615,5126,143138,3597,80503,3696,75428,3219,62941,3059,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,476473,6915,20732,2642,18729,2447,20734,2145,26401,3115,22860,2345,26195,2529,26879,2744,24713,2594,22887,2426,43401,3414,58594,4005,74291,3840,41077,2715,19240,1782,16139,1934,13601,1534,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1309483,11274,50983,3855,40859,2936,50240,3492,63056,3578,63828,3911,67044,3437,70887,4359,69701,3695,60973,3776,123759,5130,166852,6112,194910,6170,118377,4897,67184,3777,52589,3061,48241,3395,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,236938,4665,10014,1752,6723,1289,10889,1776,14135,1919,11592,1556,14198,1738,12810,1639,12160,1419,11987,1410,22102,2259,29239,2273,37473,2850,20385,2016,9382,1239,7629,1246,6220,1055,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,427771,5522,12205,1755,11910,1840,12890,1714,18217,1865,18526,1783,19704,1773,21419,1957,21321,2287,20031,1797,44692,2912,56748,3310,71969,3350,42988,2328,22935,1995,17395,1596,14821,1745,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,486962,8442,19636,2441,13465,2042,16521,2299,22581,2806,24415,2738,25118,2711,22609,2483,21849,2591,21834,2284,40552,3366,64080,4125,75942,4137,48281,3364,27571,2885,23064,2340,19444,2237,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,327425,6070,8579,1548,5941,1207,7088,1393,10236,1458,12573,1659,11804,1753,12554,1758,16139,2186,13688,1516,26263,2813,39410,2861,55678,3255,40137,2662,24725,2223,23978,2135,18632,1649,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1577263,10034,33751,3381,25017,2462,37479,3227,41390,3402,46460,3020,45583,3250,46614,3567,50389,3710,53145,3637,103209,4429,153760,5932,235138,7452,202654,6571,144546,5374,172151,5554,185977,5399,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,388645,6568,21882,2293,14181,1837,24667,2791,23069,2385,18639,2436,23003,2354,17375,1878,20483,2015,15510,1941,33226,2773,42925,3472,48421,3451,32152,2581,21588,2611,17720,1929,13804,1617,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3176049,19074,105314,5835,80415,4273,93730,4531,109743,4521,117121,5059,123897,5617,118942,4991,133189,6097,121308,6069,243547,7722,332978,8348,461565,10593,355669,7917,233192,6439,255050,7453,290389,7892,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1783246,13859,73809,4363,56829,4142,67111,4116,83960,4726,86424,5088,95431,4714,86013,4454,86440,4076,90009,4803,162803,5948,226970,7502,266897,8650,155168,6060,85627,5415,80927,4757,78828,3676,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,158799,3079,4355,845,3685,785,4576,999,6024,1147,6095,797,6573,1116,6996,1002,6655,947,7607,964,14840,1456,24016,1798,30084,2003,17759,1513,8286,1160,6109,951,5139,870,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2534578,15407,113146,5416,75816,4383,91400,5337,109206,4819,112759,4525,137651,5966,136985,6335,129193,4919,120138,4999,240974,6960,321020,7902,390921,8298,229070,5913,128909,4236,108987,4542,88403,3766,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,745580,7427,32065,3033,26803,2675,32166,2824,41300,2799,39133,2847,39281,3207,41041,3068,40988,2733,36911,2950,74755,3386,93919,3951,105384,4361,60667,3460,30795,2362,27227,2253,23145,2214,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,846244,9298,39456,3714,26789,3013,30504,2863,42428,3495,41355,2884,46776,3377,42518,3115,45835,3352,42957,2922,76100,4127,100257,5528,124446,5773,76771,4159,42016,2865,36837,2421,31199,2687,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2746675,15565,85554,4855,69626,4442,88313,4503,105831,4570,120487,4640,130784,4727,131677,4743,131165,5008,127597,5327,252738,6146,343106,8466,427958,8722,285546,6876,158669,5253,150657,4931,136967,4828,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,208035,4831,6224,1463,3635,1014,5525,1150,7191,1121,8206,1337,8332,1443,8294,1366,8386,1427,7989,1347,16216,2024,25636,2279,34453,3033,23261,2133,16152,1655,15859,1954,12676,1670,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,840886,9211,35842,3260,23514,2205,33655,2877,37260,3004,40902,3242,41861,3562,39452,3310,42969,3139,42718,3236,79201,4185,107530,5191,130045,4976,77232,3798,40081,3099,35887,2771,32737,2567,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,183067,4232,4310,886,3925,939,5232,897,7961,1338,8104,1366,10114,1424,8137,1246,8456,1163,9469,1100,19232,2003,26802,1896,32362,2317,18701,1519,8010,1287,5942,1059,6310,924,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1341522,11745,66317,4616,51628,3979,61669,4170,73502,3734,72307,4464,73893,3890,72391,4733,73093,4379,68434,4198,124672,5397,159359,5023,181688,6622,108409,4628,54178,3338,48777,3345,51205,2790,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,4654556,23710,205327,8558,171480,7826,198819,7310,231596,7871,224689,8341,230579,9677,224487,7996,215789,8061,201210,7263,384520,10697,512529,10303,645401,14011,436651,10226,257129,7273,257025,8673,257325,7266,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,608753,7464,21026,2485,13901,1818,17882,2167,24192,2507,23052,2479,29338,2864,29638,2627,30843,2570,30805,2662,62037,3622,83391,4582,99078,4123,63470,3459,32918,2737,24906,2052,22276,1946,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,154907,3369,5709,1000,4333,879,4649,911,7136,1002,7198,1081,7943,1212,6915,1148,8202,1092,7218,1359,14001,1484,20478,1880,24874,1964,14405,1418,7944,1110,7844,1152,6058,952,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1475790,12766,37441,2953,30438,3072,38032,3028,51091,3668,49957,3595,51897,3377,57619,4248,56300,3692,57033,3184,107988,4799,161065,7059,220339,6656,169896,5727,114006,4212,130930,5109,141758,4565,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1387326,10944,48672,4096,31366,3141,39331,3945,49499,4276,49166,3224,59517,4251,56670,3554,56421,3524,59772,3980,122122,4885,172018,5553,229461,6328,156358,5569,93271,4507,88228,4755,75454,3957,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,464121,6740,26466,2939,19974,2246,26997,2719,26708,2604,28535,2463,28755,2582,25344,2100,25840,2346,25861,2456,42872,3161,56370,3780,62371,3831,32424,2623,16813,1601,10235,1322,8556,1183,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1306766,9717,38948,2889,32083,2454,37763,2709,54077,2950,55466,3230,62892,3276,59304,3407,63119,2864,61577,3331,125024,4032,181153,4851,225543,5100,137347,4657,71550,3143,55902,3025,45018,2805,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,138178,3411,3665,953,3129,1031,4075,1103,5161,963,5460,1240,5873,1012,5207,994,6054,1198,5898,1131,16289,2475,17475,1751,23147,1928,17717,1859,6561,1094,7515,1489,4952,966,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,652576,9436,151845,6192,74129,3959,70269,4385,58718,3619,44326,2764,40083,2966,34170,2346,28323,2158,23519,2433,34638,2598,36357,2560,24654,2055,13193,1604,5945,1104,6036,1108,6371,1161,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
