B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004MA,B15002A_005MA,B15002A_005EA,B15002A_006MA,B15002A_006EA,B15002A_007EA,B15002A_007MA,B15002A_008EA,B15002A_008MA,B15002A_009EA,B15002A_009MA,B15002A_010MA,B15002A_010EA,B15002A_011EA,B15002A_011MA,B15002A_012MA,B15002A_012EA,B15002A_013EA,B15002A_013MA,B15002A_014MA,B15002A_014EA,B15002A_015EA,B15002A_015MA,B15002A_016EA,B15002A_016MA,B15002A_017EA,B15002A_017MA,B15002A_018MA,B15002A_018EA,B15002A_019MA,B15002A_019EA,NAME,B15002A_001MA,B15002A_001EA,B15002A_002EA,B15002A_002MA,B15002A_003MA,B15002A_003EA,B15002A_004EA,state
1639,68269,3005,9766,1325,46141,2689,22818,1931,43980,2500,20759,1813,243178,1186,8622,1246,11126,1899,66201,3516,6607,1066,56918,2751,26758,2336,48701,2709,18245,1768,0400000US46,478236,1875,235058,1115,10468,1015,12857,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,46
7655,447326,9617,109662,5160,326574,8331,87572,4835,265019,7660,150156,5423,1794060,3058,102916,4948,158824,6410,494811,9066,113244,5286,375617,9213,128410,5494,267514,8082,152724,6074,0400000US47,3454090,5519,1660030,4116,107338,4918,166383,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,47
13162,1161588,17468,300392,8978,1310346,17445,351823,9556,1082820,14769,561502,11457,6140544,13908,546208,11992,519930,13378,1321874,16534,272732,7598,1451313,18716,417949,10937,1123034,15265,487504,10260,0400000US48,11993113,24009,5852569,13844,531740,12160,552358,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,48
3446,138625,5003,22116,2246,192894,5932,57935,3689,151103,5033,89617,3849,722683,2733,15648,2229,38051,2932,168343,5812,17531,1746,214306,6611,74627,4124,143553,4845,50624,3130,0400000US49,1433563,5203,710880,3011,15007,2243,43583,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,49
1903,60446,3200,8673,1331,31458,2245,15403,1863,38693,2338,25609,1755,216172,625,4897,781,10847,1404,55754,2465,7987,1286,41837,2490,19627,1706,46044,2103,29179,2042,0400000US50,417437,835,201265,569,7077,954,13906,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,50
4774,389034,10561,76883,4475,357416,8799,113797,4871,387371,8629,315633,6900,1990270,5849,79364,4666,124507,5192,448114,8466,64577,4524,410879,7694,148305,6078,436132,9488,278392,7079,0400000US51,3869178,10132,1878908,6760,101653,5360,137121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,51
5355,353420,10044,80514,4414,462342,10219,166705,5575,376068,7803,213905,5839,1881633,4126,46874,3726,90384,4921,398219,8385,60427,3610,514893,10318,190739,6652,374504,8467,205593,7233,0400000US53,3696494,7111,1814861,4582,50285,3985,111622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,53
3290,214148,6659,43177,3243,101472,4174,25614,2335,64885,3847,36570,2453,636650,1634,34233,2399,64099,3951,220633,5533,39826,3439,120100,4383,45396,3297,68590,3649,43773,2933,0400000US54,1228662,2788,592012,2122,40313,3132,65833,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,54
4644,503655,7854,68762,3812,350116,7067,150512,5698,291613,6681,156528,5188,1751441,2127,52180,2785,88647,4226,533500,7709,45426,2823,370040,6650,182233,4082,326774,6394,152641,5087,0400000US55,3429544,3955,1678103,2683,50684,3159,106233,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,55
1487,43816,2690,10466,1509,47567,3152,15820,1891,26691,2215,16090,1871,171481,1586,3678,906,8464,1355,41318,2646,7198,1583,46962,2838,21212,2073,29352,2730,13297,1913,0400000US56,345266,2131,173785,1528,4939,1276,8396,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,56
3873,183132,6067,23258,2146,101237,5002,56164,3223,107061,4370,47922,3245,920713,8317,178883,5282,85635,5240,184938,6066,22530,2029,113914,4650,84935,4814,179968,5519,69910,3784,0400000US72,1685933,14074,765220,8141,155790,4923,90656,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,72
