GEO_ID,C19001G_001E,C19001G_001M,C19001G_002E,C19001G_002M,C19001G_003E,C19001G_003M,C19001G_004E,C19001G_004M,C19001G_005E,C19001G_005M,C19001G_006E,C19001G_006M,C19001G_007E,C19001G_007M,C19001G_008E,C19001G_008M,C19001G_009E,C19001G_009M,C19001G_010E,C19001G_010M,C19001G_011E,C19001G_011M,NAME,C19001G_001EA,C19001G_001MA,C19001G_002MA,C19001G_002EA,C19001G_003MA,C19001G_003EA,C19001G_004EA,C19001G_004MA,C19001G_005MA,C19001G_005EA,C19001G_006MA,C19001G_006EA,C19001G_007MA,C19001G_007EA,C19001G_008EA,C19001G_008MA,C19001G_009EA,C19001G_009MA,C19001G_010EA,C19001G_010MA,C19001G_011MA,C19001G_011EA,state
0400000US29,32545,2840,4443,1307,2471,688,4550,1032,4249,1056,5328,1248,5082,977,3442,1079,2073,704,582,358,325,227,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6163,1152,767,405,818,447,902,364,905,455,644,366,450,285,1069,523,589,419,19,31,0,237,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,9166,1488,784,458,904,466,2097,710,1245,510,1281,560,1490,544,525,294,720,352,120,142,0,228,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,23295,2755,2084,680,1492,771,2599,715,2208,763,3329,946,4942,1247,3015,963,2425,841,748,414,453,305,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5825,1162,373,277,265,278,966,480,433,292,986,519,1263,537,355,268,747,430,271,180,166,218,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,52796,3728,4636,1307,1819,590,5553,1320,4200,1031,7363,1454,8892,1337,6903,1545,7284,1210,3253,822,2893,733,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,15354,1886,1546,604,1443,563,2418,687,1920,640,2087,820,3150,888,1339,555,1100,491,169,166,182,172,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,129426,5286,14858,2110,9099,1405,18009,2288,15057,1995,16992,1838,18457,2451,12771,1971,14000,2006,5193,1181,4990,1114,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,47818,3893,5823,1315,3036,943,6385,1502,7516,1528,7994,1646,6181,1445,5387,1194,3459,992,1033,535,1004,403,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2619,638,837,496,295,211,287,251,463,334,339,309,24,42,251,224,123,166,0,211,0,211,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,50340,3089,7939,1373,4249,1052,8905,1599,6052,1283,7741,1338,5966,1212,4118,1152,3436,1070,624,324,1310,464,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,78250,3566,8480,1466,5786,1060,12126,1791,11416,1675,12722,1736,14260,1879,5676,913,5299,1093,1767,630,718,325,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,35089,2707,5282,1522,2664,946,4641,1055,4094,935,4745,921,5845,1117,4392,1161,2669,707,408,354,349,271,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,52843,4345,7954,1394,5419,1429,7435,1466,6699,1424,7233,1372,8585,1464,3528,835,3220,804,1718,518,1052,616,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,7085,1468,1467,757,253,264,1148,519,574,330,1160,628,1395,610,296,261,481,307,258,238,53,88,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,18867,2339,1955,656,1692,660,2305,764,2846,1001,2291,818,3618,1050,2374,797,1238,635,104,111,444,335,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3326,847,797,486,531,349,455,370,400,341,251,206,473,346,155,154,264,262,0,223,0,223,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,25188,2602,3070,1057,3461,892,4311,1212,3172,956,3461,983,3809,1282,1817,658,1160,450,359,304,568,434,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,135211,6153,14489,2059,8320,1616,14769,1774,14943,1916,21630,2429,25507,2444,14107,2371,12377,1916,4907,1079,4162,1003,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,11233,1556,754,372,634,444,1237,542,1516,659,2204,702,2810,734,861,404,997,514,166,185,54,87,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2571,741,311,292,152,136,312,356,257,244,537,330,176,102,339,202,298,242,117,126,72,106,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,43938,3687,3202,800,1948,667,3334,846,3899,876,5126,1325,8116,1623,5804,1313,6907,1481,3042,864,2560,883,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,75143,4011,8103,1360,3290,1073,8098,1751,7648,1566,12148,1904,14545,1917,9756,1580,7961,1248,2488,812,1106,400,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,10523,1451,1854,737,1224,459,1739,562,1415,582,2094,671,1321,565,560,309,277,200,0,269,39,66,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,24103,2473,2732,782,1549,611,3994,1118,1933,575,3860,856,4207,1008,3262,978,2166,969,171,132,229,215,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3452,888,610,362,417,382,323,239,317,271,197,345,656,511,670,387,262,243,0,269,0,269,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,168589,5720,50523,3716,21145,2349,32252,2683,22550,2169,18588,2039,14422,1992,4180,920,4189,1284,255,268,485,284,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
