B18130_039E,B18130_039M,B18130_040E,B18130_040M,B18130_041E,B18130_041M,B18130_042E,B18130_042M,B18130_043E,B18130_043M,GEO_ID,B18130_001E,B18130_001M,B18130_002E,B18130_002M,B18130_003E,B18130_003M,B18130_004E,B18130_004M,B18130_005E,B18130_005M,B18130_006E,B18130_006M,B18130_007E,B18130_007M,B18130_008E,B18130_008M,B18130_009E,B18130_009M,B18130_010E,B18130_010M,B18130_011E,B18130_011M,B18130_012E,B18130_012M,B18130_013E,B18130_013M,B18130_014E,B18130_014M,B18130_015E,B18130_015M,B18130_016E,B18130_016M,B18130_017E,B18130_017M,B18130_018E,B18130_018M,B18130_019E,B18130_019M,B18130_020E,B18130_020M,B18130_021E,B18130_021M,B18130_022E,B18130_022M,B18130_023E,B18130_023M,B18130_024E,B18130_024M,B18130_025E,B18130_025M,B18130_026E,B18130_026M,B18130_027E,B18130_027M,B18130_028E,B18130_028M,B18130_029E,B18130_029M,B18130_030E,B18130_030M,B18130_031E,B18130_031M,B18130_032E,B18130_032M,B18130_033E,B18130_033M,B18130_034E,B18130_034M,B18130_035E,B18130_035M,B18130_036E,B18130_036M,B18130_037E,B18130_037M,B18130_038E,B18130_038M,B18130_039EA,B18130_039MA,B18130_040EA,B18130_040MA,B18130_041MA,B18130_041EA,B18130_042EA,B18130_042MA,B18130_043MA,B18130_043EA,NAME,B18130_001MA,B18130_001EA,B18130_002EA,B18130_002MA,B18130_003EA,B18130_003MA,B18130_004EA,B18130_004MA,B18130_005MA,B18130_005EA,B18130_006EA,B18130_006MA,B18130_007EA,B18130_007MA,B18130_008EA,B18130_008MA,B18130_009EA,B18130_009MA,B18130_010MA,B18130_010EA,B18130_011EA,B18130_011MA,B18130_012EA,B18130_012MA,B18130_013MA,B18130_013EA,B18130_014EA,B18130_014MA,B18130_015MA,B18130_015EA,B18130_016MA,B18130_016EA,B18130_017EA,B18130_017MA,B18130_018EA,B18130_018MA,B18130_019EA,B18130_019MA,B18130_020EA,B18130_020MA,B18130_021MA,B18130_021EA,B18130_022EA,B18130_022MA,B18130_023MA,B18130_023EA,B18130_024MA,B18130_024EA,B18130_025MA,B18130_025EA,B18130_026MA,B18130_026EA,B18130_027EA,B18130_027MA,B18130_028MA,B18130_028EA,B18130_029EA,B18130_029MA,B18130_030EA,B18130_030MA,B18130_031EA,B18130_031MA,B18130_032EA,B18130_032MA,B18130_033MA,B18130_033EA,B18130_034EA,B18130_034MA,B18130_035EA,B18130_035MA,B18130_036EA,B18130_036MA,B18130_037EA,B18130_037MA,B18130_038MA,B18130_038EA,state
30197,2649,189630,5264,181000,4964,19457,1863,161543,4879,0400000US13,9414772,5596,669938,4444,5180,1217,1591,671,3589,1190,664758,4573,193669,7729,471089,8086,1787935,6362,94254,6464,31525,3733,62729,5127,1693681,8528,383937,11921,1309744,14095,2142893,7987,116098,6258,39365,3826,76733,4796,2026795,9677,447811,13932,1578984,15655,3810478,8596,496381,11788,137056,6766,359325,10065,3314097,13898,346300,12869,2967797,17586,602701,4221,176857,6011,24601,2566,152256,5917,425844,6056,32729,2924,393115,6143,400827,3790,219827,5157,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
4505,1026,38368,2137,48964,2257,3628,945,45336,2370,0400000US15,1302286,2686,84670,1118,442,352,0,275,442,352,84228,1242,13741,2310,70487,2480,212903,1289,10665,2021,3156,1265,7509,1650,202238,2068,24333,3737,177905,4172,276954,2694,13320,2220,3828,1317,9492,1717,263634,3351,38761,3812,224873,4920,533924,2708,52557,3660,11299,1849,41258,3030,481367,4385,33300,3245,448067,5252,101998,1063,20179,1902,2338,697,17841,1885,81819,1880,2730,791,79089,2104,91837,919,42873,2245,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
4689,1176,39332,2243,39167,2104,3613,1063,35554,1927,0400000US16,1539121,1475,119218,1410,1706,764,662,672,1044,484,117512,1667,28598,2948,88914,3280,304115,2200,16965,2370,4097,1007,12868,1881,287150,2942,46959,3902,240191,4578,349288,2633,22409,2526,8081,1784,14328,1999,326879,3621,72608,5515,254271,6085,573473,2881,80153,4143,20066,2535,60087,3921,493320,5298,45985,4527,447335,5901,109839,1361,29575,2149,3248,918,26327,2045,80264,2280,3666,961,76598,2277,83188,1237,44021,2245,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
40124,3278,305173,6144,360532,6309,27856,2399,332676,6560,0400000US17,12536673,3538,821043,2529,5925,1319,2494,943,3431,860,815118,2863,178455,7624,636663,7830,2265873,3857,98749,5609,28869,2957,69880,4762,2167124,5954,390227,12702,1776897,13381,2874594,4928,119729,6214,34004,2929,85725,4740,2754865,8018,474896,13325,2279969,16170,5025380,5326,518078,9942,125889,5526,392189,8796,4507302,11539,366802,12048,4140500,14117,843954,2555,199117,5093,26402,2021,172715,4587,644837,5175,35506,2600,609331,5305,705829,3381,345297,6597,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
15071,1876,161898,3541,181411,3862,12623,1562,168788,4080,0400000US18,6290632,3781,425235,3032,2676,807,1284,666,1392,530,422559,3085,107265,6207,315294,5564,1151276,3467,64651,4273,21473,2692,43178,3192,1086625,5633,212150,10171,874475,10164,1378129,4399,81082,4930,28602,2920,52480,4004,1297047,6765,272806,10273,1024241,10950,2529208,4568,351159,9436,96245,5735,254914,8305,2178049,10695,168044,6697,2010005,12385,448404,1820,118172,4176,11591,1424,106581,4336,330232,4192,15503,1700,314729,4278,358380,2421,176969,3855,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
9300,1123,82490,2917,114500,3023,7450,1273,107050,2738,0400000US19,2948535,2320,196480,1987,1606,561,472,390,1134,385,194874,2066,38821,3555,156053,3402,513190,2505,24243,2666,7501,1488,16742,2146,488947,3585,68571,5149,420376,6045,638720,4229,32466,2880,10593,1734,21873,2315,606254,4854,117224,6341,489030,7259,1172237,3876,138102,5726,32756,3257,105346,4704,1034135,5769,66031,4666,968104,7641,221618,1430,46357,2522,3572,827,42785,2347,175261,2545,8167,1399,167094,2827,206290,1110,91790,2981,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
8504,1295,76459,2650,84546,2977,5714,933,78832,2897,0400000US20,2761598,3071,202215,2155,1383,735,730,599,653,373,200832,2321,44850,4023,155982,4356,512409,3237,24816,2466,7285,1419,17531,2092,487593,4099,78393,6475,409200,7271,612692,3744,37779,3102,12093,2344,25686,2461,574913,4420,108819,5362,466094,6718,1073785,4369,138759,5882,30476,2792,108283,4990,935026,7253,66371,4492,868655,8776,190988,1841,51494,2943,6332,1211,45162,2748,139494,3179,7373,1122,132121,3210,169509,2072,84963,2879,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
19933,2009,110758,4074,104223,4029,10468,1570,93755,3980,0400000US21,4206037,3457,273915,3036,3084,793,1266,515,1818,601,270831,2966,85382,5950,185449,5005,726525,4267,50216,3390,21958,2903,28258,2612,676309,5043,154154,7361,522155,7843,917773,4222,73613,4032,30547,3153,43066,3479,844160,5566,197078,8215,647082,8888,1731465,5216,348889,8734,106465,6204,242424,7290,1382576,10211,140520,6721,1242056,10799,321445,2079,102501,4059,16643,1915,85858,3815,218944,4097,15480,2034,203464,4289,234914,1856,130691,3854,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
19244,1817,112336,3215,98070,3611,10081,1444,87989,3752,0400000US22,4401009,3936,308791,2515,3381,1062,2084,933,1297,591,305410,2639,99959,5167,205451,5297,789807,5752,57604,4404,20184,2911,37420,3356,732203,6532,177552,9123,554651,9650,1036937,5252,79876,4901,26337,2680,53539,3790,957061,7002,212529,8936,744532,10509,1726913,5855,296646,8873,77561,4801,219085,9030,1430267,9850,146811,6719,1283456,9769,308911,2633,100334,4015,16014,2081,84320,3697,208577,4767,16463,1992,192114,4554,229650,2018,131580,3228,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
5414,968,43160,2089,42936,2121,3177,854,39759,2028,0400000US23,1290891,1490,66637,1226,1214,643,287,243,927,587,65423,1458,15259,2215,50164,2372,201409,1636,15049,2242,4713,1346,10336,1575,186360,2419,27468,2784,158892,3578,240876,2456,19806,2327,6304,1294,13502,1933,221070,3091,38813,3758,182257,4448,578509,2521,83949,3703,22543,2377,61406,3023,494560,3990,32607,2585,461953,4378,111950,684,29015,1893,4945,982,24070,1614,82935,2008,5712,1137,77223,2367,91510,972,48574,2125,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
15783,2129,127727,4300,158515,4345,12576,1973,145939,4559,0400000US24,5620209,4336,358803,2297,3462,902,947,503,2515,813,355341,2429,54411,4797,300930,4991,970258,3905,46631,3259,10491,1725,36140,2965,923627,4942,107264,7772,816363,8737,1241934,4601,59961,4353,12643,2297,47318,3729,1181973,6372,155072,8312,1026901,10325,2362165,4463,236611,8257,48234,3915,188377,7269,2125554,8918,114741,6355,2010813,10141,385024,2018,87909,4439,9619,1460,78290,3943,297115,4586,14930,1637,282185,4601,302025,2565,143510,3987,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
22459,2349,167655,5054,220413,5428,20065,2564,200348,4915,0400000US25,6329411,2784,363252,1508,2040,852,726,492,1314,686,361212,1711,61675,4882,299537,5349,1036872,2826,55957,3793,14974,2519,40983,3192,980915,4914,123442,7391,857473,8478,1376706,3009,73230,5024,21517,2498,51713,4235,1303476,5742,204475,9508,1099001,10159,2688793,3768,277560,8546,77527,4513,200033,7052,2411233,8761,145503,6166,2265730,10963,453261,1915,95308,3991,14046,2002,81262,3357,357953,3998,18734,2372,339219,4436,410527,2472,190114,5084,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
31720,2634,276146,5610,296511,5906,20781,1797,275730,5988,0400000US26,9652866,3756,582957,2308,4818,1241,2302,887,2516,790,578139,2631,162759,6654,415380,6701,1713591,4285,107398,5967,39588,4055,67810,4404,1606193,7053,334000,11017,1272193,12733,2025489,5137,145917,5679,57026,4140,88891,4354,1879572,7635,428063,10709,1451509,12156,4005115,5321,567255,12255,158655,6621,408600,10724,3437860,13721,329043,10539,3108817,16181,721337,2738,188009,5197,23416,2166,164593,4670,533328,5288,30693,2369,502635,5651,604377,2688,307866,6146,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
20137,2017,118430,3110,164546,3570,12285,1398,152261,3902,0400000US27,5187016,2467,351808,2510,2311,898,983,708,1328,510,349497,2607,59402,4030,290095,4294,914294,2994,44045,2636,13814,2049,30231,2478,870249,3804,118238,6410,752011,6360,1152644,3793,55796,4292,18202,2636,37594,3201,1096848,5699,176273,6458,920575,6905,2111500,3966,209001,7510,47796,3719,161205,6793,1902499,7713,110323,5531,1792176,8349,353657,1648,70365,3274,8549,1320,61816,2920,283292,3600,13477,1308,269815,3587,303113,1794,138567,3423,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
14616,1634,78017,2690,63111,2970,7379,1331,55732,2948,0400000US28,2867538,3072,206825,2080,1784,926,685,459,1099,736,205041,2162,79071,4572,125970,4705,536263,3625,35294,3199,14397,2081,20897,2893,500969,4182,147442,8307,353527,8912,632977,4960,47595,4061,20677,2715,26918,3136,585382,5946,156513,7292,428869,9242,1121669,5154,217811,7427,68461,4751,149350,5735,903858,8567,111876,6285,791982,10865,214060,2505,75603,3662,11714,1473,63889,3995,138457,3944,10396,1638,128061,3928,155744,2203,92633,3037,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
