GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001EA,B16009_001MA,B16009_002MA,B16009_002EA,B16009_003MA,B16009_003EA,B16009_004MA,B16009_004EA,B16009_005MA,B16009_005EA,B16009_006MA,B16009_006EA,B16009_007MA,B16009_007EA,B16009_008EA,B16009_008MA,B16009_009MA,B16009_009EA,B16009_010MA,B16009_010EA,B16009_011MA,B16009_011EA,B16009_012EA,B16009_012MA,B16009_013MA,B16009_013EA,B16009_014MA,B16009_014EA,B16009_015MA,B16009_015EA,B16009_016MA,B16009_016EA,B16009_017EA,B16009_017MA,B16009_018MA,B16009_018EA,B16009_019MA,B16009_019EA,B16009_020MA,B16009_020EA,B16009_021MA,B16009_021EA,B16009_022MA,B16009_022EA,B16009_023EA,B16009_023MA,B16009_024MA,B16009_024EA,B16009_025MA,B16009_025EA,B16009_026MA,B16009_026EA,B16009_027MA,B16009_027EA,state
0400000US25,5851827,2851,564719,16846,122151,7307,77485,6698,31284,3407,7066,2056,5617,1553,699,720,442568,13203,289651,10564,70328,5036,48938,4624,27742,3780,5909,1599,5287108,17255,921521,7588,772617,8731,60838,4415,56922,4337,25075,2806,6069,1852,4365587,13196,3524887,17702,236885,8168,426131,14513,140754,6080,36930,4512,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9224170,3965,1204190,25263,317499,11747,277083,10409,19251,3128,7049,2237,2328,1070,11788,3103,886691,17479,787513,16343,40618,3995,24683,3378,12922,2325,20955,3315,8019980,25363,1483127,11706,1358574,11720,52600,4229,34432,3407,18519,2318,19002,3186,6536853,18035,5971072,20236,172589,5888,212205,8519,97722,4914,83265,8040,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4692781,2992,441313,11769,101285,5862,75079,4541,8854,1827,1725,661,6448,2031,9179,3098,340028,8358,282085,7401,22121,2767,9075,1707,11525,2016,15222,2707,4251468,12616,794087,7231,717640,7556,32742,2841,13333,1623,23389,2475,6983,2042,3457381,8399,3166682,10268,102286,4372,74488,5113,75995,4010,37930,3547,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2612950,3036,525050,18704,152727,8791,149804,8612,2266,823,188,200,215,210,254,280,372323,12088,359986,11843,6874,1488,1859,889,1813,828,1791,870,2087900,18534,390878,9047,379849,9133,6928,1255,717,381,1219,627,2165,776,1697022,11964,1645149,12248,27094,2524,10216,2110,9595,1636,4968,1347,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5289799,4305,685282,20404,175249,9482,158441,8159,8515,2047,5224,2231,1308,604,1761,1190,510033,13931,469425,13124,19637,2679,10327,2387,7227,1661,3417,1409,4604517,20132,834965,9218,788419,9619,21991,2116,15405,2327,7381,1698,1769,1026,3769552,14098,3578228,13981,73846,4365,69484,5484,38716,3338,9278,2193,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,864680,1544,114727,6523,26206,3135,23155,2953,820,487,1080,440,91,52,1060,610,88521,4638,78755,3883,2824,1233,3519,1027,652,480,2771,1040,749953,6822,131367,3699,126038,3713,2110,763,2021,806,90,81,1108,571,618586,4698,596192,4981,7224,1137,8346,1362,1711,536,5113,1138,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1588790,1854,173966,8307,39951,3816,33778,3630,4881,1311,219,165,276,225,797,614,134015,6168,115051,5629,11832,2217,1848,833,2914,781,2370,1161,1414824,8421,270440,4220,242964,4240,21549,2141,1663,559,3064,865,1200,774,1144384,6331,1051568,6518,57916,3130,16581,2039,13668,1566,4651,1390,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2279824,1787,226256,11221,59654,5129,34939,4188,22927,4160,421,433,1190,649,177,164,166602,7675,111089,6761,42514,4546,3577,1050,7999,1826,1423,606,2053568,11591,383932,5329,275422,5760,92175,4606,4325,1219,9864,1435,2146,923,1669636,7673,1244259,11607,282458,6972,43229,5018,86018,4713,13672,2804,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1204275,1745,93222,6330,18806,3060,17799,2944,178,221,219,215,391,556,219,360,74416,4619,65754,4615,2372,874,4583,1149,1141,623,566,467,1111053,6855,200783,3723,189826,4135,4707,1113,4230,1120,1592,612,428,450,910270,4493,831749,6395,18274,2095,47173,3907,9376,1603,3698,1341,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,7986544,3583,668799,21951,171000,9969,106808,8385,48504,5119,7314,1759,3240,1256,5134,1938,497799,15076,305887,13206,124044,7455,37812,4146,18412,3445,11644,2832,7317745,21478,1339239,9626,1028718,9938,168423,5843,80088,6032,46370,3048,15640,2501,5978506,15130,4323976,20493,771359,11066,536496,15317,270906,9034,75769,6923,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
