GEO_ID,B19201_001E,B19201_001M,B19201_002E,B19201_002M,B19201_003E,B19201_003M,B19201_004E,B19201_004M,B19201_005E,B19201_005M,B19201_006E,B19201_006M,B19201_007E,B19201_007M,B19201_008E,B19201_008M,B19201_009E,B19201_009M,B19201_010E,B19201_010M,B19201_011E,B19201_011M,B19201_012E,B19201_012M,B19201_013E,B19201_013M,B19201_014E,B19201_014M,B19201_015E,B19201_015M,B19201_016E,B19201_016M,B19201_017E,B19201_017M,NAME,B19201_001MA,B19201_001EA,B19201_002EA,B19201_002MA,B19201_003EA,B19201_003MA,B19201_004MA,B19201_004EA,B19201_005MA,B19201_005EA,B19201_006MA,B19201_006EA,B19201_007MA,B19201_007EA,B19201_008EA,B19201_008MA,B19201_009MA,B19201_009EA,B19201_010MA,B19201_010EA,B19201_011MA,B19201_011EA,B19201_012MA,B19201_012EA,B19201_013EA,B19201_013MA,B19201_014EA,B19201_014MA,B19201_015MA,B19201_015EA,B19201_016MA,B19201_016EA,B19201_017MA,B19201_017EA,state
0400000US40,458214,7968,88218,4391,63963,3162,46596,3275,46579,3800,37259,2954,34943,2837,27607,2820,19237,2016,15839,1821,26473,2730,21236,2150,16572,1856,6227,1059,2710,789,2238,755,2517,813,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,522591,8878,76055,4499,61956,3739,44286,3306,48528,3220,37156,2922,38518,3194,29341,2487,28561,2623,22743,2395,39495,2703,34831,2752,31678,2631,12139,1647,7702,1303,4896,1084,4706,1197,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1671268,13986,277082,7651,222470,7320,173166,5592,149574,4662,125513,4975,111307,4505,91073,4504,85199,4256,62025,4060,107662,4463,105039,4508,82023,4019,38051,2946,13306,1541,15814,2059,11964,1575,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,143275,4964,22092,2207,17337,2044,12016,1800,10826,1445,10160,1637,9350,1363,6941,1134,7051,1520,7260,1267,10683,1891,10808,1450,11297,1576,3188,830,2308,889,900,450,1058,453,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,534254,9263,105591,5216,68971,3268,50910,3795,47295,4068,42344,3372,39620,3201,30190,3284,28095,2691,21519,2749,31723,2945,25590,2275,21681,2539,10077,1601,3573,836,3764,1043,3311,758,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,106513,3268,20929,1969,14945,1552,10214,1505,9932,1298,10167,1373,8351,1315,6372,1076,5597,1047,3371,742,5682,1070,4126,1023,3986,934,1306,504,481,258,432,270,622,412,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,778107,12648,159660,6609,97953,5376,73167,3501,72560,4232,61616,4528,57495,4401,44474,3810,35755,2575,29934,3405,45241,3433,44762,3932,27272,2564,12306,1674,5693,1281,5452,1428,4767,986,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2422871,21374,417303,9505,255348,8072,205871,7192,191687,6404,171131,7026,156191,6722,147041,6946,136265,6900,101375,5568,171447,7000,168275,7706,142428,5982,74249,3953,30448,3018,26871,2638,26941,2523,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,199323,5540,26181,2311,18929,1924,18853,2090,18097,2190,14671,1853,15271,1859,12930,1726,13060,1632,8740,1374,16005,1917,15030,2010,9690,1671,6417,1527,2395,788,1930,688,1124,580,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,91087,3237,12170,1167,11338,1504,7348,1183,9516,1228,6759,1125,5783,918,6526,1085,5932,1240,3555,784,5099,927,7271,1156,5129,1114,2117,547,945,393,805,294,794,291,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,965180,13577,127232,6479,86364,3502,68680,3878,68739,4272,59964,3490,61419,4255,52805,3269,56501,3870,45750,3547,76486,4012,82265,4473,78531,4539,46262,3527,22240,2051,16625,1822,15317,2211,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,876765,11452,118431,5487,81698,4308,65234,3820,66527,3977,56350,3407,63892,3829,53278,4326,54370,4253,39771,2888,68222,4661,75272,4306,64084,4666,31931,2655,12520,1610,13348,1988,11837,1838,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,240683,6418,54350,3302,39581,2588,30303,2300,23283,2185,19096,1691,15836,1797,10719,1518,9391,1574,6985,1408,9382,1513,9147,1588,6246,1120,3800,908,672,369,545,279,1347,584,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,773746,10056,99102,4055,93660,3606,75113,3604,70652,4054,63328,3498,61623,3614,49834,3291,45567,3162,35702,2708,61226,3870,51073,3327,35365,2811,15672,1719,6164,1089,5294,909,4371,860,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,70467,3044,9362,1455,6317,1057,6974,1360,7276,1320,5475,1211,5957,1130,4902,1080,3846,926,2502,690,5490,957,5674,1014,3224,865,1747,728,420,295,719,330,582,398,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,300856,6472,152468,5809,41881,2621,25197,1986,18972,1875,12544,1529,10743,1592,7369,1334,6583,1034,4158,831,5831,1019,6238,1048,4183,934,2134,702,978,432,653,351,924,437,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
