GEO_ID,C08113_001E,C08113_001M,C08113_002E,C08113_002M,C08113_003E,C08113_003M,C08113_004E,C08113_004M,C08113_005E,C08113_005M,C08113_006E,C08113_006M,C08113_007E,C08113_007M,C08113_008E,C08113_008M,C08113_009E,C08113_009M,C08113_010E,C08113_010M,C08113_011E,C08113_011M,C08113_012E,C08113_012M,C08113_013E,C08113_013M,C08113_014E,C08113_014M,C08113_015E,C08113_015M,C08113_016E,C08113_016M,C08113_017E,C08113_017M,C08113_018E,C08113_018M,C08113_019E,C08113_019M,C08113_020E,C08113_020M,C08113_021E,C08113_021M,C08113_022E,C08113_022M,C08113_023E,C08113_023M,C08113_024E,C08113_024M,C08113_025E,C08113_025M,C08113_026E,C08113_026M,C08113_027E,C08113_027M,C08113_028E,C08113_028M,C08113_029E,C08113_029M,C08113_030E,C08113_030M,NAME,C08113_001MA,C08113_001EA,C08113_002EA,C08113_002MA,C08113_003EA,C08113_003MA,C08113_004MA,C08113_004EA,C08113_005MA,C08113_005EA,C08113_006MA,C08113_006EA,C08113_007EA,C08113_007MA,C08113_008EA,C08113_008MA,C08113_009MA,C08113_009EA,C08113_010MA,C08113_010EA,C08113_011MA,C08113_011EA,C08113_012EA,C08113_012MA,C08113_013EA,C08113_013MA,C08113_014EA,C08113_014MA,C08113_015MA,C08113_015EA,C08113_016MA,C08113_016EA,C08113_017EA,C08113_017MA,C08113_018EA,C08113_018MA,C08113_019EA,C08113_019MA,C08113_020MA,C08113_020EA,C08113_021MA,C08113_021EA,C08113_022EA,C08113_022MA,C08113_023EA,C08113_023MA,C08113_024EA,C08113_024MA,C08113_025MA,C08113_025EA,C08113_026MA,C08113_026EA,C08113_027EA,C08113_027MA,C08113_028EA,C08113_028MA,C08113_029EA,C08113_029MA,C08113_030MA,C08113_030EA,state
0400000US24,2813342,14943,2365311,14726,448031,11051,274154,9847,173877,8498,2049298,17462,1768996,16407,280302,8866,185767,7857,94535,5992,300038,10022,223217,8234,76821,5162,33722,3281,43099,4682,248203,8859,194470,7825,53733,4850,32697,3678,21036,3095,113187,5797,91956,5439,21231,2384,12105,1784,9126,1823,102616,5905,86672,5171,15944,1834,9863,1556,6081,1466,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,3173416,16831,2553339,19452,620077,13429,353929,10949,266148,9585,2339080,19166,1953898,20495,385182,11287,231006,8600,154176,7578,270033,9159,183199,6887,86834,5732,41641,3515,45193,4382,272089,8486,185370,6995,86719,5276,45287,3733,41432,4407,178296,8152,131428,6266,46868,4379,25695,2310,21173,3343,113918,4956,99444,4345,14474,1700,10300,1436,4174,941,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,4433325,21661,4045578,21456,387747,10176,241979,8263,145768,6464,3675973,20500,3378713,20655,297260,8677,194227,7198,103033,5241,403383,10322,347132,10010,56251,4793,25361,2641,30890,4188,52258,3836,46698,3482,5560,1249,3148,885,2412,689,149195,6123,131836,5905,17359,2218,11667,1832,5692,1113,152516,5319,141199,5214,11317,1562,7576,1071,3741,1062,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2670719,12142,2434016,11273,236703,7835,138095,5964,98608,4771,2087120,13546,1923516,12523,163604,6328,100118,4694,63486,4547,249560,7953,208370,7087,41190,3033,19105,2120,22085,2127,80634,4668,67735,4094,12899,2131,5969,1111,6930,1652,122351,4365,110333,4095,12018,1748,7803,1436,4215,1038,131054,4893,124062,4474,6992,1347,5100,910,1892,751,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1178470,11227,1135660,11015,42810,3710,24494,2727,18316,2655,968128,13164,941925,12454,26203,2763,17463,2196,8740,1497,142868,6227,130941,5749,11927,2540,3871,1465,8056,2069,4750,1406,4590,1421,160,264,160,264,0,283,38525,3808,34926,3656,3599,1101,2461,755,1138,736,24199,2369,23278,2274,921,394,539,306,382,242,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2741377,16240,2584608,16214,156769,5982,98610,5305,58159,4204,2215467,17131,2105418,16313,110049,4793,71546,4215,38503,3006,286396,8626,259624,8120,26772,3633,15120,2501,11652,2129,37909,3204,35849,3075,2060,881,637,331,1423,839,88589,3983,78357,4104,10232,1572,5746,1243,4486,1226,113016,5182,105360,5072,7656,1522,5561,1481,2095,700,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,459766,4871,442110,5053,17656,2060,14086,1766,3570,863,334199,5025,322883,5134,11316,1671,9020,1476,2296,686,55346,4064,53606,4119,1740,545,1176,410,564,355,4238,1036,4097,1029,141,226,141,226,0,228,35191,2749,32603,2306,2588,872,2179,741,409,319,30792,2339,28921,2227,1871,609,1570,544,301,235,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,910351,7807,832505,7337,77846,3936,37095,2918,40751,2660,720443,7197,667897,7481,52546,3364,28729,2704,23817,2145,95068,4536,77180,4188,17888,2322,4916,1097,12972,2011,4582,1032,4076,931,506,312,265,198,241,238,44933,2685,40409,2498,4524,1126,1683,591,2841,904,45325,2660,42943,2575,2382,746,1502,588,880,461,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1201744,10817,867771,13178,333973,9773,156276,6328,177697,7884,921623,10371,694014,11918,227609,8491,122628,5743,104981,5951,147758,8446,79811,5673,67947,6324,19222,2377,48725,6254,43148,3983,26625,3172,16523,2423,5313,1064,11210,2278,51760,4376,34838,3808,16922,3070,5921,1460,11001,2760,37455,3214,32483,2972,4972,1298,3192,1053,1780,804,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,685446,6779,631545,6142,53901,4109,36158,3271,17743,2352,560191,7597,518309,7023,41882,3844,28844,3194,13038,1889,59019,3981,52632,3718,6387,1907,3930,1259,2457,1081,4879,1110,4646,1119,233,205,168,171,65,108,32029,3124,28312,2975,3717,1347,2123,913,1594,896,29328,2667,27646,2621,1682,643,1093,476,589,351,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
