GEO_ID,C18024_001E,C18024_001M,C18024_002E,C18024_002M,C18024_003E,C18024_003M,C18024_004E,C18024_004M,C18024_005E,C18024_005M,C18024_006E,C18024_006M,C18024_007E,C18024_007M,C18024_008E,C18024_008M,C18024_009E,C18024_009M,C18024_010E,C18024_010M,C18024_011E,C18024_011M,C18024_012E,C18024_012M,C18024_013E,C18024_013M,C18024_014E,C18024_014M,C18024_015E,C18024_015M,NAME,C18024_001MA,C18024_001EA,C18024_002EA,C18024_002MA,C18024_003EA,C18024_003MA,C18024_004EA,C18024_004MA,C18024_005MA,C18024_005EA,C18024_006MA,C18024_006EA,C18024_007MA,C18024_007EA,C18024_008MA,C18024_008EA,C18024_009EA,C18024_009MA,C18024_010EA,C18024_010MA,C18024_011MA,C18024_011EA,C18024_012MA,C18024_012EA,C18024_013EA,C18024_013MA,C18024_014EA,C18024_014MA,C18024_015EA,C18024_015MA,state
0400000US30,614663,2208,14864,1902,8208,1281,2389,644,5819,1167,6656,1368,2264,907,4392,961,599799,2958,299542,2078,231658,3501,67884,3211,300257,2537,211233,3983,89024,3555,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1127084,2273,16528,1792,7054,956,1812,494,5242,777,9474,1363,2165,654,7309,1175,1110556,2643,560460,2089,465999,4393,94461,3782,550096,2100,412747,4583,137349,4746,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1630778,2730,28479,2657,12603,1875,3668,940,8935,1506,15876,2000,2909,910,12967,1945,1602299,3566,818292,3479,651586,6370,166706,5854,784007,3743,519784,6944,264223,7097,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,887758,2003,17707,2338,8072,1313,2197,704,5875,1197,9635,1816,1912,680,7723,1758,870051,3183,432230,2395,355989,4408,76241,3973,437821,2774,318738,3702,119083,3615,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5686100,4835,106472,5896,52819,3376,9434,1722,43385,3352,53653,3933,9546,1635,44107,3612,5579628,7675,2744810,5306,2157603,10904,587207,9949,2834818,5341,1917073,13027,917745,13599,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1239177,3348,29761,2949,13920,2088,2804,872,11116,1667,15841,1879,2903,869,12938,1847,1209416,4694,592304,3442,443900,6237,148404,6182,617112,3113,391074,5613,226038,6038,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12662582,7936,249051,8848,116207,4931,17114,2052,99093,4950,132844,6932,18448,2507,114396,6110,12413531,11829,6042239,7768,4504202,17588,1538037,17306,6371292,8306,4123164,20515,2248128,18765,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5732292,7173,146088,5519,63153,4256,11071,1936,52082,3639,82935,4663,13210,1839,69725,4340,5586204,9239,2735518,7816,2094343,12685,641175,11938,2850686,7045,1887711,11076,962975,11770,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,407708,1756,4553,795,2107,542,356,211,1751,518,2446,659,385,190,2061,626,403155,1868,202831,1647,166324,2368,36507,2319,200324,1690,152523,2971,47801,2845,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7409099,5594,172871,6646,76864,4528,17084,1825,59780,3998,96007,4634,18085,2249,77922,4012,7236228,8974,3556187,5839,2726238,13500,829949,12927,3680041,6885,2507410,13349,1172631,14330,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2252472,4205,66400,3999,28153,2593,5811,1214,22342,2064,38247,2917,6055,908,32192,2851,2186072,5093,1077682,4109,823509,7239,254173,7292,1108390,4365,719328,7989,389062,8561,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2440267,3607,53345,3749,23901,2653,5015,1315,18886,2319,29444,2741,5148,1095,24296,2360,2386922,4811,1195943,3999,925714,8147,270229,7666,1190979,3888,793071,7163,397908,7224,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,7989954,6293,188479,6003,91490,4319,14821,1765,76669,4169,96989,4105,15194,1773,81795,3518,7801475,8693,3831881,5769,2937542,13617,894339,12792,3969594,6611,2667895,14776,1301699,15077,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,705218,1877,14477,1697,6223,1170,1359,525,4864,920,8254,1223,1773,570,6481,1198,690741,2582,337508,2187,262651,3681,74857,3453,353233,2111,246177,5287,107056,5059,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2780504,4478,77574,4074,35378,2918,6890,1361,28488,2764,42196,2867,5874,1420,36322,2493,2702930,6281,1304843,4864,972761,8906,332082,7992,1398087,4727,903390,9433,494697,8737,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,490361,1814,7538,1254,3616,835,1224,490,2392,719,3922,920,1228,465,2694,794,482823,2323,243203,2093,200935,3103,42268,3213,239620,1834,179661,3222,59959,3235,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3934144,5645,114221,6691,51955,4025,7418,1350,44537,3716,62266,4423,8880,1500,53386,3871,3819923,9073,1877854,6837,1411913,12152,465941,12107,1942069,6042,1235530,11577,706539,10360,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,15011389,10095,322982,9454,145596,5908,24593,2442,121003,5694,177386,7289,28201,2949,149185,6167,14688407,13551,7298261,10091,5724202,19240,1574059,20751,7390146,10779,4596513,19906,2793633,19965,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1596399,2657,22675,2213,10919,1272,3219,858,7700,1044,11756,1837,2454,811,9302,1547,1573724,3639,788621,2921,660138,5827,128483,5591,785103,2660,515685,7033,269418,7109,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,424097,1174,6814,1188,2507,603,507,329,2000,546,4307,1044,1202,598,3105,831,417283,1745,207812,1306,164931,2688,42881,2609,209471,1537,152833,3353,56638,2978,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4984991,8760,90196,4403,43366,3265,8111,1376,35255,3222,46830,3054,7573,1359,39257,2788,4894795,9593,2372812,7466,1884758,11297,488054,9567,2521983,5258,1747435,13209,774548,12448,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4237999,5016,90719,4410,41146,2948,7663,1206,33483,2685,49573,3070,9872,1683,39701,2804,4147280,6597,2069502,5017,1601881,10518,467621,8991,2077778,4820,1375766,10497,702012,11097,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1181724,2475,42410,3114,21302,2138,2456,767,18846,2010,21108,2131,1994,666,19114,2037,1139314,3883,564857,3237,397421,5578,167436,5841,574457,2758,334534,6681,239923,6799,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3635308,3645,64682,3975,30097,2669,7051,1115,23046,2451,34585,2740,7613,1128,26972,2454,3570626,5199,1793330,3814,1444397,8767,348933,7557,1777296,4042,1325580,9038,451716,8322,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,340103,1939,8629,1371,3845,1091,766,356,3079,907,4784,863,908,421,3876,847,331474,2309,168724,2150,140916,2767,27808,2358,162750,1682,119486,2678,43264,2384,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2500501,3031,87246,4253,47179,3294,2759,737,44420,3195,40067,2972,3904,884,36163,2789,2413255,4720,1142050,3398,638982,8698,503068,8592,1271205,3497,537755,9168,733450,9405,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
