GEO_ID,B20017_001E,B20017_001M,B20017_002E,B20017_002M,B20017_003E,B20017_003M,B20017_004E,B20017_004M,B20017_005E,B20017_005M,B20017_006E,B20017_006M,B20017_007E,B20017_007M,NAME,B20017_001MA,B20017_001EA,B20017_002MA,B20017_002EA,B20017_003EA,B20017_003MA,B20017_004EA,B20017_004MA,B20017_005EA,B20017_005MA,B20017_006MA,B20017_006EA,B20017_007EA,B20017_007MA,state
0400000US20,25590,279,31104,328,40595,341,10008,471,20342,322,30552,358,8708,345,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,24713,338,30308,330,39595,736,10890,333,20118,304,29362,468,8733,293,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23218,382,30972,269,40765,350,12317,401,17112,283,27000,425,8774,302,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25227,334,30827,443,40116,629,11070,428,20461,428,30338,518,9548,526,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35593,311,41287,360,51316,331,13928,755,30435,312,41761,344,12337,268,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,32711,440,40907,273,51960,312,12628,635,26662,348,40174,304,11894,222,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,26851,180,34153,560,47329,427,11449,204,20985,174,33748,389,9874,181,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,30174,143,36337,288,46349,354,12316,260,23932,356,35611,296,11097,195,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,22180,255,27393,543,35617,583,10576,462,17531,438,25849,469,8651,440,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,25269,205,30731,243,40443,268,10566,273,20694,256,30127,301,9126,282,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,21388,378,27237,762,36378,825,11727,517,16390,634,26007,562,8474,519,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,25067,295,30437,374,37828,757,10101,547,20267,333,29467,740,8840,366,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,30228,225,34440,898,41717,452,17526,1110,25589,369,31915,343,12312,468,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,31014,371,38719,1198,48254,1752,12072,535,24457,655,34719,1035,11198,473,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,35468,276,42180,260,52487,591,15152,436,28588,534,41100,289,12095,196,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,22254,380,27178,738,37064,663,10161,535,18181,717,28884,957,8712,519,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,30469,135,35493,240,45833,293,12388,168,25761,173,36769,201,11286,125,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,25197,167,29826,378,37545,560,11091,279,20945,195,30600,222,9738,246,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,23530,594,30397,526,38179,1540,10728,672,17659,880,26583,595,8810,617,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,26386,158,32260,190,42346,260,10645,174,21032,174,31748,170,9456,159,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,22730,366,27971,906,36655,547,9939,418,18019,423,27626,475,7980,308,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,25454,317,30952,379,41536,399,12378,316,20767,292,32390,484,10513,236,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,27151,131,33279,333,43402,403,10679,183,21769,155,32190,175,9238,178,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,28134,1021,34230,1430,45544,1143,11854,477,23007,856,35510,761,10716,513,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,24459,270,29510,504,37194,451,10501,375,20294,268,28696,489,9307,351,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,23580,558,27209,566,34937,892,8832,962,19934,583,28158,819,8762,590,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,25028,220,30220,236,37589,709,10923,291,20522,230,29300,494,9358,271,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25013,143,29918,262,38797,532,11002,160,20246,150,30954,166,8739,155,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,23593,419,31322,454,41475,431,11187,372,16234,404,29623,786,7780,367,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,25689,445,30423,632,40119,678,11094,626,21434,542,31763,756,10453,569,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,30931,206,36693,290,47063,444,12067,349,25234,299,36062,390,10695,189,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,29807,413,36195,342,48331,631,14541,520,22748,359,36158,382,11414,192,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,22608,511,29270,977,37622,1400,10531,539,17114,510,25758,611,8298,445,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,27143,201,33691,475,42380,242,11223,241,21667,219,31539,218,10469,175,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,25247,708,33407,1845,41913,869,11768,728,18474,1079,27926,1039,9594,826,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,14210,209,14272,251,19744,410,6344,177,14136,303,18765,340,6392,207,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
