B25011_016E,B25011_016M,B25011_017E,B25011_017M,B25011_018E,B25011_018M,B25011_019E,B25011_019M,B25011_020E,B25011_020M,B25011_021E,B25011_021M,B25011_022E,B25011_022M,B25011_023E,B25011_023M,B25011_024E,B25011_024M,B25011_025E,B25011_025M,B25011_026E,B25011_026M,B25011_027E,B25011_027M,B25011_028E,B25011_028M,B25011_029E,B25011_029M,B25011_030E,B25011_030M,B25011_031E,B25011_031M,B25011_032E,B25011_032M,B25011_033E,B25011_033M,B25011_034E,B25011_034M,B25011_035E,B25011_035M,B25011_036E,B25011_036M,B25011_037E,B25011_037M,B25011_038E,B25011_038M,B25011_039E,B25011_039M,B25011_040E,B25011_040M,B25011_041E,B25011_041M,B25011_042E,B25011_042M,B25011_043E,B25011_043M,B25011_044E,B25011_044M,B25011_045E,B25011_045M,B25011_046E,B25011_046M,B25011_047E,B25011_047M,B25011_048E,B25011_048M,B25011_049E,B25011_049M,GEO_ID,B25011_001E,B25011_001M,B25011_002E,B25011_002M,B25011_003E,B25011_003M,B25011_004E,B25011_004M,B25011_005E,B25011_005M,B25011_006E,B25011_006M,B25011_007E,B25011_007M,B25011_008E,B25011_008M,B25011_009E,B25011_009M,B25011_010E,B25011_010M,B25011_011E,B25011_011M,B25011_012E,B25011_012M,B25011_013E,B25011_013M,B25011_014E,B25011_014M,B25011_015E,B25011_015M,B25011_016MA,B25011_016EA,B25011_017MA,B25011_017EA,B25011_018MA,B25011_018EA,B25011_019EA,B25011_019MA,B25011_020EA,B25011_020MA,B25011_021EA,B25011_021MA,B25011_022MA,B25011_022EA,B25011_023MA,B25011_023EA,B25011_024MA,B25011_024EA,B25011_025EA,B25011_025MA,B25011_026EA,B25011_026MA,B25011_027MA,B25011_027EA,B25011_028MA,B25011_028EA,B25011_029MA,B25011_029EA,B25011_030EA,B25011_030MA,B25011_031EA,B25011_031MA,B25011_032EA,B25011_032MA,B25011_033EA,B25011_033MA,B25011_034MA,B25011_034EA,B25011_035MA,B25011_035EA,B25011_036EA,B25011_036MA,B25011_037MA,B25011_037EA,B25011_038EA,B25011_038MA,B25011_039MA,B25011_039EA,B25011_040MA,B25011_040EA,B25011_041EA,B25011_041MA,B25011_042EA,B25011_042MA,B25011_043EA,B25011_043MA,B25011_044MA,B25011_044EA,B25011_045MA,B25011_045EA,B25011_046MA,B25011_046EA,B25011_047EA,B25011_047MA,B25011_048MA,B25011_048EA,B25011_049MA,B25011_049EA,NAME,B25011_001MA,B25011_001EA,B25011_002MA,B25011_002EA,B25011_003EA,B25011_003MA,B25011_004EA,B25011_004MA,B25011_005MA,B25011_005EA,B25011_006MA,B25011_006EA,B25011_007MA,B25011_007EA,B25011_008EA,B25011_008MA,B25011_009EA,B25011_009MA,B25011_010EA,B25011_010MA,B25011_011MA,B25011_011EA,B25011_012MA,B25011_012EA,B25011_013MA,B25011_013EA,B25011_014EA,B25011_014MA,B25011_015EA,B25011_015MA,state
43458,2768,581160,10361,501930,10097,54312,3458,280695,8601,166923,5126,79230,4502,21755,2388,47972,3376,9503,1506,1091584,16605,592675,13534,265827,9270,115143,6677,133488,5722,17196,1578,326848,10735,75226,4876,36327,3470,35850,3536,3049,946,251622,8987,112990,6088,127588,5696,11044,1568,498909,11301,390903,10347,125205,6100,199775,8063,65923,4136,108006,5425,71749,4522,34521,3432,1736,659,0400000US13,3376763,13781,2285179,17167,1704019,16689,1373552,16927,196695,6660,955645,11968,221212,4655,330467,9274,89757,5321,16797,2665,62830,4286,10130,1330,240710,7396,34688,2944,162564,6683,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
11577,1151,61507,3606,52240,3405,4335,1248,26444,2331,21461,2273,9267,1522,1510,795,6379,1265,1378,439,175033,4748,105010,3819,68016,3108,21263,2072,40127,2869,6626,933,36994,3433,10024,1558,4339,1156,5066,1176,619,411,26970,3045,8963,1783,15914,2289,2093,580,70023,3691,53773,3405,14630,2092,27483,2396,11660,1561,16250,2063,9132,1582,6329,1520,789,425,0400000US15,432632,4384,257599,4950,196092,4478,154709,4017,11821,1854,101839,3764,41049,2020,41383,2410,14242,1494,2681,885,8765,1313,2796,708,27141,1871,1645,624,13919,1609,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
4253,900,94263,3876,78279,3328,7816,1384,39944,2778,30519,2214,15984,1885,4305,1078,9560,1311,2119,530,157573,4661,85967,4288,53366,3451,28910,2761,21153,1986,3303,790,32601,2979,8171,1556,4059,1125,3909,997,203,163,24430,2583,11316,1813,12050,1759,1064,567,71606,3602,52608,3417,18465,2331,23153,2006,10990,1487,18998,2633,15010,2181,3571,1078,417,230,0400000US16,548555,3560,390982,4444,296719,5064,260629,5232,44896,2388,165923,4654,49810,1970,36090,2807,13390,1640,2098,639,9650,1332,1642,587,22700,2326,3724,1099,14723,1913,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
62457,3713,858165,12554,745052,12144,79737,5048,363564,9478,301751,6581,113113,5864,33661,2985,65389,3911,14063,1771,1422885,14359,703140,12320,322038,10019,122202,6030,171367,7416,28469,2793,381102,9523,81722,4653,38070,3345,39724,2895,3928,1005,299380,8073,130544,5354,155369,6449,13467,2035,719745,11397,584761,11337,172228,7413,272415,7871,140118,5389,134984,6636,95913,4854,35306,3552,3765,1092,0400000US17,4724252,12168,3301367,17286,2443202,16157,2033413,15306,277040,6155,1397742,11708,358631,6010,409789,10406,121800,5051,27081,2764,77796,4146,16923,1755,287989,8439,37697,3688,187835,6487,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
28263,2346,443888,7647,380677,7224,33118,2875,187704,5544,159855,4205,63211,3595,20762,2432,36072,2480,6377,1020,678946,11714,332591,10587,150690,6103,61802,4133,75396,4570,13492,1613,181901,7777,43177,4033,20245,2819,21316,2255,1616,566,138724,6634,71154,4890,62862,4181,4708,1086,346355,9106,280688,8221,82309,4644,132213,6190,66166,2929,65667,4445,45630,3690,19054,2647,983,463,0400000US18,2435274,11216,1756328,13334,1312440,12724,1097935,11443,164431,5987,731428,8133,202076,3925,214505,7111,69375,4411,16448,2212,45465,3417,7462,1043,145130,5554,24241,2589,92626,4370,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
10927,1428,229493,5475,194700,5518,18953,1768,87672,3942,88075,3381,34793,2223,11786,1431,19035,1645,3972,703,322796,6591,140494,4967,74438,3425,28476,2687,37896,2329,8066,1063,66056,3595,16723,1955,7625,1186,8770,1286,328,229,49333,3205,26086,2719,21854,2415,1393,522,182302,5120,142690,4741,45863,3065,55956,3397,40871,2487,39612,2782,32679,2519,6251,1158,682,330,0400000US19,1208765,6039,885969,8474,656476,7645,566896,7420,82360,3432,366116,5280,118420,2536,89580,3191,28344,1888,6665,952,18848,1802,2831,681,61236,2752,11506,1419,38803,2371,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
10350,1196,193260,5413,169353,5206,14440,1693,82200,4030,72713,3214,23907,2235,7657,1187,13726,1740,2524,619,327266,6238,156791,4921,86638,3761,40370,3246,39522,3014,6746,1132,70153,4040,14952,1848,7271,1261,7472,1483,209,198,55201,3565,28430,2660,24884,2645,1887,593,170475,5770,133804,5692,41707,3628,60037,3796,32060,2338,36671,3067,29243,2896,6621,1277,807,413,0400000US20,1088288,6040,761022,7416,567762,6887,485051,6674,68230,2995,323187,4810,93634,2597,82711,3792,26038,2247,5167,983,18666,2037,2205,530,56673,2856,10373,1759,35950,2157,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
24203,2202,308526,7988,272030,7352,22765,2513,135275,5311,113990,4210,36496,3196,8370,1653,23870,2489,4256,927,484830,8729,247849,7717,122971,5463,54059,4128,60406,3441,8506,1383,124878,6057,25621,2585,11075,2033,13668,1878,878,473,99257,5664,47638,4223,47650,3949,3969,894,236981,7016,193813,6109,50193,3781,98044,5182,45576,2720,43168,3544,29979,3004,12269,1917,920,432,0400000US21,1651911,8409,1167081,10490,858555,9527,709533,9901,101982,4499,475064,6958,132487,3372,149022,5373,42739,2970,8330,1482,28375,2649,6034,1079,106283,4427,14284,2347,67796,3838,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
26939,2142,268334,6891,235045,6933,17523,2468,116416,4722,101106,4040,33289,2749,9060,1457,19050,1930,5179,997,493311,9057,269235,8924,117609,5490,44124,3199,62724,4078,10761,1470,151626,7108,24694,3198,10923,1956,12434,2020,1337,556,126932,6981,55790,4362,63472,4816,7670,1463,224076,6966,180378,7081,48939,3566,92257,4942,39182,3009,43698,3382,29314,2865,13494,2109,890,402,0400000US22,1564978,7812,1071667,10774,803333,10477,630787,10414,89789,3964,422156,7617,118842,3214,172546,6572,47822,3731,9446,1751,28661,2957,9715,1527,124724,6077,19281,2761,78504,4554,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
6556,1237,106966,4463,85818,3421,4551,991,44135,2623,37132,2225,21148,2124,4023,963,14490,1571,2635,644,149171,5616,66204,4197,33424,3095,13398,1746,15690,1913,4336,952,32780,3305,7707,1298,4234,1055,3255,846,218,180,25073,2712,11549,1795,12642,2038,882,375,82967,4303,63411,3391,15253,2141,27659,2346,20499,1929,19556,2359,12750,1633,6278,1514,528,308,0400000US23,548247,3968,399076,5723,292110,5350,243548,5632,25513,2126,171291,4125,46744,1971,48562,3086,15911,1726,2923,913,11068,1227,1920,540,32651,2717,5066,1004,21029,1921,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
29878,2179,375585,9293,313863,8570,30588,2745,172695,6621,110580,3901,61722,4071,16768,2340,38313,2880,6641,938,638620,10342,330829,7759,156520,6256,54132,3470,87280,5274,15108,1424,174309,6008,38902,3332,17613,2388,19785,2032,1504,657,135407,5428,53449,3839,74496,3934,7462,1134,307791,9438,243759,7806,64038,4066,116909,6412,62812,3336,64032,4777,41103,3549,21515,2563,1414,500,0400000US24,2089031,6574,1450411,12170,1074826,11573,861576,10541,94673,4049,617322,9244,149581,3329,213250,6302,58204,3724,11836,1899,38137,3268,8231,1130,155046,5025,19390,2170,105778,4272,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
31058,2774,406787,10324,333808,8758,27816,2414,171803,7288,134189,5454,72979,4617,15445,1768,47973,3741,9561,1196,858126,11260,384401,8933,191476,7269,65145,4068,99223,5329,27108,2244,192925,6899,40544,3652,17504,2332,21272,2681,1768,672,152381,5981,55671,4499,88849,4976,7861,1447,473725,10600,373842,10296,85617,5136,173105,7195,115120,4982,99883,5758,67566,4915,30583,3340,1734,545,0400000US25,2446485,10151,1588359,10560,1181572,11107,984308,10968,94575,4478,711727,9502,178006,3503,197264,7227,59543,3604,7133,1701,39519,3202,12891,1395,137721,5669,9876,2018,96787,5024,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
