GEO_ID,C18021_001E,C18021_001M,C18021_002E,C18021_002M,C18021_003E,C18021_003M,C18021_004E,C18021_004M,C18021_005E,C18021_005M,C18021_006E,C18021_006M,C18021_007E,C18021_007M,C18021_008E,C18021_008M,C18021_009E,C18021_009M,C18021_010E,C18021_010M,C18021_011E,C18021_011M,C18021_012E,C18021_012M,C18021_013E,C18021_013M,C18021_014E,C18021_014M,C18021_015E,C18021_015M,NAME,C18021_001MA,C18021_001EA,C18021_002MA,C18021_002EA,C18021_003MA,C18021_003EA,C18021_004EA,C18021_004MA,C18021_005EA,C18021_005MA,C18021_006EA,C18021_006MA,C18021_007MA,C18021_007EA,C18021_008MA,C18021_008EA,C18021_009EA,C18021_009MA,C18021_010EA,C18021_010MA,C18021_011EA,C18021_011MA,C18021_012EA,C18021_012MA,C18021_013MA,C18021_013EA,C18021_014EA,C18021_014MA,C18021_015EA,C18021_015MA,state
0400000US34,5686100,4835,107393,5792,58830,4357,29766,2855,29064,3037,48563,4071,21221,2108,27342,2988,5578707,8525,2738799,5714,2137271,11213,601528,9796,2839908,5503,1905398,13421,934510,13048,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1239177,3348,46555,3991,27478,3102,13449,2077,14029,2077,19077,2321,8398,1483,10679,1764,1192622,5139,578746,4183,433255,6263,145491,6073,613876,3378,385579,5993,228297,5527,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12662582,7936,274992,7856,144924,5959,68553,4807,76371,3988,130068,5488,51763,3813,78305,4530,12387590,10847,6013522,8755,4452763,18538,1560759,17802,6374068,7111,4089849,20356,2284219,20179,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5732292,7173,180053,7563,99354,4974,50684,3594,48670,3910,80699,5095,28976,2693,51723,4245,5552239,10975,2699317,8081,2054730,12285,644587,12674,2852922,7970,1871945,11295,980977,11715,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,407708,1756,9640,1271,6312,939,3967,768,2345,506,3328,775,2109,672,1219,344,398068,2014,198626,1719,162713,2390,35913,2342,199442,1800,150799,3001,48643,2944,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7409099,5594,213275,7073,122183,5179,64045,4300,58138,3437,91092,4630,37189,3151,53903,3366,7195824,9148,3510868,6711,2679277,13052,831591,12826,3684956,6305,2488306,13452,1196650,13343,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2252472,4205,100616,4781,55333,3614,26865,2550,28468,2438,45283,2748,20489,1938,24794,2155,2151856,5472,1050502,4830,802455,7188,248047,6812,1101354,4557,704894,7934,396460,8303,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2440267,3607,76752,5149,46551,3688,26783,2945,19768,2423,30201,3407,13528,2092,16673,2399,2363515,5709,1173293,4595,903946,8600,269347,7611,1190222,4360,784691,7488,405531,6994,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,7989954,6293,211934,6641,124438,5079,63099,3767,61339,3683,87496,4381,36856,3007,50640,3402,7778020,9352,3798933,6626,2889264,13703,909669,13155,3979087,6500,2646233,14264,1332854,15418,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,705218,1877,18712,2157,9873,1716,5627,1404,4246,1100,8839,1472,4046,941,4793,1179,686506,2766,333858,2228,258383,3598,75475,3447,352648,2240,243904,5319,108744,5079,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2780504,4478,94377,4964,53698,3535,26002,2666,27696,2831,40679,3015,13407,1946,27272,2601,2686127,6622,1286523,5213,953649,9041,332874,8247,1399604,4495,895857,9100,503747,8511,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,490361,1814,13917,1656,8550,1245,5185,971,3365,803,5367,1190,2227,615,3140,972,476444,2558,238269,2008,196974,3127,41295,3104,238175,2087,178662,3341,59513,2965,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3934144,5645,156035,7663,86323,5440,37863,3336,48460,3726,69712,4163,23514,2231,46198,3426,3778109,9618,1843486,7415,1381468,12183,462018,11325,1934623,5294,1220896,11287,713727,10332,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,15011389,10095,472620,12251,269652,8922,145621,6910,124031,6185,202968,7215,81425,4599,121543,5899,14538769,13098,7174205,11658,5603174,20104,1571031,19197,7364564,10617,4543289,19904,2821275,20971,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1596399,2657,39683,2787,22774,2044,15174,1704,7600,1304,16909,1704,9243,1344,7666,1278,1556716,4116,776766,3520,648183,5946,128583,5734,779950,2479,508896,6974,271054,7300,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,424097,1174,13951,1514,7595,1154,4536,765,3059,749,6356,988,3481,801,2875,697,410146,1926,202724,1629,160902,2973,41822,2608,207422,1407,150554,3255,56868,2931,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4984991,8760,120617,6044,68266,4635,34027,3193,34239,3121,52351,3247,19908,2326,32443,2695,4864374,10661,2347912,8621,1858842,11548,489070,9931,2516462,5300,1735100,13152,781362,13260,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4237999,5016,138727,6166,84643,4830,48761,3764,35882,2957,54084,3902,22219,2527,31865,2877,4099272,8144,2026005,7139,1560783,10706,465222,9198,2073267,5247,1363419,10832,709848,11525,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1181724,2475,62086,4336,36458,3059,13063,1732,23395,2305,25628,2580,6603,1280,19025,2152,1119638,4586,549701,3605,386814,5503,162887,5737,569937,3014,329925,6329,240012,6288,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3635308,3645,82945,4185,51429,3109,30804,2408,20625,1961,31516,2607,16328,1817,15188,1708,3552363,5327,1771998,4195,1420644,8974,351354,7796,1780365,3752,1316865,9080,463500,8516,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,340103,1939,12235,1561,8255,1263,5438,999,2817,861,3980,942,2121,693,1859,617,327868,2565,164314,2246,136244,2697,28070,2146,163554,1669,118273,2532,45281,2478,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2500501,3031,171532,6168,81532,3981,26541,2164,54991,3529,90000,3958,24890,2389,65110,3402,2328969,6739,1107697,4523,615200,8764,492497,8660,1221272,4526,516769,9033,704503,9485,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
