GEO_ID,C11001G_001E,C11001G_001M,C11001G_002E,C11001G_002M,C11001G_003E,C11001G_003M,C11001G_004E,C11001G_004M,C11001G_005E,C11001G_005M,NAME,C11001G_001MA,C11001G_001EA,C11001G_002EA,C11001G_002MA,C11001G_003EA,C11001G_003MA,C11001G_004EA,C11001G_004MA,C11001G_005MA,C11001G_005EA,state
0400000US23,5413,996,3874,939,2260,870,1614,511,1539,518,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,24948,2477,16472,2126,10472,1663,6000,1219,8476,1330,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,26677,2951,15973,2154,8424,1342,7549,1547,10704,1793,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,43197,2736,26274,2221,17438,1764,8836,1458,16923,1843,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,16645,1826,9874,1272,5004,941,4870,1058,6771,1178,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,5476,1132,4022,999,2564,741,1458,719,1454,561,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,25802,2238,17249,1759,11388,1518,5861,1056,8553,1275,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5097,1038,2856,694,2088,647,768,349,2241,776,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,7227,1112,4674,946,2261,606,2413,765,2553,835,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,16897,2393,11219,1896,6811,1462,4408,1089,5678,1291,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,2819,722,1438,365,1041,312,397,226,1381,628,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,33409,2928,22184,2360,13790,1658,8394,1736,11225,2098,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,17149,2289,10369,1704,6666,1431,3703,955,6780,1480,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,84583,4730,51353,3543,28764,2486,22589,2609,33230,3092,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,28962,2974,18168,2140,11318,1674,6850,1331,10794,1854,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1966,654,952,414,576,296,376,299,1014,514,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,39611,3091,25310,2350,15600,1782,9710,1640,14301,1936,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,67669,3244,44397,2748,29029,2241,15368,1836,23272,2072,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,27401,2321,17135,1767,11806,1439,5329,1034,10266,1301,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,29515,2593,18621,1956,9068,1194,9553,1521,10894,1598,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,5788,1393,2689,958,1489,603,1200,696,3099,1092,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,13268,1820,7914,1446,4139,1024,3775,1165,5354,1236,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2937,807,1505,669,1076,576,429,299,1432,594,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,20150,2216,12016,1636,7976,1387,4040,865,8134,1510,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,97645,5775,65733,4314,43820,3215,21913,2474,31912,3109,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,7063,1377,4892,1092,3368,932,1524,493,2171,730,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2336,389,1404,344,1064,357,340,185,932,359,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,36190,3423,22629,2624,14761,2251,7868,1436,13561,2289,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,49756,4021,29908,2754,19618,2177,10290,1675,19848,2751,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,5513,1163,3854,948,2395,732,1459,556,1659,617,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,16727,1792,11690,1551,7644,1384,4046,870,5037,1055,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3590,1054,2117,708,1431,483,686,477,1473,685,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US72,55839,3033,40731,2475,22492,1938,18239,1735,15108,1912,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
