GEO_ID,C18020G_001E,C18020G_001M,C18020G_002E,C18020G_002M,C18020G_003E,C18020G_003M,C18020G_004E,C18020G_004M,C18020G_005E,C18020G_005M,C18020G_006E,C18020G_006M,C18020G_007E,C18020G_007M,NAME,C18020G_001EA,C18020G_001MA,C18020G_002EA,C18020G_002MA,C18020G_003EA,C18020G_003MA,C18020G_004MA,C18020G_004EA,C18020G_005MA,C18020G_005EA,C18020G_006EA,C18020G_006MA,C18020G_007EA,C18020G_007MA,state
0400000US15,154041,7736,17646,2380,7181,1419,10465,1862,136395,7483,100287,6178,36108,3203,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15400,1590,3268,776,1131,526,2137,610,12132,1580,8176,1134,3956,973,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,93701,6563,12015,1830,4424,1093,7591,1366,81686,6164,57223,4719,24463,2928,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,43903,3344,8751,1629,3424,945,5327,1148,35152,3225,24831,2564,10321,1658,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16553,2255,4009,1053,1963,687,2046,695,12544,1909,9198,1687,3346,822,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,30787,2694,5180,1123,2173,688,3007,897,25607,2612,17995,1966,7612,1355,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,21357,2886,6993,1693,2524,926,4469,1269,14364,2191,10583,1767,3781,1002,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20318,2193,5530,987,2006,686,3524,782,14788,1900,10331,1656,4457,998,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,10231,1477,3591,720,1102,527,2489,638,6640,1267,4460,1037,2180,740,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,51618,4013,7393,1275,3509,900,3884,1010,44225,3833,33243,3199,10982,1711,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,56407,4606,9928,1815,4309,1220,5619,1225,46479,4020,33967,3537,12512,1619,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,87326,4911,19164,1960,7513,1171,11651,1510,68162,4384,45610,3371,22552,2487,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,36783,2935,5627,997,2416,648,3211,732,31156,2882,22612,2416,8544,1293,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9477,1923,2114,808,586,349,1528,680,7363,1755,4448,1174,2915,1077,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,48745,3882,12250,1856,4830,1068,7420,1407,36495,3351,26002,2470,10493,1781,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,11249,1932,3448,1057,1964,886,1484,594,7801,1517,5865,1175,1936,715,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,13070,1612,3355,1053,1415,745,1940,584,9715,1466,7263,1278,2452,687,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,36143,4153,4036,1190,1347,631,2689,925,32107,3854,23739,3358,8368,1396,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5853,912,887,417,182,128,705,375,4966,972,3561,895,1405,493,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,66849,5395,10143,1827,3704,930,6439,1491,56706,4799,40673,3997,16033,2223,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,31603,3541,6260,1622,2465,842,3795,1169,25343,3008,17049,2240,8294,1593,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,176671,9379,30012,2912,8862,1412,21150,2454,146659,8793,100131,7198,46528,3703,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,58568,4397,10712,1735,4174,1211,6538,1182,47856,3759,32666,3240,15190,2108,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3960,913,390,273,113,143,277,237,3570,825,2428,789,1142,466,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,79790,5085,18103,2242,5498,1126,12605,1832,61687,4467,41928,3257,19759,2498,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,117631,5295,27889,2186,10080,1434,17809,1605,89742,4709,65252,3948,24490,2457,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,61475,4304,14566,1792,5376,1245,9190,1589,46909,4029,33341,3320,13568,1784,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,65091,4876,13134,2194,4547,1151,8587,1688,51957,4012,34231,3091,17726,2047,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,12445,2369,2237,897,679,460,1558,681,10208,2123,7028,1584,3180,1020,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,24241,2317,4547,854,2112,729,2435,728,19694,2196,14578,2097,5116,1263,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5253,1145,1165,528,630,337,535,393,4088,1049,2577,737,1511,562,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,35714,3512,11573,1893,3841,809,7732,1568,24141,2571,18175,2091,5966,1294,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,207983,10340,35988,3825,13390,2039,22598,2733,171995,8794,123084,6911,48911,3702,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,19341,2312,2904,800,1256,532,1648,631,16437,2213,11358,1819,5079,972,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,5051,839,1524,459,659,301,865,414,3527,752,2527,633,1000,379,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,67611,5478,10662,1577,4772,973,5890,1419,56949,5082,41517,4170,15432,2185,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,109650,5622,21456,2678,8030,1518,13426,2117,88194,5052,60944,4086,27250,2837,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,9736,1604,3178,865,525,295,2653,770,6558,1208,4120,1018,2438,801,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,32634,2630,5888,1127,2892,829,2996,740,26746,2410,20224,2256,6522,1150,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,6177,1228,1244,533,414,279,830,414,4933,1034,3657,1049,1276,476,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,113787,6667,25607,2247,6999,1259,18608,1916,88180,5992,46485,4047,41695,3894,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
