GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002EA,B20017A_002MA,B20017A_003MA,B20017A_003EA,B20017A_004MA,B20017A_004EA,B20017A_005MA,B20017A_005EA,B20017A_006EA,B20017A_006MA,B20017A_007EA,B20017A_007MA,state
0400000US27,30951,154,37495,472,47303,356,12911,666,24636,379,36179,300,11269,193,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,26483,340,31881,487,40260,622,12274,660,20940,328,30117,767,9307,504,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,26018,205,31691,239,41230,263,10978,273,20837,280,30161,341,9304,311,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,21875,392,28654,1275,36739,830,11886,550,16782,617,26060,559,8770,526,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,25552,282,31240,401,39117,827,10306,543,20495,337,29969,612,8792,426,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,31423,306,37235,749,45649,673,18447,1627,26283,459,33315,1061,12388,591,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,31108,360,39083,1128,48364,1714,12072,541,24744,673,34993,1048,11253,458,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,38594,585,47731,728,59681,1052,16053,477,30019,494,42225,344,12408,234,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,24570,753,30435,779,40638,613,10508,591,20204,664,31091,908,9473,650,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,32265,157,40374,221,51051,212,13607,475,26418,207,39654,500,11612,142,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,27782,323,32737,569,41550,278,11653,353,22435,257,32229,252,10254,230,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,24281,659,30815,474,38417,1486,10742,677,18212,956,26875,561,9041,621,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,27180,165,33960,413,43393,572,10952,188,21229,169,32027,198,9730,156,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,24540,412,30765,409,38929,1104,10532,410,19093,492,28579,560,8150,382,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,26342,317,31976,389,42642,981,12692,547,21214,303,33022,715,10713,260,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,28132,225,35201,195,44904,367,10935,196,21927,150,32311,179,9439,184,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,30577,517,37186,1345,48224,2102,12015,546,24323,910,36729,753,11083,578,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,27316,303,32554,734,41429,454,11319,394,21845,362,31263,354,9815,447,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,24691,535,28941,936,35763,630,9453,1002,20411,462,28449,806,9632,661,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,25988,213,31536,252,40142,454,11452,292,20661,277,30174,351,9335,271,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26864,173,32097,206,41900,271,11372,198,21246,177,32125,188,9059,194,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,24196,416,32307,546,42470,1282,11220,433,16309,409,30310,483,7921,397,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,25946,464,30782,599,40291,574,11245,625,21564,580,31960,765,10527,577,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,32973,440,40825,270,51026,330,12020,408,26299,392,38354,791,10852,235,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,31078,240,38760,813,50499,333,15178,527,23552,380,37068,413,11689,196,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,22912,558,29728,909,37899,1521,10693,550,17125,514,25974,612,8277,440,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,28318,295,35411,271,43831,560,11325,260,22088,217,31977,244,10686,173,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,25733,718,34531,1727,42339,1591,11916,755,18506,1117,28334,978,9804,811,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,14698,239,14633,303,20488,488,6334,232,14777,381,19130,371,6608,239,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
