GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019M,NAME,C17001_001EA,C17001_001MA,C17001_002EA,C17001_002MA,C17001_003MA,C17001_003EA,C17001_004MA,C17001_004EA,C17001_005EA,C17001_005MA,C17001_006EA,C17001_006MA,C17001_007EA,C17001_007MA,C17001_008MA,C17001_008EA,C17001_009MA,C17001_009EA,C17001_010MA,C17001_010EA,C17001_011MA,C17001_011EA,C17001_012EA,C17001_012MA,C17001_013EA,C17001_013MA,C17001_014MA,C17001_014EA,C17001_015MA,C17001_015EA,C17001_016EA,C17001_016MA,C17001_017EA,C17001_017MA,C17001_018EA,C17001_018MA,C17001_019EA,C17001_019MA,state
0400000US24,5475889,2880,428345,16756,180689,7773,68455,5374,97011,5331,15223,1769,247656,11560,61096,5849,151050,7332,35510,2194,5047544,16855,2454834,8518,615417,6399,1592724,5601,246693,2004,2592710,11928,592468,6492,1676256,7789,323986,2567,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6235586,2474,620188,19066,264422,10402,90732,5585,151774,8077,21916,2310,355766,12427,86888,5669,215734,7539,53144,2982,5615398,19216,2760575,11264,639061,5707,1806882,8388,314632,2842,2854823,12434,610750,6017,1827217,7479,416856,3114,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9852543,4524,1331833,28594,596499,15609,230231,8396,333814,10700,32454,2545,735334,18110,214911,9621,447066,9996,73357,2872,8520710,28912,4231125,16301,1014311,8545,2731693,10681,485121,3034,4289585,17631,969546,9830,2697786,10011,622253,3190,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5036852,2551,491633,13842,220789,7080,74962,4853,131317,4538,14510,1320,270844,9311,76643,4529,161144,6064,33057,2021,4545219,14346,2284366,7395,558369,5264,1485745,4738,240252,1756,2260853,10103,529469,5263,1432191,6275,299193,2377,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2815425,2470,592743,21116,250631,10801,113563,7362,122461,6534,14607,1585,342112,12543,106857,6576,196367,7724,38888,2302,2222682,21271,1104389,11126,269469,7692,708579,7273,126341,2214,1118293,12656,256191,6820,700150,7674,161952,2675,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5674490,3452,769584,23237,335149,11753,132632,7150,181348,7402,21169,1816,434435,13642,126919,6766,252591,8539,54925,3006,4904906,22719,2422494,12490,579152,7264,1551498,7903,291844,2328,2482412,13754,556202,7113,1556369,8537,369841,3255,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,921449,1204,125655,7460,54997,4544,17998,2443,33567,3017,3432,738,70658,4200,19136,2326,43857,2889,7665,1083,795794,7607,403835,5043,90836,3057,259498,3205,53501,1110,391959,4553,86372,2609,245594,2821,59993,1524,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1715413,1577,197037,9781,85102,5668,31010,2985,48260,3845,5832,945,111935,5652,32012,3283,65254,3434,14669,1497,1518376,10088,768101,5624,192388,3426,488471,3704,87242,1272,750275,6145,181604,3506,460407,3685,108264,1541,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2460755,1936,253713,12708,114098,6655,45322,4147,60790,4073,7986,1454,139615,8152,41789,4594,86361,4645,11465,1685,2207042,13124,1136128,7669,277350,4290,740418,4812,118360,1925,1070914,8206,260056,4744,678426,4833,132432,1834,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1276753,1706,102404,7079,44970,4181,15299,2541,26327,2611,3344,702,57434,4795,12689,2348,36008,3407,8737,952,1174349,7559,585462,4781,134069,2824,387418,2919,63975,980,588887,5007,130010,2697,382574,3316,76303,1135,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8540402,3957,741873,24336,319355,12848,122792,7499,168834,7576,27729,2370,422518,14747,121282,7264,240394,9121,60842,3822,7798529,23860,3837768,13272,930445,7858,2488792,7624,418531,2912,3960761,14774,889578,7576,2502511,9026,568672,4063,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1912288,2059,353694,13260,155273,7656,63035,4669,82867,5440,9371,1295,198421,8284,64788,5165,112594,4923,21039,2231,1558594,13076,782598,8096,192655,4888,495440,5577,94503,1646,775996,8194,179258,5072,487247,4936,109491,2287,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,18770190,6168,2662199,40537,1148493,20632,447037,12857,608009,12585,93447,5015,1513706,26354,441307,12277,874382,16315,198017,5234,16107991,40712,7916578,20841,1815838,12613,5201314,13433,899426,5416,8191413,27565,1727198,12749,5253054,16925,1211161,6477,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
