GEO_ID,B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,NAME,B10001_001EA,B10001_001MA,B10001_002EA,B10001_002MA,B10001_003MA,B10001_003EA,B10001_004MA,B10001_004EA,state
0400000US30,10913,1936,4783,1243,3079,839,3051,843,Montana,null,null,null,null,null,null,null,null,30
0400000US31,15520,1767,6730,1202,5111,1084,3679,792,Nebraska,null,null,null,null,null,null,null,null,31
0400000US32,33729,3613,15429,2423,9635,1712,8665,1738,Nevada,null,null,null,null,null,null,null,null,32
0400000US33,11797,2523,6277,1945,3265,961,2255,1042,New Hampshire,null,null,null,null,null,null,null,null,33
0400000US34,109011,5647,49424,4326,33364,3094,26223,2435,New Jersey,null,null,null,null,null,null,null,null,34
0400000US35,42641,5130,20839,3134,11818,2281,9984,1763,New Mexico,null,null,null,null,null,null,null,null,35
0400000US36,280933,11069,127951,6565,87245,6084,65737,4228,New York,null,null,null,null,null,null,null,null,36
0400000US37,148249,7585,62908,4657,43765,3420,41576,3952,North Carolina,null,null,null,null,null,null,null,null,37
0400000US38,5485,1070,2860,685,1352,541,1273,489,North Dakota,null,null,null,null,null,null,null,null,38
0400000US39,159806,8733,67629,4989,48474,4163,43703,3582,Ohio,null,null,null,null,null,null,null,null,39
0400000US40,65743,5291,30861,3325,17833,2263,17049,1984,Oklahoma,null,null,null,null,null,null,null,null,40
0400000US41,38353,4725,15377,2514,12194,2229,10782,1876,Oregon,null,null,null,null,null,null,null,null,41
0400000US42,151420,7265,72059,4395,40255,3611,39106,3208,Pennsylvania,null,null,null,null,null,null,null,null,42
0400000US44,12423,2134,6757,1602,3009,898,2657,1095,Rhode Island,null,null,null,null,null,null,null,null,44
0400000US45,96167,7220,39764,3967,30238,3322,26165,3445,South Carolina,null,null,null,null,null,null,null,null,45
0400000US46,9993,1728,5047,951,2637,687,2309,1047,South Dakota,null,null,null,null,null,null,null,null,46
0400000US47,109862,7720,51352,4841,30582,3194,27928,3460,Tennessee,null,null,null,null,null,null,null,null,47
0400000US48,519102,15471,266950,9783,144863,6465,107289,5690,Texas,null,null,null,null,null,null,null,null,48
0400000US49,30686,2745,16370,1741,8389,1481,5927,1172,Utah,null,null,null,null,null,null,null,null,49
0400000US50,6158,1188,3149,772,1704,484,1305,445,Vermont,null,null,null,null,null,null,null,null,50
0400000US51,107393,6312,45633,4088,34384,3052,27376,2640,Virginia,null,null,null,null,null,null,null,null,51
0400000US53,65790,4913,33666,3215,17924,2437,14200,1708,Washington,null,null,null,null,null,null,null,null,53
0400000US54,30135,2870,12395,1589,9124,1710,8616,1465,West Virginia,null,null,null,null,null,null,null,null,54
0400000US55,43431,3782,22484,2366,11759,1774,9188,1599,Wisconsin,null,null,null,null,null,null,null,null,55
0400000US56,6578,1759,2900,1024,2624,1183,1054,535,Wyoming,null,null,null,null,null,null,null,null,56
0400000US72,138970,6964,60064,4366,42243,3564,36663,3285,Puerto Rico,null,null,null,null,null,null,null,null,72
