B18101_014M,B18101_015E,B18101_015M,B18101_016E,B18101_016M,B18101_017E,B18101_017M,B18101_018E,B18101_018M,B18101_019E,B18101_019M,B18101_020E,B18101_020M,B18101_021E,B18101_021M,B18101_022E,B18101_022M,B18101_023E,B18101_023M,B18101_024E,B18101_024M,B18101_025E,B18101_025M,B18101_026E,B18101_026M,B18101_027E,B18101_027M,B18101_028E,B18101_028M,B18101_029E,B18101_029M,B18101_030E,B18101_030M,B18101_031E,B18101_031M,B18101_032E,B18101_032M,B18101_033E,B18101_033M,B18101_034E,B18101_034M,B18101_035E,B18101_035M,B18101_036E,B18101_036M,B18101_037E,B18101_037M,B18101_038E,B18101_038M,B18101_039E,B18101_039M,GEO_ID,B18101_001E,B18101_001M,B18101_002E,B18101_002M,B18101_003E,B18101_003M,B18101_004E,B18101_004M,B18101_005E,B18101_005M,B18101_006E,B18101_006M,B18101_007E,B18101_007M,B18101_008E,B18101_008M,B18101_009E,B18101_009M,B18101_010E,B18101_010M,B18101_011E,B18101_011M,B18101_012E,B18101_012M,B18101_013E,B18101_013M,B18101_014E,B18101_014MA,B18101_015MA,B18101_015EA,B18101_016MA,B18101_016EA,B18101_017EA,B18101_017MA,B18101_018EA,B18101_018MA,B18101_019EA,B18101_019MA,B18101_020MA,B18101_020EA,B18101_021MA,B18101_021EA,B18101_022EA,B18101_022MA,B18101_023EA,B18101_023MA,B18101_024EA,B18101_024MA,B18101_025EA,B18101_025MA,B18101_026MA,B18101_026EA,B18101_027MA,B18101_027EA,B18101_028EA,B18101_028MA,B18101_029EA,B18101_029MA,B18101_030EA,B18101_030MA,B18101_031MA,B18101_031EA,B18101_032MA,B18101_032EA,B18101_033EA,B18101_033MA,B18101_034EA,B18101_034MA,B18101_035EA,B18101_035MA,B18101_036EA,B18101_036MA,B18101_037MA,B18101_037EA,B18101_038MA,B18101_038EA,B18101_039EA,B18101_039MA,NAME,B18101_001MA,B18101_001EA,B18101_002EA,B18101_002MA,B18101_003EA,B18101_003MA,B18101_004MA,B18101_004EA,B18101_005MA,B18101_005EA,B18101_006EA,B18101_006MA,B18101_007EA,B18101_007MA,B18101_008EA,B18101_008MA,B18101_009MA,B18101_009EA,B18101_010MA,B18101_010EA,B18101_011EA,B18101_011MA,B18101_012EA,B18101_012MA,B18101_013EA,B18101_013MA,B18101_014EA,state
9518,349669,2638,104223,4016,245446,4933,177542,2414,88497,3383,89045,3266,5139292,6335,321437,4046,1960,748,319477,4319,897556,4628,33853,3508,863703,5026,1194155,5897,64357,5339,1129798,7363,2035369,6135,283341,8126,1752028,10781,410757,2662,114517,4503,296240,4996,280018,2638,153267,4618,126751,4238,0400000US13,9906878,3443,4767586,7391,332958,3782,3181,1101,329777,3933,936296,5348,50818,3372,885478,6465,1121961,5770,71777,4499,1050184,6951,1849160,6788,258744,8637,1590416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
2966,60673,459,13952,1348,46721,1355,39767,458,20929,1555,18838,1597,693067,2062,44783,634,101,117,44682,671,105364,1114,3394,891,101970,1406,155604,1269,6848,1406,148756,1876,264073,1528,24690,2283,239383,2638,65339,863,13425,1713,51914,1518,57904,899,32214,1739,25690,1647,0400000US15,1367770,2267,674703,2594,46224,660,129,122,46095,678,111647,1068,5485,1245,106162,1455,156570,2310,9524,1792,147046,2634,259822,1569,28784,2455,231038,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
3553,68976,969,22607,1899,46369,1956,39904,762,21312,1397,18592,1641,812159,3009,55966,1613,395,314,55571,1648,153534,2038,6332,1318,147202,2252,179853,1508,11762,1620,168091,2099,300353,2280,36031,3281,264322,3521,70947,1097,15281,1881,55666,1961,51506,899,26785,1809,24721,1806,0400000US16,1612889,1331,800730,3195,55741,1548,822,563,54919,1481,165421,2172,11623,1780,153798,2959,180601,1827,13442,1987,167159,2774,290087,2088,38388,2641,251699,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
7514,457594,1622,112742,3430,344852,3344,291581,1770,138389,3336,153192,3089,6497587,5037,386391,2478,3085,1111,383306,2585,1075992,2768,35515,2642,1040477,3970,1496145,3116,59866,3694,1436279,4395,2565112,3075,282729,7581,2282383,8454,530666,1837,126503,4301,404163,4251,443281,2185,227936,4582,215345,4684,0400000US17,12702393,1320,6204806,5051,402735,2392,3020,956,399715,2436,1115784,2576,60530,3711,1055254,4359,1484556,3537,73249,4157,1411307,4971,2452556,4529,258223,6379,2194333,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
7556,246112,1421,71127,2865,174985,2835,152380,1302,77550,2445,74830,2541,3317430,5123,204200,2397,2140,1004,202060,2395,568498,3314,31643,3102,536855,3632,749296,3449,49187,3470,700109,5174,1288388,3481,198696,6643,1089692,6989,281734,1780,72940,3558,208794,3763,225314,1650,118181,3377,107133,3302,0400000US18,6498029,543,3180599,5120,213824,2146,2048,807,211776,2330,593470,3648,45232,3199,548238,4733,737197,3162,46411,3556,690786,4722,1237616,3443,187934,6315,1049682,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
4458,122079,890,30385,1641,91694,1637,85188,1007,38329,1655,46859,1729,1542473,3534,94006,1621,559,353,93447,1699,257066,2121,9542,1384,247524,2524,346659,2534,18509,1782,328150,3193,584601,2492,65967,3321,518634,4093,133350,942,26453,1703,106897,1820,126791,1282,53283,2594,73508,2150,0400000US19,3062900,1029,1520427,3798,99565,2018,707,464,98858,2135,272714,2866,17596,2320,255118,3562,355408,2522,22368,1996,333040,3373,585473,2800,69732,3531,515741,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
4739,106137,1135,30160,1814,75977,1966,70655,1101,33446,1788,37209,1766,1442902,3711,98268,2380,662,334,97606,2393,254345,2431,13410,1892,240935,2721,331329,2662,22291,2450,309038,3097,536410,2425,72685,3411,463725,3888,117303,1522,27343,1764,89960,1993,105247,1487,51950,2049,53297,2200,0400000US20,2845414,1780,1402512,3736,101080,1878,1145,522,99935,1936,267215,2799,15943,1929,251272,3303,332741,2603,24055,2562,308686,3023,524684,2878,73303,3733,451381,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
7147,177881,1251,65197,3096,112684,3371,102143,1208,56461,1880,45682,2155,2214427,4026,131850,2024,1238,637,130612,2207,359790,2870,20268,2290,339522,2887,486395,2547,34734,2715,451661,3377,885333,3057,182920,5642,702413,6523,202261,1276,64794,3022,137467,3043,148798,1669,85586,2519,63212,2411,0400000US21,4328524,1238,2114097,4122,142782,2100,1195,753,141587,2272,378349,2959,34628,2797,343721,3683,474658,3519,42451,3570,432207,4550,838284,3567,171933,6433,666351,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
6003,169487,1679,51845,2868,117642,2994,97541,1696,50011,2564,47530,2595,2355042,4246,150561,3231,842,550,149719,3274,395842,3074,20996,2604,374846,3988,562849,3932,35806,2995,527043,4416,902516,4218,153841,5136,748675,6702,197195,1543,63629,3313,133566,3288,146079,1968,80339,2412,65740,2733,0400000US22,4547572,1845,2192530,4370,154892,2988,1024,575,153868,3055,411323,3650,36611,3725,374712,4807,528971,4587,37137,3691,491834,5357,830316,4499,140197,4783,690119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
3709,67401,690,18333,1498,49068,1557,39546,614,19205,1296,20341,1379,677290,1903,31336,708,229,254,31107,716,96133,1056,5981,1087,90152,1504,133064,1401,10567,1644,122497,2158,287927,1207,44817,2922,243110,3071,71904,465,13258,1429,58646,1417,56926,905,28077,1678,28849,1760,0400000US23,1315996,592,638706,2018,31581,637,161,142,31420,655,98340,926,9968,1785,88372,2061,128969,1056,12637,1761,116332,2126,272869,1320,48187,3539,224682,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
5755,215610,1406,43814,1987,171796,2153,130503,1401,58724,2416,71779,2451,3053871,3348,180523,1720,1717,542,178806,1824,479944,2234,16775,2125,463169,2607,688099,2336,32959,3155,655140,3970,1252772,2406,130907,5197,1121865,5905,256988,1254,55894,3096,201094,3332,195545,1645,97060,3127,98485,3283,0400000US24,5885847,2043,2831976,3502,186760,1711,1611,894,185149,1791,502540,2536,32782,3200,469758,3803,664712,2588,36404,2995,628308,3855,1131851,2829,114658,5114,1017193,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
7069,257778,1487,53714,3144,204064,3233,164957,1541,75551,3117,89406,2916,3443909,2587,178404,1105,622,421,177782,1134,501460,1660,19457,2399,482003,2849,817734,2057,40673,3525,777061,4293,1392017,2096,155846,5760,1236171,6058,299212,1340,61844,3741,237368,3744,255082,2086,127343,3767,127739,4063,0400000US25,6668348,1237,3224439,2662,187563,1241,1308,698,186255,1529,519971,1383,34101,3278,485870,3489,795380,2603,49151,3665,746229,4725,1298790,2655,153536,6373,1145254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
6713,406829,1660,113370,3678,293459,4006,252673,1653,123826,2851,128847,2905,5010100,3364,276237,1789,2457,866,273780,2070,808849,1819,38753,3045,770096,3479,1085389,2508,75220,4135,1010169,4562,2007712,2386,311147,7752,1696565,7876,458488,1465,110889,3491,347599,3804,373425,1746,190306,4176,183119,3835,0400000US26,9798621,623,4788521,3301,292656,1840,2625,746,290031,2033,842198,2442,68467,3869,773731,4650,1085336,2891,82475,3380,1002861,4717,1908829,2777,296260,6691,1612569,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
4871,203344,1180,50010,2418,153334,2539,132063,1287,61052,2194,71011,2305,2720488,3565,170415,1580,1831,606,168584,1694,455248,1884,18700,1931,436548,2285,613830,2010,32034,2786,581796,3598,1068994,2743,105114,4869,963880,5503,221711,1058,40342,2210,181369,2377,190290,1782,86351,3034,103939,3022,0400000US27,5398211,808,2677723,3629,176988,1850,1148,526,175840,1883,478140,2539,31313,2688,446827,3355,626077,2366,38755,3147,587322,3514,1061111,2564,113844,4223,947267,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
5646,112649,1879,43686,2730,68963,3075,66141,1536,37428,1887,28713,2032,1521200,4278,89470,2950,301,170,89169,2964,264398,2493,9027,1484,255371,2730,344563,2897,21838,2605,322725,3615,586417,2765,115865,4128,470552,4519,131549,1566,42470,2526,89079,2598,104803,1641,60963,2438,43840,2458,0400000US28,2927088,1445,1405888,4405,102537,2957,1081,791,101456,2915,273397,3063,19429,2399,253968,3694,321309,3620,27390,3169,293919,4675,529855,3737,102500,5042,427355,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
6507,243812,1210,75395,3130,168417,3311,151784,1492,74483,2762,77301,2738,3054149,4191,180647,2264,1766,762,178881,2315,498865,2738,22363,2269,476502,3190,686492,3460,49740,3819,636752,4682,1190135,3118,191107,5779,999028,5959,276308,1961,67572,3192,208736,3737,221702,1709,110389,2993,111313,3172,0400000US29,5950606,1614,2896457,4646,191528,2609,910,500,190618,2594,516521,3064,40578,3929,475943,5023,664220,3471,54059,4053,610161,5201,1128592,3054,184057,5896,944535,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
2821,49639,474,15343,1548,34296,1564,29704,472,13175,1122,16529,1212,505369,1886,28978,875,609,350,28369,918,80334,1377,3073,798,77261,1492,111930,1656,5852,1383,106078,1715,197956,1661,28848,2464,169108,2640,48672,601,9238,1220,39434,1300,37499,582,18301,1299,19198,1233,0400000US30,1008116,806,502747,2093,30797,926,417,283,30380,949,83942,1251,3663,906,80279,1419,113754,1556,7676,1523,106078,1929,194911,1737,26551,2418,168360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
2870,68366,809,19884,1234,48482,1620,47047,653,24478,1357,22569,1215,934054,2210,62170,1193,472,277,61698,1198,164113,1437,6380,1087,157733,1698,215952,1591,11041,1318,204911,2105,347941,1674,41310,2412,306631,2990,74915,924,15765,1513,59150,1360,68963,891,30753,1695,38210,1571,0400000US31,1853684,807,919630,2338,68198,1310,453,286,67745,1280,172109,1728,11657,1788,160452,2279,218513,1882,12604,1643,205909,2611,345397,1784,37807,2436,307590,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
