B25128_001M,B25128_002E,B25128_002M,B25128_003E,B25128_003M,B25128_004E,B25128_004M,B25128_005E,B25128_005M,B25128_006E,B25128_006M,B25128_007E,B25128_007M,B25128_008E,B25128_008M,B25128_009E,B25128_009M,B25128_010E,B25128_010M,B25128_011E,B25128_011M,B25128_012E,B25128_012M,B25128_013E,B25128_013M,B25128_014E,B25128_014M,B25128_015E,B25128_015M,B25128_016E,B25128_016M,B25128_017E,B25128_017M,B25128_018E,B25128_018M,B25128_019E,B25128_019M,B25128_020E,B25128_020M,B25128_021E,B25128_021M,B25128_022E,B25128_022M,B25128_023E,B25128_023M,B25128_024E,B25128_024M,B25128_025E,B25128_025M,B25128_026E,B25128_026M,B25128_027E,B25128_027M,B25128_028E,B25128_028M,B25128_029E,B25128_029M,B25128_030E,B25128_030M,B25128_031E,B25128_031M,B25128_032E,B25128_032M,B25128_033E,B25128_033M,B25128_034E,B25128_034M,B25128_035E,B25128_035M,B25128_036E,B25128_036M,B25128_037E,B25128_037M,B25128_038E,B25128_038M,B25128_039E,B25128_039M,B25128_040E,B25128_040M,B25128_041E,B25128_041M,B25128_042E,B25128_042M,B25128_043E,B25128_043M,B25128_044E,B25128_044M,B25128_045E,B25128_045M,GEO_ID,B25128_001E,B25128_001MA,B25128_002EA,B25128_002MA,B25128_003MA,B25128_003EA,B25128_004EA,B25128_004MA,B25128_005EA,B25128_005MA,B25128_006EA,B25128_006MA,B25128_007EA,B25128_007MA,B25128_008MA,B25128_008EA,B25128_009MA,B25128_009EA,B25128_010MA,B25128_010EA,B25128_011EA,B25128_011MA,B25128_012EA,B25128_012MA,B25128_013EA,B25128_013MA,B25128_014EA,B25128_014MA,B25128_015MA,B25128_015EA,B25128_016EA,B25128_016MA,B25128_017EA,B25128_017MA,B25128_018EA,B25128_018MA,B25128_019MA,B25128_019EA,B25128_020MA,B25128_020EA,B25128_021MA,B25128_021EA,B25128_022EA,B25128_022MA,B25128_023EA,B25128_023MA,B25128_024EA,B25128_024MA,B25128_025MA,B25128_025EA,B25128_026MA,B25128_026EA,B25128_027EA,B25128_027MA,B25128_028EA,B25128_028MA,B25128_029MA,B25128_029EA,B25128_030MA,B25128_030EA,B25128_031MA,B25128_031EA,B25128_032MA,B25128_032EA,B25128_033EA,B25128_033MA,B25128_034EA,B25128_034MA,B25128_035MA,B25128_035EA,B25128_036MA,B25128_036EA,B25128_037MA,B25128_037EA,B25128_038EA,B25128_038MA,B25128_039MA,B25128_039EA,B25128_040MA,B25128_040EA,B25128_041MA,B25128_041EA,B25128_042MA,B25128_042EA,B25128_043MA,B25128_043EA,B25128_044EA,B25128_044MA,B25128_045EA,B25128_045MA,NAME,B25128_001EA,state
13961,2232553,17839,217319,8057,126211,6183,82023,4749,6782,1753,2135,923,168,260,0,211,1417657,13086,257161,8288,677018,11839,338811,7153,100145,4858,33444,2675,11078,1618,597577,7962,48897,3123,159675,4706,130412,5277,94156,3947,95341,3632,69096,2910,1354968,15864,500578,9836,445647,9060,49862,3911,3661,1148,1408,664,0,211,0,211,701513,11709,500919,11662,160275,6171,25724,2626,8497,1537,3594,969,2504,736,152877,5102,77687,4428,47656,3235,12794,1522,5816,1128,4024,1106,4900,978,0400000US13,3587521,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,13
4870,255375,5028,15977,2043,10515,1625,4146,1098,785,462,516,240,15,24,0,181,145745,4038,30442,2142,53281,3045,33168,2216,17846,1764,5568,885,5440,1053,93653,2988,7925,1260,16946,1888,14933,1623,16399,1472,19270,1741,18180,1565,195394,4468,65149,3484,56968,3448,6298,1213,1073,605,683,478,127,160,0,181,101154,3871,62220,3147,28655,2840,6965,1070,1312,537,956,493,1046,575,29091,2504,10826,1428,8350,1450,4771,957,1830,602,1457,518,1857,609,0400000US15,450769,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,15
4733,402394,6319,47291,3218,28741,2731,17683,1923,783,466,84,85,0,190,0,190,235306,4593,49904,3921,110363,4044,50822,3182,17805,1794,5436,1010,976,318,119797,3807,16754,1902,36407,3045,24345,2089,14887,1545,15954,1443,11450,1516,189193,5697,76824,3879,70218,3623,6352,1596,223,188,31,39,0,190,0,190,87942,3873,63768,3858,19946,2084,3206,952,594,439,177,154,251,201,24427,2661,13646,1917,7542,1480,1444,504,489,267,838,421,468,286,0400000US16,591587,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,16
12392,3125655,15819,313639,6382,194781,6081,109054,4428,6345,1090,3389,961,70,68,0,182,1938190,13168,308073,9555,860915,11698,498974,9731,191239,5781,58100,2803,20889,1839,873826,7104,55580,2864,178146,5492,174773,5697,134716,4468,177104,4053,153507,3819,1646766,13919,601164,9403,529064,8898,63734,3977,5411,1100,2936,882,19,32,0,182,813882,11550,508759,11273,237002,6094,45365,3290,15022,1763,4621,943,3113,821,231720,6301,99001,4069,80401,3936,27300,2319,12956,1901,6416,902,5646,918,0400000US17,4772421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,17
10912,1716341,13216,200150,6737,120539,5414,73972,4310,3989,1018,1650,650,0,187,0,187,1034987,9295,190315,6133,437832,8801,257339,6657,103319,4048,34959,2389,11223,1512,481204,6128,37647,2365,108610,3870,95119,3685,65068,3182,89232,4010,85528,3533,786398,10697,299260,8312,273268,7924,24453,2594,1210,668,329,252,0,187,0,187,382649,8946,264649,6939,94353,4334,15008,1898,4785,986,1831,589,2023,649,104489,3734,51054,3083,33323,2111,10257,1534,4542,864,2736,688,2577,652,0400000US18,2502739,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,18
6257,879878,7925,117678,4234,71415,3554,44634,2631,970,470,612,361,47,82,0,155,510822,5863,95001,3900,213757,4487,122274,3944,52322,2381,20544,1452,6924,1079,251378,3436,21983,1881,53550,2436,47121,2316,33504,2116,47282,2046,47938,2279,361593,6809,150537,5615,138094,5053,11645,1615,453,350,345,279,0,155,0,155,151705,6219,101147,5480,37635,2570,8006,996,3231,650,1285,496,401,207,59351,3291,28827,2369,19401,1726,5216,710,2137,547,1540,377,2230,518,0400000US19,1241471,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,19
6429,739168,7329,92324,3715,55632,3334,34469,2691,1710,548,513,306,0,168,0,168,439107,5134,86085,3801,187871,5500,105938,3901,43044,2438,12530,1316,3639,757,207737,3211,16966,1622,43600,2103,42076,2282,34252,2177,37493,1912,33350,1808,370112,6318,151808,5156,139372,4983,11868,1670,372,277,196,165,0,168,0,168,165680,5379,113134,4234,41533,2495,7453,1160,2157,578,983,441,420,323,52624,2402,28532,2109,15964,1387,4512,816,1579,470,728,314,1309,430,0400000US20,1109280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,20
8632,1131197,10706,121627,4423,69786,3021,46701,3003,3303,910,1708,641,129,136,0,185,672457,8427,114714,4415,288505,6277,166895,4793,66892,3595,28401,2338,7050,1138,337113,4725,26598,2307,78870,4137,68540,3788,46841,2333,63954,2576,52310,2624,580897,9542,212916,5826,190039,5492,20483,2297,1708,753,686,360,0,185,0,185,291277,7951,194683,7611,75057,4689,14192,1790,3942,982,2073,578,1330,556,76704,3797,33697,2834,25365,2186,8195,1342,4442,764,2391,669,2614,786,0400000US21,1712094,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,21
10232,1106785,10765,127407,4968,77205,4883,45930,3664,2362,706,1774,789,136,162,0,201,656237,8653,117406,5514,281524,7301,152280,5585,65233,3444,27994,2434,11800,1644,323141,4892,20893,1799,72020,3145,55688,2899,46534,2831,66868,3092,61138,2882,611409,10272,232411,5318,205214,6073,23116,2658,3099,955,982,584,0,201,0,201,306973,7948,194082,6786,84133,5571,15489,2158,5392,1122,4627,1118,3250,1157,72025,3320,30654,2370,22905,1829,7324,1093,4504,979,2799,762,3839,808,0400000US22,1718194,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,22
5205,392139,5035,30752,2103,18180,1880,11838,1461,505,304,229,160,0,159,0,159,239389,4094,38805,2972,96141,3503,58270,3165,31707,1921,11410,1323,3056,665,121998,2696,10387,1132,29607,2054,22576,1921,19573,1688,20974,1581,18881,1610,157702,5316,51965,2884,47296,2909,4315,902,174,195,180,163,0,159,0,159,76454,4005,49132,3272,21416,2415,4824,990,934,442,69,65,79,71,29283,2215,11970,1520,10726,1546,3511,747,1062,327,826,572,1188,452,0400000US23,549841,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,23
8230,1426748,11362,126515,4257,78272,3941,43364,2624,3372,1034,1507,617,0,193,0,193,913931,9190,145257,5467,411935,9074,232501,5490,89496,3422,24079,2265,10663,1310,386302,4895,26110,2182,76101,3216,74808,3623,73514,2973,69930,3025,65839,3278,738690,10568,241833,7173,212549,7168,26145,2942,2384,829,701,448,54,95,0,193,387177,9375,258526,7794,100237,4620,18209,1906,5836,1281,2815,817,1554,506,109680,4106,45595,3432,39176,3003,13071,1560,5713,986,2878,637,3247,822,0400000US24,2165438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,24
9145,1570332,11411,120266,5061,81515,4531,35653,2460,1925,702,1173,462,0,198,0,198,997733,8835,157323,5373,398284,8830,269497,6841,116686,4031,35770,3131,20173,1922,452333,5791,28428,2115,71608,3804,74915,3112,71969,3670,96944,3811,108469,4117,979004,12189,317598,7317,272092,6605,41414,3347,2345,817,1747,693,0,198,0,198,488942,9027,281851,8375,152667,4986,37619,2653,10338,1514,3347,848,3120,946,172464,5514,63444,3733,63343,3458,24495,2655,8708,897,5390,1154,7084,1291,0400000US25,2549336,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,25
12574,2693284,15012,268672,6647,168849,5448,92159,3894,4622,1168,2909,709,133,201,0,165,1629972,10940,319528,6718,618935,8840,422024,6913,183410,4678,65470,3102,20605,1759,794640,5863,62208,3615,153999,3982,157528,4318,122864,3800,151409,3946,146632,4153,1141290,11473,400456,7559,365828,7669,31176,2457,2188,696,1250,564,14,25,0,165,566298,9273,386841,8295,136682,4937,27450,2162,8088,1547,4455,794,2782,741,174536,5286,86370,4230,56260,3128,17333,1866,7347,942,3714,769,3512,582,0400000US26,3834574,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,26
6975,1526406,9904,196774,4539,123769,4110,69733,2826,1879,548,1378,413,15,26,0,141,946862,7202,159838,4562,388092,6222,247729,5035,107083,3571,34009,2072,10111,1113,382770,3923,29376,1847,81364,2609,73277,2999,55400,2241,73533,2880,69820,2464,602789,9268,242794,5549,219878,5295,21255,2064,898,445,752,414,11,18,0,141,256616,6262,167789,5288,68762,3797,15488,1769,3509,644,620,217,448,159,103379,3508,52753,2955,34237,2335,9013,1122,2859,607,1675,400,2842,615,0400000US27,2129195,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,27
8793,741504,10031,72273,4235,41808,3508,26737,2756,2931,1126,797,504,0,206,0,206,440362,8159,75587,4540,183533,5760,110524,4826,44420,2910,20781,2269,5517,1021,228869,4399,15379,1607,55475,2650,47895,2917,31659,2426,43087,3165,35374,2642,354319,8599,123842,5244,108383,5374,13685,1844,1399,583,375,339,0,206,0,206,186198,7215,117903,6306,46671,3073,12666,1837,4231,1117,3247,917,1480,619,44279,3167,18384,2086,16372,1748,4259,743,2277,581,1705,593,1282,477,0400000US28,1095823,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,28
