GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001MA,B17025_001EA,B17025_002EA,B17025_002MA,B17025_003MA,B17025_003EA,B17025_004EA,B17025_004MA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008EA,B17025_008MA,B17025_009MA,B17025_009EA,B17025_010EA,B17025_010MA,B17025_011EA,B17025_011MA,B17025_012MA,B17025_012EA,B17025_013EA,B17025_013MA,B17025_014MA,B17025_014EA,B17025_015EA,B17025_015MA,state
0400000US41,3893475,2646,644450,21249,560717,17774,552088,17536,8629,2226,83733,7894,20775,2915,62958,7572,3249025,21619,2943145,20922,2907129,20869,36016,3525,305880,9935,137876,6525,168004,8442,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12371337,3870,1682212,31577,1537706,30288,1474292,30092,63414,6539,144506,8119,46422,3635,98084,7098,10689125,31767,10033789,33482,9893219,33643,140570,6581,655336,17741,365799,11161,289537,13574,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1015655,599,145596,9132,121201,8791,115045,8104,6156,1883,24395,3324,7935,1269,16460,2969,870059,9216,756100,8812,740458,8545,15642,2643,113959,5780,63842,4534,50117,4279,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4691589,2682,843860,23093,795360,22351,787814,22164,7546,2000,48500,5254,8262,1775,40238,4705,3847729,23323,3673272,25515,3628731,25113,44541,4232,174457,8281,77102,5432,97355,5957,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,824373,1078,116843,6179,110743,5738,109977,5606,766,522,6100,1350,1753,759,4347,1227,707530,6247,689984,6242,685798,6112,4186,961,17546,2343,9294,1837,8252,1550,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6386663,3638,1171307,27981,1092588,26419,1085430,26159,7158,1836,78719,7388,16530,3103,62189,6972,5215356,28495,4978012,27051,4933642,26174,44370,4097,237344,8579,97695,6190,139649,8728,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26340247,5422,4523708,59686,3522865,47568,3477313,46486,45552,5295,1000843,25053,192282,9189,808561,24579,21816539,59763,18361951,59219,18052755,58820,309196,10205,3454588,34594,1374601,21413,2079987,29764,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2897762,1930,339900,16334,293192,15741,289313,15808,3879,1340,46708,4871,9025,1687,37683,4785,2557862,16258,2358455,15210,2334015,15128,24440,2356,199407,8151,85293,6149,114114,7665,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,601819,882,73149,4724,70055,4599,69283,4613,772,394,3094,1032,1614,665,1480,637,528670,4727,507518,5280,502291,5344,5227,1148,21152,1816,11350,1496,9802,1419,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8080300,3250,953395,25894,830839,25263,817922,25347,12917,2599,122556,8029,37705,4385,84851,6726,7126905,26890,6254351,29897,6120023,30806,134328,7258,872554,15636,454515,11057,418039,15122,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6927889,3758,913619,25464,765049,21039,750777,20477,14272,2896,148570,9784,44516,4479,104054,8696,6014270,25841,5227869,25388,5124174,25778,103695,7093,786401,15318,389105,11072,397296,13665,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1792949,2707,327764,12083,321206,11887,319961,11781,1245,604,6558,1860,1508,732,5050,1782,1465185,12524,1448289,12449,1441695,12575,6594,1519,16896,2363,10693,1715,6203,1465,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5603486,2812,738270,19830,685200,17653,675271,17436,9929,1869,53070,5092,16501,2670,36569,4356,4865216,20454,4643841,20524,4608656,20406,35185,3401,221375,6199,106861,5012,114514,5401,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,570149,749,63774,5334,57271,4969,56403,4894,868,537,6503,1868,1081,543,5422,1715,506375,5335,490934,5394,486064,5518,4870,1134,15441,2223,6544,1427,8897,1756,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3515261,1181,1624453,25674,1591094,25072,74214,5637,1516880,23746,33359,3618,11277,1641,22082,2679,1890808,25838,1831694,25374,100352,5284,1731342,23981,59114,4917,28791,3170,30323,3597,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
