GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001MA,B19082_001EA,B19082_002MA,B19082_002EA,B19082_003EA,B19082_003MA,B19082_004MA,B19082_004EA,B19082_005EA,B19082_005MA,B19082_006EA,B19082_006MA,state
0400000US28,3.06,0.09,8.33,0.17,14.46,0.23,23.54,0.31,50.62,0.65,21.58,0.84,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3.37,0.07,8.90,0.10,14.83,0.13,23.15,0.16,49.74,0.34,21.67,0.46,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3.58,0.17,9.10,0.23,14.91,0.26,23.23,0.35,49.18,0.70,20.94,0.84,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,3.92,0.12,9.59,0.15,15.54,0.16,23.58,0.20,47.37,0.48,19.94,0.55,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,3.74,0.11,9.47,0.16,15.39,0.22,23.35,0.23,48.06,0.57,20.44,0.68,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3.90,0.15,9.40,0.23,15.40,0.27,23.29,0.33,48.01,0.78,20.52,0.86,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3.04,0.06,8.41,0.10,14.61,0.11,23.20,0.16,50.74,0.35,21.98,0.42,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2.91,0.13,8.28,0.19,14.62,0.22,23.66,0.33,50.53,0.66,21.52,0.81,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2.63,0.04,7.55,0.07,13.61,0.09,22.22,0.13,53.98,0.27,25.55,0.36,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3.34,0.06,8.59,0.08,14.34,0.11,22.69,0.15,51.05,0.32,22.78,0.38,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3.42,0.19,9.00,0.29,14.83,0.37,22.51,0.51,50.23,1.09,23.27,1.23,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3.30,0.04,8.79,0.07,14.87,0.08,23.34,0.10,49.71,0.24,21.39,0.29,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3.41,0.07,8.77,0.10,14.76,0.14,22.94,0.20,50.12,0.41,22.17,0.54,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3.41,0.10,8.91,0.13,14.83,0.17,23.12,0.23,49.73,0.49,21.78,0.60,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3.32,0.04,8.69,0.06,14.69,0.09,23.02,0.14,50.28,0.26,22.15,0.33,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,2.91,0.17,8.20,0.26,14.37,0.30,23.30,0.40,51.23,0.89,22.28,1.15,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3.29,0.09,8.65,0.13,14.61,0.15,23.19,0.20,50.25,0.46,21.79,0.61,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3.72,0.18,9.38,0.26,15.35,0.36,23.27,0.49,48.28,1.00,21.68,1.24,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3.22,0.06,8.39,0.11,14.23,0.15,22.65,0.21,51.51,0.45,23.31,0.55,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,3.14,0.03,8.32,0.06,14.18,0.08,22.73,0.09,51.63,0.21,23.05,0.25,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,4.10,0.12,10.08,0.15,15.76,0.17,23.01,0.24,47.06,0.51,20.56,0.62,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3.75,0.17,9.44,0.28,15.54,0.33,23.58,0.41,47.70,0.90,20.39,1.10,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,3.23,0.06,8.75,0.10,14.76,0.12,23.24,0.14,50.02,0.32,21.13,0.32,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,3.45,0.06,9.17,0.10,15.14,0.14,23.23,0.17,49.01,0.38,20.97,0.43,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,3.51,0.13,8.86,0.19,15.01,0.26,23.66,0.31,48.95,0.72,20.16,0.81,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3.87,0.08,9.48,0.10,15.41,0.12,23.47,0.15,47.76,0.37,20.44,0.45,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3.98,0.20,9.60,0.40,15.88,0.50,24.26,0.60,46.28,1.42,18.94,1.66,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1.47,0.09,6.80,0.14,12.70,0.21,22.24,0.36,56.79,0.68,26.31,0.98,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
