B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010MA,B25116_011MA,B25116_011EA,B25116_012MA,B25116_012EA,B25116_013MA,B25116_013EA,B25116_014EA,B25116_014MA,B25116_015EA,B25116_015MA,B25116_016EA,B25116_016MA,B25116_017MA,B25116_017EA,B25116_018MA,B25116_018EA,B25116_019MA,B25116_019EA,B25116_020EA,B25116_020MA,B25116_021EA,B25116_021MA,B25116_022EA,B25116_022MA,B25116_023MA,B25116_023EA,NAME,B25116_001MA,B25116_001EA,B25116_002MA,B25116_002EA,B25116_003EA,B25116_003MA,B25116_004MA,B25116_004EA,B25116_005MA,B25116_005EA,B25116_006MA,B25116_006EA,B25116_007MA,B25116_007EA,B25116_008MA,B25116_008EA,B25116_009EA,B25116_009MA,B25116_010EA,state
7649,262019,5410,125541,3659,1354968,15864,465882,10727,282148,7587,85293,4881,53917,3171,44524,3422,889086,15710,752787,13877,81863,4770,36616,2977,17820,1992,0400000US13,3587521,13961,2232553,17839,498190,9795,171209,5898,116964,4954,107935,4374,102082,4159,1734363,15918,965485,12732,381318,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
2529,41893,2131,26185,1628,195394,4468,54991,3475,26747,2439,12597,1903,7678,1155,7969,1355,140403,4615,111942,3854,15017,1702,8033,1171,5411,1019,0400000US15,450769,4870,255375,5028,51280,2780,13234,1631,12471,1196,11831,1474,13744,1469,204095,4244,84108,3528,51909,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
2934,49602,2454,27933,1627,189193,5697,63582,4582,35736,3642,10708,1872,7835,1499,9303,1714,125611,4775,107742,4560,10580,1965,4311,879,2978,805,0400000US16,591587,4733,402394,6319,87619,4397,25508,2623,19849,2312,21478,2074,20784,1851,314775,5857,165878,4425,71362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
6948,336733,5944,201482,4072,1646766,13919,650380,11459,369501,8154,113824,4806,81844,4485,85211,3676,996386,12787,830463,11781,101258,4633,39240,2825,25425,1920,0400000US17,4772421,12392,3125655,15819,729220,11117,229645,7885,163964,5110,148040,4731,187571,4912,2396435,14405,1316548,12828,541672,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
5432,193978,3776,109335,2753,786398,10697,303230,8907,171691,6527,57714,3843,32365,2070,41460,2647,483168,9917,409879,9916,42625,2899,18963,1644,11701,1629,0400000US18,2502739,10912,1716341,13216,390166,7861,118209,5280,94066,4635,81091,3576,96800,3432,1326175,13038,730718,10806,292144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3013,94027,2228,58187,1833,361593,6809,154308,4610,85110,4244,23926,2113,16322,1460,28950,2207,207285,6041,177311,5574,15895,1569,8052,1276,6027,919,0400000US19,1241471,6257,879878,7925,202466,4746,57074,2938,46228,2503,40861,2266,58303,1956,677412,7532,373467,5876,151731,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
3231,81307,2237,49099,2173,370112,6318,152043,5583,84982,4309,27434,2522,15567,1690,24060,1931,218069,5630,188266,5790,16806,1537,6846,1078,6151,879,0400000US20,1109280,6429,739168,7329,168573,5507,49160,3321,42082,2423,34281,2181,43050,2452,570595,6796,313692,5861,126497,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
4063,137655,3869,72934,2626,580897,9542,221390,6316,123130,6301,43529,3451,26698,2696,28033,2491,359507,8411,302122,6887,35412,3332,15004,1599,6969,994,0400000US21,1712094,8632,1131197,10706,266186,6451,77379,4325,62283,3367,61072,3385,65452,3251,865011,10497,459087,8133,195335,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
4494,126667,3438,75233,2253,611409,10272,235815,7225,141351,6231,45267,3267,27188,2125,22009,1919,375594,8492,314906,7354,37860,2811,15279,1809,7549,1286,0400000US22,1718194,10232,1106785,10765,275190,7841,87681,5241,66268,3820,59276,3361,61965,3196,831595,10408,436789,7813,192906,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
2255,51145,1679,25567,1531,157702,5316,69933,4326,32629,3177,13952,1650,9994,1329,13358,1582,87769,4067,72966,3772,8872,1353,3187,769,2744,631,0400000US23,549841,5205,392139,5035,91926,3834,23514,2382,23126,2129,23022,1832,22264,1810,300213,5074,147203,3835,76298,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
5449,163838,3987,90605,2955,738690,10568,265307,7421,141436,5377,47413,3619,34685,2773,41773,3005,473383,9486,387683,8703,52478,3446,21635,2104,11587,1536,0400000US24,2165438,8230,1426748,11362,317528,8548,107524,4309,78145,3847,66231,3500,65628,2825,1109220,12189,599900,8727,254877,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
5432,179962,4041,103095,3484,979004,12189,393892,9447,193593,7714,74278,4492,57667,3402,68354,3755,585112,10311,475219,8303,63450,3728,27750,2214,18693,2018,0400000US25,2549336,9145,1570332,11411,345952,8075,98290,5319,78386,3486,78731,3921,90545,2944,1224380,11431,645691,9370,295632,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
5876,314689,4406,182031,3197,1141290,11473,463984,9299,244089,7589,93431,3502,56586,3785,69878,3486,677306,10962,560735,10829,68499,3746,29798,2367,18274,1957,0400000US26,3834574,12574,2693284,15012,651630,8649,194275,5419,159435,5103,139149,4102,158771,4535,2041654,14611,1066001,12236,478933,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
4154,156445,2744,86418,2430,602789,9268,265132,6843,139943,5510,45672,2962,27818,2030,51699,2647,337657,9240,289878,8698,23917,2038,11599,1391,12263,1296,0400000US27,2129195,6975,1526406,9904,345976,7388,119697,4886,86372,3517,65151,2754,74756,3018,1180430,9906,678739,7545,258828,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
4216,87825,3383,52492,2525,354319,8599,126554,5185,69066,4380,26770,2249,16854,1981,13864,1882,227765,7412,193043,7185,21161,1845,9899,1160,3662,704,0400000US28,1095823,8793,741504,10031,186849,6497,53695,4041,44602,2569,42249,2966,46303,2745,554655,9695,290461,7089,123877,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
5190,186380,3383,109227,3213,779183,12183,324682,8118,181295,6230,62781,3982,37500,2797,43106,2417,454501,10770,379690,9519,42807,3249,19649,1959,12355,1500,0400000US29,2354809,12290,1575626,12914,377336,8603,112261,4498,88313,3991,82550,3625,94212,3927,1198290,11972,636541,9802,266142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1991,34022,1809,18001,1138,138106,4933,56554,3730,31725,2854,10088,1804,6145,1091,8596,1340,81552,3494,68288,3142,7861,1311,3071,741,2332,863,0400000US30,410962,3391,272856,4625,71757,3342,17786,1678,19484,2011,17712,1844,16775,1847,201099,4670,97566,3498,51510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
2316,52326,1367,30552,1596,252327,4588,102471,3549,56340,3082,18062,1721,10285,1211,17784,1527,149856,4451,129221,3904,11015,1478,5301,902,4319,859,0400000US31,740765,3795,488438,4861,109065,3844,30552,2609,25094,1770,22369,1512,31050,1836,379373,4921,212387,4308,84108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
2643,76229,2742,39180,1719,473614,7285,166056,5905,95624,5217,31924,2538,23627,2021,14881,1800,307558,7115,248167,6170,34754,2706,18221,1650,6416,1091,0400000US32,1021519,6553,547905,6648,132033,4911,41802,2402,33650,2350,29185,2525,27396,2406,415872,6195,210440,4959,90023,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
2575,42395,1647,21700,1208,154760,5127,60375,3628,27368,2329,13099,1694,9339,1801,10569,1545,94385,4358,79099,3889,8972,1640,3693,884,2621,636,0400000US33,519756,4605,364996,4581,71786,3741,19388,2007,19200,2046,16421,1645,16777,1673,293210,5133,154489,3750,74626,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
5616,234490,4400,142326,3271,1173782,10436,412441,10726,200526,7142,78926,4415,62300,4377,70689,3429,761341,11375,608741,10076,87931,3723,41793,2936,22876,2025,0400000US34,3194844,10719,2021062,12667,413899,8103,110372,4329,94802,3855,92418,4329,116307,4207,1607163,12841,845910,9997,384437,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
3447,64466,2344,35108,1947,251765,6079,92283,5093,50059,4029,18795,2217,13343,1616,10086,1453,159482,6078,135776,5715,12741,1716,7298,1250,3667,964,0400000US35,760916,6897,509151,6597,135018,4560,35199,2813,34682,2761,30628,2178,34509,2419,374133,6706,184672,5409,89887,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
8260,454436,5983,262453,6208,3424492,21300,1284312,18110,640675,14808,244363,7364,187578,6439,211696,6752,2140180,21708,1639280,19520,270567,8371,143683,5142,86650,3786,0400000US36,7282398,15877,3857906,20082,881975,11661,252176,7551,200177,5868,194541,5277,235081,5013,2975931,18610,1535425,13184,723617,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
7068,302743,5864,158494,3613,1355236,14632,498002,10019,294600,8269,87279,3635,60611,4035,55512,3474,857234,13323,717782,11246,81494,4959,36532,2806,21426,1855,0400000US37,3790620,14716,2435384,18248,579579,11237,173081,6610,133720,5084,134232,5264,138546,4798,1855805,16057,987362,13266,407206,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
1090,18863,1115,11788,848,110429,4045,52398,3215,31389,2846,6971,1135,4553,757,9485,1360,58031,3901,49675,3599,5008,1194,1288,356,2060,527,0400000US38,305431,3533,195002,4098,41565,2543,14062,1746,8448,991,8473,1076,10582,1100,153437,3393,88737,3153,34049,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
6406,349321,4361,208706,3627,1592424,15334,667367,11928,359254,10185,135051,5019,80651,3755,92411,4044,925057,13591,773020,12467,90270,4610,39390,2898,22377,1911,0400000US39,4593172,13994,3000748,17269,727769,11691,200981,6405,176686,5161,155194,4968,194908,5690,2272979,15796,1185249,11881,529703,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
3016,115365,2522,65317,2235,508942,7734,187753,5762,113406,4835,32340,1812,19608,1580,22399,1704,321189,6741,270731,6530,30614,2103,12211,1134,7633,1134,0400000US40,1459759,5575,950817,7331,223381,4640,60815,3502,54094,2622,50416,2432,58056,2565,727436,6621,389284,5844,157470,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
4611,124648,3270,68819,2680,603119,8658,218095,5796,111626,5231,41882,2881,30511,2512,34076,2523,385024,7794,321711,7459,33920,2723,18476,1922,10917,1406,0400000US41,1535511,6674,932392,9092,213431,7018,52633,3334,55481,3340,53724,3130,51593,3204,718961,9509,349444,6849,176050,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
7091,398602,4853,242618,4483,1541808,15732,667566,11097,327831,8158,123162,5643,90558,4075,126015,4346,874242,13336,705794,12711,85036,3816,43801,2723,39611,2351,0400000US42,4945972,12878,3404164,14323,796210,10642,230076,7642,185398,5767,168381,5141,212355,5280,2607954,15143,1337564,12583,629170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
2384,28556,1652,17216,1028,168776,4882,68050,3786,32083,2552,13260,1803,10252,1724,12455,1665,100726,4232,80743,3798,11701,1609,4448,995,3834,829,0400000US44,409654,3327,240878,4850,53576,3187,15924,1755,12176,1626,10220,1251,15256,1613,187302,4805,95646,3322,45884,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
5082,169593,3838,87613,2605,583737,11489,212048,7378,126055,5803,39390,3032,24440,2491,22163,2133,371689,10047,309616,8607,37246,2788,17402,1932,7425,1160,0400000US45,1826914,10151,1243177,11898,314468,7685,93356,4655,74443,4179,76047,3544,70622,3177,928709,10876,462358,8525,209145,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
1775,23692,1291,14760,988,106465,3187,48178,2444,25530,1919,7721,1168,5516,1032,9411,1068,58287,3041,48648,2805,4970,825,2146,455,2523,606,0400000US46,334475,2656,228010,3569,54429,2906,16074,1768,14217,1587,11863,1368,12275,1105,173581,3702,96914,2604,38215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
5613,209636,4414,112430,3455,849868,12205,309967,9113,175282,7483,61131,3880,35128,2531,38426,2973,539901,9913,455354,8801,51524,3229,23344,2453,9679,1319,0400000US47,2509665,11315,1659797,14297,399182,10532,113304,5832,101085,4608,91705,4153,93088,3729,1260615,12828,657264,8934,281285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
10745,626013,7720,347356,5988,3602956,26207,1236640,17895,784450,14890,205541,7939,128021,5515,118628,5196,2366316,23788,2045596,21561,194364,6681,82086,4459,44270,3130,0400000US48,9277197,22719,5674241,28289,1110301,16845,343330,10703,269748,7689,242925,6807,254298,7246,4563940,24478,2600856,22067,989715,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
2748,64640,1745,39346,1695,283207,6106,72999,4541,41058,3241,13473,1850,7755,1291,10713,1680,210208,6213,186675,5828,13986,1631,6166,941,3381,767,0400000US49,918370,4666,635163,6737,104105,4322,35444,3091,24917,2053,21097,1705,22647,1589,531058,6359,325411,5902,101661,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
1531,21512,1112,11280,788,77045,2927,30514,2311,14160,1772,5127,840,5106,892,6121,825,46531,2380,38548,2363,4630,803,1654,520,1699,498,0400000US50,257229,3177,180184,3423,43103,2174,10817,1286,12398,1126,10500,1006,9388,854,137081,3150,68898,2278,35391,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
6037,237539,4621,124572,4083,1069008,14859,378393,8487,221203,6978,66746,3947,43490,3260,46954,3137,690615,14602,582682,12661,66902,3845,25362,2466,15669,1533,0400000US51,3083820,12955,2014812,16640,455130,9395,140653,6416,105755,4242,103110,4000,105612,4194,1559682,14573,847097,10072,350474,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
5325,200560,3678,102594,3385,1024981,13561,379938,10470,219433,8489,62110,4334,44609,3255,53786,2619,645043,9964,544415,9591,61327,3654,25731,2221,13570,1534,0400000US53,2679601,9916,1654620,12782,362024,9456,105253,5434,91793,3596,84885,4166,80093,3758,1292596,11986,681873,9498,307569,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
2968,71320,2614,38490,2001,204620,5954,82718,3826,43295,2957,17147,1866,11102,1646,11174,1370,121902,5299,99184,4865,14706,1840,5149,962,2863,726,0400000US54,735375,6298,530755,7300,135318,5522,33617,3289,30011,2262,32564,2334,39126,2706,395437,7757,193978,5426,91649,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
3991,171779,2608,97654,2741,770792,9773,323696,7090,170753,5535,58698,3238,38146,2810,56099,3210,447096,8418,375360,7301,38735,2777,16830,1655,16171,1439,0400000US55,2307685,7753,1536893,11259,333442,7452,99095,4216,78195,3469,71126,3023,85026,3388,1203451,9836,656039,7950,277979,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
1797,18490,1364,8747,782,76977,3496,31302,2558,19032,2198,5240,1357,3627,881,3403,871,45675,3435,40596,3113,3288,831,1379,528,412,259,0400000US56,232594,2987,155617,3486,35779,2447,10448,1623,9858,1271,7560,1323,7913,987,119838,3693,62678,3100,29923,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
