C27005_009M,C27005_010E,C27005_010M,C27005_011E,C27005_011M,C27005_012E,C27005_012M,C27005_013E,C27005_013M,C27005_014E,C27005_014M,C27005_015E,C27005_015M,C27005_016E,C27005_016M,C27005_017E,C27005_017M,C27005_018E,C27005_018M,C27005_019E,C27005_019M,C27005_020E,C27005_020M,C27005_021E,C27005_021M,GEO_ID,C27005_001E,C27005_001M,C27005_002E,C27005_002M,C27005_003E,C27005_003M,C27005_004E,C27005_004M,C27005_005E,C27005_005M,C27005_006E,C27005_006M,C27005_007E,C27005_007M,C27005_008E,C27005_008M,C27005_009E,C27005_009MA,C27005_010EA,C27005_010MA,C27005_011MA,C27005_011EA,C27005_012MA,C27005_012EA,C27005_013EA,C27005_013MA,C27005_014EA,C27005_014MA,C27005_015EA,C27005_015MA,C27005_016MA,C27005_016EA,C27005_017MA,C27005_017EA,C27005_018EA,C27005_018MA,C27005_019EA,C27005_019MA,C27005_020MA,C27005_020EA,C27005_021MA,C27005_021EA,NAME,C27005_001MA,C27005_001EA,C27005_002EA,C27005_002MA,C27005_003EA,C27005_003MA,C27005_004MA,C27005_004EA,C27005_005EA,C27005_005MA,C27005_006MA,C27005_006EA,C27005_007EA,C27005_007MA,C27005_008EA,C27005_008MA,C27005_009EA,state
2183,135112,4717,392099,5269,5139292,6335,1218993,5608,70413,4909,1148580,7428,3229524,3776,330725,9577,2898799,9821,690775,2678,185743,5739,505032,5851,0400000US13,9906878,3443,4767586,7391,1269254,6034,72830,4612,1196424,7237,2971121,5651,288823,8744,2682298,10962,527211,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
625,23304,1807,77136,1930,693067,2062,150147,1290,6871,1108,143276,1735,419677,1472,37511,2544,382166,2970,123243,962,33285,2387,89958,2213,0400000US15,1367770,2267,674703,2594,157871,1291,8437,1736,149434,2118,416392,2404,38743,2938,377649,3612,100440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1238,41540,2451,67340,2314,812159,3009,209500,2248,22852,3613,186648,4229,480206,2129,73516,5023,406690,5453,122453,1225,54422,2369,68031,2382,0400000US16,1612889,1331,800730,3195,221162,2306,22201,3161,198961,3976,470688,2425,74721,4456,395967,5085,108880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
2161,249320,5006,499855,5118,6497587,5037,1462383,3594,86658,4925,1375725,5969,4061257,3444,417123,9673,3644134,9874,973947,2722,358138,5505,615809,6292,0400000US17,12702393,1320,6204806,5051,1518519,3215,89394,5527,1429125,5977,3937112,3632,413170,9712,3523942,10153,749175,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1718,142516,3564,255976,3517,3317430,5123,772698,4228,40149,3605,732549,5395,2037684,3166,201978,7570,1835706,7812,507048,2033,203844,5316,303204,5467,0400000US18,6498029,543,3180599,5120,807294,4065,36788,3406,770506,5327,1974813,3143,182368,5633,1792445,6843,398492,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1212,95647,2570,111620,2550,1542473,3534,351072,2561,27562,2512,323510,3842,931260,2277,114079,4416,817181,4758,260141,1428,135819,3229,124322,3303,0400000US19,3062900,1029,1520427,3798,372279,2995,30002,2477,342277,3620,940881,2826,123759,4588,817122,4627,207267,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1440,75838,2583,100954,2841,1442902,3711,352613,3031,30636,3342,321977,4805,867739,2613,112875,4669,754864,4308,222550,1713,109179,2919,113371,3296,0400000US20,2845414,1780,1402512,3736,368295,2734,33469,2544,334826,3250,857425,3023,104119,4507,753306,5257,176792,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1718,93556,3179,186468,3360,2214427,4026,491640,2963,30076,2634,461564,3694,1371728,2838,135849,4857,1235879,5108,351059,1868,119724,3889,231335,4246,0400000US21,4328524,1238,2114097,4122,521131,3271,31665,3000,489466,4492,1312942,3557,127966,5357,1184976,6411,280024,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1635,67635,2963,199393,3213,2355042,4246,546403,3799,28178,2673,518225,4423,1465365,3005,159281,6272,1306084,6663,343274,1925,95201,3896,248073,4053,0400000US22,4547572,1845,2192530,4370,566215,3830,32366,2856,533849,4736,1359287,3489,138306,6802,1220981,7637,267028,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
923,33404,1930,73543,1917,677290,1903,127469,1236,8214,1769,119255,1961,420991,1561,41763,3061,379228,3261,128830,1046,47142,2199,81688,2228,0400000US23,1315996,592,638706,2018,129921,1107,6358,1497,123563,1828,401838,1536,40554,3155,361284,3441,106947,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1566,94318,3496,251795,3710,3053871,3348,660467,2728,44871,3502,615596,4513,1940871,2385,214599,7860,1726272,7991,452533,1907,139235,3988,313298,4238,0400000US24,5885847,2043,2831976,3502,689300,2849,45930,3670,643370,4199,1796563,2440,187503,7597,1609060,7635,346113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1747,128043,4697,294692,4875,3443909,2587,679864,2051,36847,3538,643017,4007,2209751,2094,215635,7187,1994116,7577,554294,1867,183525,4793,370769,4692,0400000US25,6668348,1237,3224439,2662,707534,1873,45268,3562,662266,3711,2094170,2328,203312,7366,1890858,7582,422735,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
1732,211282,4767,448220,4689,5010100,3364,1085086,2441,58363,4227,1026723,4799,3093101,2331,327031,7956,2766070,7944,831913,1901,295495,5683,536418,6011,0400000US26,9798621,623,4788521,3301,1134854,2770,58285,4101,1076569,4745,2994165,2607,307023,7989,2687142,8271,659502,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
1721,166388,3745,169019,3387,2720488,3565,625663,2517,50150,3325,575513,3727,1682824,2184,197747,5579,1485077,5677,412001,1848,221130,3856,190871,4160,0400000US27,5398211,808,2677723,3629,655128,2555,53997,3513,601131,3882,1687188,2285,204385,5166,1482803,5383,335407,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
1599,55528,2805,123262,2783,1521200,4278,353868,3638,23970,3248,329898,4846,930980,2761,100572,5577,830408,6337,236352,1580,78306,3020,158046,3372,0400000US28,2927088,1445,1405888,4405,375934,3670,25961,3914,349973,4623,851164,2849,84448,5025,766716,5189,178790,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1886,130470,3307,265126,3484,3054149,4191,679512,3402,49026,3986,630486,5279,1876627,3576,221095,7458,1655532,8049,498010,2401,179619,4338,318391,4570,0400000US29,5950606,1614,2896457,4646,708049,3536,56499,4656,651550,5947,1792812,3836,211426,7673,1581386,8459,395596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
691,29881,2085,49462,2057,505369,1886,109312,1479,10358,1346,98954,1978,309886,1372,49319,2975,260567,3234,86171,745,38426,2063,47745,2047,0400000US30,1008116,806,502747,2093,114739,1366,10221,1445,104518,2084,308665,1943,48992,3298,259673,3607,79343,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
852,49403,1929,66010,2025,934054,2210,226283,1646,23854,2575,202429,3038,563893,1492,81896,4087,481997,4358,143878,991,68494,2027,75384,1943,0400000US31,1853684,807,919630,2338,240307,1769,22971,2403,217336,2808,563910,2002,83772,3458,480138,4141,115413,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
868,41226,2459,146102,2765,1405750,2245,322615,1745,22722,2710,299893,3330,874448,1707,86039,4123,788409,4122,208687,1036,49010,3344,159677,3256,0400000US32,2805532,1104,1399782,2529,339019,1684,22464,2699,316555,3091,873435,2052,73866,4290,799569,4640,187328,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
773,31179,2202,60322,2140,666713,1844,130984,1158,6467,1223,124517,1486,425686,1339,44120,3242,381566,3381,110043,890,41320,2212,68723,2332,0400000US33,1311921,451,645208,1790,135849,1264,7740,1405,128109,1857,417858,1648,38387,3017,379471,3515,91501,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1636,147351,4525,397217,4648,4539656,3088,983318,2180,54122,4354,929196,4844,2828797,1773,237414,8023,2591383,7794,727541,1580,220157,4949,507384,5190,0400000US34,8830969,1326,4291313,3274,1024044,2309,54013,3887,970031,4399,2722701,2401,226691,6776,2496010,7507,544568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
1125,31145,2250,110898,2397,1044968,2969,244725,2426,10786,1800,233939,2976,629123,1945,58709,3487,570414,3816,171120,1200,43198,2412,127922,2477,0400000US35,2050369,1333,1005401,3267,253955,2606,15273,2746,238682,3508,609403,2600,56596,3936,552807,4581,142043,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
2645,270398,7226,923249,7245,10083124,4395,2067060,3412,184782,7733,1882278,8536,6412911,3688,627648,14856,5785263,14140,1603153,2622,412122,7408,1191031,7689,0400000US36,19499548,2102,9416424,4507,2150018,2766,191846,9619,1958172,9692,6072759,4101,555953,11358,5516806,12581,1193647,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
2087,217268,5724,402978,5966,5056777,6442,1117560,5641,82756,5346,1034804,7038,3139188,3671,408039,10049,2731149,10418,800029,2574,294675,6172,505354,6517,0400000US37,9752148,3509,4695371,7004,1169105,5992,80673,4947,1088432,7066,2906020,5759,359635,9819,2546385,10875,620246,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
650,23912,1292,21561,1444,357435,2171,82893,1743,9672,1588,73221,2193,221123,1320,29742,2042,191381,2516,53419,449,31655,1243,21764,1214,0400000US38,724451,1000,367016,2377,84298,1608,9893,1052,74405,1932,237245,1849,39384,2820,197861,2998,45473,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
2246,223460,5258,534798,5623,5850677,5119,1283253,3571,60527,5225,1222726,6447,3597491,3589,297498,6902,3299993,7556,969933,3063,310219,5709,659714,6287,0400000US39,11420809,1495,5570132,5355,1348228,3482,62743,4796,1285485,5970,3463646,4066,292288,8084,3171358,8954,758258,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
1512,72337,2684,168445,2966,1936184,3039,461123,2408,30153,2655,430970,3416,1173044,2185,127596,4434,1045448,4574,302017,1541,104658,3301,197359,3283,0400000US40,3797966,1457,1861782,3156,489000,2179,33340,2945,455660,3451,1132000,2291,120024,5190,1011976,5612,240782,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
1631,102268,3333,181760,3444,1995330,3943,419196,2907,26448,2910,392748,4373,1235567,2740,145034,4878,1090533,5373,340567,1667,136710,3650,203857,3976,0400000US41,3931306,976,1935976,4048,437888,2873,30157,3095,407731,4329,1214060,2825,130345,4541,1083715,5108,284028,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
2485,352537,6113,539357,6481,6466269,4310,1318270,3015,101016,5737,1217254,6013,3984011,2568,468073,9765,3515938,10072,1163988,2509,500895,7172,663093,7513,0400000US42,12582815,841,6116546,4383,1374804,3208,105900,5176,1268904,6475,3849848,3141,432942,9694,3416906,10687,891894,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
859,21951,1672,45832,1688,538199,1619,103186,1179,6868,1450,96318,1767,342833,1383,39199,2775,303634,3121,92180,983,32018,2247,60162,2217,0400000US44,1039789,677,501590,1721,109085,1203,7327,1446,101758,1844,324722,1422,33849,2771,290873,2934,67783,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
1847,104580,3317,226715,3488,2458018,5175,529623,4526,29458,3258,500165,5298,1515363,2914,159639,6394,1355724,7253,413032,1651,136353,4892,276679,4896,0400000US45,4733742,2463,2275724,5845,551156,4216,32563,3732,518593,5784,1393273,3746,136023,5050,1257250,5935,331295,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
724,23528,1383,32978,1327,418862,2625,102472,1731,12873,1709,89599,2148,250241,1975,38858,2658,211383,2916,66149,882,33566,1703,32583,1724,0400000US46,835403,736,416541,2789,107114,1413,13598,1956,93516,2406,252921,2094,40634,2713,212287,3350,56506,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1757,141779,3793,282166,4022,3328568,5438,729001,4392,56351,4104,672650,4930,2065432,3436,233551,7318,1831881,8283,534135,2265,198600,5095,335535,5586,0400000US47,6448737,1852,3120169,5388,760619,4096,52070,4410,708549,6399,1935605,4067,214531,7646,1721074,8848,423945,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
3709,335875,7380,1002785,7601,13470267,9186,3477675,7325,203167,8328,3274508,10572,8319135,5890,838020,13615,7481115,13216,1673457,4126,452691,9324,1220766,9397,0400000US48,26485838,3842,13015571,10251,3629052,8207,209110,8089,3419942,11668,8047859,8144,755181,14766,7292678,17176,1338660,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
1005,41929,1633,92422,1780,1456961,2518,437942,1965,42243,3602,395699,3557,862193,1748,104060,4136,758133,4739,156826,1079,51824,2493,105002,2442,0400000US49,2916303,1341,1459342,2682,464369,1862,40810,4035,423559,4419,860622,2378,96620,4137,764002,4427,134351,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
731,16489,1162,31280,1309,315434,1217,58552,954,2756,665,55796,1085,201520,995,20079,1785,181441,1903,55362,503,23156,1254,32206,1295,0400000US50,620453,264,305019,1193,62920,964,3852,1213,59068,1421,194330,838,21208,1535,173122,1640,47769,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
2629,154709,4256,339105,5109,4189168,5708,914429,4729,61983,4059,852446,6312,2648055,4554,310488,7324,2337567,8659,626684,2377,220311,5932,406373,6373,0400000US51,8114884,4560,3925716,6350,950309,4099,65987,4084,884322,5381,2481593,5291,290178,9283,2191415,10528,493814,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
1831,146288,3692,296293,4049,3505617,3843,782187,2930,66727,4538,715460,5031,2194697,2625,255688,8014,1939009,7954,528733,1971,195816,4922,332917,5155,0400000US53,6954806,3294,3449189,4407,818842,3252,62144,4419,756698,5414,2187766,4545,231078,7810,1956688,8389,442581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
966,36471,2194,108275,2430,924799,2865,186023,2430,5839,1429,180184,2848,563589,2059,36626,2659,526963,3239,175187,951,48308,2642,126879,2827,0400000US54,1820836,500,896037,2810,196202,2376,7096,1381,189106,2824,555089,2214,33059,2490,522030,3162,144746,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
1397,146253,3594,234465,3741,2875626,3189,635426,2391,37094,3048,598332,3973,1774457,2535,188506,5585,1585951,5884,465743,1766,203651,3634,262092,3527,0400000US55,5684725,564,2809099,3166,662366,2466,35626,3088,626740,3906,1766015,2397,188398,5033,1577617,5536,380718,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
644,13042,1302,23762,1381,283832,2423,67158,1563,6338,1600,60820,1963,175438,1689,21530,2280,153908,2770,41236,794,17729,1338,23507,1240,0400000US56,574798,643,290966,2508,70138,1861,4939,1134,65199,2036,184024,1835,19990,2525,164034,3123,36804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
1004,32110,2434,232033,2573,1838041,3476,369415,3157,29999,3572,339416,4590,1122384,1096,129015,5361,993369,5273,346242,1385,43232,2689,303010,2930,0400000US72,3521353,565,1683312,3518,402669,3108,37723,3897,364946,4661,1016500,1443,110815,6376,905685,6477,264143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
