GEO_ID,B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,NAME,B25081_001EA,B25081_001MA,B25081_002MA,B25081_002EA,B25081_003MA,B25081_003EA,B25081_004MA,B25081_004EA,B25081_005MA,B25081_005EA,B25081_006MA,B25081_006EA,B25081_007EA,B25081_007MA,B25081_008EA,B25081_008MA,state
0400000US46,228010,3569,124813,3723,14783,1577,3413,715,11370,1402,808,425,109222,3678,103197,3262,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1659797,14297,994895,12168,127536,4881,37915,3366,89621,3713,3940,853,863419,11450,664902,10172,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,5674241,28289,3307196,25777,200157,7642,84021,4929,116136,5480,8923,1604,3098116,26253,2367045,21230,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,635163,6737,451224,6672,65301,2931,22834,1944,42467,2404,2458,660,383465,6259,183939,4756,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,180184,3423,113356,3425,20231,1375,2667,631,17564,1329,750,298,92375,2946,66828,2592,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2014812,16640,1407755,14687,257470,5976,60399,3542,197071,5374,10598,1581,1139687,14521,607057,8744,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1654620,12782,1142142,12698,184378,6187,46002,3296,138376,5149,7237,1295,950527,12370,512478,8235,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,530755,7300,245645,5839,26175,2454,5176,1173,20999,2088,939,414,218531,5969,285110,5369,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1536893,11259,1000272,10139,178020,4790,41676,2518,136344,4393,6888,912,815364,10394,536621,8838,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,155617,3486,90411,3700,9300,1509,3007,860,6293,1160,616,416,80495,3490,65206,3167,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,837840,10343,341638,8395,10474,1206,7318,1100,3156,701,791,397,330373,7925,496202,8775,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
