GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001MA,C18104_001EA,C18104_002EA,C18104_002MA,C18104_003EA,C18104_003MA,C18104_004EA,C18104_004MA,C18104_005MA,C18104_005EA,C18104_006MA,C18104_006EA,C18104_007EA,C18104_007MA,C18104_008EA,C18104_008MA,C18104_009EA,C18104_009MA,C18104_010MA,C18104_010EA,C18104_011MA,C18104_011EA,C18104_012MA,C18104_012EA,C18104_013EA,C18104_013MA,C18104_014EA,C18104_014MA,C18104_015EA,C18104_015MA,C18104_016MA,C18104_016EA,C18104_017MA,C18104_017EA,C18104_018EA,C18104_018MA,C18104_019EA,C18104_019MA,C18104_020EA,C18104_020MA,C18104_021EA,C18104_021MA,state
0400000US13,9252483,5566,4434628,7687,936296,5348,39187,3208,897109,6581,2971121,5651,134098,6764,2837023,8108,527211,2183,47686,2985,479525,3544,4817855,6077,897556,4628,22630,2961,874926,4657,3229524,3776,137601,6941,3091923,8027,690775,2678,78057,4396,612718,4235,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1276763,2271,628479,2493,111647,1068,3760,869,107887,1228,416392,2404,17268,2280,399124,2949,100440,625,11479,1422,88961,1517,648284,1953,105364,1114,2858,870,102506,1391,419677,1472,13072,1897,406605,2258,123243,962,15725,2017,107518,2123,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1501182,2086,744989,3189,165421,2172,10077,1758,155344,3005,470688,2425,24532,2478,446156,3495,108880,1238,11244,1823,97636,2217,756193,3042,153534,2038,3807,1019,149727,2219,480206,2129,20322,2438,459884,3296,122453,1225,11534,1560,110919,1947,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11913267,3047,5802071,4862,1115784,2576,46781,3355,1069003,4057,3937112,3632,136668,6663,3800444,7037,749175,2161,52666,2906,696509,3278,6111196,4428,1075992,2768,22922,2506,1053070,3746,4061257,3444,126251,5197,3935006,6071,973947,2722,86155,4686,887792,4905,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6080005,2568,2966775,4969,593470,3648,37150,2857,556320,4717,1974813,3143,94797,5288,1880016,6155,398492,1718,33645,2429,364847,3005,3113230,4531,568498,3314,22235,2548,546263,3196,2037684,3166,98361,5151,1939323,6037,507048,2033,49493,3238,457555,3716,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2869329,2313,1420862,3731,272714,2866,14208,2104,258506,3362,940881,2826,39525,3278,901356,4059,207267,1212,12505,1496,194762,1909,1448467,3044,257066,2121,7109,1204,249957,2298,931260,2277,34401,2726,896859,3730,260141,1428,17069,1646,243072,2021,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2646066,3176,1301432,4022,267215,2799,13090,1841,254125,3327,857425,3023,42259,3056,815166,3860,176792,1440,12405,1455,164387,1827,1344634,3261,254345,2431,9534,1650,244811,2684,867739,2613,41542,2745,826197,3446,222550,1713,18461,2030,204089,2350,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4053892,2734,1971315,4384,378349,2959,28438,2567,349911,3661,1312942,3557,91984,5136,1220958,6131,280024,1718,30476,2404,249548,2926,2082577,4086,359790,2870,14907,1923,344883,2939,1371728,2838,94687,4320,1277041,5416,351059,1868,39640,2770,311419,3032,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4242119,3324,2037638,4714,411323,3650,31227,3497,380096,4613,1359287,3489,78804,4399,1280483,5634,267028,1635,27040,2115,239988,2765,2204481,4029,395842,3074,15884,2516,379958,3663,1465365,3005,79867,3892,1385498,4998,343274,1925,39988,2583,303286,3043,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1253079,911,607125,1836,98340,926,8973,1678,89367,1984,401838,1536,30731,3376,371107,3782,106947,923,7930,1040,99017,1286,645954,1740,96133,1056,4220,1002,91913,1418,420991,1561,27896,2824,393095,3206,128830,1046,8702,1108,120128,1467,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
