B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,B25102_012E,B25102_012M,B25102_013E,B25102_013M,B25102_014E,B25102_014M,B25102_015E,B25102_015M,GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002MA,B25102_003EA,B25102_003MA,B25102_004EA,B25102_004MA,B25102_005MA,B25102_005EA,B25102_006MA,B25102_006EA,B25102_007MA,B25102_007EA,B25102_008EA,B25102_008MA,B25102_009EA,B25102_009MA,B25102_010EA,B25102_010MA,B25102_011MA,B25102_011EA,B25102_012MA,B25102_012EA,B25102_013EA,B25102_013MA,B25102_014EA,B25102_014MA,B25102_015EA,B25102_015MA,NAME,B25102_001MA,B25102_001EA,B25102_002EA,state
6648,47083,2887,104391,4470,68246,3224,107214,4280,112691,4133,5997,878,293546,5415,69984,2910,68949,3033,38489,2191,58482,2760,50440,2992,7202,924,0400000US20,739168,7329,445622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,20
9897,180637,6829,228383,6070,89510,4016,89115,4385,62789,2940,21406,1986,459357,7423,215132,5832,101809,4083,35006,2263,30648,2155,21543,2132,55219,3115,0400000US21,1131197,10706,671840,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,21
8924,217130,7632,112404,4909,48919,3405,53906,3840,48032,2961,108698,5027,517696,8721,223980,6394,52456,3645,19677,1902,22692,1852,22632,2220,176259,6360,0400000US22,1106785,10765,589089,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,22
5398,17610,1470,38216,2427,34090,2408,63010,3121,89908,3669,1466,586,147839,4085,25542,2003,27985,1984,18205,1387,33040,2133,39988,2573,3079,730,0400000US23,392139,5035,244300,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,23
11158,35371,2614,79623,3719,97788,4213,240144,7170,572685,9551,23294,1935,377843,7871,25384,1782,36932,2434,38508,2689,91784,4402,162607,4883,22628,2093,0400000US24,1426748,11362,1048905,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,24
10525,23821,2217,53927,3533,48063,3820,186999,6533,758531,9831,20815,2009,478176,6989,15858,1800,20768,2158,21541,1960,80430,3984,315879,6516,23700,2201,0400000US25,1570332,11411,1092156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,25
13896,111271,3532,324912,7288,233326,6252,409823,7826,526232,8944,53325,2564,1034395,10516,123325,4414,236533,6242,150497,4321,208365,5247,217022,5763,98653,3856,0400000US26,2693284,15012,1658889,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,26
9646,97973,3718,197473,4533,139235,4144,260689,5408,312585,6314,11866,1335,506585,7101,97835,3076,93267,3174,69846,3218,107176,3856,124149,4006,14312,1597,0400000US27,1526406,9904,1019821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,27
9108,124521,4951,104267,4759,42102,3396,36933,2890,21557,2481,50072,3545,362052,7581,153614,6138,56557,3490,21371,2404,13836,1730,11383,1702,105291,4405,0400000US28,741504,10031,379452,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,28
11856,211630,6025,280805,6244,139759,5544,174794,5849,165641,5685,15809,1922,587188,8557,204966,5841,152516,4771,67885,3002,78541,3666,61717,3265,21563,2053,0400000US29,1575626,12914,988438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,29
4362,16306,1517,38373,2495,32521,2686,36208,2473,23954,1927,2931,655,122563,3801,32423,2077,27863,2132,18834,1753,21023,2167,13859,1552,8561,1148,0400000US30,272856,4625,150293,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,30
4974,16256,1442,42648,2346,34375,2194,78978,3083,119489,3592,6716,975,189976,4370,30917,1744,32066,1898,21056,1577,39968,2310,51666,2673,14303,1317,0400000US31,488438,4861,298462,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,31
6749,70913,3936,114780,4704,55779,3337,71286,3924,49110,2676,13015,1281,173022,5171,48169,3245,44657,2826,21052,1599,25386,2060,20426,1692,13332,1493,0400000US32,547905,6648,374883,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,32
5253,6781,1155,5249,1014,5816,1220,17931,1892,207801,4970,862,374,120556,3950,10048,1682,6771,1336,3144,634,11362,1500,85760,3399,3471,873,0400000US33,364996,4581,244440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,33
12404,24633,2091,16719,1814,13683,1871,35440,2490,1265593,12462,25726,2474,639268,9077,20151,2061,14102,2276,12879,1751,25935,2125,532461,9480,33740,2497,0400000US34,2021062,12667,1381794,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,34
5906,67903,3100,78985,4353,42343,3339,43547,3016,39171,2784,14644,1674,222558,5236,88631,3207,44071,3192,19418,1954,19241,1879,15602,1422,35595,2357,0400000US35,509151,6597,286593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,35
17868,75816,3457,129471,5283,104459,4425,276711,6936,1711886,15897,109375,4805,1450188,14868,85835,3479,124722,5371,83648,4098,168042,5601,834083,11492,153858,5351,0400000US36,3857906,20082,2407718,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,36
15677,294639,7011,506734,11105,244341,6598,265180,6602,235641,5542,22679,2295,866170,11381,323541,7420,246291,6250,93008,4176,88237,4158,79102,3568,35991,2642,0400000US37,2435384,18248,1569214,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,37
3611,13276,1496,22052,2102,18680,1972,21473,1921,23867,1863,1923,655,93731,2601,28896,1623,18109,1244,10643,1016,15167,1389,10330,1082,10586,1184,0400000US38,195002,4098,101271,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,38
15311,190587,6046,403888,8403,252202,6644,401997,8017,645648,9574,25569,2017,1080857,11244,222684,5354,252997,6303,128838,4511,191043,5808,245069,5797,40226,2343,0400000US39,3000748,17269,1919891,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,39
6493,149233,3676,156440,4812,72465,3248,76836,3276,57720,3207,19439,1250,418684,6370,211123,4471,88276,3470,33028,2037,34464,2252,24969,1922,26824,1772,0400000US40,950817,7331,532133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,40
9411,34188,2965,84870,4520,72136,4289,159934,5984,258462,6714,7106,1252,315696,7804,54276,3386,46680,2914,32036,2059,68653,3564,97566,3898,16485,1915,0400000US41,932392,9092,616696,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,41
14701,184214,5212,312450,6285,200441,5736,378233,8478,966721,11648,19487,1728,1342618,11133,254516,5824,242366,5638,138892,4495,236824,6023,438328,7589,31692,2227,0400000US42,3404164,14323,2061546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,42
5012,6077,1025,4400,1008,6270,1208,26640,2014,124525,4536,464,244,72502,3422,4453,1026,1895,576,3070,688,14696,1618,47005,2797,1383,536,0400000US44,240878,4850,168376,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,44
10291,293060,7897,246023,6856,67605,3596,60415,3853,44838,3020,17017,1902,514219,8587,292624,7284,103028,4472,26743,2182,25578,2208,22271,2137,43975,2409,0400000US45,1243177,11898,728958,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,45
3723,13890,1506,25748,2082,19210,1826,33192,2259,30221,1953,2552,677,103197,3262,25390,1568,20104,1566,12536,1302,19998,1681,17682,1588,7487,1066,0400000US46,228010,3569,124813,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,46
12168,304751,7727,334559,8633,116431,5105,110491,5445,106502,3759,22161,1745,664902,10172,280352,6500,186288,5455,56213,3060,51219,3276,51500,2789,39330,2612,0400000US47,1659797,14297,994895,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,47
25777,254703,7456,384548,10185,262390,7680,576898,11978,1725800,19832,102857,5557,2367045,21230,625381,10897,426764,9824,220704,8084,312068,8886,618020,10517,164108,5396,0400000US48,5674241,28289,3307196,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,48
6672,44414,3313,179505,5269,98797,4028,77020,3023,41514,2703,9974,1335,183939,4756,28523,2390,61983,3056,35699,2108,27942,2290,18271,1701,11521,1419,0400000US49,635163,6737,451224,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,49
3425,4089,711,4642,709,4692,781,20610,1602,78798,3092,525,284,66828,2592,7814,1317,4314,690,3469,513,10506,1095,39293,2076,1432,391,0400000US50,180184,3423,113356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,50
14687,182894,6335,279024,7805,172284,5579,245227,7733,491309,8694,37017,2992,607057,8744,169332,5665,122899,4790,64516,3373,82301,3338,130862,4597,37147,2909,0400000US51,2014812,16640,1407755,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,51
12698,56053,3032,131624,5559,121499,5031,286973,7405,519785,8786,26208,1962,512478,8235,76689,3767,53747,3172,41421,2917,107622,4600,196514,5638,36485,2641,0400000US53,1654620,12782,1142142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,53
5839,127683,4909,64747,3144,19696,1774,14111,1793,5613,1087,13795,2002,285110,5369,171761,4951,44993,3147,10232,1348,6239,1039,3502,688,48383,3085,0400000US54,530755,7300,245645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,54
10139,31546,2047,63278,2957,79586,3131,242122,5512,572659,6811,11081,1476,536621,8838,37400,2144,46211,2352,47665,2680,130014,4211,255123,5000,20208,1443,0400000US55,1536893,11259,1000272,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,55
3700,19580,1762,37227,2867,15689,2001,10652,1533,6339,1256,924,399,65206,3167,22534,2200,21805,2287,6849,1241,6430,1174,4422,1048,3166,713,0400000US56,155617,3486,90411,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,56
8395,32496,2868,14320,1687,4670,1052,4385,1017,4073,970,281694,8089,496202,8775,39352,2626,9856,1599,2247,648,1992,660,1334,439,441421,8002,0400000US72,837840,10343,341638,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,72
