B17023_020M,B17023_021E,B17023_021M,B17023_022E,B17023_022M,B17023_023E,B17023_023M,B17023_024E,B17023_024M,B17023_025E,B17023_025M,B17023_026E,B17023_026M,B17023_027E,B17023_027M,B17023_028E,B17023_028M,B17023_029E,B17023_029M,B17023_030E,B17023_030M,B17023_031E,B17023_031M,B17023_032E,B17023_032M,B17023_033E,B17023_033M,B17023_034E,B17023_034M,B17023_035E,B17023_035M,GEO_ID,B17023_001E,B17023_001M,B17023_002E,B17023_002M,B17023_003E,B17023_003M,B17023_004E,B17023_004M,B17023_005E,B17023_005M,B17023_006E,B17023_006M,B17023_007E,B17023_007M,B17023_008E,B17023_008M,B17023_009E,B17023_009M,B17023_010E,B17023_010M,B17023_011E,B17023_011M,B17023_012E,B17023_012M,B17023_013E,B17023_013M,B17023_014E,B17023_014M,B17023_015E,B17023_015M,B17023_016E,B17023_016M,B17023_017E,B17023_017M,B17023_018E,B17023_018M,B17023_019E,B17023_019M,B17023_020E,B17023_020MA,B17023_021MA,B17023_021EA,B17023_022MA,B17023_022EA,B17023_023EA,B17023_023MA,B17023_024EA,B17023_024MA,B17023_025EA,B17023_025MA,B17023_026MA,B17023_026EA,B17023_027MA,B17023_027EA,B17023_028EA,B17023_028MA,B17023_029MA,B17023_029EA,B17023_030MA,B17023_030EA,B17023_031EA,B17023_031MA,B17023_032MA,B17023_032EA,B17023_033EA,B17023_033MA,B17023_034EA,B17023_034MA,B17023_035EA,B17023_035MA,NAME,B17023_001MA,B17023_001EA,B17023_002EA,B17023_002MA,B17023_003MA,B17023_003EA,B17023_004MA,B17023_004EA,B17023_005MA,B17023_005EA,B17023_006EA,B17023_006MA,B17023_007EA,B17023_007MA,B17023_008MA,B17023_008EA,B17023_009EA,B17023_009MA,B17023_010MA,B17023_010EA,B17023_011MA,B17023_011EA,B17023_012MA,B17023_012EA,B17023_013MA,B17023_013EA,B17023_014EA,B17023_014MA,B17023_015MA,B17023_015EA,B17023_016MA,B17023_016EA,B17023_017EA,B17023_017MA,B17023_018MA,B17023_018EA,B17023_019MA,B17023_019EA,B17023_020EA,state
16797,942272,11674,515013,11593,113130,6096,6550,1316,506763,12226,137070,7303,74364,5176,55632,4749,6992,1663,82,137,369693,10234,196742,7496,155398,7625,16231,2495,1322,725,0400000US13,2426392,15122,342664,9063,115068,5382,45989,3321,39579,4079,25898,2777,3602,1061,227596,7392,35334,2795,11969,1697,16799,2280,6042,1731,524,418,192262,7162,50099,3680,94125,5677,42613,3578,5425,1343,2083728,15808,1576965,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
4659,136601,4171,69773,3245,13083,1580,1018,457,69143,3392,23802,2491,15520,1854,7511,1431,771,522,0,181,45341,2607,29848,2279,13719,1859,1654,677,120,165,0400000US15,314151,5725,24533,2343,11574,1536,5152,998,3643,932,2493,818,286,237,12959,1748,2397,715,1118,469,962,381,227,285,90,138,10562,1500,2750,844,5356,1219,1769,660,687,363,289618,5942,220475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
6160,184684,5634,84869,4702,30418,3316,4624,1105,61271,3973,22953,2931,10614,2057,10059,1903,2233,908,47,79,38318,3084,20219,2447,15570,2120,2328,688,201,199,0400000US16,407499,5941,41633,2770,20024,1814,8336,1190,5225,1150,5339,1175,1124,463,21609,2322,4622,1158,1351,437,2635,1011,529,335,107,153,16987,2025,2071,619,11021,1800,2736,884,1159,495,365866,6060,304595,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
16927,1297497,13224,686483,11266,170748,5692,7481,1325,611493,11687,193900,6750,114248,5337,70407,4315,9034,1572,211,152,417593,8949,233627,6491,159499,5658,23627,2434,840,542,0400000US17,3099184,17994,325482,8355,107089,4912,42284,2816,35553,2817,25606,2445,3646,916,218393,6139,33628,3074,13380,1895,14783,1730,4558,1253,907,576,184765,5144,44852,2835,100087,3757,36465,2951,3361,798,2773702,18072,2162209,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
12635,733387,9196,328043,7778,94688,4714,5753,968,314818,9077,99992,5257,51614,3517,42624,3628,5198,1115,556,474,214826,6836,113437,4996,88379,4526,12470,2024,540,462,0400000US18,1657223,12597,180534,6423,57524,3781,24903,2039,17373,2299,13294,1823,1954,513,123010,5317,20572,2154,5302,1226,11008,1463,3904,1169,358,265,102438,4708,19661,2079,57900,3947,22361,2579,2516,777,1476689,11767,1161871,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
7661,380503,5489,174985,5084,54878,3359,3577,901,124237,5477,46774,3437,18793,2021,24711,2433,2992,991,278,227,77463,4101,35945,2503,36275,2836,4897,1204,346,317,0400000US19,801562,6871,63382,3549,22804,1887,10261,1190,7218,1272,4421,1068,904,351,40578,3005,7667,1498,2107,615,4660,1167,695,380,205,257,32911,2875,4785,934,19084,2304,8686,1580,356,169,738180,7501,613943,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
7926,326621,5794,161418,4902,48447,2814,3641,906,121617,5186,43658,2879,19859,1712,20523,2308,2977,972,299,255,77959,4585,37490,2915,35549,3113,4412,1015,508,427,0400000US20,728602,7887,66858,3402,24744,2458,10429,1385,7840,1349,5189,1118,1286,497,42114,2978,7482,1417,1820,619,4155,920,1308,724,199,238,34632,2916,5992,1072,19438,2483,8435,1586,767,417,661744,7678,540127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
11192,490135,8717,222111,6389,50871,3000,3957,959,194807,6699,60258,3993,33319,2690,24825,2665,1954,676,160,240,134549,5256,77821,3773,50833,3631,5616,1372,279,285,0400000US21,1124586,10250,162705,6162,61852,3770,31109,2521,18636,2247,10636,1459,1471,656,100853,4927,18983,2389,6438,1351,9313,1742,2705,1002,527,475,81870,4422,20948,1826,43913,3596,14612,1999,2397,945,961881,11820,767074,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
10691,445543,8396,198801,6631,49928,4696,2651,865,250218,7817,76586,4661,43643,3114,29921,3354,2870,893,152,184,173632,5939,94536,4632,69120,4535,9323,1791,653,538,0400000US22,1112659,9882,165518,6200,44976,3832,25312,2714,11911,1969,6522,1335,1231,531,120542,5078,16057,1971,7002,1319,7386,1516,1545,715,124,212,104485,5184,27941,2442,53180,4068,19330,2262,4034,1109,947141,11077,696923,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
5002,175563,4229,64449,3078,12039,1588,814,437,58380,3492,21000,2099,10085,1480,10187,1600,660,417,68,115,37380,2982,19353,2042,15823,2046,2149,909,55,92,0400000US23,344585,5357,33340,2772,10839,1197,6064,939,3074,833,1650,530,51,87,22501,2572,4981,1197,1023,416,3234,1088,693,499,31,32,17520,2360,3373,984,10698,1988,3230,833,219,231,311245,4889,252865,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
12495,590032,9077,325336,7538,70737,3938,4523,1096,353242,8927,94196,5618,51657,3630,36906,3571,5370,1225,263,262,259046,8004,143680,5790,102569,5380,12337,2049,460,390,0400000US24,1445972,11686,102102,5580,31430,2581,14796,1551,10469,1693,4706,1117,1459,603,70672,4579,11909,1665,4517,991,5287,1147,1956,727,149,171,58763,4223,14624,1766,33109,3094,9646,1529,1384,763,1343870,11944,990628,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
12251,683405,10022,385208,7742,73263,3651,2302,706,332851,8177,95273,4922,60348,3539,32222,2720,2504,702,199,233,237578,7089,127459,5362,98697,4897,10799,1900,623,487,0400000US25,1610581,11929,133552,5753,39346,2939,20318,1900,11684,1820,6592,1250,752,419,94206,4907,12428,1875,4456,934,6399,1554,1433,632,140,230,81778,4531,17098,2069,48278,4239,15422,2420,980,550,1477029,12298,1144178,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
13958,1101686,11015,490434,8893,120568,4853,8397,1204,479693,9505,149523,5394,79608,3768,61938,3641,7101,1373,876,532,330170,7584,187776,5877,126760,4874,14698,1940,936,424,0400000US26,2485159,14714,284381,7142,93876,3963,41582,2752,29293,2458,19148,2323,3853,762,190505,5913,32789,2726,10121,1552,18038,1924,3797,934,833,459,157716,5647,36924,2687,87064,4235,29366,2675,4362,1213,2200778,14387,1721085,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
10253,630706,7182,316934,6780,85826,3591,6858,1194,227097,6846,78624,4076,37006,2408,35270,2957,5896,1210,452,371,148473,4207,70879,3734,66742,3218,10333,1813,519,453,0400000US27,1369594,10930,102173,5030,35632,2621,14725,1258,7974,1250,9145,1568,3788,928,66541,3925,11177,1383,3114,853,5951,986,1741,597,371,226,55364,3737,8177,1057,34028,3198,11234,1583,1925,605,1267421,10435,1040324,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
8880,291649,6508,124988,5324,31288,3057,1776,765,167247,6051,44623,3737,24273,2610,18966,2517,1257,667,127,120,122624,4924,70170,3966,48022,4037,4404,1104,28,70,0400000US28,738463,9100,121515,4890,32520,2658,16570,1964,10165,1509,5071,1154,714,487,88995,4302,11006,1790,4230,985,4962,1253,1516,638,298,275,77989,4191,25882,2392,36267,2942,14445,2361,1395,579,616948,8477,449701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
11623,677810,9079,304864,6766,79095,4149,5943,1384,279787,7761,85130,5276,40662,3398,39625,3519,4533,1083,310,294,194657,6916,107839,4340,78104,4882,8235,1455,479,393,0400000US29,1508816,13340,161317,6328,57003,4066,27558,2511,16470,2139,10301,1683,2674,867,104314,4935,18170,1846,4949,1071,11013,1912,2170,639,38,51,86144,4909,18712,2261,46894,3734,18219,2495,2319,746,1347499,12605,1067712,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
5151,125817,4173,48915,2957,14254,1545,877,310,37338,2878,15063,1827,6032,1163,7818,1423,1213,488,0,161,22275,1824,12412,1347,8422,1265,1240,457,201,269,0400000US30,251176,5144,23975,2068,9632,1277,4466,870,2517,687,2253,684,396,270,14343,1571,2756,759,676,310,1519,603,360,341,201,225,11587,1320,2372,647,6567,1158,2427,770,221,175,227201,5088,189863,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
5219,214476,3986,106003,3477,34351,2532,2117,637,81506,3610,26676,2110,12379,1558,12929,1521,1368,574,0,153,54830,3088,24902,2315,26201,1996,3446,989,281,314,0400000US31,480317,5426,41864,2799,14749,1484,6444,942,3580,840,4098,923,627,330,27115,2479,3914,845,1316,421,1628,505,943,450,27,34,23201,2295,3427,817,14338,1802,4721,1135,715,506,438453,5413,356947,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
6167,260123,4965,124364,4750,32826,3028,2365,810,152248,5936,57347,3490,30831,2741,23115,2418,3242,882,159,186,94901,4841,50746,2830,38125,3027,5748,1111,282,340,0400000US32,642461,7985,70535,4275,27484,2574,10920,1667,8305,1444,7163,1360,1096,513,43051,3257,10058,2046,3646,964,3870,1071,2317,1159,225,166,32993,2408,7356,1293,17003,1785,7179,1388,1455,615,571926,7912,419678,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
4526,173245,4033,75420,3284,15205,1659,702,433,60460,3710,21769,2414,10254,1497,10308,1629,1207,567,0,182,38691,3100,19065,1944,18197,2344,1429,640,0,182,0400000US33,345901,5099,20869,2427,6406,1210,2792,638,2669,889,753,401,192,238,14463,2168,2452,835,659,431,1557,658,236,288,0,182,12011,2001,1593,599,8237,1660,2181,861,0,182,325032,5115,264572,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
11584,889307,9438,545636,8870,102967,4716,5961,976,476682,9562,134609,6064,84381,5004,44354,3044,5641,1050,233,267,342073,7857,197041,5956,129950,5533,14622,2154,460,379,0400000US34,2203675,15024,183122,6306,64009,3305,27438,2001,22486,2055,11055,1729,3030,843,119113,4907,19819,2514,7072,1473,8237,1356,4234,1340,276,253,99294,4608,25168,2135,54281,3729,17956,2112,1889,691,2020553,14123,1543871,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
5823,201916,5091,81425,3733,24222,2541,946,588,100240,3723,33417,2439,16924,1799,14401,1987,2034,823,58,81,66823,3348,37197,2495,26608,2705,2867,866,151,244,0400000US35,489532,7201,80783,5015,32224,3299,14800,1937,9152,1911,7052,1508,1220,615,48559,3951,8659,1647,3085,835,4224,1022,1239,647,111,109,39900,3581,10126,1623,21652,3005,7106,1332,1016,654,408749,7109,308509,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
18097,1817628,14416,950175,13973,190193,6938,17545,1771,1081836,13283,312129,8113,197986,6539,102522,5093,10878,1682,743,439,769707,11059,465503,8449,274115,8070,28776,3070,1313,618,0400000US36,4621954,18878,564577,12342,200838,6375,82571,4223,69186,3744,35963,3148,13118,1459,363739,9276,54626,3645,21094,2216,26044,2936,6536,1434,952,516,309113,8240,91729,4663,160517,7047,50278,3683,6589,1395,4057377,19572,2975541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
