GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001MA,C01001D_001EA,C01001D_002EA,C01001D_002MA,C01001D_003EA,C01001D_003MA,C01001D_004MA,C01001D_004EA,C01001D_005MA,C01001D_005EA,C01001D_006MA,C01001D_006EA,C01001D_007EA,C01001D_007MA,C01001D_008EA,C01001D_008MA,C01001D_009MA,C01001D_009EA,state
0400000US16,24009,3453,10397,2074,2698,1369,6917,1089,782,372,13612,1694,2700,759,9389,1294,1523,512,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,663454,5604,319571,3705,69715,2210,218712,2901,31144,860,343883,3459,69083,2111,235829,2350,38971,955,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,130250,3827,62665,2182,15113,1408,44101,1649,3451,607,67585,2661,16172,1556,47690,1941,3723,708,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,68419,3108,35795,2428,9543,1559,24703,1619,1549,520,32624,1638,7014,1033,23770,1505,1840,581,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,76245,2414,36868,1957,9703,1164,24938,1448,2227,367,39377,1620,7876,870,28374,1293,3127,566,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,54542,2814,25088,1830,6251,981,17238,1305,1599,535,29454,1691,6990,1017,20488,1339,1976,545,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,78675,2378,38150,2131,8583,1215,26674,1356,2893,531,40525,1719,8572,1248,27992,1274,3961,570,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14447,1256,5497,781,1074,448,4119,600,304,197,8950,963,1836,531,6541,808,573,328,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,369996,4570,175769,2739,40727,2060,117076,1609,17966,781,194227,2834,38736,1967,133433,1823,22058,904,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,413079,4865,196961,3201,42380,2042,139160,1808,15421,671,216118,2903,43991,1841,153867,1920,18260,520,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,281404,4069,136503,2716,34207,1791,92558,1812,9738,649,144901,2524,33350,1479,98537,1809,13014,667,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,250352,3570,120871,2905,36036,1944,79591,1599,5244,547,129481,2587,35713,1766,85811,1739,7957,918,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,24009,2276,10679,1512,1973,762,7820,1356,886,471,13330,1471,1643,696,9307,1158,2380,808,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,107426,3866,51256,2634,12861,1700,35366,1815,3029,523,56170,2723,10203,1289,41459,2035,4508,528,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,8176,1500,3542,867,930,403,2508,690,104,117,4634,1047,668,366,3533,927,433,334,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,38892,1651,18877,1041,5361,772,12495,719,1021,298,20015,1043,4605,657,14000,755,1410,352,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,221841,4609,99414,2549,19494,1719,67148,1777,12772,341,122427,3297,18134,1266,85514,2532,18779,489,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,33974,2254,16010,1360,4903,1061,10242,919,865,274,17964,1561,3843,979,12857,1007,1264,521,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,827493,4813,401590,2881,95026,1695,269662,1978,36902,736,425903,2761,92963,1772,288917,1945,44023,770,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,31566,2145,13654,1602,2837,959,9694,1113,1123,261,17912,1291,3122,636,12505,1256,2285,609,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1613255,8423,770776,5142,156965,3468,535984,3440,77827,1046,842479,5296,152602,3087,595295,3738,94582,1230,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,246721,4309,118356,2737,29578,2045,82438,2099,6340,707,128365,2694,30229,1937,89941,1956,8195,939,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,8899,919,4401,745,810,324,3512,606,79,83,4498,666,654,316,3597,527,247,137,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,225438,5022,106217,3118,23670,1654,74076,2295,8471,859,119221,3073,25574,2124,83796,2042,9851,1053,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,76654,2858,36171,1806,8306,1161,25375,1469,2490,434,40483,1691,8186,973,28449,1135,3848,465,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,159891,4298,72164,2439,15966,1633,49537,1505,6661,459,87727,3062,16167,1788,62871,2107,8689,668,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,399285,5091,191452,2904,43556,1721,132994,2106,14902,802,207833,3420,44971,2264,144032,2126,18830,981,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,35676,2016,15926,1368,3177,718,11621,1135,1128,508,19750,1256,4192,651,13663,1180,1895,527,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,68976,2531,32213,1998,7782,1000,21136,1475,3295,833,36763,1717,7714,949,25233,1737,3816,862,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,11017,1189,4969,1058,1399,496,3437,899,133,167,6048,888,1966,669,3836,772,246,185,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,102508,3823,47105,2483,11675,1397,31767,1728,3663,787,55403,2560,11980,1378,37486,1531,5937,867,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1161951,9196,563383,6137,132334,3631,385497,4473,45552,1037,598568,5544,132238,3598,413945,3325,52385,1475,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,66060,2726,31159,1559,7628,927,21626,1203,1905,209,34901,1735,6286,1049,25613,1224,3002,455,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,9933,1118,4793,781,1291,414,3088,542,414,248,5140,724,1037,442,3879,607,224,102,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,510871,6813,238613,4175,54383,2536,163145,3081,21085,933,272258,4144,58520,2218,187191,2951,26547,1381,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,554101,5778,255158,3982,53491,2625,176744,2975,24923,761,298943,3866,55393,2319,206253,2647,37297,1002,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,11642,1694,4831,1110,661,534,3878,865,292,225,6811,874,902,527,5294,652,615,366,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,150258,3182,73801,2132,22025,1418,48340,1328,3436,552,76457,2210,21539,1449,50418,1406,4500,684,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,5541,1066,2097,631,566,297,1379,502,152,159,3444,926,598,379,2145,871,701,452,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,8810,2213,3490,1175,904,558,2113,838,473,338,5320,1336,1287,637,3703,1084,330,238,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
