B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,GEO_ID,B16005A_001E,B16005A_001MA,B16005A_002EA,B16005A_002MA,B16005A_003EA,B16005A_003MA,B16005A_004MA,B16005A_004EA,B16005A_005MA,B16005A_005EA,B16005A_006EA,B16005A_006MA,B16005A_007EA,B16005A_007MA,B16005A_008MA,B16005A_008EA,B16005A_009MA,B16005A_009EA,B16005A_010MA,B16005A_010EA,B16005A_011MA,B16005A_011EA,NAME,B16005A_001EA,state
20689,7860405,22373,7169190,22055,691215,15904,591254,15329,99961,6060,912010,16905,112934,5502,799076,16654,316159,10442,482917,13868,0400000US17,8772415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,17
9852,5084697,9700,4922687,11198,162010,8554,129300,7974,32710,3756,139498,8615,34008,4307,105490,7890,46124,4245,59366,5416,0400000US18,5224195,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,18
3888,2603447,5221,2535732,6423,67715,3577,56490,3129,11225,1805,68453,5270,12412,1911,56041,4791,22723,2597,33318,3529,0400000US19,2671900,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,19
6289,2202528,5929,2108911,6511,93617,4925,76957,4633,16660,2139,103543,5160,17312,2167,86231,4872,37844,3586,48387,3361,0400000US20,2306071,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,20
4437,3562090,5948,3499542,7134,62548,4743,47767,3716,14781,3071,71182,4960,16412,2083,54770,4742,20957,2520,33813,3711,0400000US21,3633272,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,21
5201,2644657,5490,2499844,8853,144813,7576,121182,6926,23631,2682,102279,6265,18240,2239,84039,5876,30055,3459,53984,5352,0400000US22,2746936,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,22
1486,1174733,2791,1126199,4068,48534,3099,41215,2929,7319,1285,28232,2521,14022,1748,14210,1852,8968,1446,5242,1161,0400000US23,1202965,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,23
11315,2976435,10210,2839543,11400,136892,7559,119543,7100,17349,3004,274873,11387,82966,6182,191907,10802,99164,6069,92743,7714,0400000US24,3251308,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,24
12504,4643442,16171,4314596,17185,328846,11411,270576,11169,58270,4552,452049,12421,99412,4980,352637,12145,179303,9456,173334,8364,0400000US25,5095491,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,25
9258,7065459,11208,6810604,12986,254855,9364,213956,8854,40899,2956,346265,11066,85583,4600,260682,10631,121387,5743,139295,7782,0400000US26,7411724,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,26
6996,4219627,7115,4103317,8086,116310,5499,98351,5159,17959,2109,125967,7001,31760,2863,94207,6841,40234,3757,53973,4970,0400000US27,4345594,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,27
3935,1632837,4320,1604475,4186,28362,3848,21050,3200,7312,1887,29193,3053,7683,1490,21510,2861,9143,1780,12367,1990,0400000US28,1662030,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,28
5557,4616004,8091,4524340,9403,91664,6247,75796,5600,15868,2283,92506,6861,26221,2911,66285,6148,33591,3325,32694,4295,0400000US29,4708510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,29
1532,850314,2210,833921,2770,16393,1920,13752,1684,2641,744,15068,1973,8490,1530,6578,1373,4692,1021,1886,779,0400000US30,865382,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,30
4499,1481918,4863,1425514,4939,56404,3474,46655,3314,9749,1399,71819,5126,7107,1304,64712,5157,18105,2692,46607,3819,0400000US31,1553737,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,31
11358,1581299,9996,1390374,10430,190925,9506,167036,8593,23889,3207,245518,10528,36645,2901,208873,10677,82808,5972,126065,8022,0400000US32,1826817,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,32
2444,1139082,4509,1106339,5690,32743,3175,27563,3113,5180,1124,42949,4073,15893,1799,27056,3670,14447,2072,12609,2549,0400000US33,1182031,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,33
20429,4897966,18289,4366584,20293,531382,16133,456008,16182,75374,4113,842068,17445,131350,6480,710718,17094,302633,10638,408085,12063,0400000US34,5740034,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,34
13902,1299169,14001,986588,13610,312581,10328,275287,10009,37294,3567,134676,8586,14241,1624,120435,8204,47556,4602,72879,5999,0400000US35,1433845,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,35
27847,10455305,29750,9342395,31478,1112910,23198,885959,20802,226951,8970,1524937,25238,299834,10305,1225103,23400,518299,12443,706804,18877,0400000US36,11980242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,36
12765,6167731,12213,5917700,12377,250031,9390,200076,8312,49955,5412,336252,10232,68592,4118,267660,9118,104086,6712,163574,7234,0400000US37,6503983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,37
2142,604608,3146,589385,3569,15223,1696,13149,1570,2074,559,9073,2214,4113,808,4960,1898,2937,1401,2023,937,0400000US38,613681,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,38
7256,8799912,9253,8543761,14156,256151,10411,192229,8358,63922,5475,209755,8823,61954,3728,147801,7937,71800,4486,76001,6029,0400000US39,9009667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,39
5498,2551579,6540,2457751,6339,93828,5069,77802,4645,16026,2045,110012,6116,16688,1945,93324,5499,34579,3188,58745,4334,0400000US40,2661591,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,40
12358,2993136,10711,2832488,10460,160648,8890,137379,8074,23269,3060,188445,8550,44731,3639,143714,7842,57824,4746,85890,6496,0400000US41,3181581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,41
12458,9550363,15134,9141239,17565,409124,12321,316753,11121,92371,5685,340965,13006,86488,5727,254477,10530,116243,5757,138234,8803,0400000US42,9891328,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,42
4655,754468,4619,696084,5341,58384,4314,49037,3703,9347,2053,64631,4854,13479,2349,51152,4156,22329,2829,28823,3033,0400000US44,819099,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,44
7953,2960788,8037,2873708,8389,87080,6218,74020,5782,13060,2504,121912,7150,32650,3803,89262,6202,31474,3682,57788,5030,0400000US45,3082700,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,45
2146,672252,2474,657338,3165,14914,1996,13482,1966,1432,494,7750,1535,2806,769,4944,1259,2407,910,2537,824,0400000US46,680002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,46
6675,4648612,9645,4543585,10786,105027,6045,85883,5289,19144,2832,157862,8748,34322,3824,123540,7864,53976,3997,69564,6370,0400000US47,4806474,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,47
36146,16045102,37141,12154394,40534,3890708,36325,3112834,33975,777874,20836,2809318,34786,227995,8564,2581323,34914,782454,18793,1798869,27857,0400000US48,18854420,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,48
8611,2239141,8593,2121213,10240,117928,6808,104370,6380,13558,1911,118799,6294,28640,3024,90159,5758,40084,3497,50075,3809,0400000US49,2357940,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,49
1622,549693,2481,537464,3073,12229,1692,10775,1563,1454,523,14436,1728,7587,983,6849,1311,5082,1111,1767,696,0400000US50,564129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,50
12058,5011966,13060,4777528,14874,234438,10260,204062,10323,30376,3283,412458,14338,91785,6313,320673,12452,158626,7424,162047,9672,0400000US51,5424424,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,51
13918,4781292,15482,4519074,17192,262218,11373,217222,10059,44996,4623,394485,16175,99013,4746,295472,15601,133530,10078,161942,11401,0400000US53,5175777,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,53
2612,1629567,3325,1614193,3312,15374,1755,11507,1658,3867,1007,10712,2206,4819,1354,5893,1692,4247,1288,1646,672,0400000US54,1640279,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,54
7004,4572914,7640,4412607,8998,160307,6667,125951,6219,34356,3275,131821,5937,33936,2584,97885,6097,42799,4031,55086,4373,0400000US55,4704735,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,55
2425,484536,2528,468830,3194,15706,2173,12717,2226,2989,953,13586,2094,4536,1118,9050,1854,5428,1427,3622,1147,0400000US56,498122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,56
21606,2337124,22505,145163,9147,2191961,23927,399199,13816,1792762,23551,45015,4470,3064,789,41951,4184,9438,1766,32513,3385,0400000US72,2382139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,72
