GEO_ID,C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,NAME,C17001D_001MA,C17001D_001EA,C17001D_002MA,C17001D_002EA,C17001D_003EA,C17001D_003MA,C17001D_004EA,C17001D_004MA,C17001D_005EA,C17001D_005MA,C17001D_006MA,C17001D_006EA,C17001D_007MA,C17001D_007EA,C17001D_008EA,C17001D_008MA,C17001D_009EA,C17001D_009MA,C17001D_010EA,C17001D_010MA,C17001D_011MA,C17001D_011EA,C17001D_012MA,C17001D_012EA,C17001D_013MA,C17001D_013EA,C17001D_014EA,C17001D_014MA,C17001D_015EA,C17001D_015MA,C17001D_016EA,C17001D_016MA,C17001D_017MA,C17001D_017EA,C17001D_018MA,C17001D_018EA,C17001D_019EA,C17001D_019MA,state
0400000US35,30493,2133,3762,1146,1160,540,152,171,735,402,273,245,2602,876,422,368,1683,612,497,299,26731,2369,12072,1529,2676,944,8552,1030,844,314,14659,1584,2700,683,10325,1286,1634,599,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1580277,8686,297675,13047,137574,7413,33686,2922,88204,5477,15684,1894,160101,7215,32663,2893,105863,4948,21575,1983,1282602,14919,616674,8412,122120,3856,433322,6091,61232,1854,665928,8123,118941,3322,475681,6118,71306,2108,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,240097,4364,28238,4315,13471,2484,3719,1225,9153,1771,599,369,14767,2268,3559,971,10404,1621,804,332,211859,5102,101397,2988,25403,2078,70253,2329,5741,734,110462,3234,26404,1933,76806,2244,7252,946,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,8570,960,2187,1068,1252,650,347,266,905,470,0,147,935,543,149,202,685,404,101,66,6383,1236,2959,811,413,265,2467,656,79,83,3424,814,505,353,2773,622,146,120,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,217887,5079,29438,3760,14244,1992,2444,857,10560,1608,1240,478,15194,2491,2342,795,11564,1815,1288,407,188449,5458,88658,3259,20968,1829,60513,2370,7177,687,99791,3302,22996,2006,68292,2269,8503,1066,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,73843,2951,10277,2102,4841,1128,930,481,3710,926,201,188,5436,1378,1108,574,4073,1062,255,196,63566,3461,29971,2116,7315,1160,20429,1734,2227,417,33595,2036,7039,1002,22963,1544,3593,401,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,155951,4424,25459,4004,10880,2380,1761,985,8561,1702,558,274,14579,2099,2087,782,11293,1748,1199,464,130492,5162,59505,2920,13600,1643,39959,1933,5946,519,70987,3277,13816,1834,49742,2280,7429,855,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,386381,5677,56703,4905,27133,2659,5301,1168,19749,1975,2083,769,29570,3024,5453,1245,21693,2213,2424,708,329678,7261,158448,4174,37789,2145,108018,2725,12641,995,171230,4449,39337,2358,115710,2901,16183,1239,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,33426,2060,4332,1849,1728,877,446,449,1029,582,253,241,2604,1127,605,591,1375,570,624,455,29094,2769,13427,1439,2731,767,9821,1185,875,468,15667,1783,3522,858,10874,1387,1271,541,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,66985,2591,8078,1949,3350,875,454,287,2703,768,193,152,4728,1357,1114,533,3153,1017,461,282,58907,2967,27883,2055,7271,1031,17510,1387,3102,838,31024,1815,6354,995,21315,1674,3355,827,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,10658,1163,2116,1070,887,593,82,97,805,526,0,151,1229,694,252,242,977,524,0,151,8542,1541,3789,1095,1209,474,2447,855,133,167,4753,959,1714,672,2793,695,246,185,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,100275,3944,13478,3166,6368,1805,1864,949,4291,1098,213,185,7110,1886,1593,666,4873,1382,644,407,86797,4979,39575,2870,9713,1497,26532,1948,3330,759,47222,3031,10345,1257,31718,2061,5159,877,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1148503,9071,133042,10298,64434,5583,15072,2544,44104,4007,5258,1049,68608,5923,16167,2781,47044,4009,5397,1088,1015461,13707,489594,7949,116285,4180,333285,5547,40024,1257,525867,7933,115502,3802,363509,5658,46856,1550,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,64866,2686,10433,2640,5835,1570,1910,1017,3906,903,19,31,4598,1412,868,625,3615,1157,115,126,54433,3435,24744,2085,5709,1221,17149,1381,1886,207,29689,1884,5230,1023,21572,1313,2887,480,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,9358,1165,1112,684,710,606,23,63,674,605,13,18,402,290,81,128,308,281,13,19,8246,1435,3935,957,1268,419,2266,717,401,248,4311,853,956,435,3144,673,211,103,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,502413,7037,38521,5405,16823,2768,3837,1064,11040,1986,1946,689,21698,3240,3816,1176,14927,2455,2955,925,463892,8431,217356,4574,50001,2706,148537,3207,18818,1039,246536,5111,54485,2544,168706,3805,23345,1374,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,545626,6050,65707,6846,29947,3652,6596,1836,18944,2553,4407,984,35760,4197,6121,1634,22554,2807,7085,1352,479919,8714,220875,5509,46149,2569,154761,4073,19965,1099,259044,5130,48471,2561,181090,3513,29483,1561,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,11059,1695,2187,794,865,520,0,187,829,511,36,72,1322,508,76,133,1192,474,54,88,8872,1454,3753,903,661,534,2836,644,256,209,5119,906,826,519,3732,657,561,337,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,145763,3114,32359,4702,15796,2657,6223,1424,9129,1665,444,318,16563,2430,5686,1373,10447,1522,430,330,113404,4864,55341,3083,15654,1835,36695,1913,2992,513,58063,2619,15519,1732,38474,1861,4070,608,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,5461,1064,1607,682,717,361,253,123,464,308,0,190,890,481,127,63,763,457,0,190,3854,1147,1321,622,313,256,856,444,152,159,2533,880,471,372,1361,827,701,452,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,8545,2240,4691,1611,1447,715,617,466,658,439,172,176,3244,1197,743,448,2262,1025,239,195,3854,1595,1988,884,237,273,1450,644,301,306,1866,844,544,456,1231,553,91,148,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
