B07008_022M,B07008_023E,B07008_023M,B07008_024E,B07008_024M,B07008_025E,B07008_025M,B07008_026E,B07008_026M,B07008_027E,B07008_027M,B07008_028E,B07008_028M,B07008_029E,B07008_029M,B07008_030E,B07008_030M,B07008_031E,B07008_031M,B07008_032E,B07008_032M,B07008_033E,B07008_033M,B07008_034E,B07008_034M,B07008_035E,B07008_035M,B07008_036E,B07008_036M,GEO_ID,B07008_001E,B07008_001M,B07008_002E,B07008_002M,B07008_003E,B07008_003M,B07008_004E,B07008_004M,B07008_005E,B07008_005M,B07008_006E,B07008_006M,B07008_007E,B07008_007M,B07008_008E,B07008_008M,B07008_009E,B07008_009M,B07008_010E,B07008_010M,B07008_011E,B07008_011M,B07008_012E,B07008_012M,B07008_013E,B07008_013M,B07008_014E,B07008_014M,B07008_015E,B07008_015M,B07008_016E,B07008_016M,B07008_017E,B07008_017M,B07008_018E,B07008_018M,B07008_019E,B07008_019M,B07008_020E,B07008_020M,B07008_021E,B07008_021M,B07008_022E,B07008_022MA,B07008_023EA,B07008_023MA,B07008_024MA,B07008_024EA,B07008_025MA,B07008_025EA,B07008_026MA,B07008_026EA,B07008_027EA,B07008_027MA,B07008_028EA,B07008_028MA,B07008_029MA,B07008_029EA,B07008_030MA,B07008_030EA,B07008_031EA,B07008_031MA,B07008_032EA,B07008_032MA,B07008_033EA,B07008_033MA,B07008_034EA,B07008_034MA,B07008_035MA,B07008_035EA,B07008_036MA,B07008_036EA,NAME,B07008_001EA,B07008_001MA,B07008_002MA,B07008_002EA,B07008_003MA,B07008_003EA,B07008_004MA,B07008_004EA,B07008_005EA,B07008_005MA,B07008_006EA,B07008_006MA,B07008_007MA,B07008_007EA,B07008_008MA,B07008_008EA,B07008_009MA,B07008_009EA,B07008_010MA,B07008_010EA,B07008_011EA,B07008_011MA,B07008_012EA,B07008_012MA,B07008_013MA,B07008_013EA,B07008_014MA,B07008_014EA,B07008_015MA,B07008_015EA,B07008_016EA,B07008_016MA,B07008_017EA,B07008_017MA,B07008_018MA,B07008_018EA,B07008_019MA,B07008_019EA,B07008_020MA,B07008_020EA,B07008_021EA,B07008_021MA,B07008_022EA,state
3728,16714,2604,11618,1754,222273,11203,99300,7199,84057,6677,23140,2661,7418,1612,8358,1592,43560,4134,17727,2680,19340,2645,3282,1223,763,413,2448,729,0400000US13,8019982,4605,2759911,24562,3709729,31318,905514,16656,195750,7515,449078,9973,6781100,27521,2152529,24849,3323437,30762,756923,15623,144859,7771,403352,9661,583853,19101,288053,12606,175403,9947,71099,4586,25996,3286,23302,2818,389196,15927,202302,9561,107492,8006,51070,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
257,362,303,20,33,48638,4244,18782,2515,24782,3014,3457,845,459,285,1158,511,11258,1788,3633,1069,6761,1344,444,256,5,9,415,336,0400000US15,1158752,687,387757,7913,571000,8919,111810,5678,13402,1894,74783,3256,992696,8234,320512,8153,497338,9478,95491,5176,10227,1631,69128,3122,100734,6596,42599,4054,39710,4192,12014,1773,2349,756,4062,813,5426,1301,2231,820,2409,959,404,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1450,1496,543,950,506,51096,4824,20515,2461,22871,3855,5250,1310,884,494,1576,531,5279,1154,2201,714,2321,871,414,422,183,281,160,188,0400000US16,1274423,2323,343766,7996,696177,12284,150667,7434,17437,2607,66376,3297,1058497,9570,252447,8689,612474,11741,121343,5966,11673,2140,60560,3356,113861,7589,48795,4659,42454,4908,16281,2062,3201,1145,3130,1078,45690,4359,19808,2377,16057,3050,7379,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
2914,5959,1006,10780,1410,180840,9614,97081,6542,57520,4773,16108,2611,4874,1331,5257,1144,59971,5298,27099,3433,26513,3283,3146,1114,1054,474,2159,659,0400000US17,10412161,2949,3661126,23761,4936980,32329,1036279,16134,173692,6694,604084,10735,9017976,23471,2932265,27373,4502518,33255,892949,14802,137285,6001,552959,10466,864522,18468,443300,13564,269110,10661,94663,5226,24520,2626,32929,2990,288852,9130,161381,7151,81319,4949,29413,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
2892,5429,1358,6437,1157,115126,6249,56007,4365,38634,4344,14040,1836,3427,1023,3018,877,22343,2773,11005,1578,8928,1964,1594,603,228,231,588,367,0400000US18,5284811,3328,1616268,16546,2597405,25037,681863,13626,78626,4603,310649,7751,4502982,20105,1242898,16930,2356877,25631,565696,11617,55940,3910,281571,7096,449697,14494,208443,8871,136996,6796,71621,4799,13602,2194,19035,1904,194663,8722,97915,4518,55970,5180,28912,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1209,2010,778,2679,653,66525,5105,32987,3593,23128,3014,7056,1219,793,377,2561,794,10928,2164,4701,1237,5684,1638,215,168,86,150,242,131,0400000US19,2503309,2920,725131,10490,1327851,14150,265905,7283,28635,2907,155787,4270,2115653,10765,525184,9915,1209342,14395,219122,6942,20720,2068,141285,3967,215428,9153,107037,5808,63773,5460,30572,3261,5026,1146,9020,1193,94775,5373,55222,3871,25924,3119,8940,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1723,1977,562,3535,782,74857,5532,30799,3378,33456,3903,6476,987,2125,833,2001,609,13286,2400,6821,1721,4870,1367,696,461,133,183,766,535,0400000US20,2299146,3172,669896,9879,1198473,15278,265828,6923,30594,2835,134355,4731,1916208,12214,490701,10871,1069512,13034,216955,6240,20215,2388,118825,4351,213051,10711,97546,7131,69636,5266,30497,2888,6144,1443,9228,1307,81744,4457,44029,3187,20999,2633,11204,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
2942,6085,1340,5564,1159,87643,6202,40271,3422,30528,3416,10903,1825,2743,1103,3198,941,11772,1818,4281,940,4961,1359,1341,671,616,450,573,350,0400000US21,3569190,3373,1012331,14914,1771124,21064,466196,10560,80871,4619,238668,6409,3009243,14493,762787,13995,1592656,19502,381970,9055,57054,3607,214776,6195,315243,11165,136906,6750,101581,6852,47826,3673,14373,2223,14557,2179,145289,8670,68086,5390,41398,4060,24156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
2673,4832,1213,4744,1206,82241,6302,36895,3576,28101,3537,10680,2044,3101,1028,3464,1078,12584,2403,5563,1611,5039,1312,1266,519,138,156,578,368,0400000US22,3716740,3485,1320638,12828,1607644,20381,445035,13353,98730,5255,244693,6487,3222498,15320,1072404,14772,1466555,18092,379960,11924,80107,4732,223472,6366,273296,12595,137091,8064,76848,7094,36370,4004,10552,1839,12435,1863,126121,7872,68685,5415,31101,4659,16759,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
1269,649,367,1258,508,33084,3401,15793,2260,10833,2171,4226,1265,1032,628,1200,379,4839,1416,2672,1156,1973,566,134,172,29,44,31,48,0400000US23,1119690,1197,321028,5671,555318,9808,163072,5985,11337,1604,68935,2951,967086,7374,243970,5946,515579,9296,136401,5588,7994,1405,63142,2929,80788,5387,37737,3387,22084,3199,16030,2147,1633,631,3304,807,33893,3430,20856,2759,4849,1176,6281,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1731,6201,1445,3782,1077,134875,7823,66651,5334,48239,4328,12380,2099,2983,891,4622,1137,37387,3968,13233,2149,18596,3042,3117,1036,829,497,1612,628,0400000US24,4854750,2202,1718599,15104,2257524,23364,483402,11106,119778,5247,275447,6741,4195505,17875,1391910,18349,2040346,23668,417133,10195,92767,4829,253349,5993,349748,11986,171348,8214,111592,7140,37728,3182,16998,2057,12082,1790,137235,7402,75457,4535,38751,4351,13044,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
2197,4991,1316,4938,1014,130935,6221,83952,5025,31831,3510,10240,1709,2327,827,2585,868,61238,5051,30751,2980,25685,3133,1612,585,1017,620,2173,749,0400000US25,5604860,1239,2079272,15766,2567554,22007,534374,11495,105084,5609,318576,7216,4848984,16411,1655618,16780,2353605,21071,465516,9475,82740,5733,291505,6802,402634,13389,212197,9477,116003,6910,43050,4238,14009,2024,17375,2190,161069,8217,96754,6238,40430,4042,13956,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
3217,7731,1347,10545,1358,126259,7410,59552,4593,47448,4193,11182,1578,2512,760,5565,1053,40398,3568,19097,2538,17627,2242,2599,776,246,179,829,336,0400000US26,8089154,2302,2683056,17755,3852751,24496,951599,14109,109280,5130,492468,7637,6907264,21399,2063270,19484,3507399,23013,810495,13349,80049,4217,446051,7857,690882,14514,359950,11818,194736,8184,87976,4480,18742,2105,29478,2132,324351,11794,181187,8113,85541,6382,39347,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
2155,3780,982,6844,1312,91957,5953,48832,3477,30846,4036,7735,1192,1971,703,2573,738,24329,3470,10250,1862,10608,2490,1589,586,437,301,1445,641,0400000US27,4386934,2222,1403177,13252,2265927,19185,445711,8741,49252,3464,222867,6176,3747166,13963,1061256,13307,2072638,18281,379600,7647,35417,2540,198255,5865,313756,8993,162307,7255,95775,4443,34277,2784,7647,1506,13750,1832,209726,7405,120532,5310,56060,3885,22510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
1732,4592,1394,3869,1154,60821,4987,30696,3578,17518,2920,7335,1650,2682,817,2590,1063,6571,1249,3343,893,2080,606,255,299,348,271,545,337,0400000US28,2383607,2810,801029,11079,1048095,16498,287549,9459,75699,4787,171235,5640,2068041,11325,649579,11687,951291,16113,250372,8408,60919,4187,155880,5093,156404,8860,70338,5475,51199,5090,19358,2753,7158,1405,8351,1523,91770,5407,47073,3701,26007,3395,10229,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
2746,7959,1516,8974,1402,128156,7154,63510,4498,42703,4633,13844,1896,3605,1108,4494,978,18422,2104,9304,1552,6873,1374,1158,500,211,216,876,431,0400000US29,4909194,3433,1498407,13846,2397640,20652,609623,11875,96528,4817,306996,5405,4144060,18974,1127967,14705,2167928,22038,507446,10158,68595,4025,272124,5525,408229,12623,188175,7808,126873,7848,56495,4735,16158,2342,20528,2193,210327,10198,109451,6877,53263,4379,30680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1427,844,548,876,338,31322,3072,14364,1614,11942,2348,3808,747,388,262,820,456,2471,698,951,437,1118,459,224,192,0,161,178,189,0400000US30,835422,1508,239069,5956,426079,9049,105912,5518,13163,1835,51199,2975,698938,6767,170742,5941,384041,9426,87780,5026,9721,1728,46654,2942,70429,4925,36119,3866,20818,2754,8611,1372,2210,820,2671,710,32262,3359,16893,2177,8160,2174,5489,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
863,1398,594,1769,546,40765,3520,19212,2106,15660,2577,4018,1061,624,332,1251,569,8063,1458,3203,848,3943,1162,470,304,177,228,270,217,0400000US31,1488730,1877,442831,6964,782285,9937,159259,5444,18685,2321,85670,2873,1238798,8523,317277,7043,700946,9880,131539,4992,12746,1697,76290,2566,144247,6700,70632,4574,45587,3851,18198,2164,3740,1011,6090,1000,56857,4099,32507,2784,16149,2498,5034,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
1169,380,255,575,305,110033,6097,46920,4583,41251,4176,15780,2504,2654,978,3428,876,12155,2136,4591,1345,6208,1420,1016,410,148,178,192,220,0400000US32,2287984,1576,771938,11316,1023034,13697,325654,8576,50866,4064,116492,5352,1833871,13884,568977,11870,863991,12513,261373,7315,35505,3672,104025,5086,311994,13517,142386,8899,106294,7531,42863,3476,12179,1815,8272,1537,19931,2448,9064,1395,5290,1379,4622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
1477,594,289,425,227,35282,2986,16661,2163,13912,2366,3008,835,746,390,955,424,4590,1563,2087,1036,1709,961,227,179,278,388,289,319,0400000US33,1111188,1013,329265,7420,572179,8532,135599,5820,12525,1653,61620,2852,961069,7745,254990,7219,525005,8949,115841,5649,8500,1271,56733,2712,81081,5934,38534,4244,24369,2969,12553,2129,2407,899,3218,1006,29166,4287,16993,3057,7184,1669,3970,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
2190,5237,1340,7352,1206,108891,6894,49362,3809,43344,4258,9111,1678,2432,780,4642,1143,53076,4082,20894,2903,26622,3513,2379,878,1109,533,2072,855,0400000US34,7282046,1363,2524660,18895,3542580,23230,621116,12953,147597,7011,446093,8090,6569918,17961,2201884,21239,3275663,21631,554352,12234,122822,6172,415197,7994,378043,13565,166178,8476,141664,8084,37374,3377,15997,2094,16830,1788,172118,7999,86342,5026,55287,4579,17900,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
1376,1158,659,1251,482,56423,5277,22145,2996,24378,3441,6571,1085,1607,687,1722,808,7980,1624,3965,1275,3044,932,601,332,295,319,75,89,0400000US35,1667854,2014,574904,9777,755110,13456,205016,6832,32037,3280,100787,4506,1442907,10042,471315,10469,683761,12719,170767,6958,23491,2892,93573,4118,120255,7453,56800,5092,33582,4378,20221,2776,5486,1344,4166,1042,40289,4037,20679,2739,10345,2321,6856,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
