B20017D_001E,B20017D_001M,B20017D_002E,B20017D_002M,B20017D_003E,B20017D_003M,B20017D_004E,B20017D_004M,B20017D_005E,B20017D_005M,B20017D_006E,B20017D_006M,B20017D_007E,B20017D_007M,GEO_ID,B20017D_001EA,B20017D_001MA,B20017D_002EA,B20017D_002MA,B20017D_003MA,B20017D_003EA,B20017D_004MA,B20017D_004EA,B20017D_005EA,B20017D_005MA,B20017D_006EA,B20017D_006MA,B20017D_007EA,B20017D_007MA,NAME,state
34993,1240,38229,1593,44770,2475,12426,1202,31443,466,40139,1122,11579,699,0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,15
21758,3546,31152,4437,33738,6775,15988,20473,16640,9143,22442,15842,9000,2081,0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,16
40033,2109,46529,3501,66536,3632,11829,803,31604,1007,52089,1235,11805,439,0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,17
27510,2137,35068,6392,52153,7541,13702,3574,22949,2318,33649,3420,8033,1974,0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,18
31623,2104,39723,6110,55841,11363,10443,4942,23277,3350,32769,3331,10142,2186,0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,19
27409,4062,37433,4183,55273,9900,9327,3587,21935,1927,35407,6387,6491,1315,0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,20
30341,6241,39886,12137,56827,6423,8397,4979,21914,3165,36071,7246,6891,1516,0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,21
30191,3378,36766,7241,47988,7603,14432,5422,22328,1969,35287,8403,9936,3186,0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,22
21898,4007,26408,10188,33094,9501,15106,7601,18714,5570,42247,18382,7850,4468,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,23
46258,1681,51871,2568,70781,2971,17165,2515,40314,4470,59879,4635,12087,1056,0400000US24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,24
40631,1194,50742,2265,70816,3691,12302,1662,31543,1528,53576,2531,10292,864,0400000US25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,25
37535,3127,49700,3855,71156,2261,10967,1086,29465,3455,49650,3463,8999,1493,0400000US26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,26
32041,765,36863,1755,50015,5036,11922,1414,29596,1452,40031,2340,10149,1147,0400000US27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,27
31372,8824,45623,11692,60760,14092,11368,6927,21441,2454,38049,2649,8589,3113,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,28
32368,4657,45525,7470,67129,4720,15098,2979,26774,4351,39180,5521,10858,2326,0400000US29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,29
17589,7108,28218,16771,31529,3012,8966,6933,16273,7432,24112,16977,4688,13667,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,30
25953,1580,28850,3694,35734,6318,9212,5426,22275,3588,30529,3778,7467,1523,0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,31
30285,992,31456,1274,37925,2480,13299,2444,28696,2752,33777,2828,12569,1811,0400000US32,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,32
33146,8325,56426,5622,74022,15473,10789,3239,24207,4229,40864,9315,9971,6593,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,33
55631,3043,66417,2923,77243,3779,17135,3304,43181,4025,65803,1247,13380,1431,0400000US34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,34
31837,7167,35925,6572,42429,10877,15153,8837,29430,6081,45604,8371,11630,7610,0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,35
32262,681,34764,1713,47902,2304,11984,482,31060,772,50352,995,11133,443,0400000US36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,36
32134,2737,44153,6036,57051,8527,11364,1914,25979,1272,37867,4637,10245,1095,0400000US37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,37
21707,5883,21723,6630,49830,40896,6020,2593,21629,13949,51595,71593,4640,2462,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,38
39082,4276,51099,2660,67274,7753,11910,1568,29431,4428,50051,4781,10895,1112,0400000US39,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,39
26644,1445,30283,2743,39806,6065,7048,5264,22687,2396,32319,2800,9128,1297,0400000US40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,40
31818,1472,43728,9257,65487,11968,11578,1647,26139,2545,39763,3543,9002,2303,0400000US41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,41
32364,2479,40318,2905,56018,5387,10857,1394,26730,1532,44949,3452,9178,1036,0400000US42,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,42
31198,1766,36214,5735,49481,7930,12112,14645,23341,5543,37219,7565,9745,4985,0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,44
25064,2094,31063,5769,39479,11491,12498,9664,21089,3924,35968,7813,9095,2834,0400000US45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,45
21717,2742,31556,9950,42305,12296,9255,13000,14967,11770,30496,11358,6608,913,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,46
31727,2668,44774,9847,59965,12583,12000,6315,27737,3638,39589,5010,11032,1158,0400000US47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,47
40356,906,49712,2922,65704,2329,16121,1395,31396,1082,50103,2161,11166,489,0400000US48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,48
29295,3713,36994,5602,48266,5612,9510,2866,24557,2463,32223,3916,9486,1528,0400000US49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,49
16387,4103,23286,6989,31045,16399,6406,3791,12891,3461,24827,31454,7400,5144,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,50
41762,1214,51404,1329,70125,4314,17894,2110,34670,3692,52965,3055,12226,906,0400000US51,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,51
38191,1745,50173,2062,65004,4879,15594,1370,29998,1923,42113,1547,12340,1077,0400000US53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,53
23841,10071,21552,17649,55444,25203,9962,2306,26250,12022,47646,20256,7660,4321,0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,54
26213,1408,30785,2572,45327,9213,9269,1950,22515,2046,35762,4023,8397,1792,0400000US55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,55
28279,31366,46316,78112,100492,53434,11342,11013,17274,35318,59886,41991,15539,3972,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,56
13203,5163,17185,9771,40022,40532,8166,1646,11108,6012,14557,3068,4612,3512,0400000US72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,72
