GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,NAME,B14005_001EA,B14005_001MA,B14005_002EA,B14005_002MA,B14005_003EA,B14005_003MA,B14005_004EA,B14005_004MA,B14005_005MA,B14005_005EA,B14005_006EA,B14005_006MA,B14005_007EA,B14005_007MA,B14005_008EA,B14005_008MA,B14005_009EA,B14005_009MA,B14005_010EA,B14005_010MA,B14005_011MA,B14005_011EA,B14005_012MA,B14005_012EA,B14005_013MA,B14005_013EA,B14005_014EA,B14005_014MA,B14005_015EA,B14005_015MA,B14005_016EA,B14005_016MA,B14005_017MA,B14005_017EA,B14005_018MA,B14005_018EA,B14005_019MA,B14005_019EA,B14005_020MA,B14005_020EA,B14005_021EA,B14005_021MA,B14005_022MA,B14005_022EA,B14005_023MA,B14005_023EA,B14005_024MA,B14005_024EA,B14005_025MA,B14005_025EA,B14005_026EA,B14005_026MA,B14005_027EA,B14005_027MA,B14005_028MA,B14005_028EA,B14005_029MA,B14005_029EA,state
0400000US13,578399,9600,298033,7173,242197,6928,46215,4500,16114,1625,179868,6516,55836,4083,39787,3593,23062,2719,4285,1272,12440,2225,16049,2043,4117,1254,2914,1010,9018,1557,280366,6495,236843,6479,51968,3863,17223,2540,167652,5869,43523,3034,31917,2894,14480,2151,5280,1363,12157,2029,11606,1834,2719,877,2355,817,6532,1507,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,65157,2002,33931,1341,25369,1407,4449,1088,989,483,19931,1578,8562,1337,6818,1094,4972,1077,987,469,859,334,1744,756,313,238,274,277,1157,680,31226,1608,25990,1911,6667,958,1620,669,17703,1783,5236,1185,4074,928,1907,617,656,339,1511,644,1162,624,349,274,248,280,565,432,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,94461,3170,47925,2536,39120,2590,11551,1634,1618,683,25951,1802,8805,1608,6962,1469,4272,1345,1009,582,1681,792,1843,576,497,294,282,191,1064,495,46536,2301,40127,2335,13130,1896,2375,943,24622,2295,6409,1459,4897,1322,3484,1164,276,234,1137,466,1512,736,514,371,694,556,304,216,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,699585,5642,356332,3858,301939,4563,75605,3968,24054,2186,202280,4819,54393,3256,38855,2445,22109,2655,7328,1278,9418,1307,15538,1854,3631,946,3242,766,8665,1380,343253,3983,306000,4262,87112,4042,27215,2603,191673,5164,37253,2668,27358,2379,15045,1879,4917,1176,7396,1395,9895,1405,1877,506,2244,693,5774,1248,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,371143,5767,189815,4390,158446,4594,43763,3256,11968,1592,102715,4073,31369,2945,20146,2305,11544,1786,4323,1118,4279,1110,11223,1683,4118,905,2503,826,4602,1119,181328,3797,157556,3941,48244,3155,12483,1659,96829,4194,23772,2345,16556,2156,9932,1439,1856,588,4768,1315,7216,1034,2451,643,1311,542,3454,850,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,178132,3708,90094,2622,76923,2848,28769,2342,4452,980,43702,2049,13171,1760,9835,1679,6509,1125,1218,500,2108,819,3336,791,1340,501,309,249,1687,652,88038,2783,78008,2959,36582,2616,4264,822,37162,2506,10030,1491,7469,1308,4559,715,1037,455,1873,820,2561,682,1125,471,367,321,1069,479,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,164720,4682,85155,3479,71668,3262,22951,2167,5499,1206,43218,2625,13487,1857,10604,1582,7493,1319,1141,545,1970,643,2883,767,1233,482,388,242,1262,575,79565,3375,69151,3373,28046,2170,5053,1162,36052,2468,10414,1522,7311,1300,3673,1011,1494,667,2144,598,3103,883,864,455,245,184,1994,730,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,232224,4772,119624,3881,98137,3540,29477,2359,7032,1131,61628,3335,21487,2317,16333,1903,11037,1883,1742,652,3554,1038,5154,1259,1335,551,775,413,3044,856,112600,3433,96021,3738,29836,2444,7279,1005,58906,3005,16579,2176,12795,1908,6454,1394,2120,743,4221,1152,3784,1024,586,295,765,460,2433,912,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,248503,6915,127595,5209,101457,4488,17758,2213,6234,1353,77465,4172,26138,2844,16246,2264,8469,1720,2878,1077,4899,1313,9892,1826,2662,1283,1922,912,5308,1118,120908,4403,99991,4505,23308,2744,5878,1293,70805,3589,20917,2204,14750,1862,6625,1339,2364,875,5761,1473,6167,1327,1127,661,1590,886,3450,958,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,64287,1765,32398,1269,28193,1521,10096,1321,1895,582,16202,1768,4205,766,3039,718,1830,558,521,304,688,329,1166,551,551,468,141,136,474,333,31889,1348,27555,1339,11735,1364,1255,407,14565,1512,4334,937,3411,825,2241,758,465,332,705,519,923,505,296,281,162,159,465,372,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,307602,4434,157216,3102,131225,3235,29520,2188,9421,1628,92284,3388,25991,2710,20167,2424,10835,1854,3559,981,5773,1597,5824,1118,1196,497,1147,615,3481,893,150386,3492,130950,3691,38109,2776,7463,1316,85378,3684,19436,2207,13894,1564,7508,1281,2527,976,3859,988,5542,1304,1621,794,328,228,3593,1009,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,373520,4347,186898,3443,164859,3495,48290,3141,12900,1749,103669,3654,22039,2281,15934,2173,8688,1399,3826,1220,3420,904,6105,1276,2371,852,1104,594,2630,887,186622,2688,172012,3049,66106,3277,9874,1652,96032,3584,14610,2051,10353,1772,6975,1394,1491,702,1887,777,4257,1041,1512,655,922,603,1823,665,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,547570,6234,278441,3763,238732,4469,66526,3124,19683,2313,152523,3930,39709,2683,26942,2301,15861,1873,5609,1008,5472,1002,12767,1544,3934,768,2135,606,6698,1260,269129,4581,236048,4390,75627,3153,20266,1874,140155,4274,33081,2140,25231,2191,15726,1841,3714,839,5791,1011,7850,1220,2397,706,1972,670,3481,796,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,285864,3191,147593,2728,131145,2738,50552,2410,8729,1340,71864,2904,16448,1591,11429,1304,8287,1262,1078,424,2064,683,5019,1009,2153,712,1243,506,1623,436,138271,2659,125457,2927,61326,3121,9309,1240,54822,3105,12814,1626,9642,1522,7015,1419,964,435,1663,588,3172,830,1598,633,359,272,1215,433,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,179227,5737,90624,4225,74179,4023,14798,1846,5534,1393,53847,3431,16445,2280,11277,2086,5000,1622,1607,585,4670,1554,5168,1146,817,558,1720,626,2631,994,88603,4440,77003,3808,18157,2476,6027,1212,52819,3070,11600,1809,7877,1638,3268,1054,2346,967,2263,680,3723,871,951,676,755,442,2017,699,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,319919,4905,160522,3927,132715,3803,39646,2756,9672,1570,83397,3821,27807,2682,19017,2032,11042,1671,2983,907,4992,1164,8790,1454,3593,1078,1614,674,3583,871,159397,3075,140134,3368,52336,2935,7446,1329,80352,2964,19263,2230,14336,1903,9486,1588,2358,762,2492,785,4927,1106,1714,524,438,247,2775,893,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,52521,2140,27113,1600,20176,1381,5448,854,1180,558,13548,1187,6937,1170,4633,1062,3756,1017,242,188,635,298,2304,715,1229,457,116,163,959,527,25408,1624,20872,1364,8417,1386,869,452,11586,1152,4536,942,3942,942,2512,842,442,342,988,575,594,257,210,165,188,188,196,132,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,103876,3404,53527,2399,46077,2575,17274,1727,2908,750,25895,2028,7450,1055,6119,862,4068,775,1327,531,724,349,1331,544,510,253,178,189,643,442,50349,2136,45378,2154,20558,1572,2232,650,22588,1761,4971,1055,3655,841,2254,654,834,397,567,346,1316,695,354,212,557,557,405,203,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,142232,2594,74193,2268,57906,2581,9585,1721,4834,997,43487,2652,16287,1502,12326,1543,7607,1585,2242,647,2477,948,3961,986,1161,587,1246,513,1554,731,68039,1815,57624,2277,14773,1808,3457,933,39394,2261,10415,1454,8042,1402,4312,1067,1079,474,2651,852,2373,691,1228,538,390,257,755,293,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,75721,2862,37601,1884,31264,1804,10418,1209,2179,769,18667,1755,6337,1232,5039,1154,3222,878,1175,617,642,407,1298,588,771,549,109,100,418,212,38120,1881,34426,1878,14521,1802,1362,609,18543,1847,3694,981,3275,959,2539,901,417,310,319,295,419,289,0,182,67,112,352,281,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
