C08006_027E,C08006_027M,C08006_028E,C08006_028M,C08006_029E,C08006_029M,C08006_030E,C08006_030M,C08006_031E,C08006_031M,C08006_032E,C08006_032M,C08006_033E,C08006_033M,C08006_034E,C08006_034M,C08006_035E,C08006_035M,C08006_036E,C08006_036M,GEO_ID,C08006_001E,C08006_001M,C08006_002E,C08006_002M,C08006_003E,C08006_003M,C08006_004E,C08006_004M,C08006_005E,C08006_005M,C08006_006E,C08006_006M,C08006_007E,C08006_007M,C08006_008E,C08006_008M,C08006_009E,C08006_009M,C08006_010E,C08006_010M,C08006_011E,C08006_011M,C08006_012E,C08006_012M,C08006_013E,C08006_013M,C08006_014E,C08006_014M,C08006_015E,C08006_015M,C08006_016E,C08006_016M,C08006_017E,C08006_017M,C08006_018E,C08006_018M,C08006_019E,C08006_019M,C08006_020E,C08006_020M,C08006_021E,C08006_021M,C08006_022E,C08006_022M,C08006_023E,C08006_023M,C08006_024E,C08006_024M,C08006_025E,C08006_025M,C08006_026E,C08006_026M,C08006_027EA,C08006_027MA,C08006_028MA,C08006_028EA,C08006_029MA,C08006_029EA,C08006_030EA,C08006_030MA,C08006_031EA,C08006_031MA,C08006_032EA,C08006_032MA,C08006_033MA,C08006_033EA,C08006_034MA,C08006_034EA,C08006_035EA,C08006_035MA,C08006_036EA,C08006_036MA,NAME,C08006_001MA,C08006_001EA,C08006_002MA,C08006_002EA,C08006_003MA,C08006_003EA,C08006_004EA,C08006_004MA,C08006_005EA,C08006_005MA,C08006_006MA,C08006_006EA,C08006_007MA,C08006_007EA,C08006_008MA,C08006_008EA,C08006_009EA,C08006_009MA,C08006_010EA,C08006_010MA,C08006_011MA,C08006_011EA,C08006_012MA,C08006_012EA,C08006_013MA,C08006_013EA,C08006_014EA,C08006_014MA,C08006_015EA,C08006_015MA,C08006_016EA,C08006_016MA,C08006_017MA,C08006_017EA,C08006_018MA,C08006_018EA,C08006_019EA,C08006_019MA,C08006_020EA,C08006_020MA,C08006_021EA,C08006_021MA,C08006_022MA,C08006_022EA,C08006_023MA,C08006_023EA,C08006_024EA,C08006_024MA,C08006_025EA,C08006_025MA,C08006_026EA,C08006_026MA,state
1695862,15739,194709,8457,154711,7721,25492,2667,14506,2045,45469,4114,2639,926,30625,3061,23923,3247,105499,4890,0400000US13,4421064,22975,3966749,21199,3518258,22220,448491,11971,337203,11944,66346,5125,44942,4378,93277,7020,10687,1827,68722,4286,62413,5049,219216,7808,2322338,17140,2076178,16726,1822396,17505,253782,8855,182492,8599,40854,3968,30436,4022,47808,4405,8048,1477,38097,3244,38490,3905,113717,5798,2098726,16179,1890571,16254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
199404,6198,50604,3273,37284,2602,8667,1412,4653,1170,28176,2358,1929,613,13275,1812,6099,1454,13695,1804,0400000US15,685447,7710,547531,8199,454798,8532,92733,4904,69677,4147,14539,2108,8517,1508,49272,3830,7570,1561,31941,2750,18628,2122,30505,3393,372265,4420,297523,5354,255394,5917,42129,2878,32393,2697,5872,1204,3864,770,21096,2374,5641,1418,18666,2302,12529,1747,16810,2287,313182,6012,250008,5875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
258684,5866,30946,2821,24647,2602,3444,1155,2855,912,2477,862,2836,1135,6798,1297,1482,474,22108,2706,0400000US16,714398,8872,633619,9887,563872,9532,69747,4986,52446,4469,9489,2103,7812,1729,5741,1104,8221,1839,15498,2136,6967,1280,44352,4520,389067,5518,343989,6314,305188,6731,38801,3303,27799,2862,6045,1396,4957,1241,3264,817,5385,1372,8700,1587,5485,1133,22244,3206,325331,6183,289630,6611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
2097102,16982,225492,7217,177427,5940,30584,3036,17481,2006,281741,8660,9836,1339,88327,4650,28304,2438,126256,5426,0400000US17,6043111,22829,4920601,23949,4438464,24862,482137,11118,373470,9303,68008,4757,40659,3769,568138,10993,37220,2979,186414,5699,66355,4330,264383,8659,3186053,14694,2598007,16984,2341362,17333,256645,8046,196043,7184,37424,2835,23178,2984,286397,8388,27384,2612,98087,4446,38051,3335,138127,6221,2857058,16784,2322594,17563,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1197379,10507,129423,5101,100282,4135,17865,2183,11276,1572,16384,2090,4317,1097,26049,2373,10836,1362,51770,2702,0400000US18,3031672,15356,2794177,16647,2520928,15769,273249,8293,213464,7947,32915,3020,26870,3257,32567,3263,13542,1495,60227,4056,28910,2683,102249,3955,1595514,11840,1467375,12750,1323549,12287,143826,5769,113182,5720,15050,2067,15594,2346,16183,2235,9225,1222,34178,2720,18074,1967,50479,3248,1436158,11493,1326802,11506,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
607531,6928,62772,3844,48264,3668,9261,1251,5247,1075,7964,1345,2702,751,23685,2468,4472,964,34860,2357,0400000US19,1565334,9879,1399712,10916,1264875,11837,134837,5596,103418,5318,19027,2121,12392,1791,16335,2059,7651,1325,52660,3547,14529,1740,74447,3958,821348,7240,729409,7789,657344,8062,72065,3447,55154,3330,9766,1538,7145,1287,8371,1395,4949,988,28975,2297,10057,1434,39587,3000,743986,7208,670303,7025,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
529492,8220,60907,3989,46356,3252,8491,1363,6060,1259,2909,1011,1430,509,14210,1699,5638,1160,29916,2350,0400000US20,1388575,10089,1272544,10816,1140610,12904,131934,6456,99090,5638,17983,2006,14861,1862,6746,1543,4640,975,34196,3030,14509,1575,55940,3146,744073,6922,682145,7061,611118,8375,71027,3993,52734,3955,9492,1489,8801,1281,3837,1144,3210,845,19986,2360,8871,1203,26024,2012,644502,7013,590399,7190,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
728527,7953,84740,4759,67971,4055,10377,1603,6392,1307,9684,1302,1716,625,18428,1981,7525,1336,31887,2861,0400000US21,1879141,13562,1725212,13308,1538152,13453,187060,8259,146428,6793,25111,3326,15521,2563,21516,2154,4907,1216,45495,3534,21711,2834,60300,4078,996634,9125,911945,9001,809625,9304,102320,5535,78457,4705,14734,2469,9129,1840,11832,1729,3191,1037,27067,2714,14186,2440,28413,2607,882507,8774,813267,8543,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
787139,11174,88631,5340,68522,4895,13526,2166,6583,1497,15732,2147,3519,948,15876,2066,9067,1634,27978,2946,0400000US22,1987108,13668,1828421,15710,1634035,17722,194386,8333,147705,7961,27299,3072,19382,3317,28810,3121,9775,1537,36868,3479,30874,3044,52360,3737,1039166,10221,952651,11203,846896,11825,105755,5833,79183,5338,13773,2714,12799,2575,13078,2096,6256,1169,20992,2763,21807,2525,24382,2102,947942,9530,875770,10148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
244356,4731,30554,2892,26592,2603,2235,659,1727,514,2176,566,1001,533,13538,1901,2164,691,16842,1651,0400000US23,638497,7135,562245,7780,493656,8394,68589,4889,58037,4464,5985,1254,4567,1058,5210,871,3163,1011,25193,2584,8143,1624,34543,2478,327866,4910,287335,5283,249300,5805,38035,3100,31445,2776,3750,994,2840,825,3034,720,2162,768,11655,1591,5979,1420,17701,2030,310631,4787,274910,4822,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1057943,10612,134007,5948,108790,5773,15405,1864,9812,1487,143223,5134,2284,767,31665,2719,13030,2157,65428,3405,0400000US24,2960073,14341,2461683,15312,2187057,15405,274626,10125,211528,8972,34186,3109,28912,3556,267211,8098,10349,1788,69084,4780,28948,3239,122798,5355,1512493,10533,1269733,11578,1129114,11548,140619,6610,102738,5484,18781,2307,19100,3261,123988,6045,8065,1505,37419,3249,15918,2221,57370,3482,1447580,10636,1191950,11465,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1186419,11440,120901,5416,95869,4643,13972,1794,11060,2064,170101,6862,8452,1302,84541,4506,15726,1929,81992,4463,0400000US25,3396137,20118,2670446,19954,2418818,20407,251628,8104,199582,7502,29986,2715,22060,2872,332765,9229,27666,2410,165363,6626,36369,3353,163528,7042,1728005,13202,1363126,13118,1232399,13336,130727,5051,103713,4658,16014,2101,11000,1746,162664,6467,19214,1948,80822,4987,20643,2609,81536,4635,1668132,12246,1307320,12078,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
1725679,14755,187361,6160,148241,5036,23638,2294,15482,1925,32582,2872,5352,1130,46185,3082,13694,1632,78751,3652,0400000US26,4356081,21962,3974621,21735,3585455,21528,389166,10629,309069,9064,47254,3711,32843,3010,66746,4101,18461,2327,97167,4791,39859,3247,159227,5552,2266477,14092,2061581,15250,1859776,14729,201805,7564,160828,6444,23616,2562,17361,2005,34164,2937,13109,1751,50982,3439,26165,2460,80476,4173,2089604,14797,1913040,14529,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
1045872,8973,120132,4947,94729,4212,13937,1671,11466,1719,55745,3272,8397,1593,40111,2899,8469,1119,73628,3569,0400000US27,2811291,12563,2432179,14684,2184366,14299,247813,8166,192958,7045,29454,2641,25401,3683,102754,4666,24927,2468,81889,4537,25520,2436,144022,5360,1458937,8668,1266175,10329,1138494,9813,127681,5229,98229,4429,15517,2036,13935,3019,47009,3310,16530,1695,41778,2962,17051,2028,70394,3765,1352354,7802,1166004,8679,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
503043,8376,45092,3619,36029,3034,5445,1188,3618,1132,1567,766,315,202,5771,1203,5138,1245,14282,2208,0400000US28,1196527,11156,1127871,11847,1023357,12841,104514,6314,82079,5872,14088,2043,8347,1392,3180,1067,1284,491,16865,2052,19361,2550,27966,3305,621319,7838,579736,8089,520314,9062,59422,4810,46050,4443,8643,1631,4729,1061,1613,665,969,456,11094,1667,14223,2012,13684,1792,575208,8417,548135,8688,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1100016,13061,121151,5593,97008,4984,16037,2385,8106,1562,22552,2829,1410,602,23304,2182,10632,1531,58867,3994,0400000US29,2769496,15926,2510122,15684,2264508,17539,245614,9709,197705,8010,31393,3755,16516,2114,43256,4577,7300,1357,57578,4177,29346,3060,121894,5852,1431564,9184,1288955,10610,1164492,11533,124463,5997,100697,4846,15356,2320,8410,1228,20704,2902,5890,1171,34274,3175,18714,2385,63027,4318,1337932,12132,1221167,11665,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
171852,4519,24944,2397,18582,1977,3564,1042,2798,748,2518,1303,1987,734,10097,1371,1299,388,15748,1832,0400000US30,488297,5336,415642,6367,364793,7136,50849,3837,38423,3246,7339,1543,5087,1110,5243,1654,5713,1457,22471,2237,4353,836,34875,3086,259852,3406,218846,3983,192941,4779,25905,2451,19841,2216,3775,1013,2289,606,2725,830,3726,960,12374,1554,3054,786,19127,1794,228445,4089,196796,4385,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
372889,5592,43583,2966,31414,2808,7867,1118,4302,948,2834,796,947,550,12712,1341,2696,780,18256,1603,0400000US31,967636,7198,883277,7808,791009,8707,92268,4476,67406,3982,15964,1737,8898,1521,6375,1323,4341,1108,27652,2322,6885,1172,39106,2415,513719,4730,466805,5206,418120,5743,48685,2816,35992,2307,8097,1304,4596,964,3541,944,3394,806,14940,1846,4189,769,20850,1592,453917,5122,416472,5568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
460921,8048,61926,3307,51302,3185,7810,1244,2814,705,19863,2635,1130,508,10988,1903,10236,1852,20966,2606,0400000US32,1279533,11630,1126002,12222,992409,12264,133593,6254,105006,5034,19246,2478,9341,1644,54406,4712,6100,1341,26530,2621,25380,2645,41115,3659,693503,6869,603155,7880,531488,8079,71667,4494,53704,3561,11436,1850,6527,1352,34543,3244,4970,1249,15542,2006,15144,1623,20149,2182,586030,8720,522847,8025,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
270438,5197,23707,2333,19743,2062,2712,762,1252,634,2707,674,535,332,6931,1010,3128,950,18599,1850,0400000US33,685701,7315,611691,7373,558119,7945,53572,4100,44038,3579,5981,1317,3553,1289,5109,1038,2095,930,17754,1905,7792,1602,41260,2617,359656,4551,317546,4656,287681,4960,29865,2768,24295,2531,3269,971,2301,870,2402,671,1560,831,10823,1660,4664,1239,22661,1948,326045,5033,294145,5127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1467237,15086,158083,5941,123604,5675,18320,2249,16159,2357,213070,6622,2903,842,58319,4230,31813,3316,84290,3829,0400000US34,4281288,18792,3411040,21126,3071511,19482,339529,10558,256267,9635,43543,4292,39719,3954,470791,9609,15227,2393,133018,6860,71194,5887,180018,7732,2265573,11381,1785720,14589,1604274,12985,181446,8452,132663,6732,25223,3477,23560,2854,257721,7059,12324,2214,74699,5447,39381,4183,95728,5708,2015715,14865,1625320,15079,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
