GEO_ID,C06007_001E,C06007_001M,C06007_002E,C06007_002M,C06007_003E,C06007_003M,C06007_004E,C06007_004M,C06007_005E,C06007_005M,C06007_006E,C06007_006M,C06007_007E,C06007_007M,C06007_008E,C06007_008M,C06007_009E,C06007_009M,C06007_010E,C06007_010M,C06007_011E,C06007_011M,C06007_012E,C06007_012M,C06007_013E,C06007_013M,C06007_014E,C06007_014M,C06007_015E,C06007_015M,C06007_016E,C06007_016M,C06007_017E,C06007_017M,C06007_018E,C06007_018M,C06007_019E,C06007_019M,C06007_020E,C06007_020M,C06007_021E,C06007_021M,C06007_022E,C06007_022M,C06007_023E,C06007_023M,C06007_024E,C06007_024M,C06007_025E,C06007_025M,NAME,C06007_001MA,C06007_001EA,C06007_002EA,C06007_002MA,C06007_003EA,C06007_003MA,C06007_004EA,C06007_004MA,C06007_005MA,C06007_005EA,C06007_006MA,C06007_006EA,C06007_007MA,C06007_007EA,C06007_008EA,C06007_008MA,C06007_009EA,C06007_009MA,C06007_010MA,C06007_010EA,C06007_011MA,C06007_011EA,C06007_012MA,C06007_012EA,C06007_013EA,C06007_013MA,C06007_014EA,C06007_014MA,C06007_015EA,C06007_015MA,C06007_016MA,C06007_016EA,C06007_017MA,C06007_017EA,C06007_018EA,C06007_018MA,C06007_019EA,C06007_019MA,C06007_020EA,C06007_020MA,C06007_021MA,C06007_021EA,C06007_022MA,C06007_022EA,C06007_023EA,C06007_023MA,C06007_024EA,C06007_024MA,C06007_025EA,C06007_025MA,state
0400000US30,972529,1021,931419,3786,41110,3747,31887,3336,9223,1527,509336,8981,491585,9248,17751,2257,14267,1789,3484,1087,433801,8702,421670,8791,12131,1983,11314,1968,817,371,8083,1425,6693,1259,1390,610,1384,610,6,11,21309,1974,11471,1340,9838,1450,4922,1044,4916,975,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1765526,1374,1570021,6104,195505,6185,110078,5816,85427,4390,1120128,10129,1073724,10111,46404,2929,38464,3231,7940,1767,502730,10518,469778,10011,32952,3345,28228,3169,4724,1058,15535,2036,10345,1484,5190,1406,3851,1172,1339,622,127133,5194,16174,1745,110959,5149,39535,3768,71424,4228,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2713912,1146,1894135,14781,819777,14673,488749,10889,331028,9959,598920,13602,461558,12841,137362,7597,119995,7522,17367,2511,1506255,16567,1330781,16124,175474,7952,157830,8052,17644,2587,52346,4926,32818,3832,19528,2969,13959,2393,5569,1348,556391,12383,68978,4541,487413,11889,196965,7936,290448,9178,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1267099,798,1167851,5320,99248,5507,71744,5064,27504,2873,510131,9131,491191,8862,18940,2288,16943,2229,1997,668,663400,9882,641951,9377,21449,2824,18659,2727,2790,725,14405,2223,9351,1756,5054,1298,3591,1007,1463,898,79163,4814,25358,2952,53805,3843,32551,2922,21254,2601,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8428759,873,5832728,26374,2596031,26307,1578094,22356,1017937,18382,4246711,26579,3667579,28100,579132,14042,519114,13084,60018,4429,2013298,22372,1796865,19432,216433,10123,192989,9828,23444,2942,202853,9396,52192,4319,150661,8071,91778,5690,58883,4513,1965897,20976,316092,10884,1649805,21987,774213,14918,875592,17300,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1950879,2090,1281447,12841,669432,12831,501476,11651,167956,8361,1001679,12682,646945,13409,354734,10297,312336,10031,42398,3363,729938,13011,594127,10558,135811,7315,118608,6986,17203,2937,23285,2828,15706,2115,7579,1813,5640,1537,1939,839,195977,8554,24669,2876,171308,8614,64892,4917,106416,7024,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,18610703,2258,12863638,41169,5747065,40899,3228405,39772,2518660,25836,11390266,36464,9600763,42804,1789503,25981,1533627,22797,255876,9464,2218784,23230,2031920,22468,186864,6230,163491,5494,23373,2715,495524,11105,149533,6819,345991,10227,197878,7529,148113,6345,4506129,36293,1081422,17165,3424707,32091,1333409,26830,2091298,23090,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9443944,3825,8360831,15950,1083113,15752,638383,15356,444730,11267,5214164,26144,4996864,26925,217300,7335,178371,7742,38929,3620,3332999,26096,3152497,26796,180502,8446,154617,7637,25885,2750,109998,6962,69121,4517,40877,4602,29833,4009,11044,1908,786783,13084,142349,7957,644434,11176,275562,7803,368872,10051,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,704756,1259,663252,3859,41504,3922,28397,3170,13107,1930,439390,7901,427957,8002,11433,2041,9821,1986,1612,469,231468,7880,222140,8002,9328,1656,8114,1468,1214,495,5848,1315,5008,1275,840,613,355,261,485,555,28050,2547,8147,1359,19903,2277,10107,1584,9796,1628,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,10924135,3039,10165019,19204,759116,18936,487221,14960,271895,12319,8099453,24944,7854599,26253,244854,9834,192173,9049,52681,5426,2228895,21632,2141215,21381,87680,4924,74862,4892,12818,1649,97530,4809,53164,3561,44366,3849,25028,3147,19338,2351,498257,14570,116041,7543,382216,13664,195158,8580,187058,10514,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3648387,1727,3279567,7287,368820,7278,217990,7318,150830,4890,2143722,13348,2052465,13375,91257,4396,77180,4221,14077,2091,1232124,12372,1162481,12412,69643,4342,57380,4037,12263,1605,38778,3296,29440,2617,9338,1656,6631,1471,2707,843,233763,7131,35181,3188,198582,6107,76799,4390,121783,4361,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3799838,1866,3226975,13520,572863,13512,346638,10621,226225,9856,1648954,16627,1507475,15991,141479,6987,117089,7304,24390,3420,1710827,16397,1614475,15902,96352,6460,85195,5800,11157,1876,45221,4321,32983,3337,12238,2232,10383,2107,1855,764,394836,11752,72042,4709,322794,10917,133971,7207,188823,9038,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12087611,2317,10774053,18742,1313558,18719,819366,16879,494192,12704,8687601,22793,8336458,23479,351143,13986,287714,12872,63429,5744,2366859,21671,2183058,20929,183801,8139,160356,7182,23445,2986,204025,8133,66551,4424,137474,6772,73476,4224,63998,4668,829126,16715,187986,9476,641140,14948,297820,10999,343320,11626,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1001905,817,779897,7538,222008,7460,139442,7116,82566,4977,552337,7864,497769,7973,54568,4274,49588,4230,4980,925,282911,8073,253215,7301,29696,3215,26112,3168,3584,1056,24871,3297,6507,1272,18364,2980,11514,2391,6850,1485,141786,6052,22406,2498,119380,6017,52228,4787,67152,4487,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4608658,2409,4297192,9408,311466,9559,184944,8113,126522,7040,2589123,22573,2537662,23248,51461,4150,39743,3932,11718,1730,1737537,21817,1668195,21743,69342,4603,59418,4188,9924,2283,51643,4462,37452,3689,14191,2215,9309,1719,4882,1118,230355,7021,53883,4572,176472,6582,76474,5545,99998,5558,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,798872,1525,745958,3652,52914,3534,33616,2670,19298,2624,506776,7037,487714,7507,19062,1981,14919,1774,4143,1119,259529,5948,247410,5990,12119,1666,8998,1526,3121,1089,5056,1118,4248,1007,808,448,430,308,378,309,27511,2839,6586,1299,20925,2440,9269,1680,11656,1813,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6201062,3054,5772564,12669,428498,12319,246054,9190,182444,8154,3617533,21770,3535213,22639,82320,5137,67402,4389,14918,2217,2199803,22181,2129388,22876,70415,4283,59347,4006,11068,1962,56334,4495,41656,3902,14678,2508,9657,1840,5021,1587,327392,10932,66307,5493,261085,10359,109648,6790,151437,7446,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25502406,4929,16475018,44729,9027388,44822,5389003,47003,3638385,41292,14606267,54743,10609225,52927,3997042,40895,3210472,40580,786570,16266,5886716,40195,5212217,36247,674499,17714,550549,15260,123950,8079,372442,12065,199214,8314,173228,8832,115466,6874,57762,5144,4636981,40208,454362,12801,4182619,40433,1512516,23484,2670103,37051,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2745950,1492,2338256,11065,407694,11108,274623,9578,133071,6357,1641060,15391,1524794,15515,116266,5886,101857,6010,14409,1823,835282,14722,754435,14006,80847,5927,71337,5698,9510,1591,26913,3038,19330,2385,7583,1701,5635,1286,1948,840,242695,7303,39697,3717,202998,7286,95794,5819,107204,5511,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,595870,631,559543,3436,36327,3306,27365,2886,8962,1688,289029,6084,282461,6022,6568,1028,5697,996,871,349,272100,5923,261680,6023,10420,1463,9607,1487,813,307,6797,1169,5402,1003,1395,675,1061,458,334,402,27944,3010,10000,1335,17944,2688,11000,1751,6944,1637,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,7872076,3046,6620451,15593,1251625,14815,789987,15459,461638,12773,3726116,26977,3519068,25850,207048,8070,177678,7798,29370,3053,2987573,22079,2832006,22506,155567,6568,137250,6321,18317,2152,147513,6913,104593,5729,42920,4167,32214,3127,10706,2386,1010874,14249,164784,7104,846090,11834,442845,11005,403245,12267,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6725680,2128,5430074,21793,1295606,21947,788494,18502,507112,14867,3014629,25022,2728810,25762,285819,9629,244901,9438,40918,4267,2611621,20923,2439825,20166,171796,8643,147551,7896,24245,3205,126897,6894,89245,5312,37652,4335,27115,3965,10537,1775,972533,16752,172194,7951,800339,15546,368927,11137,431412,13355,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1742174,1501,1697030,4322,45144,4121,32948,3685,12196,1602,1200182,11007,1189889,10965,10293,2077,8586,2036,1707,559,502918,10346,490865,10192,12053,1965,9718,1933,2335,768,10110,1789,7350,1468,2760,1214,2024,899,736,578,28964,3281,8926,1477,20038,2876,12620,2557,7418,1322,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
