GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001EA,B19082_001MA,B19082_002EA,B19082_002MA,B19082_003EA,B19082_003MA,B19082_004MA,B19082_004EA,B19082_005EA,B19082_005MA,B19082_006EA,B19082_006MA,state
0400000US28,2.97,0.11,8.26,0.16,14.56,0.22,23.86,0.25,50.34,0.56,21.49,0.71,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3.49,0.07,8.89,0.11,14.73,0.14,22.97,0.19,49.92,0.43,22.13,0.51,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3.58,0.15,8.91,0.24,14.81,0.31,22.79,0.35,49.91,0.84,22.43,1.04,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,3.74,0.13,9.25,0.18,15.27,0.21,23.36,0.27,48.38,0.61,21.07,0.70,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,3.63,0.11,9.21,0.16,15.02,0.22,23.00,0.25,49.15,0.60,21.85,0.77,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3.88,0.15,9.62,0.21,15.65,0.29,23.37,0.34,47.48,0.77,19.73,0.91,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2.95,0.05,8.22,0.08,14.39,0.13,23.01,0.15,51.42,0.31,22.66,0.34,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,3.00,0.11,8.21,0.17,14.42,0.21,23.44,0.36,50.94,0.63,21.87,0.90,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2.60,0.03,7.52,0.06,13.54,0.10,22.10,0.15,54.24,0.29,25.97,0.38,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3.33,0.06,8.50,0.09,14.21,0.12,22.67,0.15,51.30,0.35,23.03,0.43,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3.46,0.16,8.80,0.29,14.78,0.40,22.93,0.53,50.03,1.18,23.04,1.48,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3.35,0.05,8.84,0.09,14.84,0.11,23.21,0.14,49.75,0.32,21.77,0.38,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3.37,0.07,8.74,0.11,14.63,0.15,22.71,0.20,50.54,0.44,22.83,0.55,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3.46,0.08,8.86,0.12,14.87,0.17,22.98,0.21,49.84,0.45,21.71,0.53,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3.34,0.05,8.70,0.07,14.71,0.08,22.92,0.10,50.33,0.23,22.27,0.28,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,2.85,0.16,8.38,0.25,14.97,0.34,23.74,0.46,50.06,0.92,21.41,1.16,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3.27,0.08,8.70,0.13,14.70,0.18,23.01,0.21,50.32,0.47,22.38,0.60,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3.81,0.16,9.44,0.23,15.50,0.30,23.07,0.42,48.17,0.89,21.46,1.14,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3.28,0.07,8.54,0.11,14.31,0.16,22.49,0.20,51.38,0.46,23.58,0.57,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,3.24,0.03,8.39,0.06,14.14,0.08,22.47,0.09,51.75,0.20,23.47,0.25,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,4.18,0.12,10.08,0.14,15.80,0.18,23.13,0.23,46.80,0.48,20.14,0.58,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3.81,0.18,9.27,0.26,15.40,0.33,23.31,0.40,48.22,0.96,21.16,1.16,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,3.27,0.06,8.73,0.08,14.67,0.10,23.03,0.15,50.30,0.30,21.68,0.37,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,3.50,0.07,9.15,0.10,15.02,0.12,23.04,0.16,49.28,0.36,21.40,0.44,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,3.41,0.11,8.77,0.16,14.91,0.20,23.75,0.27,49.16,0.58,20.44,0.65,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3.88,0.05,9.48,0.10,15.46,0.12,23.26,0.14,47.92,0.31,20.97,0.39,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3.89,0.26,9.52,0.38,15.70,0.43,23.65,0.68,47.25,1.43,21.12,1.86,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1.40,0.08,6.57,0.17,12.27,0.25,21.90,0.37,57.86,0.76,27.79,1.09,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
