B17010H_026M,B17010H_027E,B17010H_027M,B17010H_028E,B17010H_028M,B17010H_029E,B17010H_029M,B17010H_030E,B17010H_030M,B17010H_031E,B17010H_031M,B17010H_032E,B17010H_032M,B17010H_033E,B17010H_033M,B17010H_034E,B17010H_034M,B17010H_035E,B17010H_035M,B17010H_036E,B17010H_036M,B17010H_037E,B17010H_037M,B17010H_038E,B17010H_038M,B17010H_039E,B17010H_039M,B17010H_040E,B17010H_040M,B17010H_041E,B17010H_041M,GEO_ID,B17010H_001E,B17010H_001M,B17010H_002E,B17010H_002M,B17010H_003E,B17010H_003M,B17010H_004E,B17010H_004M,B17010H_005E,B17010H_005M,B17010H_006E,B17010H_006M,B17010H_007E,B17010H_007M,B17010H_008E,B17010H_008M,B17010H_009E,B17010H_009M,B17010H_010E,B17010H_010M,B17010H_011E,B17010H_011M,B17010H_012E,B17010H_012M,B17010H_013E,B17010H_013M,B17010H_014E,B17010H_014M,B17010H_015E,B17010H_015M,B17010H_016E,B17010H_016M,B17010H_017E,B17010H_017M,B17010H_018E,B17010H_018M,B17010H_019E,B17010H_019M,B17010H_020E,B17010H_020M,B17010H_021E,B17010H_021M,B17010H_022E,B17010H_022M,B17010H_023E,B17010H_023M,B17010H_024E,B17010H_024M,B17010H_025E,B17010H_025M,B17010H_026E,B17010H_026MA,B17010H_027EA,B17010H_027MA,B17010H_028EA,B17010H_028MA,B17010H_029MA,B17010H_029EA,B17010H_030MA,B17010H_030EA,B17010H_031MA,B17010H_031EA,B17010H_032MA,B17010H_032EA,B17010H_033EA,B17010H_033MA,B17010H_034MA,B17010H_034EA,B17010H_035EA,B17010H_035MA,B17010H_036EA,B17010H_036MA,B17010H_037MA,B17010H_037EA,B17010H_038MA,B17010H_038EA,B17010H_039EA,B17010H_039MA,B17010H_040MA,B17010H_040EA,B17010H_041EA,B17010H_041MA,NAME,B17010H_001MA,B17010H_001EA,B17010H_002EA,B17010H_002MA,B17010H_003EA,B17010H_003MA,B17010H_004EA,B17010H_004MA,B17010H_005EA,B17010H_005MA,B17010H_006EA,B17010H_006MA,B17010H_007MA,B17010H_007EA,B17010H_008EA,B17010H_008MA,B17010H_009EA,B17010H_009MA,B17010H_010EA,B17010H_010MA,B17010H_011EA,B17010H_011MA,B17010H_012MA,B17010H_012EA,B17010H_013EA,B17010H_013MA,B17010H_014MA,B17010H_014EA,B17010H_015EA,B17010H_015MA,B17010H_016EA,B17010H_016MA,B17010H_017EA,B17010H_017MA,B17010H_018MA,B17010H_018EA,B17010H_019MA,B17010H_019EA,B17010H_020EA,B17010H_020MA,B17010H_021EA,B17010H_021MA,B17010H_022EA,B17010H_022MA,B17010H_023MA,B17010H_023EA,B17010H_024MA,B17010H_024EA,B17010H_025MA,B17010H_025EA,B17010H_026EA,state
4065,277768,7466,692342,9667,212776,8401,71787,4340,37891,3701,7745,1633,3219,1046,26927,3106,33896,2985,140989,6232,70772,4988,8910,1597,7002,1326,54860,4072,70217,3859,0400000US13,1451475,10573,109454,5179,49707,3643,26344,2705,4433,1292,7994,1390,13917,1773,23363,2538,59747,3983,10157,1775,6997,1299,1379,585,821,432,4797,1132,3160,940,49590,3435,41043,3281,6716,1277,8219,1576,26108,2671,8547,1419,1342021,10250,1129245,11669,436903,7090,82518,3698,76617,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
916,15492,1682,44827,2662,10832,1917,3994,1286,1676,839,730,639,301,310,645,309,2318,882,6838,1328,3100,1025,601,406,135,159,2364,866,3738,901,0400000US15,87604,2769,4488,1047,2291,690,1204,515,118,141,168,129,918,467,1087,419,2197,752,722,405,567,339,246,222,46,75,275,301,155,228,1475,620,1452,619,255,312,312,216,885,486,23,39,83116,2701,72284,2624,27457,2129,8014,1290,3951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
2458,61100,3287,164827,4747,44815,3585,15009,1953,9285,1627,1895,708,825,538,6565,1407,5724,1100,29806,2922,17373,2145,2924,1058,1926,641,12523,1798,12433,1781,0400000US16,349085,6341,34984,3280,17319,2185,8286,1422,2472,860,2237,627,3577,887,9033,1778,17665,2501,3048,847,2371,778,839,485,258,193,1274,639,677,472,14617,2337,13171,2204,2334,916,2864,1139,7973,1713,1446,587,314101,6220,269286,6102,104459,4673,17382,1806,25977,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4280,387211,7810,1021860,9761,320328,8493,102494,4992,50948,3410,10604,1690,6496,1241,33848,2487,51546,3168,217834,6807,106969,4727,17113,1859,10423,1741,79433,4136,110865,4433,0400000US17,2076839,11835,116032,4963,46480,2823,22932,1827,3725,952,7064,1294,12143,1219,23548,2160,69552,3809,11166,1581,7497,1327,2111,684,1405,563,3981,1008,3669,722,58386,3377,49368,3254,10693,1588,11298,1517,27377,2528,9018,1349,1960807,11736,1640479,12333,618619,9456,120992,4855,110416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3938,254342,7116,637308,8599,231405,7213,79532,4247,46348,3470,11024,1837,5468,1285,29856,2898,33184,2387,151873,5269,79899,4173,12172,1799,10213,1576,57514,3722,71974,3860,0400000US18,1374825,10063,108377,5973,37623,2699,20832,1860,3127,735,6502,1303,11203,1463,16791,1965,70754,5062,11383,1846,9204,1611,2275,802,2031,720,4898,1257,2179,659,59371,4311,52029,4234,11374,1918,13043,1934,27612,3264,7342,1212,1266448,10415,1035043,11170,397735,8229,70063,3733,73330,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2638,128403,4049,355554,5929,110150,4741,39806,2969,24219,2382,5332,1151,2431,761,16456,1903,15587,1537,70344,3294,41320,2640,6455,1298,4814,935,30051,2363,29024,2345,0400000US19,719181,7284,42729,3107,15003,1575,7355,1214,1022,518,2915,804,3418,685,7648,953,27726,2679,6190,1566,5130,1541,1011,514,919,493,3200,1304,1060,488,21536,2000,19147,1910,3595,737,4184,957,11368,1516,2389,595,676452,6753,566302,7103,210748,4724,36877,2883,45468,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2308,109787,4023,283566,5765,88099,3797,30162,2269,18170,1886,3451,845,2727,860,11992,1664,11992,1356,57937,2933,34412,2482,5640,1105,3730,876,25042,2259,23525,1916,0400000US20,588499,7407,37004,2783,14015,1542,8058,1273,1518,561,3152,890,3388,651,5957,894,22989,2305,4518,1098,3578,1016,877,474,581,334,2120,813,940,419,18471,2139,16354,2071,3671,942,4174,1007,8509,1712,2117,541,551495,7275,463396,7384,179830,5281,35380,2579,34663,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
3014,166607,6031,440580,7200,168585,5860,56007,3545,28875,2596,6281,1371,2566,998,20028,1821,27132,2750,112578,5152,57180,4117,8989,1598,6256,1307,41935,3383,55398,2958,0400000US21,996277,10207,126263,5556,55394,3523,31080,2841,4684,1370,8647,1603,17749,1839,24314,2311,70869,4485,13971,1903,10220,1638,1981,753,1305,696,6934,1235,3751,846,56898,4185,47127,3656,9890,1924,10950,1845,26287,2510,9771,1592,870014,9136,701429,9227,260849,6714,45964,2915,48278,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
3464,126057,5212,330983,6366,110315,5624,38727,2988,19746,1972,4503,1157,1879,806,13364,1611,18981,2418,71588,4562,39144,3269,5488,1323,5329,1273,28327,3130,32444,3001,0400000US22,704889,8143,57999,4594,23122,2702,11194,1783,1389,660,3457,996,6348,1316,11928,1874,34877,3255,5524,1262,4037,1085,633,357,654,387,2750,931,1487,604,29353,3043,24435,2842,5252,1275,5107,1294,14076,2152,4918,1140,646890,8704,536575,9504,205592,6382,40387,3561,39148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
1540,49048,2618,168298,3933,55650,3226,18815,1783,11602,1570,1894,648,1386,598,8322,1271,7213,1104,36835,2920,21570,2350,3424,988,1558,622,16588,1866,15265,1911,0400000US23,327656,5482,27474,2250,9686,1315,4024,996,985,496,875,565,2164,600,5662,887,17788,1925,4394,885,3281,773,570,288,725,557,1986,680,1113,558,13394,1862,11773,1816,2110,870,2379,950,7284,1231,1621,666,300182,5167,244532,5013,76234,3401,15093,1792,12093,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
3119,164581,5198,399531,7206,134089,5363,41751,2831,19662,1757,4700,1248,979,371,13983,1475,22089,2142,92338,5065,47166,3345,5953,1367,4491,1071,36722,3179,45172,3438,0400000US24,825283,8669,30669,2644,13792,1687,6141,1195,1102,428,1945,764,3094,884,7651,1242,16877,2003,3717,926,2186,762,937,552,266,324,983,429,1531,630,13160,1714,10919,1601,1985,769,2971,867,5963,1198,2241,626,794614,9036,660525,8541,260994,5709,54271,2762,42142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
4048,242563,6211,590110,8888,218622,7950,61927,3817,25980,2800,4932,967,2037,744,19011,2334,35947,2760,156695,6396,76165,5261,9862,1697,5372,1256,60931,4561,80530,3995,0400000US25,1236468,10349,56886,3789,21252,2030,7156,1302,1070,477,1962,795,4124,947,14096,1972,35634,2971,5741,1265,4156,1102,870,512,1066,687,2220,805,1585,672,29893,2789,24815,2715,5446,1294,5220,1160,14149,1906,5078,1047,1179582,10330,960960,10673,370850,7865,75337,3921,52950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
4212,344793,6976,969316,8808,316405,8639,111524,5137,56480,3562,13104,1859,5134,1025,38242,2415,55044,3295,204881,5681,100440,3752,15943,1742,8202,1308,76295,3712,104441,4122,0400000US26,1977059,9876,156148,5410,64179,3396,35744,2626,4685,988,13303,1613,17756,1747,28435,2128,91969,4261,18366,2070,14104,1783,2951,976,2707,796,8446,1330,4262,880,73603,3841,61465,3592,11669,1600,12882,2175,36914,2789,12138,1784,1820911,10905,1504506,11146,535190,7868,94752,3833,95645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
3206,221298,4633,592588,6383,178801,5113,67285,3439,39543,3109,8599,1460,3869,873,27075,2504,27742,2065,111516,3661,65316,3076,10587,1694,7347,1301,47382,2864,46200,2736,0400000US27,1186229,7792,49081,2760,19024,1515,7842,1154,1042,461,2874,650,3926,742,11182,945,30057,2357,5718,1053,4584,996,1165,578,769,425,2650,660,1134,358,24339,2009,21596,1777,5200,954,6275,1062,10121,1151,2743,710,1137148,8252,958347,7908,365759,5467,75117,3149,69344,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
2337,77589,4052,215671,5405,73677,4475,24993,2908,13671,2085,1893,671,1030,722,10748,1895,11322,2110,48684,3440,25776,2404,2771,957,3923,1130,19082,2031,22908,2481,0400000US28,459033,6975,42797,3907,18942,2632,10009,2036,1714,783,2694,854,5601,1573,8933,1499,23855,2933,5261,1380,4306,1210,634,425,1157,686,2515,925,955,515,18594,2559,14973,2168,3999,1210,3597,1087,7377,1789,3621,1189,416236,7248,342559,6959,126888,4947,23568,2407,25731,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3838,222680,7010,600027,7148,200520,7144,66071,4057,38465,3160,7512,1294,3541,746,27412,2741,27606,2922,134449,4947,71721,4228,10721,1807,7032,1115,53968,3625,62728,3348,0400000US29,1262065,10682,100038,4776,42472,3144,21680,2373,3570,929,6861,1306,11249,1727,20792,1958,57566,4037,10133,1600,7713,1270,1836,819,1799,666,4078,1045,2420,865,47433,3664,41762,3526,10185,1776,9366,1583,22211,2371,5671,890,1162027,10374,961507,11226,361480,8952,70956,3918,67844,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1746,38807,2236,118174,3365,31588,2690,11542,1673,6444,1254,1040,585,337,211,5067,1127,5098,1093,20046,1877,10577,1458,1540,608,1268,459,7769,1360,9469,1252,0400000US30,230382,3990,17781,2028,7529,1234,3669,948,1044,485,1149,679,1476,564,3860,766,10252,1543,1547,626,1321,565,249,265,502,352,570,312,226,246,8705,1450,7656,1392,2669,793,1297,558,3690,971,1049,429,212601,4158,181013,4375,62839,2548,10743,1435,13289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
