B27021_031M,B27021_032E,B27021_032M,B27021_033E,B27021_033M,B27021_034E,B27021_034M,B27021_035E,B27021_035M,B27021_036E,B27021_036M,B27021_037E,B27021_037M,B27021_038E,B27021_038M,B27021_039E,B27021_039M,B27021_040E,B27021_040M,B27021_041E,B27021_041M,B27021_042E,B27021_042M,B27021_043E,B27021_043M,B27021_044E,B27021_044M,B27021_045E,B27021_045M,B27021_046E,B27021_046M,B27021_047E,B27021_047M,B27021_048E,B27021_048M,B27021_049E,B27021_049M,B27021_050E,B27021_050M,B27021_051E,B27021_051M,B27021_052E,B27021_052M,B27021_053E,B27021_053M,GEO_ID,B27021_001E,B27021_001M,B27021_002E,B27021_002M,B27021_003E,B27021_003M,B27021_004E,B27021_004M,B27021_005E,B27021_005M,B27021_006E,B27021_006M,B27021_007E,B27021_007M,B27021_008E,B27021_008M,B27021_009E,B27021_009M,B27021_010E,B27021_010M,B27021_011E,B27021_011M,B27021_012E,B27021_012M,B27021_013E,B27021_013M,B27021_014E,B27021_014M,B27021_015E,B27021_015M,B27021_016E,B27021_016M,B27021_017E,B27021_017M,B27021_018E,B27021_018M,B27021_019E,B27021_019M,B27021_020E,B27021_020M,B27021_021E,B27021_021M,B27021_022E,B27021_022M,B27021_023E,B27021_023M,B27021_024E,B27021_024M,B27021_025E,B27021_025M,B27021_026E,B27021_026M,B27021_027E,B27021_027M,B27021_028E,B27021_028M,B27021_029E,B27021_029M,B27021_030E,B27021_030M,B27021_031E,B27021_031MA,B27021_032MA,B27021_032EA,B27021_033MA,B27021_033EA,B27021_034EA,B27021_034MA,B27021_035EA,B27021_035MA,B27021_036EA,B27021_036MA,B27021_037MA,B27021_037EA,B27021_038MA,B27021_038EA,B27021_039MA,B27021_039EA,B27021_040EA,B27021_040MA,B27021_041EA,B27021_041MA,B27021_042MA,B27021_042EA,B27021_043MA,B27021_043EA,B27021_044MA,B27021_044EA,B27021_045EA,B27021_045MA,B27021_046EA,B27021_046MA,B27021_047EA,B27021_047MA,B27021_048MA,B27021_048EA,B27021_049MA,B27021_049EA,B27021_050MA,B27021_050EA,B27021_051MA,B27021_051EA,B27021_052MA,B27021_052EA,B27021_053MA,B27021_053EA,NAME,B27021_001MA,B27021_001EA,B27021_002EA,B27021_002MA,B27021_003MA,B27021_003EA,B27021_004EA,B27021_004MA,B27021_005MA,B27021_005EA,B27021_006MA,B27021_006EA,B27021_007EA,B27021_007MA,B27021_008EA,B27021_008MA,B27021_009EA,B27021_009MA,B27021_010MA,B27021_010EA,B27021_011MA,B27021_011EA,B27021_012EA,B27021_012MA,B27021_013EA,B27021_013MA,B27021_014EA,B27021_014MA,B27021_015MA,B27021_015EA,B27021_016MA,B27021_016EA,B27021_017MA,B27021_017EA,B27021_018EA,B27021_018MA,B27021_019EA,B27021_019MA,B27021_020MA,B27021_020EA,B27021_021MA,B27021_021EA,B27021_022MA,B27021_022EA,B27021_023EA,B27021_023MA,B27021_024EA,B27021_024MA,B27021_025EA,B27021_025MA,B27021_026MA,B27021_026EA,B27021_027MA,B27021_027EA,B27021_028MA,B27021_028EA,B27021_029EA,B27021_029MA,B27021_030EA,B27021_030MA,B27021_031EA,state
13289,100157,6401,59497,4532,44932,4135,16708,2245,40660,4263,1621564,26393,1183277,16916,978351,14961,868315,14008,646495,11897,419535,9267,110036,5268,204926,7982,162543,7247,139403,6624,34216,2972,42383,4259,438287,15052,328755,12483,273433,10937,70631,5647,109532,8287,0400000US13,10024056,3586,8402492,26465,5802162,47351,5754917,47105,5167339,44339,4295076,47683,1494358,25534,587578,21512,47245,5161,33200,4277,19896,3406,15373,2933,14045,2326,2600330,43932,591657,24041,524969,21568,407622,18012,265654,14245,175217,12216,117347,9496,66688,6713,42021,5140,26236,3549,16709,3121,24667,3736,2008673,38839,1908516,37355,1566364,33081,831806,24621,852872,21628,342152,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1828,17603,3072,16254,3102,11788,2164,5703,1488,1349,552,204454,9110,131469,4476,100404,3488,95505,3409,71487,3553,52121,3165,4899,942,31065,2567,27572,2290,23359,2026,8227,1336,3493,1173,72985,6053,65839,5629,47144,4648,23843,2734,7146,1812,0400000US15,1375062,2629,1170608,9692,849509,15748,827188,15504,805903,15641,689846,13907,230736,9222,21285,2816,22321,3110,21133,2972,16351,2746,6960,1556,1188,568,321099,14610,99599,9246,87797,8460,82669,8321,58061,6144,33851,4631,5128,1283,11802,1948,10594,1770,7532,1629,4231,1274,1208,673,221500,14571,203897,13090,195062,12884,125696,9631,95226,8020,8835,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
4897,15509,2886,9615,2352,6552,1689,3716,1633,5894,1587,272363,9697,195830,5928,161437,5744,141985,4912,105467,4705,76034,3581,19452,3138,34393,2872,27165,2201,22763,1956,6578,1323,7228,1494,76533,6022,60280,5182,50389,4752,14250,2479,16253,2767,0400000US16,1632247,1674,1359884,9610,1067781,16790,1058961,17212,977903,17636,808197,17545,313115,11723,81058,7460,8820,1929,6885,1731,3844,1226,3614,1430,1935,1034,292103,14823,89340,9519,75488,8359,62166,7771,44051,6620,23615,3379,13322,2427,13852,2719,11034,2498,7900,1953,4167,1583,2818,969,202763,13876,187254,12381,154869,10942,86599,8324,83929,7152,32385,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
10768,111902,6922,83599,5696,53422,4427,32804,3145,28303,3231,2254337,22670,1693568,14765,1408055,15215,1320559,15050,978120,13324,677591,10041,87496,5697,285513,7947,256289,7862,216463,6664,56836,3911,29224,3143,560769,13425,493705,11633,389600,10384,126369,5933,67064,6072,0400000US17,12679860,1448,10425523,22903,7552922,47181,7506567,47483,7107348,44153,5907426,45772,2005102,30265,399219,15322,46355,3990,38442,3731,22772,2961,17943,2715,7913,1485,2872601,45622,757119,29738,666371,26671,581382,24346,355558,18383,266714,15270,84989,7791,90748,5822,71046,4948,37283,3426,35708,3814,19702,2554,2115482,42186,2003580,38785,1827201,34286,890130,25377,1068648,23840,176379,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
7974,63340,4761,43813,3789,30777,3099,15066,1917,19527,2658,1206507,18134,881314,10777,730920,9663,667457,9266,491543,8704,358540,6988,63463,3324,150394,5350,126054,5385,106243,4672,29935,3126,24340,2815,325193,11143,277535,10072,224997,8390,65420,4639,47658,4428,0400000US18,6520267,860,5313760,18099,3884702,39745,3861584,39932,3582199,36494,3064770,37218,986622,17957,279385,13592,23118,2928,18282,2564,10752,1809,8761,1791,4836,1098,1429058,35925,404398,19686,348172,17165,292226,14406,200085,11386,116382,8769,55946,5559,56226,4827,43967,4442,25345,3549,20769,2990,12259,2041,1024660,27035,961320,26205,840973,22026,439827,15775,473226,17813,120347,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3683,27842,2955,22546,2648,16143,2134,7457,1504,5296,1241,633624,10770,450353,7141,362435,6861,344910,6960,257637,7341,194093,5084,17525,2356,87918,4129,80011,3905,67725,3372,18593,2017,7907,1314,183271,6185,168526,5832,140157,5588,38173,2939,14745,2202,0400000US19,3080411,489,2446787,10771,1902911,20427,1894687,20241,1832372,21259,1591150,22658,526573,13237,62315,5278,8224,1694,7721,1657,3643,1094,4565,1228,503,300,543876,18753,173464,13976,147358,11802,132705,11264,93207,7851,52444,7717,14653,2329,26106,3914,21491,2887,11841,1952,10591,1984,4615,1999,370412,15531,342570,13985,315159,13069,167083,8932,182999,9208,27411,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
5594,24244,2734,16832,2217,14038,1935,3821,1069,7412,1334,518940,11930,387780,7847,325728,7493,295397,7464,227702,6208,152121,5793,30331,2874,62052,4068,53107,3769,47700,3631,9559,1352,8945,1636,131160,6650,113134,5897,98161,5855,18810,1955,18026,2720,0400000US20,2850159,1912,2331219,12063,1786853,22290,1775439,22360,1660066,21237,1458646,19412,421637,9293,115373,9163,11414,1566,9338,1691,4714,1032,5329,1451,2076,805,544366,18742,170086,12252,147075,10460,123670,9208,89591,7364,44837,5335,23405,3817,23011,2832,16032,2341,11825,2046,4960,1340,6979,1653,374280,14164,350036,13750,302075,12261,179880,9590,149899,8909,47961,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
4639,45145,3855,36397,3495,19053,2646,19128,2514,8748,1714,777861,14561,584073,9030,488327,8483,460936,8151,303017,7179,281335,6793,27391,2670,95746,4999,85974,4802,64508,4151,27986,2930,9772,1653,193788,9005,171169,8077,111992,5859,67636,5691,22619,2671,0400000US21,4342711,1272,3564850,14494,2578333,25683,2559716,25952,2445222,25253,1905261,23597,888896,17422,114494,8118,18617,2548,15846,2383,6705,1397,10290,2175,2771,1097,986517,24163,272870,15997,241982,14256,219009,13322,125421,7397,113977,10215,22973,3386,30888,3437,25663,3112,13479,2197,13287,1858,5225,1390,713647,19307,668502,18229,621027,17141,271708,12518,404192,15849,47475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
10062,45796,4264,28773,2964,18781,2628,11413,1840,17023,2707,818428,15434,626321,10623,531731,10984,467062,9427,315630,8986,258245,5671,64669,4580,94590,4970,76213,4688,62730,3739,18590,2569,18377,2691,192107,8923,152610,7698,120398,6670,40040,3781,39497,4171,0400000US22,4567431,2000,3749003,15510,2432932,32618,2419035,32667,2227515,31177,1817669,30113,693292,17793,191520,11417,13897,2626,10962,2491,7156,1775,4762,1624,2935,977,1316071,32137,301670,17674,268039,16370,217443,13516,133669,10816,101952,8510,50596,6198,33631,3617,25217,3117,13687,2149,12323,2273,8414,1844,1014401,28080,968605,27482,816005,23501,363582,14197,516928,17094,152600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
2556,16226,2484,12023,1830,7380,1465,5509,1217,4203,1230,284405,9446,202182,5361,161304,5233,149085,5197,95555,3776,95789,4467,12219,1848,40878,3099,34449,2779,27356,2406,10812,1431,6429,1285,82223,5779,69250,4715,51713,4369,21621,2032,12973,2947,0400000US23,1314849,684,1030444,9441,772784,13637,763994,13377,719282,13027,598034,12098,239263,7297,44712,4591,8790,1942,7593,1876,4184,1332,4729,1596,1197,513,257660,12748,84360,7846,69824,6534,59274,5585,36651,4307,27619,3254,10550,2773,14536,2042,12335,1889,7286,1545,5891,1133,2201,694,173300,12516,157074,11065,141050,9887,76418,6778,80350,7304,16024,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
7655,64443,6154,49924,5217,32962,3827,19399,3273,14519,2630,994528,20282,719370,11638,585034,9460,562880,9458,447534,8755,276799,7675,22154,2124,134336,5715,124063,5252,105951,4592,29989,2707,10273,1651,275158,11196,247797,10093,198329,7874,64699,5072,27361,3491,0400000US24,5908522,2325,4913994,20578,3469370,37519,3422583,36705,3260550,34808,2835886,31956,849917,19161,162033,10331,46787,5493,34686,4081,24159,3085,12671,2168,12101,3474,1444624,34638,376669,19099,328616,16733,285483,14324,187441,10484,121875,9185,43133,5024,48053,5751,35357,4755,22110,4126,14798,2172,12696,2681,1067955,30025,1003512,27070,918583,25172,526210,19472,469554,18229,84929,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
3794,70179,5115,64445,5009,35061,3245,32845,3821,5734,1382,1446744,19800,945695,12612,737909,11526,718538,11450,499706,10219,410872,9192,19371,2120,207786,7087,197267,6840,159879,6048,52922,3790,10519,1692,501049,10929,475730,10219,377155,8995,122812,5592,25319,3253,0400000US25,6718090,912,5271346,19811,3857090,35060,3824711,33981,3754058,34062,3171337,38907,1082425,20689,70653,6401,32379,4533,28702,4201,19266,3127,11626,2262,3677,1203,1414256,30974,353486,16533,312005,14371,293144,13812,171678,11524,151752,10501,18861,3271,41481,4321,36517,3945,18746,2861,19082,2694,4964,1419,1060770,27128,990591,24968,960416,24222,480324,18284,571548,18291,30175,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
7737,99940,5700,78640,4980,41194,3227,41368,3529,21300,2383,1858879,19052,1378222,13534,1135981,12458,1065440,12410,789879,11893,614399,9903,70541,3572,242241,6362,217108,6447,176829,6476,61939,3741,25133,2355,480657,10058,429063,9922,309612,8952,146662,6292,51594,3960,0400000US26,9810800,1072,7951921,19220,5747861,38668,5709730,37956,5481126,38007,4639216,38268,1745283,21575,228604,8786,38131,3321,32017,3004,17235,2402,16628,1962,6114,1365,2204060,34864,605801,24439,526397,21257,466082,18952,291932,12615,219382,12641,60315,5562,79404,5533,68151,4868,34399,3276,36039,3759,11253,1899,1598259,29939,1498319,27905,1376531,25637,666840,18958,856016,22484,121788,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
5549,51275,3910,42202,2915,28128,2231,15523,2052,9073,2472,1067394,13804,762969,8676,609464,8783,582423,8830,435513,7484,317566,5802,27041,2747,153505,5572,142580,5342,120137,4792,33373,2268,10925,1777,304425,8159,284659,7430,216156,6471,81796,3948,19766,2594,0400000US27,5431894,516,4364500,13727,3404338,25838,3382756,26044,3279755,26729,2850867,24543,881552,16714,103001,7801,21582,2764,18630,2592,11808,1549,8085,1681,2952,969,960162,24636,317591,16770,275598,14551,248231,13384,170528,9748,96227,7473,27367,3746,41993,3683,37131,3466,22441,2738,16212,2020,4862,1362,642571,20105,591296,18539,551175,16715,293794,11988,313649,11816,40121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
7249,32307,3317,20250,2659,14697,2403,6674,1404,12057,2309,468015,11486,360173,7550,312810,7615,279717,7671,178787,6299,173892,6055,33093,3328,47363,3944,36519,3378,29553,3087,9833,1496,10844,1855,107842,6741,83774,5947,61837,4863,26224,3031,24068,2742,0400000US28,2927568,1491,2459553,11402,1545592,23302,1536873,23365,1389878,21598,1089768,18270,496936,14992,146995,9076,8719,1970,5553,1485,3274,1149,2774,879,3166,1161,913961,22943,190427,13378,167139,11319,133506,9384,80589,6628,63739,6154,33633,4989,23288,3506,15896,3155,10069,2529,6235,1806,7392,1852,723534,20368,691227,20026,590890,18124,249383,12321,380709,12790,100337,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
7542,64780,4725,41123,3729,30622,3613,13206,1620,23657,3198,1144429,17353,852532,11797,703291,11575,641501,10682,459474,9764,348610,7430,61790,4676,149241,6715,126242,5528,108554,5298,28128,2374,22999,2735,291897,10709,239543,9836,195317,8346,56222,4240,52354,5220,0400000US29,5969392,1755,4824963,17139,3541793,34642,3514386,34738,3283245,32978,2817195,32608,898011,14984,231141,11924,27407,3359,20052,2964,11366,2004,9637,1970,7355,1750,1283170,31803,339332,17045,293679,15320,243999,12989,166862,10369,95495,8018,49680,5583,45653,4117,32386,3612,21470,2530,11768,2464,13267,2274,943838,25603,879058,24092,758193,21212,430081,14223,394164,15044,120865,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
2371,10306,2509,7430,2028,5870,1584,2739,1487,2876,951,226160,6574,161217,4420,130412,4389,114285,4067,84565,3650,64083,3577,16127,1982,30805,2737,25917,2470,21985,2316,5904,1058,4888,1174,64943,4110,51518,3381,42414,3424,12259,1811,13425,2467,0400000US30,1017458,835,791298,6540,620381,11215,615172,11439,562304,11854,476411,12627,176682,6693,52868,4342,5209,1711,4009,1350,2495,1158,1741,604,1200,582,170917,9743,52937,5586,46086,4966,38020,4004,25909,3238,15434,2747,8066,2546,6851,1376,5930,1315,4556,1154,1760,630,921,435,117980,9049,107674,7741,89536,6735,45167,4530,54851,5623,18138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
3736,15857,2268,11287,1740,9154,1473,2351,763,4570,1021,374557,8039,273074,5585,221975,5351,202615,5328,158545,5331,102535,3679,19360,1872,51099,2925,44030,2546,39704,2162,7122,1200,7069,1444,101483,4323,87320,4080,75968,3725,14137,1735,14163,1978,0400000US31,1866488,1069,1491931,8016,1160365,13897,1153632,13732,1090641,13984,965006,13398,263038,8463,62991,5291,6733,1764,4957,1135,2467,642,2804,921,1776,1269,331566,11849,98996,8858,85950,7276,73854,6895,55249,5924,23372,3315,12096,2266,13046,2299,10549,2140,8960,2078,1733,535,2497,755,232570,9820,216713,9342,187446,8779,111340,7545,91924,5540,29267,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
5723,39612,4256,29404,3721,20451,3478,10478,1678,10208,2078,527901,14461,381119,8924,297550,8190,265342,7946,184354,7270,139288,5231,32208,3700,83569,4343,69325,3695,53080,3350,22217,2157,14244,1969,146782,8533,118446,7378,79593,5737,45617,4637,28336,3519,0400000US32,2855974,1248,2328073,14602,1546037,24535,1528678,24943,1382650,22420,1123817,20179,436119,14728,146028,10468,17359,2621,13942,2284,8392,1746,7001,1445,3417,1311,782036,24493,245496,16330,217985,15095,176076,13318,119682,11384,69073,7267,41909,5464,27511,3173,18618,2639,11941,2110,7235,1679,8893,1832,536540,19744,496928,18067,431487,16962,241498,14065,219427,12002,65441,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
2398,15336,2422,11949,2060,9109,1803,3385,1041,3387,1182,256206,7819,175656,5403,135386,4792,126279,4644,96136,3983,68631,3625,9107,1784,40270,2649,35396,2361,31287,2214,7790,1221,4874,1039,80550,3924,72860,3675,62048,3549,14704,1627,7690,1992,0400000US33,1314249,866,1058043,8027,822399,16387,817053,16424,781294,15512,686113,14899,206553,7443,35759,3948,5346,1287,4515,1222,3229,1123,1652,633,831,405,235644,15283,65661,8390,56004,7070,47632,5989,34719,5254,18017,3203,8372,2498,9657,1967,8902,1862,5349,1216,4184,1547,755,435,169983,12179,154647,10968,142034,10093,88960,8264,66578,5668,12613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
10868,79253,6070,53027,4563,33073,3238,22806,3464,26226,3642,1292085,18405,980538,12404,824419,11817,769418,12222,559321,11323,431283,7946,55001,3744,156119,5968,133407,5883,114185,5538,32356,2458,22712,2341,311547,9670,263559,9383,198802,8663,77501,4841,47988,4004,0400000US34,8850415,1208,7558330,18387,5578037,36512,5533760,36651,5187420,36864,4399437,38530,1368497,26022,346340,16563,44277,4250,32693,3190,21952,2542,12958,1956,11584,2253,1980293,37634,548911,23629,487517,20759,395643,18136,262948,15524,164842,10542,91874,8153,61394,5765,42229,4056,24949,2843,19080,3051,19165,3247,1431382,35255,1352129,33014,1201823,28536,692371,23729,608332,16883,150306,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
5241,21596,2737,15709,2313,7917,1528,8548,1450,5887,1414,357909,11431,275040,7091,231388,6513,209027,6100,128519,5722,135210,4679,22361,2447,43652,3473,37550,3245,27344,2667,14506,1961,6102,1343,82869,6422,69924,5917,44050,4267,31585,4026,12945,2389,0400000US35,2050178,1243,1692269,11422,1129625,18290,1122098,18284,1018670,18318,720167,16650,443491,14940,103428,7737,7527,1873,5702,1253,2590,956,3395,1096,1825,1115,562644,15779,169077,13161,151927,11930,128641,10571,57672,6176,82939,8437,23286,3540,17150,2336,13243,2039,6951,1430,6923,1436,3907,1107,393567,16859,371971,16073,327681,14404,124612,9267,228802,12585,44290,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
