GEO_ID,B18105_001E,B18105_001M,B18105_002E,B18105_002M,B18105_003E,B18105_003M,B18105_004E,B18105_004M,B18105_005E,B18105_005M,B18105_006E,B18105_006M,B18105_007E,B18105_007M,B18105_008E,B18105_008M,B18105_009E,B18105_009M,B18105_010E,B18105_010M,B18105_011E,B18105_011M,B18105_012E,B18105_012M,B18105_013E,B18105_013M,B18105_014E,B18105_014M,B18105_015E,B18105_015M,B18105_016E,B18105_016M,B18105_017E,B18105_017M,B18105_018E,B18105_018M,B18105_019E,B18105_019M,B18105_020E,B18105_020M,B18105_021E,B18105_021M,B18105_022E,B18105_022M,B18105_023E,B18105_023M,B18105_024E,B18105_024M,B18105_025E,B18105_025M,B18105_026E,B18105_026M,B18105_027E,B18105_027M,B18105_028E,B18105_028M,B18105_029E,B18105_029M,B18105_030E,B18105_030M,B18105_031E,B18105_031M,B18105_032E,B18105_032M,B18105_033E,B18105_033M,NAME,B18105_001MA,B18105_001EA,B18105_002EA,B18105_002MA,B18105_003EA,B18105_003MA,B18105_004EA,B18105_004MA,B18105_005MA,B18105_005EA,B18105_006MA,B18105_006EA,B18105_007EA,B18105_007MA,B18105_008EA,B18105_008MA,B18105_009EA,B18105_009MA,B18105_010MA,B18105_010EA,B18105_011MA,B18105_011EA,B18105_012MA,B18105_012EA,B18105_013EA,B18105_013MA,B18105_014EA,B18105_014MA,B18105_015MA,B18105_015EA,B18105_016MA,B18105_016EA,B18105_017MA,B18105_017EA,B18105_018MA,B18105_018EA,B18105_019MA,B18105_019EA,B18105_020EA,B18105_020MA,B18105_021EA,B18105_021MA,B18105_022EA,B18105_022MA,B18105_023MA,B18105_023EA,B18105_024MA,B18105_024EA,B18105_025EA,B18105_025MA,B18105_026EA,B18105_026MA,B18105_027EA,B18105_027MA,B18105_028MA,B18105_028EA,B18105_029MA,B18105_029EA,B18105_030EA,B18105_030MA,B18105_031EA,B18105_031MA,B18105_032EA,B18105_032MA,B18105_033EA,B18105_033MA,state
0400000US24,5541895,2548,2656787,3978,500738,2307,3317,838,497421,2410,662270,2456,7340,1594,654930,2754,1135812,2927,61099,3689,1074713,4798,225265,1427,27198,2341,198067,2812,132702,1383,34664,2125,98038,2455,2885108,3390,478789,2139,2468,887,476321,2314,688032,2458,7107,1690,680925,3143,1252671,2681,84945,4664,1167726,5440,265762,1807,37491,2618,228271,2929,199854,1608,70575,3429,129279,3491,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6352707,1407,3065637,3119,519871,1732,3310,857,516561,1894,803283,2456,8637,1446,794646,2671,1305290,2717,69315,4148,1235975,5359,269709,1177,29038,2395,240671,2718,167484,1491,41617,2499,125867,2687,3287070,2785,498670,1692,2022,759,496648,1948,823997,1716,8517,1591,815480,2622,1395867,2143,90920,5490,1304947,6026,313176,1371,44642,3243,268534,3433,255360,1786,87652,3276,167708,3648,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9240383,2309,4506196,3751,833073,2638,5169,1140,827904,2660,1087819,3418,17207,1923,1070612,3773,1903495,3585,155383,4771,1748112,6110,423514,1520,56244,2635,367270,2775,258295,1403,66963,2476,191332,2486,4734187,3710,800953,2379,4555,938,796398,2634,1086880,2263,18978,2002,1067902,2846,1994929,3007,189460,5425,1805469,5106,474085,1536,82816,3336,391269,3620,377340,1765,133307,3808,244033,4147,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5080967,2262,2516889,3718,475589,2491,2072,659,473517,2519,624066,2390,6231,1112,617835,2645,1065914,3006,49506,3011,1016408,4358,214538,1292,21400,1695,193138,1948,136782,1454,31781,1951,105001,2236,2564078,3381,454462,1975,1574,567,452888,2000,615831,2365,6416,1196,609415,2649,1071021,2665,58656,3363,1012365,3970,233067,1377,30948,1976,202119,2190,189697,1498,57200,2855,132497,3131,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2738719,3013,1305144,4378,274082,3406,2238,854,271844,3389,319706,4069,6963,1507,312743,4367,525645,4391,59121,4065,466524,5464,118385,2005,24337,2166,94048,2462,67326,1630,21000,1867,46326,2164,1433575,3227,262733,2608,2324,1075,260409,2883,341284,3193,6507,1376,334777,3501,586843,3388,74355,4450,512488,5972,140391,1728,36826,2373,103565,2462,102324,1718,45228,2545,57096,2643,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5595022,3295,2716474,4590,517983,3192,4080,1161,513903,3300,666826,3999,10161,1747,656665,4353,1128292,3451,94963,4895,1033329,5337,247387,1504,40360,2198,207027,2864,155986,1481,42607,2339,113379,2555,2878548,4429,495361,3222,2889,667,492472,3274,684097,2975,11737,1917,672360,3792,1188464,3149,120037,4999,1068427,5580,284670,1747,48512,2250,236158,2705,225956,1926,81106,3428,144850,3322,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,957038,1317,478018,2571,84088,1240,449,286,83639,1276,114690,1446,1822,648,112868,1633,195503,1918,14922,1916,180581,2231,52108,512,7706,1114,44402,1233,31629,646,7497,1108,24132,1284,479020,2364,80661,1794,658,424,80003,1818,109153,1508,2343,777,106810,1538,198773,1734,14248,1675,184525,2252,52237,677,7378,1260,44859,1389,38196,666,12405,1458,25791,1330,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1735824,1655,858318,2881,173282,2038,946,463,172336,2072,219675,1818,2611,638,217064,1991,345428,2258,17143,1860,328285,2755,71912,771,8055,985,63857,1217,48021,748,12086,1183,35935,1349,877506,2330,165297,1714,980,404,164317,1780,216597,1989,2716,750,213881,2256,348799,2132,22671,1796,326128,2619,79817,1075,11738,1196,68079,1585,66996,988,22072,1834,44924,1945,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2679041,1638,1328524,2002,248097,1570,3754,991,244343,1758,324486,1367,6593,1647,317893,2058,558490,1550,43305,3169,515185,3722,127156,983,21633,2161,105523,2142,70295,830,20018,1986,50277,2066,1350517,1725,242572,1384,3412,997,239160,1549,324610,1212,7558,1420,317052,1956,563048,1603,48865,2750,514183,2952,135598,905,22887,2123,112711,2127,84689,948,32187,1772,52502,1990,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1250740,1192,614344,2030,101040,1286,1348,699,99692,1547,142011,1497,1474,494,140537,1450,274684,1286,15742,1916,258942,2428,61635,601,6613,1140,55022,1237,34974,722,9021,1151,25953,1326,636396,1755,98383,1147,156,177,98227,1174,139095,1169,3159,1250,135936,1621,285177,1186,19321,2060,265856,2341,66225,606,9284,1326,56941,1371,47516,849,14459,1778,33057,1940,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
