GEO_ID,C25095_001E,C25095_001M,C25095_002E,C25095_002M,C25095_003E,C25095_003M,C25095_004E,C25095_004M,C25095_005E,C25095_005M,C25095_006E,C25095_006M,C25095_007E,C25095_007M,C25095_008E,C25095_008M,C25095_009E,C25095_009M,C25095_010E,C25095_010M,C25095_011E,C25095_011M,C25095_012E,C25095_012M,C25095_013E,C25095_013M,C25095_014E,C25095_014M,C25095_015E,C25095_015M,C25095_016E,C25095_016M,C25095_017E,C25095_017M,C25095_018E,C25095_018M,C25095_019E,C25095_019M,C25095_020E,C25095_020M,C25095_021E,C25095_021M,C25095_022E,C25095_022M,C25095_023E,C25095_023M,C25095_024E,C25095_024M,C25095_025E,C25095_025M,C25095_026E,C25095_026M,C25095_027E,C25095_027M,C25095_028E,C25095_028M,C25095_029E,C25095_029M,NAME,C25095_001EA,C25095_001MA,C25095_002EA,C25095_002MA,C25095_003EA,C25095_003MA,C25095_004MA,C25095_004EA,C25095_005EA,C25095_005MA,C25095_006EA,C25095_006MA,C25095_007EA,C25095_007MA,C25095_008EA,C25095_008MA,C25095_009EA,C25095_009MA,C25095_010EA,C25095_010MA,C25095_011EA,C25095_011MA,C25095_012EA,C25095_012MA,C25095_013MA,C25095_013EA,C25095_014EA,C25095_014MA,C25095_015MA,C25095_015EA,C25095_016EA,C25095_016MA,C25095_017EA,C25095_017MA,C25095_018EA,C25095_018MA,C25095_019EA,C25095_019MA,C25095_020EA,C25095_020MA,C25095_021EA,C25095_021MA,C25095_022EA,C25095_022MA,C25095_023EA,C25095_023MA,C25095_024EA,C25095_024MA,C25095_025EA,C25095_025MA,C25095_026EA,C25095_026MA,C25095_027EA,C25095_027MA,C25095_028EA,C25095_028MA,C25095_029EA,C25095_029MA,state
0400000US15,252435,5537,8193,1175,422,264,5326,889,2445,583,11341,1247,3750,900,7591,1120,0,182,17980,2032,8746,1241,9234,1460,0,182,20966,1781,11109,1343,9857,1479,0,182,38434,2716,22364,2115,16070,1736,0,182,39486,2728,25377,1794,14109,1967,0,182,116035,4562,102078,4410,13957,1530,0,182,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,411958,6794,19167,2555,1467,604,12149,2145,5551,2177,32567,3109,12498,1634,20069,2338,0,193,62494,3826,34600,2975,27894,2690,0,193,59621,4267,43556,3374,16065,2181,0,193,83854,4373,74901,4103,8953,1495,0,193,59647,3491,55947,3370,3700,1057,0,193,94608,4395,92197,4329,2411,937,0,193,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3129641,16316,90548,4191,2263,584,65743,3547,22542,2459,177840,5166,44437,2809,133403,4663,0,182,344060,8899,163174,4830,180886,5979,0,182,359831,7973,225555,5539,134276,6011,0,182,572795,9946,433356,8750,139439,5827,0,182,459641,9625,403344,8532,56297,3561,0,182,1124926,12092,1075908,11914,49018,3310,0,182,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1714880,13299,50883,3515,3160,765,35534,2790,12189,1412,115581,4376,44902,2656,70679,3760,0,189,232082,6729,139113,5096,92969,4400,0,189,252094,6952,196169,5687,55925,3449,0,189,363188,7735,333100,7825,30088,2473,0,189,266297,7655,259002,7422,7295,1275,0,189,434755,9084,431072,8908,3683,942,0,189,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,881480,8544,24880,1758,1368,563,19294,1571,4218,848,54809,2758,18780,1426,36029,2389,0,155,109286,3821,70636,3253,38650,2550,0,155,117927,4091,92720,3101,25207,2257,0,155,193847,4968,176038,5022,17809,1858,0,155,147592,5331,141866,5139,5726,1088,0,155,233139,6337,230374,6368,2765,671,0,155,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,738336,7661,23515,2187,675,318,17416,1797,5424,1134,43023,2511,15175,1303,27848,2250,0,168,89577,4485,54920,3264,34657,3009,0,168,97119,3632,73560,3017,23559,2143,0,168,151992,5431,134327,5061,17665,2084,0,168,112208,3765,107481,3869,4727,958,0,168,220902,5239,217216,5177,3686,865,0,168,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1138253,12189,59533,3541,8970,1513,40428,2857,10135,1500,108560,4600,52947,3280,55613,3305,0,187,169844,5509,114900,4468,54944,3466,0,187,161902,5909,128930,5232,32972,2680,0,187,224499,5250,206742,5349,17757,2101,0,187,157743,5427,152740,5421,5003,893,0,187,256172,5986,253243,5982,2929,625,0,187,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1122294,10824,64343,4405,10005,1655,42123,3107,12215,2013,106585,4146,56824,3387,49761,3123,0,204,156932,6192,107084,4902,49848,3339,0,204,140683,5252,108924,4304,31759,3244,0,204,201977,6922,177514,6451,24463,2494,0,204,149447,5798,143290,5624,6157,1297,0,204,302327,8235,297193,8080,5134,939,0,204,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,387101,5032,12912,1604,786,439,9923,1416,2203,481,30607,2054,9005,926,21602,1862,0,163,51081,2453,28249,2088,22832,1736,0,163,52290,3484,34924,2537,17366,2148,0,163,84390,3409,67945,3139,16445,1886,0,163,60865,3160,56187,3027,4678,986,0,163,94956,3588,93095,3564,1861,554,0,163,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1436159,11090,36262,2523,743,400,25051,2095,10468,1539,52213,2668,8628,1090,43585,2361,0,195,111640,4370,42414,2906,69226,3411,0,195,118648,3896,58705,2850,59943,3231,0,195,223478,6692,138744,5342,84734,4173,0,195,203902,5870,161696,5278,42206,2810,0,195,690016,8687,650777,8280,39239,2436,0,195,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
