GEO_ID,B27022_001E,B27022_001M,B27022_002E,B27022_002M,B27022_003E,B27022_003M,B27022_004E,B27022_004M,B27022_005E,B27022_005M,B27022_006E,B27022_006M,B27022_007E,B27022_007M,B27022_008E,B27022_008M,B27022_009E,B27022_009M,B27022_010E,B27022_010M,B27022_011E,B27022_011M,B27022_012E,B27022_012M,B27022_013E,B27022_013M,B27022_014E,B27022_014M,B27022_015E,B27022_015M,NAME,B27022_001MA,B27022_001EA,B27022_002MA,B27022_002EA,B27022_003EA,B27022_003MA,B27022_004EA,B27022_004MA,B27022_005EA,B27022_005MA,B27022_006EA,B27022_006MA,B27022_007MA,B27022_007EA,B27022_008MA,B27022_008EA,B27022_009EA,B27022_009MA,B27022_010EA,B27022_010MA,B27022_011EA,B27022_011MA,B27022_012MA,B27022_012EA,B27022_013MA,B27022_013EA,B27022_014EA,B27022_014MA,B27022_015EA,B27022_015MA,state
0400000US30,93900,2083,49104,1675,17069,1909,15616,1843,1453,576,32035,2153,22518,1972,9517,1648,44796,1588,14612,1813,13784,1831,828,437,30184,2455,21843,2155,8341,1422,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,184076,3786,92501,2521,36293,2674,34203,2598,2090,699,56208,2882,46041,2854,10167,1397,91575,2548,42072,2585,38083,2516,3989,1019,49503,2540,41370,2581,8133,1530,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,258401,4197,130192,3417,38635,2383,33039,2275,5596,1260,91557,3963,68445,3916,23112,2427,128209,2909,45850,3362,40594,2938,5256,1319,82359,3877,66324,3625,16035,1970,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,123379,3116,62165,2164,24667,2228,23261,2160,1406,826,37498,2378,30805,2513,6693,1503,61214,2153,27749,2564,26032,2454,1717,890,33465,2414,29174,2353,4291,1203,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,794754,7001,404741,5743,173689,5884,158830,5662,14859,2624,231052,7109,180455,6506,50597,3819,390013,4713,188994,5528,173660,5327,15334,2345,201019,5293,169485,5919,31534,3122,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,199278,4544,101517,3475,32455,3038,27800,2958,4655,1136,69062,4143,49132,3441,19930,2714,97761,3116,43417,3348,37556,3205,5861,1631,54344,3381,44304,3095,10040,2102,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1987251,10693,981874,7707,427490,9240,394765,8730,32725,3550,554384,9948,463102,9310,91282,5079,1005377,6720,493488,9253,459917,8554,33571,2824,511889,9676,460564,9858,51325,4047,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,941187,9851,473783,6486,175404,7251,156003,6866,19401,2921,298379,8175,210881,7736,87498,5069,467404,7445,201774,6457,183715,6686,18059,2225,265630,7740,207976,7463,57654,3914,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,89934,3010,45827,1979,17795,2041,17172,1999,623,242,28032,2237,23610,2030,4422,969,44107,2058,19672,1787,18851,1694,821,565,24435,2205,21329,1808,3106,1198,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1067295,8031,535703,5393,203337,6329,191030,6235,12307,1951,332366,6478,275890,6125,56476,3836,531592,5534,235960,6771,226315,6417,9645,1671,295632,6991,260360,6724,35272,3038,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,371481,4687,187091,3632,63687,3571,53358,3411,10329,1547,123404,4244,81461,3701,41943,2756,184390,3189,77728,3709,66000,3778,11728,1217,106662,4029,77776,3741,28886,2390,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,365046,5911,184351,3974,63698,4061,57243,3909,6455,1541,120653,4783,98515,4592,22138,2791,180695,3777,73034,4238,68485,4042,4549,1438,107661,4558,93235,4655,14426,2369,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1186385,7274,598336,5436,240551,6123,224374,6170,16177,2356,357785,7301,293341,6261,64444,4572,588049,5272,272226,5856,258236,5903,13990,2040,315823,6665,278319,7038,37504,3670,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
